Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,351.27
362,350.84
363,351.68
364,346.98
365,349.87
366,350.79
367,346.82
368,350.41
369,350.13
370,350.05
371,347.67
372,348.64
373,353.26
374,350.26
375,347.89
376,348.43
377,351.3
378,352.99
379,346.69
380,349.55
381,350.4
382,349.79
383,350.82
384,351.09
385,353.17
386,351.64
387,349.1
388,350.34
389,352.02
390,352.43
391,2349.72
392,2348.02
393,2349.05
394,2346.93
395,2349.62
396,347.83
397,351.85
398,351.1
399,348.07
400,348.7
401,351.99
402,352.81
403,351.75
404,351.35
405,348.86
406,346.62
407,351.75
408,353.15
409,349.21
410,348.59
411,352.71
412,351.31
413,353.02
414,351.62
415,351.89
416,346.8
417,349.09
418,346.99
419,352.57
420,347.34
421,748.39
422,746.6
423,752.91
424,746.84
425,752.3
426,747.02
427,747.13
428,750.58
429,749.35
430,750.83
431,751.55
432,751.43
433,748.95
434,747.86
435,752.64
436,751.02
437,751.68
438,751.24
439,752.22
440,747.88
441,752.96
442,752.05
443,753.49
444,751.9
445,752.51
446,747.04
447,749.82
448,752.88
449,751.51
450,752.27
451,747.5
452,748.07
453,752.49
454,746.65
455,749.52
456,750.91
457,746.98
458,752.81
459,748.72
460,746.51
461,753.46
462,748.42
463,751.84
464,748.72
465,746.88
466,746.85
467,752.05
468,747.41
469,750.45
470,751.16
471,748.05
472,748.02
473,750.97
474,750.11
475,752.19
476,752.65
477,748.23
478,749.85
479,753.29
480,752.23
481,2749.31
482,2748.03
483,2752.47
484,2751.27
485,2749.36
486,747.2
487,752.69
488,748.68
489,748.4
490,749.45
491,753.32
492,747.87
493,752.65
494,750.81
495,750.48
496,753.54
497,753.22
498,750.38
499,750.34
500,749.95
501,747.96
502,747.7
503,753.54
504,749.84
505,748.07
506,749.2
507,749.34
508,752.13
509,752.15
510,750.85
511,749.25
512,752.9
513,748.7
514,751.26
515,749.9
516,750.6
517,753.51
518,750.86
519,748.45
520,748.96
521,752.12
522,751.51
523,751.15
524,751.0
525,746.56
526,747.9
527,752.14
528,748.64
529,751.05
530,752.11
531,748.4
532,747.18
533,746.62
534,746.78
535,749.92
536,751.34
537,746.77
538,752.71
539,749.78
540,747.59
541,2577.58
542,2577.12
543,2581.99
544,2578.05
545,2583.58
546,2581.44
547,2579.66
548,2581.08
549,2576.41
550,2579.02
551,2581.53
552,2583.23
553,2579.67
554,2578.42
555,2576.59
556,2579.6
557,2583.14
558,2579.25
559,2578.13
560,2582.72
561,2581.51
562,2580.26
563,2580.64
564,2581.15
565,2576.64
566,2579.32
567,2578.04
568,2577.21
569,2580.48
570,2581.16
571,2582.7
572,2579.16
573,2578.88
574,2577.87
575,2577.59
576,2580.2
577,2576.72
578,2582.47
579,2580.81
580,2577.99
581,2577.79
582,2577.29
583,2582.92
584,2579.67
585,2581.52
586,2579.42
587,2578.95
588,2576.71
589,2577.44
590,2578.28
591,2576.8
592,2581.87
593,2579.35
594,2578.41
595,2581.65
596,2582.35
597,2581.37
598,2582.67
599,2582.82
600,2577.32
601,2579.44
602,2581.65
603,2577.9
604,2577.38
605,2583.37
606,2580.77
607,2578.89
608,2579.47
609,2578.06
610,2581.89
611,2580.44
612,2581.37
613,2580.4
614,2579.32
615,2579.88
616,2576.58
617,2579.18
618,2577.64
619,2579.36
620,2578.3
621,2577.88
622,2582.75
623,2578.79
624,2582.51
625,2580.81
626,2580.46
627,2582.45
628,2577.53
629,2582.25
630,2581.48
631,2582.9
632,2582.39
633,2583.32
634,2577.25
635,2583.5
636,2579.58
637,2578.66
638,2577.19
639,2582.4
640,2579.44
641,2578.68
642,2580.65
643,2580.98
644,2577.3
645,2580.56
646,2579.39
647,2581.87
648,2582.71
649,2583.51
650,2576.5
651,2579.17
652,2581.07
653,2577.21
654,2581.17
655,2577.22
656,2578.83
657,2580.77
658,2578.64
659,2580.58
660,2581.17
661,2576.72
662,2577.92
663,2576.67
664,2576.45
665,2577.55
666,2578.98
667,2578.62
668,2579.03
669,2582.89
670,2583.55
671,2582.15
672,2579.87
673,2578.15
674,2581.53
675,2580.38
676,2580.18
677,2582.31
678,2581.84
679,2580.1
680,2577.23
681,2582.76
682,2581.77
683,2581.75
684,2579.01
685,2577.01
686,2581.98
687,2583.51
688,2579.68
689,2577.98
690,2579.16
691,2577.92
692,2577.63
693,2576.67
694,2580.2
695,2580.52
696,2578.55
697,2579.88
698,2579.92
699,2576.55
700,2578.54
701,2577.7
702,2581.19
703,2576.84
704,2581.01
705,2578.48
706,2577.48
707,2581.75
708,2578.99
709,2582.65
710,2579.16
711,2580.7
712,2581.2
713,2579.87
714,2581.81
715,2582.6
716,2579.82
717,2580.27
718,2579.3
719,2581.4
720,2580.05
721,731.86
722,730.5
723,730.93
724,731.53
725,727.44
726,731.85
727,732.95
728,733.03
729,726.86
730,727.39
731,1728.71
732,1728.58
733,1728.73
734,1733.0
735,1731.86
736,1730.8
737,1732.16
738,1732.85
739,1729.43
740,1728.02
741,729.52
742,730.67
743,730.31
744,728.18
745,726.99
746,729.01
747,728.54
748,732.3
749,732.22
750,727.56
751,733.12
752,731.46
753,727.47
754,727.09
755,726.69
756,732.06
757,731.23
758,729.26
759,726.48
760,727.01
761,727.35
762,730.06
763,732.48
764,732.5
765,730.59
766,731.52
767,732.6
768,730.49
769,730.96
770,730.19
771,730.39
772,731.41
773,732.64
774,732.73
775,728.85
776,733.44
777,726.58
778,731.58
779,731.95
780,726.99
781,698.45
782,698.96
783,700.05
784,702.73
785,698.7
786,697.84
787,698.68
788,696.71
789,698.88
790,703.44
791,699.14
792,699.76
793,699.27
794,698.08
795,697.83
796,703.49
797,700.98
798,700.76
799,703.46
800,696.86
801,701.15
802,697.15
803,699.97
804,700.62
805,699.45
806,699.64
807,700.3
808,699.74
809,698.13
810,701.48
811,698.23
812,701.19
813,700.78
814,698.74
815,696.52
816,703.48
817,702.99
818,698.49
819,698.48
820,699.0
821,697.1
822,696.59
823,699.99
824,703.29
825,699.2
826,700.26
827,697.6
828,702.9
829,701.71
830,703.1
831,698.79
832,701.83
833,700.52
834,700.84
835,702.75
836,698.0
837,698.89
838,699.54
839,699.17
840,700.32
841,703.0
842,702.15
843,699.14
844,698.69
845,701.51
846,702.91
847,701.16
848,697.12
849,702.03
850,701.03
851,697.96
852,702.65
853,701.74
854,701.53
855,697.48
856,699.02
857,699.77
858,701.23
859,700.83
860,699.27
861,699.54
862,700.92
863,700.56
864,699.21
865,700.84
866,697.88
867,702.22
868,700.11
869,702.55
870,700.56
871,698.99
872,699.94
873,697.93
874,700.79
875,700.95
876,696.61
877,700.43
878,699.9
879,700.91
880,697.63
881,698.45
882,703.29
883,698.42
884,700.9
885,699.24
886,699.03
887,701.81
888,703.42
889,699.83
890,698.11
891,701.73
892,699.55
893,702.22
894,698.92
895,701.55
896,697.66
897,701.68
898,697.98
899,696.59
900,697.81
901,699.98
902,703.19
903,699.05
904,699.98
905,702.11
906,702.77
907,700.98
908,700.75
909,700.03
910,698.89
911,702.04
912,701.32
913,698.25
914,696.85
915,699.77
916,698.25
917,699.74
918,699.1
919,697.94
920,696.61
921,703.2
922,700.87
923,698.34
924,699.24
925,701.29
926,699.39
927,701.24
928,696.42
929,696.47
930,697.57
931,698.89
932,701.37
933,699.09
934,697.3
935,700.09
936,698.06
937,697.86
938,696.65
939,698.68
940,700.96
941,697.33
942,697.49
943,697.27
944,702.95
945,699.84
946,701.72
947,701.46
948,701.14
949,702.86
950,702.12
951,698.1
952,702.08
953,696.61
954,699.46
955,698.34
956,700.05
957,697.15
958,701.15
959,701.48
960,697.08
961,700.79
962,702.64
963,697.33
964,703.51
965,696.84
966,703.35
967,701.72
968,697.58
969,701.02
970,697.6
971,701.59
972,703.32
973,697.62
974,701.05
975,698.27
976,702.49
977,697.59
978,699.95
979,699.08
980,698.79
981,699.73
982,697.04
983,699.94
984,701.9
985,700.95
986,700.88
987,696.86
988,700.82
989,697.43
990,698.72
991,699.76
992,701.51
993,701.98
994,698.19
995,696.64
996,697.52
997,697.73
998,703.03
999,699.41
1000,702.56
1001,696.98
1002,698.33
1003,697.27
1004,701.57
1005,699.87
1006,696.44
1007,699.17
1008,703.34
1009,702.77
1010,699.71
1011,702.27
1012,698.3
1013,700.08
1014,700.37
1015,698.31
1016,701.93
1017,700.6
1018,702.05
1019,703.01
1020,700.08
1021,849.73
1022,848.36
1023,848.32
1024,846.97
1025,851.47
1026,847.75
1027,847.43
1028,851.97
1029,852.04
1030,848.62
1031,846.42
1032,848.05
1033,847.91
1034,848.54
1035,852.27
1036,848.1
1037,846.61
1038,849.91
1039,848.04
1040,849.58
1041,846.45
1042,852.78
1043,851.82
1044,847.56
1045,847.91
1046,852.68
1047,849.19
1048,853.21
1049,853.25
1050,847.29
1051,848.78
1052,851.2
1053,849.14
1054,848.19
1055,847.02
1056,852.36
1057,850.34
1058,851.95
1059,850.87
1060,846.43
1061,851.71
1062,848.53
1063,853.49
1064,848.56
1065,848.68
1066,850.36
1067,847.36
1068,848.37
1069,852.55
1070,848.6
1071,849.35
1072,848.72
1073,847.1
1074,853.11
1075,848.19
1076,852.09
1077,846.95
1078,848.61
1079,849.85
1080,848.52
1081,852.31
1082,850.09
1083,853.53
1084,851.69
1085,846.75
1086,850.6
1087,853.49
1088,851.13
1089,846.41
1090,849.12
1091,851.82
1092,852.59
1093,848.16
1094,850.02
1095,850.98
1096,848.57
1097,852.84
1098,848.46
1099,847.57
1100,851.96
1101,846.59
1102,850.57
1103,849.26
1104,847.9
1105,852.28
1106,849.84
1107,851.78
1108,851.48
1109,852.93
1110,853.52
1111,847.87
1112,847.22
1113,851.33
1114,850.02
1115,850.15
1116,853.24
1117,852.64
1118,847.69
1119,847.36
1120,849.0
1121,853.03
1122,849.12
1123,851.85
1124,848.26
1125,849.27
1126,849.7
1127,846.92
1128,847.23
1129,852.78
1130,849.26
1131,851.25
1132,848.22
1133,850.02
1134,850.3
1135,849.97
1136,847.43
1137,853.42
1138,846.65
1139,848.5
1140,849.5
1141,852.85
1142,847.17
1143,852.49
1144,848.43
1145,851.91
1146,853.36
1147,847.2
1148,853.26
1149,852.76
1150,846.84
1151,847.36
1152,852.06
1153,848.48
1154,849.05
1155,847.05
1156,848.07
1157,849.26
1158,850.64
1159,848.23
1160,849.95
1161,850.48
1162,850.27
1163,849.72
1164,850.3
1165,847.24
1166,851.92
1167,850.27
1168,852.28
1169,853.46
1170,852.46
1171,852.14
1172,852.88
1173,851.16
1174,851.82
1175,852.15
1176,847.72
1177,851.47
1178,851.73
1179,852.14
1180,850.31
1181,847.6
1182,846.62
1183,851.02
1184,848.83
1185,846.61
1186,846.86
1187,848.37
1188,849.84
1189,851.5
1190,851.63
1191,847.1
1192,851.64
1193,848.06
1194,848.69
1195,850.74
1196,853.59
1197,847.14
1198,853.55
1199,852.63
1200,848.39
1201,847.22
1202,850.86
1203,848.19
1204,847.45
1205,847.64
1206,847.34
1207,847.35
1208,852.47
1209,853.37
1210,850.6
1211,850.64
1212,849.56
1213,850.56
1214,852.43
1215,849.21
1216,849.86
1217,851.78
1218,850.22
1219,852.7
1220,849.73
1221,851.54
1222,848.08
1223,846.99
1224,848.96
1225,848.71
1226,850.81
1227,850.95
1228,849.25
1229,847.97
1230,853.27
1231,849.35
1232,849.15
1233,850.49
1234,847.09
1235,847.38
1236,852.34
1237,853.11
1238,847.51
1239,851.0
1240,851.24
1241,847.27
1242,850.12
1243,847.12
1244,852.17
