Minute | Consumption (W) - SCENARIO: Big Cleaning
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 350.85         
362    | 347.95         
363    | 346.98         
364    | 352.96         
365    | 348.90         
366    | 352.34         
367    | 349.67         
368    | 350.90         
369    | 348.78         
370    | 352.34         
371    | 347.03         
372    | 351.90         
373    | 352.06         
374    | 348.51         
375    | 347.39         
376    | 346.41         
377    | 346.75         
378    | 348.82         
379    | 346.41         
380    | 351.11         
381    | 352.69         
382    | 346.42         
383    | 349.59         
384    | 347.18         
385    | 351.06         
386    | 352.47         
387    | 349.11         
388    | 350.35         
389    | 347.43         
390    | 346.88         
391    | 2352.72        
392    | 2351.67        
393    | 2352.50        
394    | 2350.30        
395    | 2346.81        
396    | 348.63         
397    | 352.82         
398    | 349.13         
399    | 348.84         
400    | 349.62         
401    | 353.39         
402    | 349.94         
403    | 350.36         
404    | 351.12         
405    | 351.54         
406    | 353.49         
407    | 346.85         
408    | 349.68         
409    | 346.56         
410    | 350.68         
411    | 352.02         
412    | 352.86         
413    | 347.55         
414    | 352.47         
415    | 350.77         
416    | 350.74         
417    | 348.07         
418    | 349.77         
419    | 350.44         
420    | 352.45         
421    | 748.98         
422    | 747.21         
423    | 751.74         
424    | 748.28         
425    | 748.44         
426    | 751.05         
427    | 750.96         
428    | 751.77         
429    | 750.68         
430    | 748.69         
431    | 747.23         
432    | 751.86         
433    | 747.46         
434    | 748.62         
435    | 751.34         
436    | 748.27         
437    | 749.02         
438    | 747.78         
439    | 752.24         
440    | 752.62         
441    | 751.68         
442    | 751.48         
443    | 749.30         
444    | 748.81         
445    | 753.47         
446    | 752.53         
447    | 751.62         
448    | 751.13         
449    | 752.76         
450    | 750.93         
451    | 748.14         
452    | 746.88         
453    | 749.96         
454    | 751.03         
455    | 746.80         
456    | 748.67         
457    | 751.51         
458    | 747.58         
459    | 747.58         
460    | 748.79         
461    | 750.67         
462    | 747.96         
463    | 748.64         
464    | 748.65         
465    | 747.88         
466    | 747.00         
467    | 752.67         
468    | 749.70         
469    | 749.56         
470    | 748.18         
471    | 747.63         
472    | 749.14         
473    | 753.27         
474    | 752.42         
475    | 747.44         
476    | 753.51         
477    | 748.38         
478    | 750.40         
479    | 753.45         
480    | 749.95         
481    | 2748.64        
482    | 2752.41        
483    | 2747.53        
484    | 2753.51        
485    | 2748.50        
486    | 746.88         
487    | 750.90         
488    | 749.10         
489    | 749.47         
490    | 752.56         
491    | 748.19         
492    | 752.96         
493    | 752.12         
494    | 752.26         
495    | 749.11         
496    | 748.31         
497    | 746.79         
498    | 752.70         
499    | 748.83         
500    | 748.27         
501    | 748.24         
502    | 753.54         
503    | 751.06         
504    | 753.25         
505    | 746.45         
506    | 750.14         
507    | 747.22         
508    | 752.16         
509    | 749.33         
510    | 751.65         
511    | 752.29         
512    | 747.58         
513    | 749.71         
514    | 753.11         
515    | 746.59         
516    | 750.70         
517    | 752.56         
518    | 751.09         
519    | 747.55         
520    | 749.90         
521    | 747.94         
522    | 751.49         
523    | 748.21         
524    | 748.71         
525    | 751.18         
526    | 748.99         
527    | 752.08         
528    | 752.70         
529    | 747.91         
530    | 749.75         
531    | 750.99         
532    | 747.30         
533    | 750.23         
534    | 749.89         
535    | 748.53         
536    | 746.78         
537    | 752.80         
538    | 748.93         
539    | 752.81         
540    | 747.53         
541    | 2576.53        
542    | 2578.27        
543    | 2583.15        
544    | 2581.34        
545    | 2576.93        
546    | 2578.87        
547    | 2576.59        
548    | 2581.56        
549    | 2580.37        
550    | 2580.90        
551    | 2582.21        
552    | 2579.40        
553    | 2579.94        
554    | 2577.05        
555    | 2583.27        
556    | 2577.82        
557    | 2577.48        
558    | 2581.64        
559    | 2576.61        
560    | 2582.29        
561    | 2583.60        
562    | 2580.00        
563    | 2580.71        
564    | 2578.47        
565    | 2582.02        
566    | 2576.41        
567    | 2580.56        
568    | 2578.81        
569    | 2577.71        
570    | 2577.63        
571    | 2578.65        
572    | 2581.22        
573    | 2577.41        
574    | 2581.84        
575    | 2580.26        
576    | 2578.46        
577    | 2582.99        
578    | 2583.55        
579    | 2577.24        
580    | 2581.19        
581    | 2583.37        
582    | 2576.40        
583    | 2582.17        
584    | 2582.78        
585    | 2581.36        
586    | 2578.98        
587    | 2583.22        
588    | 2582.78        
589    | 2576.61        
590    | 2578.73        
591    | 2582.98        
592    | 2580.46        
593    | 2576.75        
594    | 2579.10        
595    | 2577.20        
596    | 2578.82        
597    | 2579.64        
598    | 2577.64        
599    | 2579.03        
600    | 2583.05        
601    | 2582.57        
602    | 2577.21        
603    | 2578.35        
604    | 2582.17        
605    | 2576.70        
606    | 2580.56        
607    | 2576.88        
608    | 2577.42        
609    | 2583.05        
610    | 2582.08        
611    | 2580.19        
612    | 2577.72        
613    | 2580.11        
614    | 2583.16        
615    | 2578.88        
616    | 2579.93        
617    | 2582.84        
618    | 2578.73        
619    | 2582.89        
620    | 2581.41        
621    | 2581.17        
622    | 2578.27        
623    | 2577.05        
624    | 2576.42        
625    | 2577.49        
626    | 2581.11        
627    | 2580.37        
628    | 2577.80        
629    | 2583.29        
630    | 2580.81        
631    | 2578.01        
632    | 2583.19        
633    | 2583.47        
634    | 2577.61        
635    | 2582.49        
636    | 2579.85        
637    | 2578.79        
638    | 2578.61        
639    | 2580.20        
640    | 2577.29        
641    | 2579.36        
642    | 2583.25        
643    | 2581.79        
644    | 2579.51        
645    | 2576.56        
646    | 2581.05        
647    | 2578.07        
648    | 2583.25        
649    | 2580.30        
650    | 2580.51        
651    | 2583.06        
652    | 2583.30        
653    | 2582.93        
654    | 2579.87        
655    | 2583.60        
656    | 2577.93        
657    | 2582.49        
658    | 2579.95        
659    | 2582.36        
660    | 2578.10        
661    | 2581.65        
662    | 2577.28        
663    | 2579.00        
664    | 2579.00        
665    | 2579.24        
666    | 2578.18        
667    | 2581.92        
668    | 2582.98        
669    | 2582.73        
670    | 2581.06        
671    | 2579.94        
672    | 2578.09        
673    | 2576.47        
674    | 2583.47        
675    | 2577.44        
676    | 2579.03        
677    | 2582.65        
678    | 2581.35        
679    | 2580.59        
680    | 2577.29        
681    | 2576.96        
682    | 2579.41        
683    | 2579.02        
684    | 2581.26        
685    | 2579.18        
686    | 2578.87        
687    | 2578.75        
688    | 2582.88        
689    | 2581.57        
690    | 2578.46        
691    | 2577.72        
692    | 2580.79        
693    | 2582.61        
694    | 2577.48        
695    | 2581.14        
696    | 2579.88        
697    | 2580.58        
698    | 2578.76        
699    | 2579.03        
700    | 2581.92        
701    | 2579.41        
702    | 2579.99        
703    | 2581.44        
704    | 2581.66        
705    | 2579.63        
706    | 2579.95        
