Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,347.92
362,347.79
363,346.48
364,347.15
365,348.15
366,346.66
367,346.76
368,352.55
369,346.72
370,347.74
371,348.19
372,348.28
373,353.12
374,352.43
375,351.05
376,346.66
377,350.33
378,346.67
379,350.22
380,349.19
381,351.83
382,348.41
383,351.58
384,352.22
385,349.64
386,352.14
387,349.85
388,347.66
389,350.36
390,347.65
391,2353.47
392,2348.64
393,2347.47
394,2347.14
395,2351.91
396,351.08
397,348.98
398,348.76
399,349.04
400,353.37
401,351.62
402,353.2
403,346.72
404,347.52
405,353.15
406,348.81
407,346.64
408,346.85
409,353.16
410,350.23
411,348.58
412,351.33
413,351.79
414,353.49
415,353.41
416,350.23
417,348.49
418,351.05
419,352.07
420,348.02
421,752.85
422,753.12
423,752.4
424,746.75
425,752.73
426,751.79
427,749.14
428,752.05
429,752.87
430,748.55
431,751.92
432,750.1
433,749.0
434,753.17
435,748.64
436,753.38
437,750.27
438,749.02
439,748.86
440,750.65
441,749.52
442,751.63
443,751.95
444,747.78
445,748.82
446,751.75
447,746.55
448,747.8
449,753.15
450,752.13
451,752.47
452,751.67
453,749.96
454,749.83
455,748.74
456,751.48
457,749.3
458,751.5
459,747.46
460,752.41
461,751.66
462,750.04
463,750.61
464,747.53
465,750.83
466,752.14
467,752.28
468,749.71
469,749.28
470,750.4
471,749.25
472,747.76
473,751.51
474,747.94
475,752.14
476,753.56
477,751.93
478,749.01
479,747.33
480,746.56
481,2747.42
482,2752.34
483,2753.53
484,2750.41
485,2751.88
486,751.22
487,748.63
488,753.17
489,753.18
490,748.05
491,752.9
492,747.02
493,751.93
494,753.38
495,747.49
496,748.8
497,749.94
498,751.38
499,752.15
500,747.31
501,748.57
502,751.66
503,752.76
504,749.25
505,752.56
506,746.95
507,752.26
508,750.27
509,746.67
510,747.95
511,753.15
512,749.43
513,752.94
514,746.55
515,748.17
516,747.42
517,748.6
518,747.03
519,751.95
520,749.76
521,752.96
522,753.23
523,748.56
524,751.91
525,753.45
526,751.75
527,753.4
528,747.58
529,747.32
530,747.93
531,752.41
532,753.28
533,752.11
534,747.12
535,749.5
536,747.04
537,752.89
538,747.5
539,750.82
540,749.2
541,582.85
542,577.29
543,583.34
544,581.14
545,580.39
546,578.26
547,582.53
548,583.29
549,578.49
550,583.24
551,578.71
552,578.24
553,579.72
554,579.27
555,576.74
556,578.1
557,581.47
558,580.31
559,580.23
560,582.02
561,580.3
562,577.87
563,581.07
564,583.4
565,580.36
566,580.51
567,578.15
568,577.07
569,578.12
570,576.88
571,579.42
572,581.2
573,578.62
574,576.67
575,577.64
576,582.99
577,577.72
578,583.37
579,581.51
580,577.32
581,576.43
582,576.69
583,581.98
584,580.57
585,579.83
586,583.06
587,581.46
588,579.21
589,578.01
590,581.77
591,577.91
592,578.17
593,580.56
594,578.45
595,581.55
596,582.85
597,579.93
598,579.38
599,580.11
600,579.87
601,580.13
602,582.09
603,576.81
604,583.44
605,579.68
606,577.27
607,576.49
608,580.11
609,582.81
610,577.32
611,582.94
612,576.9
613,582.02
614,578.52
615,576.92
616,579.04
617,580.65
618,577.0
619,583.31
620,580.02
621,581.97
622,580.65
623,582.74
624,580.44
625,579.69
626,581.69
627,579.43
628,576.5
629,577.64
630,578.12
631,582.72
632,577.2
633,582.38
634,577.34
635,582.49
636,580.57
637,579.19
638,576.72
639,578.47
640,579.22
641,578.18
642,578.55
643,579.49
644,577.79
645,580.63
646,578.04
647,577.95
648,581.19
649,581.18
650,580.04
651,579.4
652,582.69
653,579.46
654,579.37
655,578.58
656,577.89
657,576.9
658,576.85
659,579.7
660,581.73
661,582.2
662,582.22
663,583.08
664,582.23
665,576.84
666,581.47
667,580.82
668,576.84
669,580.72
670,582.81
671,581.27
672,579.52
673,582.73
674,580.27
675,582.06
676,577.01
677,576.93
678,576.45
679,583.25
680,582.23
681,578.85
682,580.73
683,579.57
684,580.33
685,582.45
686,577.95
687,582.36
688,579.62
689,583.0
690,580.48
691,579.48
692,582.83
693,581.75
694,582.72
695,577.6
696,578.79
697,576.99
698,578.95
699,583.48
700,579.79
701,576.48
702,583.26
703,577.99
704,578.47
705,577.54
706,582.34
707,580.72
708,580.78
709,579.77
710,583.33
711,576.67
712,582.33
713,581.92
714,582.39
715,576.98
716,576.64
717,577.83
718,576.8
719,580.99
720,578.32
721,727.35
722,730.29
723,726.74
724,732.47
725,732.33
726,731.55
727,728.26
728,733.32
729,732.11
730,730.62
731,1727.09
732,1729.21
733,1729.17
734,1730.67
735,1728.54
736,1729.84
737,1728.99
738,1726.55
739,1729.13
740,1726.88
741,732.5
742,729.81
743,730.35
744,726.63
745,732.94
746,731.46
747,727.35
748,728.7
749,728.94
750,731.13
751,731.16
752,729.86
753,727.54
754,731.69
755,733.41
756,730.8
757,731.97
758,732.74
759,731.08
760,728.65
761,731.53
762,731.01
763,728.54
764,729.02
765,730.66
766,726.76
767,731.88
768,733.2
769,731.97
770,731.12
771,731.48
772,729.6
773,729.05
774,730.91
775,732.14
776,727.32
777,728.22
778,726.86
779,729.64
780,731.88
781,700.77
782,699.34
783,702.46
784,701.32
785,701.14
786,703.21
787,699.02
788,698.99
789,699.89
790,701.08
791,697.77
792,699.62
793,698.72
794,702.55
795,697.62
796,697.26
797,698.43
798,701.46
799,700.93
800,700.3
801,697.13
802,698.57
803,698.33
804,701.28
805,700.85
806,702.5
807,697.11
808,700.18
809,696.95
810,703.1
811,700.87
812,702.65
813,697.6
814,698.85
815,697.59
816,700.29
817,700.29
818,703.2
819,702.95
820,699.55
821,700.84
822,702.7
823,698.16
824,698.01
825,697.84
826,700.08
827,702.92
828,703.42
829,699.06
830,703.44
831,702.35
832,702.63
833,696.63
834,696.42
835,702.99
836,702.79
837,698.87
838,701.76
839,703.38
840,703.18
841,697.34
842,703.3
843,699.99
844,697.96
845,698.26
846,700.17
847,700.96
848,698.53
849,701.3
850,701.58
851,700.09
852,697.42
853,699.78
854,701.98
855,703.42
856,697.1
857,699.81
858,697.51
859,696.63
860,700.37
861,697.16
862,700.06
863,701.14
864,700.87
865,701.24
866,702.41
867,703.05
868,698.65
869,698.31
870,698.86
871,697.29
872,700.84
873,696.87
874,703.15
875,699.91
876,697.07
877,699.74
878,700.96
879,701.78
880,697.01
881,697.26
882,703.2
883,699.95
884,696.63
885,697.68
886,702.66
887,697.01
888,701.33
889,699.04
890,697.3
891,697.17
892,699.38
893,696.78
894,696.97
895,700.35
896,697.1
897,696.99
898,701.15
899,702.19
900,702.03
901,696.51
902,701.16
903,701.73
904,701.94
905,700.72
906,696.67
907,700.71
908,699.74
909,697.84
910,699.07
911,699.69
912,701.67
913,700.56
914,702.43
915,703.36
916,701.62
917,698.32
918,697.1
919,703.59
920,698.33
921,698.56
922,702.58
923,702.5
924,697.45
925,698.38
926,696.44
927,698.16
928,696.43
929,696.81
930,698.14
931,697.36
932,697.95
933,700.78
934,699.91
935,697.68
936,698.93
937,701.77
938,696.43
939,700.26
940,696.78
941,701.17
942,702.56
943,701.6
944,701.57
945,696.93
946,700.43
947,702.72
948,698.79
949,701.69
950,700.85
951,701.59
952,698.47
953,701.89
954,697.11
955,699.69
956,701.96
957,700.7
958,697.56
959,698.9
960,703.03
961,759.11
962,757.93
963,757.46
964,758.31
965,761.2
966,760.96
967,756.93
968,762.36
969,759.18
970,758.09
971,757.96
972,761.45
973,759.58
974,757.87
975,760.36
976,757.91
977,762.21
978,758.63
979,757.64
980,762.78
981,760.02
982,758.71
983,760.04
984,760.43
985,758.75
986,757.49
987,759.93
988,760.28
989,756.95
990,763.52
991,760.44
992,759.68
993,760.75
994,761.53
995,760.53
996,759.63
997,760.44
998,757.14
999,763.04
1000,760.0
1001,758.42
1002,758.27
1003,760.76
1004,757.93
1005,759.32
1006,756.44
1007,759.06
1008,762.46
1009,760.43
1010,761.13
1011,762.48
1012,761.53
1013,757.19
1014,759.48
1015,761.78
1016,760.28
1017,763.13
1018,760.42
1019,759.32
1020,762.33
1021,910.74
1022,907.58
1023,910.42
1024,911.7
1025,911.46
1026,907.62
1027,911.58
1028,912.9
1029,908.55
1030,908.78
1031,908.68
1032,909.53
1033,909.29
1034,913.07
1035,912.12
1036,908.39
1037,912.99
1038,912.47
1039,909.11
1040,913.29
1041,908.54
1042,907.97
1043,908.0
1044,910.69
1045,911.06
1046,908.82
1047,907.85
1048,909.12
1049,910.83
1050,912.51
1051,909.42
1052,908.98
1053,909.3
1054,908.79
1055,908.3
1056,911.15
1057,909.17
1058,911.05
1059,907.06
1060,913.21
1061,910.29
1062,906.81
1063,907.5
1064,907.21
1065,909.86
1066,908.9
1067,907.57
1068,910.78
1069,912.31
1070,907.57
1071,912.39
1072,912.83
1073,911.99
1074,907.8
1075,907.17
1076,909.97
1077,911.56
1078,908.47
1079,907.51
1080,909.5
1081,849.97
1082,847.5
1083,852.55
1084,850.32
1085,851.32
1086,852.09
1087,851.21
1088,847.26
1089,853.03
1090,848.39
1091,850.57
1092,853.56
1093,847.55
1094,848.33
1095,849.03
1096,849.0
1097,852.92
1098,847.96
1099,850.59
1100,851.21
1101,850.12
1102,848.47
1103,847.29
1104,848.91
1105,851.47
1106,848.47
1107,851.79
1108,850.88
1109,850.31
1110,852.59
1111,848.5
1112,850.88
1113,847.21
1114,852.21
1115,846.82
1116,853.59
1117,851.15
1118,849.29
1119,849.2
1120,853.55
1121,852.25
1122,848.47
1123,847.74
1124,850.46
1125,851.59
1126,847.88
1127,849.58
1128,851.49
1129,848.81
1130,848.4
1131,848.35
1132,849.64
1133,850.74
1134,853.58
1135,850.92
1136,849.6
1137,851.24
1138,846.52
1139,851.28
1140,853.41
1141,848.69
1142,853.32
1143,850.51
1144,852.69
1145,850.75
1146,851.27
1147,849.35
1148,851.03
1149,847.65
1150,852.43
1151,847.73
1152,852.32
1153,853.16
1154,853.4
1155,850.03
1156,849.64
1157,849.96
1158,848.26
1159,848.22
1160,847.95
1161,847.82
1162,853.12
1163,851.61
1164,850.92
1165,846.48
1166,847.01
1167,848.15
1168,847.42
1169,847.33
1170,849.49
1171,849.13
1172,848.83
1173,848.09
1174,850.08
1175,847.83
1176,853.21
1177,850.07
1178,850.33
1179,847.73
1180,849.14
1181,849.2
1182,848.98
1183,846.96
1184,849.96
1185,847.65
1186,846.52
1187,847.73
1188,847.49
1189,850.15
1190,849.56
1191,850.66
1192,846.71
1193,852.17
1194,851.83
1195,847.76
1196,852.27
1197,849.6
1198,849.62
1199,850.15
1200,850.59
1201,853.45
1202,850.89
1203,852.37
1204,846.72
1205,851.2
1206,852.03
1207,850.9
1208,853.39
1209,850.59
1210,849.45
1211,846.87
1212,852.68
1213,848.1
1214,849.83
1215,852.4
1216,853.37
1217,850.46
1218,852.12
1219,848.36
1220,850.44
1221,852.11
1222,852.73
1223,847.11
1224,853.26
1225,846.47
1226,851.01
1227,848.92
1228,850.11
1229,848.45
1230,851.54
1231,848.18
1232,848.14
1233,846.66
1234,846.81
1235,848.69
1236,850.54
1237,851.45
1238,846.5
1239,847.78
1240,846.42
1241,849.56
1242,853.48
1243,848.13
1244,852.4
1245,847.98
1246,852.2
1247,851.9
1248,852.51
1249,852.87
1250,850.23
1251,849.04
1252,851.25
1253,847.23
1254,848.34
1255,850.46
1256,852.17
1257,847.78
1258,851.52
1259,848.87
1260,852.35
1261,447.9
1262,448.46
1263,452.81
1264,451.68
1265,452.31
1266,451.3
1267,451.5
1268,452.62
1269,449.85
