Minute | Consumption (W) - SCENARIO: Computer Hobby Session
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 353.15         
362    | 348.19         
363    | 347.02         
364    | 349.76         
365    | 349.62         
366    | 347.75         
367    | 352.27         
368    | 346.44         
369    | 347.39         
370    | 350.97         
371    | 350.30         
372    | 350.73         
373    | 350.16         
374    | 348.72         
375    | 346.70         
376    | 352.43         
377    | 346.81         
378    | 346.57         
379    | 351.39         
380    | 349.87         
381    | 348.94         
382    | 349.21         
383    | 349.83         
384    | 348.54         
385    | 352.72         
386    | 348.57         
387    | 352.16         
388    | 352.71         
389    | 348.95         
390    | 346.85         
391    | 2348.11        
392    | 2350.63        
393    | 2351.48        
394    | 2346.94        
395    | 2350.53        
396    | 348.98         
397    | 352.63         
398    | 349.70         
399    | 352.91         
400    | 352.57         
401    | 351.87         
402    | 347.08         
403    | 353.42         
404    | 351.12         
405    | 350.95         
406    | 347.92         
407    | 346.43         
408    | 347.98         
409    | 347.72         
410    | 348.37         
411    | 347.20         
412    | 351.01         
413    | 350.60         
414    | 350.89         
415    | 347.55         
416    | 352.11         
417    | 349.10         
418    | 352.27         
419    | 348.61         
420    | 348.69         
421    | 752.10         
422    | 749.68         
423    | 752.71         
424    | 752.77         
425    | 749.84         
426    | 747.16         
427    | 748.40         
428    | 751.98         
429    | 746.44         
430    | 752.89         
431    | 753.42         
432    | 753.37         
433    | 749.21         
434    | 751.28         
435    | 752.99         
436    | 748.54         
437    | 750.82         
438    | 751.32         
439    | 748.73         
440    | 750.80         
441    | 751.10         
442    | 747.36         
443    | 747.10         
444    | 751.29         
445    | 752.21         
446    | 748.54         
447    | 748.42         
448    | 746.43         
449    | 746.51         
450    | 747.32         
451    | 748.56         
452    | 751.38         
453    | 748.82         
454    | 752.28         
455    | 746.65         
456    | 750.41         
457    | 748.23         
458    | 750.47         
459    | 751.97         
460    | 751.10         
461    | 747.60         
462    | 747.94         
463    | 750.31         
464    | 747.79         
465    | 749.33         
466    | 751.96         
467    | 751.04         
468    | 747.58         
469    | 750.83         
470    | 747.88         
471    | 750.95         
472    | 750.18         
473    | 753.12         
474    | 753.27         
475    | 750.42         
476    | 748.42         
477    | 750.45         
478    | 747.74         
479    | 753.08         
480    | 748.69         
481    | 2749.01        
482    | 2752.52        
483    | 2752.41        
484    | 2753.33        
485    | 2748.59        
486    | 752.84         
487    | 752.40         
488    | 752.04         
489    | 751.41         
490    | 748.94         
491    | 748.17         
492    | 748.03         
493    | 751.51         
494    | 748.04         
495    | 746.87         
496    | 750.69         
497    | 751.01         
498    | 749.32         
499    | 747.30         
500    | 749.78         
501    | 746.42         
502    | 749.07         
503    | 753.51         
504    | 752.65         
505    | 748.03         
506    | 748.71         
507    | 752.98         
508    | 749.25         
509    | 748.12         
510    | 746.99         
511    | 752.36         
512    | 746.92         
513    | 753.29         
514    | 749.08         
515    | 746.47         
516    | 748.40         
517    | 752.42         
518    | 753.30         
519    | 750.07         
520    | 746.84         
521    | 751.36         
522    | 750.16         
523    | 753.06         
524    | 751.72         
525    | 748.65         
526    | 748.97         
527    | 748.53         
528    | 749.70         
529    | 746.62         
530    | 749.66         
531    | 752.24         
532    | 749.33         
533    | 749.08         
534    | 750.31         
535    | 747.39         
536    | 752.92         
537    | 747.57         
538    | 746.97         
539    | 749.15         
540    | 746.95         
541    | 578.29         
542    | 580.94         
543    | 578.04         
544    | 577.58         
545    | 578.64         
546    | 578.69         
547    | 577.35         
548    | 577.92         
549    | 582.52         
550    | 579.62         
551    | 582.82         
552    | 580.86         
553    | 579.85         
554    | 582.03         
555    | 579.43         
556    | 581.51         
557    | 582.06         
558    | 580.53         
559    | 580.09         
560    | 579.10         
561    | 583.11         
562    | 579.58         
563    | 576.42         
564    | 580.00         
565    | 579.85         
566    | 577.00         
567    | 576.58         
568    | 582.84         
569    | 583.13         
570    | 576.41         
571    | 577.93         
572    | 581.18         
573    | 582.39         
574    | 577.76         
575    | 582.52         
576    | 580.35         
577    | 582.87         
578    | 579.35         
579    | 580.61         
580    | 578.29         
581    | 580.64         
582    | 581.93         
583    | 579.42         
584    | 579.42         
585    | 582.57         
586    | 580.99         
587    | 582.59         
588    | 581.22         
589    | 581.10         
590    | 582.04         
591    | 580.08         
592    | 581.87         
593    | 581.00         
594    | 582.48         
595    | 576.42         
596    | 583.02         
597    | 580.43         
598    | 577.30         
599    | 578.63         
600    | 576.42         
601    | 578.04         
602    | 583.10         
603    | 582.09         
604    | 580.99         
605    | 580.69         
606    | 582.32         
607    | 577.63         
608    | 579.83         
609    | 580.61         
610    | 578.56         
611    | 582.82         
612    | 581.96         
613    | 576.58         
614    | 580.91         
615    | 580.73         
616    | 579.07         
617    | 580.04         
618    | 578.07         
619    | 582.29         
620    | 578.26         
621    | 580.14         
622    | 578.64         
623    | 579.88         
624    | 579.77         
625    | 581.01         
626    | 580.94         
627    | 582.97         
628    | 580.80         
629    | 577.86         
630    | 578.00         
631    | 577.86         
632    | 583.29         
633    | 580.87         
634    | 578.41         
635    | 580.05         
636    | 578.72         
637    | 582.14         
638    | 578.59         
639    | 580.30         
640    | 583.49         
641    | 577.73         
642    | 579.68         
643    | 579.74         
644    | 577.20         
645    | 578.95         
646    | 576.70         
647    | 581.00         
648    | 579.47         
649    | 582.76         
650    | 580.23         
651    | 577.31         
652    | 580.48         
653    | 581.07         
654    | 583.34         
655    | 579.72         
656    | 578.44         
657    | 578.71         
658    | 577.26         
659    | 577.11         
660    | 578.01         
661    | 582.22         
662    | 576.52         
663    | 582.51         
664    | 580.77         
665    | 578.82         
666    | 577.53         
667    | 578.67         
668    | 582.79         
669    | 580.46         
670    | 576.66         
671    | 579.36         
672    | 578.65         
673    | 583.59         
674    | 579.45         
675    | 579.12         
676    | 577.32         
677    | 583.26         
678    | 583.54         
679    | 578.35         
680    | 579.72         
681    | 577.92         
682    | 580.29         
683    | 578.31         
684    | 583.43         
685    | 579.68         
686    | 582.51         
687    | 582.84         
688    | 583.50         
689    | 582.03         
690    | 581.39         
691    | 581.61         
692    | 583.58         
693    | 583.34         
694    | 583.41         
695    | 580.61         
696    | 580.27         
697    | 578.88         
698    | 579.82         
699    | 580.74         
700    | 579.65         
701    | 579.86         
702    | 579.27         
703    | 581.44         
704    | 579.09         
705    | 580.71         
706    | 582.65         
707    | 582.25         
708    | 582.85         
709    | 582.20         
710    | 578.13         
711    | 577.16         
712    | 579.32         
713    | 579.45         
714    | 581.22         
715    | 582.26         
716    | 581.26         
717    | 576.65         
718    | 582.29         
719    | 581.99         
720    | 576.92         
721    | 731.83         
722    | 729.43         
723    | 732.68         
724    | 730.51         
