Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,352.28
362,347.77
363,350.34
364,352.86
365,352.67
366,353.33
367,352.84
368,349.41
369,351.06
370,347.96
371,347.91
372,353.4
373,352.25
374,347.03
375,349.79
376,346.9
377,351.66
378,348.53
379,347.28
380,352.83
381,352.67
382,353.09
383,350.81
384,346.59
385,349.25
386,351.78
387,350.41
388,348.59
389,350.82
390,353.19
391,2352.38
392,2348.15
393,2351.79
394,2350.75
395,2349.86
396,349.07
397,348.15
398,351.38
399,352.08
400,352.71
401,350.26
402,348.94
403,347.18
404,346.73
405,350.22
406,352.13
407,347.43
408,351.25
409,350.33
410,346.41
411,350.99
412,352.63
413,352.35
414,349.2
415,351.69
416,349.23
417,347.4
418,351.11
419,351.68
420,346.58
421,753.24
422,750.57
423,752.81
424,750.26
425,747.46
426,753.0
427,748.49
428,746.86
429,748.13
430,750.13
431,748.28
432,748.39
433,751.88
434,751.43
435,749.45
436,747.46
437,747.94
438,749.15
439,753.22
440,752.61
441,753.04
442,752.1
443,746.58
444,751.74
445,751.67
446,749.77
447,750.58
448,750.55
449,753.2
450,748.77
451,750.76
452,749.18
453,751.13
454,751.63
455,751.2
456,749.87
457,749.24
458,749.43
459,746.77
460,753.53
461,747.94
462,751.95
463,751.11
464,751.58
465,753.1
466,751.27
467,752.79
468,749.43
469,746.99
470,750.78
471,749.21
472,752.16
473,749.97
474,748.29
475,753.26
476,750.75
477,749.8
478,751.79
479,748.85
480,749.17
481,2749.55
482,2751.73
483,2748.88
484,2753.25
485,2748.47
486,749.87
487,751.56
488,746.82
489,746.99
490,750.73
491,751.24
492,746.72
493,747.16
494,752.06
495,752.61
496,748.16
497,753.37
498,748.32
499,746.41
500,752.78
501,747.67
502,747.7
503,746.75
504,748.57
505,747.27
506,751.26
507,748.13
508,751.35
509,751.47
510,746.9
511,748.07
512,751.51
513,747.9
514,749.88
515,750.22
516,749.26
517,749.97
518,752.11
519,753.4
520,752.49
521,752.38
522,753.11
523,747.37
524,753.02
525,752.93
526,751.34
527,750.81
528,747.12
529,746.56
530,752.2
531,748.34
532,752.53
533,748.48
534,750.94
535,752.33
536,748.54
537,748.88
538,748.1
539,749.98
540,751.8
541,580.1
542,576.41
543,579.9
544,577.38
545,582.97
546,582.46
547,581.09
548,580.57
549,581.89
550,583.55
551,582.39
552,581.6
553,576.88
554,581.17
555,577.0
556,581.01
557,580.91
558,582.65
559,578.48
560,580.43
561,577.73
562,583.52
563,577.8
564,580.56
565,578.89
566,578.16
567,577.86
568,583.16
569,576.42
570,578.78
571,578.98
572,579.85
573,583.59
574,578.98
575,582.9
576,582.39
577,582.3
578,581.36
579,578.4
580,582.66
581,579.07
582,577.79
583,582.87
584,583.03
585,578.59
586,582.47
587,576.68
588,581.61
589,578.2
590,582.15
591,583.33
592,579.63
593,578.91
594,579.07
595,578.99
596,578.07
597,581.43
598,577.54
599,581.4
600,576.83
601,578.98
602,578.54
603,578.44
604,576.63
605,582.73
606,582.39
607,582.83
608,582.96
609,579.23
610,577.53
611,580.8
612,577.46
613,578.47
614,578.38
615,579.68
616,583.36
617,579.6
618,583.29
619,580.6
620,582.82
621,579.38
622,583.0
623,579.47
624,582.58
625,580.42
626,580.32
627,578.99
628,583.35
629,580.07
630,579.22
631,576.99
632,579.69
633,578.4
634,581.27
635,579.84
636,579.73
637,581.73
638,577.98
639,579.32
640,580.61
641,576.63
642,576.85
643,578.3
644,579.47
645,582.15
646,577.44
647,580.43
648,578.51
649,579.74
650,577.54
651,581.23
652,577.19
653,578.67
654,578.8
655,580.83
656,576.92
657,581.31
658,577.81
659,577.45
660,576.43
661,578.34
662,576.45
663,582.61
664,581.51
665,579.2
666,581.84
667,581.87
668,580.55
669,581.35
670,583.31
671,582.57
672,582.06
673,578.54
674,578.31
675,579.68
676,581.01
677,580.7
678,582.4
679,578.65
680,580.1
681,583.53
682,582.96
683,580.54
684,577.03
685,579.92
686,577.83
687,579.9
688,582.93
689,581.35
690,580.78
691,582.89
692,577.01
693,583.4
694,579.74
695,577.52
696,582.46
697,578.13
698,577.84
699,580.65
700,581.55
701,583.53
702,579.76
703,580.05
704,577.72
705,580.55
706,582.43
707,577.17
708,578.66
709,582.5
710,583.36
711,583.15
712,576.93
713,578.62
714,580.68
715,579.98
716,580.1
717,578.54
718,580.67
719,583.27
720,583.53
721,730.12
722,729.83
723,729.06
724,730.08
725,731.11
726,733.18
727,731.04
728,729.58
729,732.14
730,727.92
731,1727.39
732,1732.88
733,1727.71
734,1730.44
735,1733.54
736,1728.45
737,1731.74
738,1733.36
739,1728.52
740,1727.38
741,732.24
742,728.51
743,729.92
744,728.05
745,727.22
746,729.26
747,729.55
748,727.15
749,729.75
750,730.8
751,731.78
752,731.74
753,730.21
754,727.57
755,728.91
756,729.78
757,728.19
758,726.7
759,731.18
760,728.51
761,729.69
762,729.22
763,729.96
764,728.46
765,730.26
766,730.56
767,732.49
768,728.22
769,733.54
770,731.61
771,729.09
772,732.85
773,731.79
774,733.49
775,726.73
776,728.42
777,730.13
778,733.3
779,732.16
780,727.71
781,702.2
782,703.44
783,701.13
784,697.88
785,701.45
786,698.34
787,698.27
788,696.56
789,702.73
790,698.12
791,699.98
792,697.08
793,703.36
794,696.44
795,697.19
796,703.43
797,699.27
798,703.15
799,701.44
800,698.75
801,696.93
802,698.23
803,699.83
804,701.35
805,702.89
806,703.6
807,698.65
808,699.78
809,701.96
810,697.51
811,696.77
812,700.19
813,698.46
814,697.93
815,701.88
816,697.83
817,696.51
818,702.05
819,703.55
820,702.85
821,701.94
822,697.19
823,697.37
824,696.98
825,698.87
826,699.54
827,701.52
828,698.01
829,701.34
830,697.99
831,699.77
832,703.28
833,698.38
834,700.13
835,700.05
836,702.47
837,702.75
838,698.81
839,702.8
840,698.92
841,701.13
842,699.47
843,702.76
844,703.49
845,696.67
846,698.17
847,703.43
848,702.59
849,698.31
850,702.54
851,698.77
852,699.14
853,699.71
854,697.77
855,702.61
856,697.67
857,699.43
858,698.97
859,697.24
860,701.38
861,696.5
862,701.26
863,696.94
864,698.45
865,696.53
866,697.43
867,703.1
868,701.69
869,703.34
870,703.27
871,698.41
872,702.27
873,698.6
874,703.18
875,703.37
876,697.22
877,701.48
878,702.93
879,696.89
880,703.16
881,702.79
882,703.18
883,702.08
884,702.49
885,699.3
886,698.41
887,701.69
888,703.38
889,701.92
890,702.38
891,702.44
892,697.05
893,698.6
894,700.82
895,699.21
896,700.16
897,699.65
898,703.5
899,698.28
900,697.94
901,700.4
902,702.43
903,699.0
904,698.65
905,696.75
906,703.18
907,703.0
908,702.0
909,696.96
910,702.68
911,697.68
912,702.11
913,699.71
914,698.45
915,698.15
916,697.32
917,703.02
918,701.91
919,702.7
920,699.44
921,703.47
922,700.76
923,697.71
924,701.3
925,698.25
926,700.44
927,699.43
928,696.41
929,697.23
930,696.43
931,700.29
932,702.56
933,703.39
934,699.83
935,702.25
936,699.4
937,701.86
938,700.33
939,703.13
940,696.54
941,702.67
942,702.5
943,699.15
944,701.5
945,699.95
946,702.8
947,700.58
948,698.52
949,701.0
950,696.8
951,702.23
952,696.66
953,701.16
954,703.42
955,701.2
956,698.21
957,702.29
958,697.94
959,702.64
960,701.6
961,701.34
962,701.7
963,696.91
964,697.78
965,697.09
966,696.65
967,696.99
968,701.24
969,699.68
970,698.14
971,696.46
972,699.66
973,701.13
974,700.5
975,699.8
976,699.26
977,700.94
978,697.05
979,696.74
980,701.52
981,697.49
982,702.78
983,700.12
984,698.92
985,698.77
986,697.72
987,700.78
988,696.86
989,703.51
990,702.41
991,698.19
992,697.9
993,696.91
994,697.12
995,698.85
996,702.85
997,700.52
998,697.11
999,700.71
1000,698.05
1001,700.52
1002,699.42
1003,698.1
1004,698.5
1005,701.61
1006,697.78
1007,698.88
1008,699.86
1009,699.15
1010,703.19
1011,701.94
1012,700.11
1013,696.48
1014,702.79
1015,696.42
1016,699.76
1017,698.81
1018,699.16
1019,703.36
1020,696.8
1021,847.11
1022,848.59
1023,850.91
1024,851.36
1025,846.78
1026,850.33
1027,847.96
1028,853.26
1029,850.08
1030,851.63
1031,850.8
1032,847.99
1033,849.78
1034,849.86
1035,852.23
1036,852.04
1037,849.95
1038,848.96
1039,847.1
1040,848.18
1041,849.35
1042,853.12
1043,852.91
1044,853.41
1045,849.9
1046,847.37
1047,852.61
1048,850.37
1049,847.23
1050,848.48
1051,848.65
1052,853.49
1053,849.75
1054,851.48
1055,848.3
1056,852.63
1057,849.53
1058,849.34
1059,846.8
1060,848.19
1061,852.57
1062,846.65
1063,853.29
1064,848.69
1065,849.9
1066,847.29
1067,851.04
1068,846.83
1069,853.09
1070,850.13
1071,847.16
1072,850.42
1073,853.4
1074,846.88
1075,847.53
1076,850.18
1077,849.46
1078,849.34
1079,846.53
1080,846.99
1081,848.08
1082,849.39
1083,848.67
1084,848.93
1085,847.78
1086,847.73
1087,850.87
1088,848.2
1089,849.53
1090,850.45
1091,852.03
1092,847.86
1093,850.65
1094,848.63
1095,849.5
1096,851.26
1097,851.88
1098,853.15
1099,852.48
1100,847.02
1101,847.21
1102,847.65
1103,846.59
1104,853.31
1105,846.75
1106,850.78
1107,852.6
1108,846.44
1109,849.26
1110,847.77
1111,846.73
1112,848.16
1113,847.27
1114,850.45
1115,851.33
1116,849.36
1117,847.48
1118,853.56
1119,847.31
1120,852.9
1121,848.97
1122,851.94
1123,847.14
1124,850.22
1125,852.7
1126,849.39
1127,848.78
1128,850.37
1129,847.17
1130,847.67
1131,851.93
1132,850.19
1133,852.18
1134,853.59
1135,847.59
1136,850.55
1137,847.52
1138,848.61
1139,852.18
1140,851.34
1141,848.67
1142,851.68
1143,847.37
1144,847.71
1145,847.51
1146,847.16
1147,851.62
1148,849.1
1149,851.18
1150,847.18
1151,849.97
1152,851.22
1153,852.0
1154,849.46
1155,846.69
1156,848.46
1157,850.9
1158,853.19
1159,851.55
1160,847.87
1161,849.88
1162,847.45
1163,851.39
1164,847.82
1165,850.42
1166,849.78
1167,847.48
1168,849.47
1169,848.52
1170,847.44
1171,849.55
1172,847.0
1173,848.48
1174,850.84
1175,847.25
1176,847.01
1177,847.9
1178,853.55
1179,847.57
1180,853.57
1181,853.21
1182,849.12
1183,850.74
1184,847.86
1185,848.93
1186,850.65
1187,851.01
1188,849.95
1189,849.66
1190,852.23
1191,849.2
1192,852.48
1193,851.88
1194,851.65
1195,851.11
1196,852.01
1197,848.94
1198,849.2
1199,848.98
1200,851.25
1201,852.51
1202,849.12
1203,847.97
1204,848.59
1205,853.44
1206,848.11
1207,846.45
1208,850.32
1209,851.93
1210,847.01
1211,850.98
1212,850.21
1213,852.17
1214,850.01
1215,850.65
1216,849.55
1217,846.85
1218,846.71
1219,848.51
1220,846.84
1221,848.94
1222,850.73
1223,848.38
1224,849.88
1225,850.34
1226,852.15
1227,849.69
1228,846.94
1229,852.12
1230,846.96
1231,849.79
1232,850.39
1233,848.29
1234,851.76
1235,849.68
1236,853.45
1237,847.46
1238,846.55
1239,850.65
1240,850.49
1241,851.85
1242,848.95
1243,851.96
1244,851.28
1245,852.49
1246,846.62
1247,851.16
1248,848.34
1249,852.13
1250,851.44
1251,847.33
1252,851.34
1253,850.06
1254,850.25
1255,849.93
1256,847.85
1257,850.79
1258,853.29
1259,850.14
1260,850.97
1261,449.45
1262,450.11
1263,453.02
1264,450.59
1265,448.77
1266,446.74
1267,447.58
1268,446.56
1269,451.91
