Minute | Consumption (W) - SCENARIO: Daily Routine
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 346.84         
362    | 353.40         
363    | 349.30         
364    | 352.35         
365    | 348.70         
366    | 351.15         
367    | 349.41         
368    | 352.74         
369    | 349.78         
370    | 351.48         
371    | 349.79         
372    | 347.94         
373    | 349.69         
374    | 353.22         
375    | 346.54         
376    | 351.42         
377    | 347.87         
378    | 352.98         
379    | 347.58         
380    | 349.78         
381    | 350.97         
382    | 350.46         
383    | 352.81         
384    | 351.53         
385    | 350.47         
386    | 349.02         
387    | 351.00         
388    | 352.49         
389    | 351.49         
390    | 351.68         
391    | 2350.49        
392    | 2347.85        
393    | 2349.13        
394    | 2353.31        
395    | 2352.27        
396    | 350.75         
397    | 353.03         
398    | 347.22         
399    | 348.06         
400    | 351.76         
401    | 350.57         
402    | 350.81         
403    | 349.95         
404    | 348.91         
405    | 350.70         
406    | 351.92         
407    | 346.96         
408    | 348.75         
409    | 347.99         
410    | 353.49         
411    | 351.13         
412    | 346.41         
413    | 346.50         
414    | 350.87         
415    | 346.56         
416    | 349.00         
417    | 350.48         
418    | 348.10         
419    | 347.41         
420    | 346.54         
421    | 752.00         
422    | 746.41         
423    | 746.88         
424    | 750.60         
425    | 751.95         
426    | 746.51         
427    | 748.31         
428    | 751.29         
429    | 752.13         
430    | 753.08         
431    | 747.13         
432    | 747.33         
433    | 752.65         
434    | 748.05         
435    | 750.19         
436    | 748.35         
437    | 751.48         
438    | 750.08         
439    | 748.02         
440    | 751.10         
441    | 749.84         
442    | 750.43         
443    | 749.26         
444    | 748.58         
445    | 752.38         
446    | 746.70         
447    | 752.85         
448    | 747.80         
449    | 748.65         
450    | 751.03         
451    | 752.87         
452    | 749.37         
453    | 746.80         
454    | 751.83         
455    | 752.10         
456    | 747.35         
457    | 749.62         
458    | 750.12         
459    | 748.15         
460    | 753.43         
461    | 747.46         
462    | 751.07         
463    | 753.43         
464    | 752.39         
465    | 750.08         
466    | 753.46         
467    | 750.93         
468    | 750.02         
469    | 750.35         
470    | 752.97         
471    | 752.22         
472    | 748.84         
473    | 751.25         
474    | 750.14         
475    | 751.24         
476    | 749.75         
477    | 750.71         
478    | 752.78         
479    | 748.54         
480    | 749.33         
481    | 2749.57        
482    | 2752.21        
483    | 2749.14        
484    | 2752.76        
485    | 2751.46        
486    | 750.83         
487    | 752.49         
488    | 749.39         
489    | 747.89         
490    | 751.89         
491    | 750.89         
492    | 749.08         
493    | 746.82         
494    | 748.80         
495    | 750.36         
496    | 753.33         
497    | 748.29         
498    | 751.71         
499    | 753.54         
500    | 750.74         
501    | 751.07         
502    | 751.59         
503    | 747.92         
504    | 746.71         
505    | 752.06         
506    | 748.76         
507    | 749.43         
508    | 747.51         
509    | 751.10         
510    | 751.54         
511    | 752.02         
512    | 747.50         
513    | 752.15         
514    | 747.04         
515    | 752.87         
516    | 753.13         
517    | 748.24         
518    | 752.37         
519    | 748.73         
520    | 746.68         
521    | 752.11         
522    | 752.95         
523    | 747.23         
524    | 753.42         
525    | 752.93         
526    | 752.26         
527    | 751.69         
528    | 750.70         
529    | 750.32         
530    | 747.04         
531    | 752.03         
532    | 747.06         
533    | 751.98         
534    | 752.21         
535    | 752.87         
536    | 753.12         
537    | 751.81         
538    | 749.43         
539    | 751.33         
540    | 750.21         
541    | 580.46         
542    | 583.49         
543    | 578.09         
544    | 577.13         
545    | 577.96         
546    | 577.42         
547    | 577.51         
548    | 577.95         
549    | 579.04         
550    | 578.04         
551    | 577.83         
552    | 582.49         
553    | 581.22         
554    | 583.02         
555    | 576.56         
556    | 582.50         
557    | 581.65         
558    | 578.91         
559    | 578.55         
560    | 576.67         
561    | 578.50         
562    | 579.49         
563    | 578.66         
564    | 578.73         
565    | 583.45         
566    | 579.98         
567    | 583.43         
568    | 578.71         
569    | 578.00         
570    | 581.29         
571    | 581.53         
572    | 576.57         
573    | 580.49         
574    | 583.09         
575    | 576.79         
576    | 581.52         
577    | 580.27         
578    | 583.20         
579    | 576.45         
580    | 582.56         
581    | 582.41         
582    | 579.87         
583    | 579.94         
584    | 579.49         
585    | 581.06         
586    | 580.11         
587    | 577.39         
588    | 582.69         
589    | 578.20         
590    | 583.04         
591    | 578.16         
592    | 582.83         
593    | 582.81         
594    | 582.10         
595    | 583.44         
596    | 583.55         
597    | 576.60         
598    | 581.65         
599    | 577.41         
600    | 581.71         
601    | 581.71         
602    | 582.81         
603    | 578.40         
604    | 577.69         
605    | 580.10         
606    | 580.49         
607    | 581.13         
608    | 578.48         
609    | 579.29         
610    | 579.18         
611    | 577.44         
612    | 582.69         
613    | 579.93         
614    | 582.96         
615    | 577.84         
616    | 580.48         
617    | 577.39         
618    | 577.94         
619    | 579.79         
620    | 580.22         
621    | 578.91         
622    | 581.05         
623    | 582.35         
624    | 576.56         
625    | 581.21         
626    | 581.64         
627    | 579.94         
628    | 577.81         
629    | 577.19         
630    | 579.06         
631    | 577.56         
632    | 577.42         
633    | 580.44         
634    | 577.94         
635    | 582.15         
636    | 579.98         
637    | 577.03         
638    | 583.57         
639    | 583.25         
640    | 581.42         
641    | 582.34         
642    | 579.33         
643    | 578.37         
644    | 580.46         
645    | 580.52         
646    | 582.38         
647    | 577.22         
648    | 581.29         
649    | 582.76         
650    | 579.84         
651    | 577.13         
652    | 583.37         
653    | 583.27         
654    | 582.06         
655    | 579.97         
656    | 579.66         
657    | 577.06         
658    | 581.76         
659    | 577.14         
660    | 581.49         
661    | 578.17         
662    | 576.90         
663    | 578.22         
664    | 579.52         
665    | 580.54         
666    | 583.11         
667    | 582.90         
668    | 582.58         
669    | 582.36         
670    | 581.74         
671    | 578.35         
672    | 576.99         
673    | 580.18         
674    | 577.68         
675    | 579.37         
676    | 581.20         
677    | 582.51         
678    | 579.57         
679    | 582.02         
680    | 577.61         
681    | 578.76         
682    | 579.42         
683    | 581.74         
684    | 577.76         
685    | 579.21         
686    | 581.54         
687    | 578.37         
688    | 580.47         
689    | 580.51         
690    | 576.79         
691    | 582.19         
692    | 578.83         
693    | 577.34         
694    | 580.52         
695    | 581.96         
696    | 583.27         
697    | 582.15         
698    | 581.93         
699    | 578.86         
700    | 583.23         
701    | 580.94         
702    | 578.10         
703    | 579.81         
704    | 580.94         
705    | 582.27         
706    | 583.20         
707    | 583.01         
708    | 580.43         
709    | 577.12         
710    | 578.54         
711    | 583.15         
712    | 581.12         
713    | 580.59         
714    | 581.62         
715    | 579.61         
716    | 579.39         
717    | 578.86         
718    | 580.17         
719    | 576.71         
720    | 581.23         
721    | 732.04         
722    | 731.18         
723    | 731.44         
724    | 731.24         
725    | 727.81         
