Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,2517.39
362,2519.42
363,2521.33
364,2521.28
365,2522.12
366,2521.64
367,2517.65
368,2523.52
369,2522.46
370,2520.89
371,2523.06
372,2516.7
373,2517.35
374,2519.66
375,2522.61
376,2519.83
377,2520.67
378,2521.81
379,2522.05
380,2519.55
381,2523.37
382,2521.41
383,2519.54
384,2517.7
385,2521.97
386,2517.01
387,2520.18
388,2522.04
389,2517.3
390,2519.39
391,4521.63
392,4522.25
393,4517.22
394,4518.22
395,4522.04
396,2522.27
397,2518.43
398,2520.18
399,2523.39
400,2520.95
401,2519.96
402,2521.85
403,2517.91
404,2520.74
405,2518.79
406,2517.41
407,2519.27
408,2518.0
409,2520.47
410,2519.82
411,2520.04
412,2516.65
413,2519.85
414,2520.3
415,2522.12
416,2516.75
417,2523.2
418,2517.5
419,2516.8
420,2518.11
421,750.72
422,747.37
423,749.7
424,751.08
425,746.59
426,747.07
427,747.66
428,748.42
429,751.92
430,752.61
431,753.29
432,749.8
433,752.03
434,747.18
435,750.39
436,746.93
437,748.26
438,753.24
439,753.48
440,751.19
441,751.32
442,751.7
443,749.46
444,749.02
445,747.73
446,747.47
447,750.21
448,746.44
449,750.93
450,746.87
451,747.81
452,749.11
453,748.14
454,749.01
455,753.35
456,750.6
457,752.83
458,751.11
459,746.98
460,753.11
461,748.04
462,751.14
463,750.53
464,749.61
465,747.71
466,752.17
467,753.2
468,753.27
469,746.52
470,748.57
471,752.6
472,752.42
473,748.48
474,748.08
475,751.25
476,752.9
477,753.17
478,753.27
479,749.59
480,750.93
481,2746.99
482,2746.88
483,2748.42
484,2746.98
485,2747.02
486,747.17
487,752.59
488,750.72
489,752.29
490,751.38
491,747.61
492,747.58
493,749.82
494,747.66
495,748.18
496,751.23
497,751.34
498,751.05
499,749.15
500,747.01
501,746.81
502,746.71
503,748.67
504,748.14
505,748.75
506,749.38
507,753.43
508,747.85
509,748.94
510,749.39
511,748.71
512,750.84
513,750.86
514,752.39
515,751.43
516,748.39
517,752.96
518,750.87
519,751.03
520,750.46
521,749.95
522,752.34
523,750.49
524,752.34
525,752.45
526,748.21
527,751.18
528,746.58
529,747.38
530,746.5
531,748.78
532,747.38
533,746.62
534,747.27
535,750.74
536,746.48
537,747.68
538,752.71
539,750.32
540,748.38
541,579.52
542,577.8
543,582.01
544,579.5
545,578.33
546,578.91
547,582.54
548,577.28
549,579.85
550,578.69
551,576.87
552,576.91
553,581.22
554,579.82
555,579.36
556,581.44
557,582.44
558,581.02
559,579.19
560,576.64
561,576.42
562,580.93
563,578.28
564,580.34
565,581.29
566,582.19
567,581.11
568,581.11
569,580.57
570,577.73
571,578.86
572,577.38
573,579.63
574,582.08
575,580.05
576,583.45
577,579.95
578,583.5
579,580.75
580,581.77
581,578.95
582,581.88
583,581.0
584,578.29
585,583.11
586,579.41
587,579.42
588,576.62
589,578.18
590,583.58
591,577.85
592,576.83
593,583.56
594,582.88
595,579.38
596,580.45
597,578.56
598,581.72
599,581.16
600,582.26
601,583.08
602,582.98
603,578.31
604,580.41
605,579.06
606,579.26
607,579.29
608,580.9
609,581.17
610,581.69
611,579.27
612,580.08
613,578.95
614,579.5
615,577.88
616,576.99
617,582.64
618,578.51
619,577.05
620,581.96
621,580.8
622,580.43
623,579.28
624,582.91
625,580.17
626,581.55
627,581.72
628,578.34
629,579.17
630,582.52
631,577.89
632,576.84
633,576.71
634,579.9
635,581.46
636,577.76
637,581.82
638,579.89
639,579.15
640,577.47
641,581.57
642,576.69
643,577.47
644,577.51
645,579.08
646,580.77
647,582.05
648,582.25
649,581.11
650,578.73
651,583.19
652,577.46
653,582.0
654,579.81
655,578.89
656,582.16
657,577.68
658,582.15
659,582.47
660,581.05
661,581.0
662,581.97
663,580.23
664,576.42
665,583.12
666,581.03
667,582.11
668,582.48
669,582.11
670,578.38
671,582.57
672,578.85
673,576.61
674,582.11
675,579.53
676,577.09
677,583.43
678,580.02
679,581.56
680,579.08
681,582.0
682,576.67
683,580.43
684,581.19
685,579.62
686,576.84
687,581.55
688,581.16
689,577.7
690,577.26
691,577.52
692,582.12
693,582.7
694,578.0
695,579.66
696,581.88
697,581.12
698,583.05
699,578.66
700,582.35
701,580.41
702,579.98
703,577.89
704,580.86
705,580.14
706,577.99
707,580.72
708,576.95
709,581.9
710,581.63
711,578.02
712,583.22
713,577.57
714,576.65
715,577.51
716,579.56
717,582.5
718,581.83
719,579.48
720,578.8
721,731.06
722,731.9
723,727.21
724,730.76
725,729.22
726,728.79
727,733.31
728,730.32
729,731.8
730,726.88
731,1732.94
732,1730.54
733,1733.18
734,1729.27
735,1732.09
736,1732.64
737,1729.01
738,1732.05
739,1732.39
740,1729.42
741,729.86
742,728.54
743,732.59
744,731.73
745,730.79
746,726.49
747,733.59
748,731.65
749,733.19
750,732.04
751,728.07
752,728.74
753,729.42
754,731.51
755,727.56
756,729.85
757,729.31
758,729.32
759,731.59
760,732.97
761,729.23
762,732.82
763,729.22
764,727.39
765,732.28
766,729.46
767,733.15
768,726.41
769,732.89
770,733.33
771,730.04
772,731.85
773,726.62
774,727.76
775,733.55
776,728.26
777,730.52
778,731.79
779,730.84
780,726.85
781,697.02
782,696.77
783,702.79
784,701.26
785,698.66
786,703.33
787,701.42
788,700.59
789,699.86
790,702.48
791,703.43
792,702.91
793,697.13
794,703.43
795,702.98
796,698.4
797,701.37
798,702.5
799,700.2
800,700.27
801,697.8
802,699.08
803,703.04
804,702.43
805,700.54
806,696.68
807,699.11
808,702.5
809,698.6
810,699.53
811,703.6
812,700.93
813,698.47
814,701.97
815,698.72
816,702.23
817,699.65
818,699.7
819,698.39
820,701.99
821,701.21
822,698.99
823,697.66
824,699.28
825,697.93
826,697.61
827,697.22
828,697.6
829,697.36
830,701.76
831,699.71
832,701.88
833,702.59
834,698.76
835,702.36
836,700.09
837,698.5
838,699.25
839,699.85
840,701.91
841,702.94
842,700.26
843,701.73
844,702.21
845,696.95
846,696.64
847,699.62
848,700.75
849,696.91
850,697.14
851,698.5
852,698.53
853,698.01
854,703.52
855,699.15
856,697.1
857,700.28
858,698.66
859,700.67
860,697.82
861,702.39
862,697.84
863,700.36
864,698.54
865,700.51
866,701.01
867,703.45
868,696.98
869,700.11
870,702.1
871,697.95
872,703.19
873,702.52
874,703.05
875,698.93
876,702.15
877,702.26
878,697.92
879,700.99
880,697.07
881,698.59
882,697.3
883,703.05
884,701.92
885,699.98
886,700.03
887,699.61
888,703.1
889,696.76
890,699.33
891,700.33
892,697.62
893,698.09
894,703.38
895,702.37
896,698.82
897,698.61
898,702.12
899,698.38
900,701.02
901,697.1
902,697.96
903,702.63
904,702.04
905,700.29
906,700.39
907,698.7
908,698.46
909,701.97
910,696.52
911,697.69
912,696.58
913,697.85
914,699.17
915,700.44
916,697.36
917,699.11
918,702.55
919,702.79
920,699.23
921,702.78
922,698.28
923,702.84
924,697.8
925,702.23
926,699.95
927,696.87
928,697.23
929,697.6
930,701.49
931,699.45
932,701.49
933,703.59
934,699.4
935,699.51
936,701.62
937,701.8
938,700.58
939,701.6
940,702.69
941,698.7
942,698.1
943,702.23
944,701.31
945,700.52
946,700.24
947,696.46
948,702.99
949,700.29
950,696.81
951,701.17
952,699.81
953,700.12
954,696.8
955,698.34
956,702.43
957,700.67
958,701.62
959,698.71
960,699.39
961,698.31
962,699.94
963,702.09
964,703.17
965,703.42
966,696.42
967,699.88
968,700.41
969,697.9
970,696.7
971,696.7
972,699.67
973,697.59
974,703.06
975,703.42
976,703.56
977,697.3
978,702.76
979,698.03
980,697.14
981,697.73
982,698.37
983,703.25
984,699.88
985,702.2
986,703.45
987,700.45
988,699.92
989,697.64
990,700.63
991,698.91
992,701.56
993,702.69
994,702.47
995,701.47
996,699.65
997,701.59
998,698.34
999,697.92
1000,703.36
1001,698.14
1002,702.7
1003,697.39
1004,699.43
1005,701.78
1006,698.55
1007,701.6
1008,700.31
1009,699.89
1010,701.13
1011,697.84
1012,703.53
1013,703.13
1014,700.06
1015,699.52
1016,701.08
1017,702.25
1018,697.91
1019,699.74
1020,698.87
1021,849.25
1022,847.77
1023,851.67
1024,847.53
1025,847.91
1026,851.47
1027,850.94
1028,849.34
1029,848.42
1030,849.04
1031,849.73
1032,846.41
1033,849.36
1034,852.93
1035,848.68
1036,848.47
1037,852.83
1038,849.59
1039,853.07
1040,849.98
1041,852.67
1042,850.25
1043,849.78
1044,850.22
1045,851.06
1046,850.28
1047,848.08
1048,847.54
1049,853.23
1050,852.04
1051,851.45
1052,848.82
1053,850.73
1054,851.84
1055,852.17
1056,851.62
1057,851.69
1058,849.95
1059,847.88
1060,847.63
1061,853.32
1062,850.91
1063,849.34
1064,852.86
1065,848.56
1066,846.56
1067,852.36
1068,853.04
1069,853.48
1070,848.75
1071,847.42
1072,848.6
1073,847.92
1074,847.9
1075,852.15
1076,850.32
1077,849.28
1078,850.71
1079,848.61
1080,849.45
1081,848.91
1082,852.6
1083,851.12
1084,851.97
1085,850.05
1086,853.0
1087,850.49
1088,849.1
1089,846.6
1090,852.04
1091,852.44
1092,848.95
1093,848.67
1094,849.0
1095,852.11
1096,853.43
1097,852.01
1098,853.08
1099,852.9
1100,851.99
1101,846.68
1102,851.32
1103,847.5
1104,852.17
1105,852.95
1106,853.05
1107,847.09
1108,848.0
1109,853.42
1110,850.87
1111,850.91
1112,853.22
1113,846.45
1114,848.74
1115,849.62
1116,852.75
1117,848.62
1118,847.92
1119,849.72
1120,852.33
1121,852.36
1122,847.84
1123,851.23
1124,848.74
1125,848.58
1126,851.49
1127,850.98
1128,849.39
1129,847.13
1130,849.31
1131,852.64
1132,846.49
1133,850.03
1134,850.47
1135,847.35
1136,849.48
1137,851.27
1138,849.83
1139,846.81
1140,846.5
1141,852.94
1142,847.65
1143,849.55
1144,846.9
1145,847.33
1146,850.05
1147,848.64
1148,847.55
1149,852.74
1150,849.86
1151,850.06
1152,853.51
1153,850.4
1154,852.26
1155,849.37
1156,847.44
1157,852.22
1158,852.51
1159,849.64
1160,850.23
1161,847.29
1162,852.39
1163,847.59
1164,850.27
1165,850.6
1166,847.71
1167,850.24
1168,853.07
1169,848.98
1170,850.73
1171,850.71
1172,849.54
1173,851.94
1174,852.74
1175,848.61
1176,848.57
1177,853.41
1178,847.56
1179,852.02
1180,851.85
1181,849.21
1182,850.8
1183,847.4
1184,847.75
1185,851.92
1186,852.18
1187,852.35
1188,846.72
1189,848.35
1190,850.52
1191,852.78
1192,847.24
1193,846.76
1194,849.46
1195,849.41
1196,852.26
1197,851.14
1198,851.29
1199,849.57
1200,853.46
1201,851.79
1202,847.27
1203,847.7
1204,852.02
1205,849.04
1206,849.87
1207,850.19
1208,850.42
1209,848.58
1210,849.28
1211,852.86
1212,849.65
1213,847.63
1214,851.5
1215,847.75
1216,852.86
1217,848.59
1218,849.02
1219,849.16
1220,849.93
1221,852.67
1222,849.12
1223,847.52
1224,849.03
1225,849.32
1226,852.48
1227,852.25
1228,847.35
1229,852.56
1230,849.17
1231,849.31
1232,848.64
1233,852.83
1234,853.56
1235,850.54
1236,847.45
1237,850.59
1238,848.98
1239,849.08
1240,853.22
1241,853.6
1242,851.43
1243,846.69
1244,852.72
1245,849.38
1246,848.25
1247,847.38
1248,853.16
1249,850.14
1250,849.25
1251,849.52
1252,847.28
1253,847.37
1254,852.54
1255,848.7
1256,850.43
1257,849.42
1258,848.21
1259,847.64
1260,846.62
1261,453.06
