Minute | Consumption (W) - SCENARIO: Early Bird Morning
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 2517.49        
362    | 2522.99        
363    | 2522.85        
364    | 2523.30        
365    | 2516.80        
366    | 2519.44        
367    | 2519.91        
368    | 2522.83        
369    | 2516.89        
370    | 2518.59        
371    | 2521.55        
372    | 2518.38        
373    | 2519.33        
374    | 2522.63        
375    | 2520.80        
376    | 2518.88        
377    | 2521.66        
378    | 2523.13        
379    | 2518.01        
380    | 2522.91        
381    | 2522.26        
382    | 2522.50        
383    | 2517.53        
384    | 2518.71        
385    | 2519.60        
386    | 2523.29        
387    | 2522.74        
388    | 2519.56        
389    | 2522.46        
390    | 2518.97        
391    | 4517.80        
392    | 4522.41        
393    | 4522.59        
394    | 4519.12        
395    | 4516.69        
396    | 2519.97        
397    | 2517.06        
398    | 2519.24        
399    | 2522.57        
400    | 2522.29        
401    | 2519.27        
402    | 2517.31        
403    | 2518.30        
404    | 2520.95        
405    | 2520.50        
406    | 2522.34        
407    | 2520.82        
408    | 2520.78        
409    | 2521.24        
410    | 2517.94        
411    | 2519.04        
412    | 2516.47        
413    | 2516.93        
414    | 2519.80        
415    | 2520.47        
416    | 2516.73        
417    | 2519.38        
418    | 2520.13        
419    | 2521.80        
420    | 2519.90        
421    | 753.59         
422    | 751.96         
423    | 747.57         
424    | 751.11         
425    | 751.06         
426    | 749.43         
427    | 751.15         
428    | 749.84         
429    | 750.20         
430    | 751.60         
431    | 749.69         
432    | 750.13         
433    | 750.94         
434    | 753.39         
435    | 749.92         
436    | 751.56         
437    | 751.01         
438    | 749.38         
439    | 753.32         
440    | 748.77         
441    | 747.26         
442    | 748.35         
443    | 749.06         
444    | 752.59         
445    | 747.26         
446    | 746.60         
447    | 749.79         
448    | 746.74         
449    | 748.73         
450    | 751.23         
451    | 748.85         
452    | 748.94         
453    | 753.18         
454    | 747.83         
455    | 752.72         
456    | 746.50         
457    | 748.03         
458    | 747.63         
459    | 751.37         
460    | 750.33         
461    | 750.68         
462    | 749.18         
463    | 753.53         
464    | 750.51         
465    | 746.40         
466    | 751.22         
467    | 750.16         
468    | 751.11         
469    | 747.92         
470    | 748.97         
471    | 752.56         
472    | 749.61         
473    | 751.38         
474    | 748.79         
475    | 751.22         
476    | 749.60         
477    | 748.77         
478    | 746.60         
479    | 753.37         
480    | 748.38         
481    | 2747.17        
482    | 2748.56        
483    | 2753.07        
484    | 2746.53        
485    | 2750.10        
486    | 753.52         
487    | 748.88         
488    | 752.80         
489    | 747.75         
490    | 750.08         
491    | 748.90         
492    | 747.83         
493    | 753.32         
494    | 750.73         
495    | 752.40         
496    | 752.21         
497    | 749.23         
498    | 752.78         
499    | 752.45         
500    | 753.45         
501    | 746.88         
502    | 749.15         
503    | 751.38         
504    | 746.79         
505    | 748.88         
506    | 751.67         
507    | 747.82         
508    | 747.00         
509    | 752.96         
510    | 753.43         
511    | 751.57         
512    | 751.51         
513    | 748.34         
514    | 748.51         
515    | 750.60         
516    | 751.44         
517    | 746.49         
518    | 748.84         
519    | 747.01         
520    | 747.55         
521    | 748.29         
522    | 747.73         
523    | 748.57         
524    | 747.15         
525    | 747.10         
526    | 750.16         
527    | 751.10         
528    | 748.17         
529    | 750.30         
530    | 751.78         
531    | 747.07         
532    | 752.51         
533    | 750.64         
534    | 753.03         
535    | 750.74         
536    | 746.87         
537    | 750.46         
538    | 750.55         
539    | 750.05         
540    | 748.17         
541    | 582.44         
542    | 578.22         
543    | 583.43         
544    | 580.40         
545    | 583.55         
546    | 583.54         
547    | 582.28         
548    | 582.49         
549    | 583.07         
550    | 577.17         
551    | 583.54         
552    | 580.07         
553    | 582.10         
554    | 579.30         
555    | 581.82         
556    | 579.24         
557    | 578.24         
558    | 577.97         
559    | 579.92         
560    | 583.29         
561    | 579.29         
562    | 577.11         
563    | 581.96         
564    | 577.31         
565    | 579.87         
566    | 580.01         
567    | 581.11         
568    | 580.62         
569    | 581.29         
570    | 581.08         
571    | 576.56         
572    | 582.68         
573    | 583.32         
574    | 580.25         
575    | 578.68         
576    | 581.78         
577    | 583.52         
578    | 580.82         
579    | 583.37         
580    | 578.81         
581    | 583.46         
582    | 582.92         
583    | 582.73         
584    | 577.89         
585    | 576.90         
586    | 580.75         
587    | 576.80         
588    | 581.95         
589    | 581.94         
590    | 582.85         
591    | 579.02         
592    | 577.93         
593    | 582.61         
594    | 576.46         
595    | 581.54         
596    | 580.30         
597    | 582.74         
598    | 580.97         
599    | 580.04         
600    | 582.95         
601    | 578.54         
602    | 583.14         
603    | 578.09         
604    | 581.92         
605    | 577.49         
606    | 580.82         
607    | 579.95         
608    | 580.96         
609    | 577.29         
610    | 578.01         
611    | 576.68         
612    | 578.82         
613    | 583.32         
614    | 580.16         
615    | 576.93         
616    | 576.82         
617    | 577.27         
618    | 578.70         
619    | 580.74         
620    | 582.97         
621    | 576.65         
622    | 579.35         
623    | 581.30         
624    | 580.35         
625    | 580.95         
626    | 578.71         
627    | 581.52         
628    | 583.48         
629    | 578.46         
630    | 578.52         
631    | 583.36         
632    | 579.29         
633    | 582.93         
634    | 579.13         
635    | 580.04         
636    | 578.75         
637    | 577.70         
638    | 581.40         
639    | 577.29         
640    | 583.53         
641    | 577.45         
642    | 580.89         
643    | 580.98         
644    | 579.70         
645    | 579.92         
646    | 581.71         
647    | 583.11         
648    | 581.00         
649    | 577.74         
650    | 580.11         
651    | 583.01         
652    | 576.94         
653    | 580.07         
654    | 583.06         
655    | 582.44         
656    | 581.03         
657    | 582.09         
658    | 576.44         
659    | 578.30         
660    | 582.14         
661    | 578.39         
662    | 580.49         
663    | 581.39         
664    | 580.58         
665    | 579.01         
666    | 577.33         
667    | 580.69         
668    | 578.19         
669    | 580.00         
670    | 581.95         
671    | 576.59         
672    | 580.40         
673    | 580.90         
674    | 582.70         
675    | 583.41         
676    | 577.69         
677    | 578.01         
678    | 577.57         
679    | 579.71         
680    | 581.97         
681    | 581.75         
682    | 578.71         
683    | 580.04         
684    | 578.32         
685    | 581.29         
686    | 578.26         
687    | 580.34         
688    | 581.41         
689    | 581.91         
690    | 578.97         
691    | 578.11         
692    | 581.00         
693    | 578.18         
694    | 580.46         
695    | 583.49         
696    | 580.99         
697    | 583.43         
698    | 581.00         
699    | 577.13         
700    | 577.92         
701    | 579.96         
702    | 580.03         
703    | 578.70         
704    | 580.08         
705    | 580.56         
706    | 581.42         
707    | 577.27         
708    | 577.93         
709    | 582.41         
710    | 577.79         
711    | 578.48         
712    | 578.15         
713    | 578.55         
714    | 576.49         
715    | 580.09         
716    | 580.30         
717    | 576.59         
718    | 583.58         
