Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,353.48
362,351.89
363,351.32
364,352.44
365,348.43
366,352.99
367,352.14
368,348.4
369,352.24
370,352.7
371,348.0
372,349.97
373,352.48
374,349.95
375,349.31
376,348.2
377,352.79
378,352.31
379,348.28
380,352.57
381,352.19
382,347.14
383,351.61
384,351.81
385,349.24
386,349.82
387,352.56
388,347.3
389,353.33
390,351.15
391,2346.83
392,2348.02
393,2349.22
394,2351.2
395,2352.33
396,349.28
397,351.17
398,346.58
399,347.81
400,349.89
401,348.84
402,353.36
403,348.08
404,348.87
405,349.85
406,348.46
407,350.36
408,348.68
409,349.58
410,352.91
411,349.2
412,353.52
413,349.73
414,347.91
415,352.76
416,350.18
417,347.9
418,352.94
419,352.71
420,353.08
421,1149.67
422,1146.97
423,1152.1
424,1146.61
425,1149.85
426,1147.21
427,1152.55
428,1149.89
429,1150.22
430,1148.66
431,1147.79
432,1146.58
433,1152.51
434,1147.87
435,1151.66
436,1149.77
437,1147.88
438,1150.95
439,1149.31
440,1149.18
441,1148.04
442,1150.4
443,1151.13
444,1148.06
445,1152.1
446,1146.74
447,1153.28
448,1148.66
449,1147.55
450,1146.72
451,1148.65
452,1146.99
453,1149.75
454,1153.35
455,1149.7
456,1149.8
457,1150.76
458,1152.92
459,1153.04
460,1148.85
461,1150.57
462,1151.5
463,1150.89
464,1149.52
465,1153.0
466,1149.96
467,1151.79
468,1148.1
469,1149.5
470,1148.09
471,1149.19
472,1147.6
473,1151.49
474,1151.78
475,1147.39
476,1148.86
477,1147.01
478,1147.12
479,1147.63
480,1147.06
481,3148.78
482,3151.29
483,3146.74
484,3151.17
485,3147.9
486,1149.72
487,1151.32
488,1148.63
489,1149.57
490,1150.86
491,1148.15
492,1147.63
493,1153.54
494,1151.83
495,1150.59
496,1152.46
497,1149.67
498,1149.35
499,1148.84
500,1152.41
501,1150.57
502,1152.15
503,1149.59
504,1152.6
505,1149.01
506,1147.1
507,1149.79
508,1153.15
509,1147.69
510,1149.02
511,1152.38
512,1149.33
513,1151.2
514,1148.79
515,1148.22
516,1149.79
517,1149.08
518,1152.5
519,1150.23
520,1152.54
521,1152.81
522,1151.57
523,1152.62
524,1152.34
525,1147.48
526,1153.26
527,1149.54
528,1152.27
529,1152.37
530,1149.97
531,1151.24
532,1147.61
533,1153.2
534,1148.29
535,1149.73
536,1147.5
537,1153.45
538,1148.86
539,1147.39
540,1146.89
541,978.61
542,979.52
543,980.23
544,978.72
545,983.27
546,982.66
547,980.06
548,978.24
549,980.95
550,981.07
551,981.15
552,980.0
553,983.17
554,980.77
555,982.98
556,979.39
557,978.32
558,981.41
559,979.41
560,979.83
561,976.48
562,979.07
563,982.26
564,981.73
565,977.78
566,979.31
567,980.32
568,978.84
569,982.38
570,979.53
571,978.27
572,979.22
573,978.56
574,981.23
575,981.64
576,981.47
577,977.13
578,976.53
579,981.93
580,978.91
581,982.7
582,977.2
583,982.28
584,981.97
585,983.53
586,983.32
587,977.59
588,981.97
589,976.48
590,981.91
591,982.46
592,982.65
593,980.84
594,976.61
595,977.57
596,982.06
597,979.26
598,981.58
599,977.27
600,979.73
601,983.19
602,980.35
603,981.82
604,982.59
605,983.19
606,981.34
607,977.96
608,980.19
609,978.48
610,977.81
611,981.49
612,980.19
613,982.8
614,982.45
615,979.31
616,982.89
617,976.99
618,982.49
619,977.06
620,981.16
621,980.99
622,979.46
623,979.43
624,982.96
625,982.5
626,978.1
627,982.26
628,981.32
629,979.25
630,980.5
631,981.44
632,979.29
633,977.97
634,981.45
635,982.32
636,976.77
637,979.55
638,978.61
639,978.86
640,977.15
641,976.9
642,977.23
643,979.07
644,979.32
645,983.18
646,977.68
647,982.99
648,981.97
649,976.4
650,980.02
651,980.88
652,978.5
653,980.48
654,979.25
655,980.53
656,977.15
657,981.46
658,982.7
659,979.05
660,979.94
661,983.06
662,978.32
663,979.12
664,980.87
665,977.8
666,979.77
667,980.4
668,978.15
669,980.05
670,982.45
671,979.77
672,980.71
673,976.92
674,982.31
675,980.72
676,981.77
677,978.84
678,980.74
679,977.01
680,980.45
681,981.79
682,980.37
683,981.27
684,982.23
685,976.51
686,981.54
687,980.06
688,978.82
689,977.45
690,982.88
691,978.44
692,978.82
693,978.78
694,979.14
695,980.6
696,978.43
697,978.75
698,982.26
699,980.79
700,979.76
701,977.74
702,977.61
703,982.16
704,981.91
705,978.5
706,981.83
707,983.56
708,977.29
709,979.61
710,976.48
711,983.43
712,978.67
713,983.26
714,983.32
715,981.42
716,979.29
717,982.86
718,978.98
719,978.49
720,979.82
721,1127.15
722,1133.23
723,1127.35
724,1126.51
725,1127.4
726,1130.4
727,1132.8
728,1129.83
729,1128.85
730,1129.4
731,2132.92
732,2126.45
733,2132.16
734,2132.69
735,2128.68
736,2127.63
737,2128.79
738,2127.82
739,2132.24
740,2132.07
741,1130.46
742,1129.89
743,1129.2
744,1129.67
745,1131.37
746,1132.34
747,1131.27
748,1127.98
749,1131.2
750,1127.11
751,1129.29
752,1131.25
753,1128.51
754,1131.11
755,1130.69
756,1133.55
757,1127.38
758,1132.72
759,1128.02
760,1130.1
761,1131.02
762,1127.88
763,1131.18
764,1128.44
765,1130.68
766,1133.31
767,1126.46
768,1131.25
769,1129.91
770,1131.43
771,1128.02
772,1131.23
773,1126.57
774,1130.28
775,1132.98
776,1132.74
777,1133.41
778,1127.66
779,1126.69
780,1130.71
781,1103.45
782,1097.8
783,1097.29
784,1098.97
785,1100.32
786,1100.52
787,1096.43
788,1096.65
789,1102.05
790,1099.57
791,1099.92
792,1097.48
793,1102.09
794,1103.29
795,1098.75
796,1100.25
797,1097.03
798,1098.12
799,1097.07
800,1098.16
801,1098.18
802,1100.17
803,1099.61
804,1096.94
805,1100.39
806,1098.34
807,1101.03
808,1097.87
809,1097.85
810,1101.72
811,1098.61
812,1097.49
813,1101.15
814,1097.82
815,1100.43
816,1100.43
817,1099.69
818,1101.23
819,1097.55
820,1100.04
821,1103.59
822,1097.97
823,1100.81
824,1101.91
825,1097.22
826,1099.78
827,1098.35
828,1102.23
829,1097.71
830,1100.58
831,1100.15
832,1103.5
833,1100.9
834,1100.02
835,1102.33
836,1102.59
837,1103.25
838,1097.65
839,1098.83
840,1096.53
841,1097.87
842,1099.44
843,1103.46
844,1096.65
845,1101.21
846,1096.92
847,1100.97
848,1098.72
849,1097.55
850,1100.35
851,1096.76
852,1099.91
853,1096.77
854,1099.83
855,1101.97
856,1097.12
857,1098.41
858,1097.71
859,1100.63
860,1099.37
861,1101.34
862,1098.73
863,1097.84
864,1101.96
865,1101.52
866,1098.56
867,1100.72
868,1103.33
869,1101.96
870,1098.63
871,1097.88
872,1100.69
873,1100.28
874,1101.63
875,1103.09
876,1100.24
877,1096.76
878,1097.19
879,1100.71
880,1101.35
881,1096.49
882,1099.13
883,1099.23
884,1099.48
885,1097.5
886,1099.96
887,1096.62
888,1097.3
889,1102.88
890,1100.42
891,1099.51
892,1101.1
893,1101.7
894,1103.27
895,1099.3
896,1101.56
897,1101.05
898,1097.9
899,1097.96
900,1096.54
901,1101.14
902,1101.83
903,1101.69
904,1103.39
905,1099.47
906,1103.49
907,1097.18
908,1100.35
909,1099.75
910,1096.93
911,1097.23
912,1102.38
913,1101.8
914,1102.93
915,1097.93
916,1101.53
917,1098.23
918,1102.75
919,1101.91
920,1099.76
921,1098.38
922,1100.72
923,1098.82
924,1100.24
925,1097.22
926,1101.24
927,1103.49
928,1100.1
929,1101.98
930,1099.24
931,1101.46
932,1100.92
933,1096.56
934,1100.72
935,1102.11
936,1096.47
937,1101.34
938,1097.81
939,1100.32
940,1098.41
941,1102.61
942,1100.09
943,1098.63
944,1099.7
945,1101.61
946,1102.57
947,1097.25
948,1102.69
949,1098.02
950,1101.86
951,1097.86
952,1101.27
953,1096.41
954,1100.56
955,1103.25
956,1097.04
957,1102.26
958,1100.09
959,1098.03
960,1099.23
961,1100.12
962,1098.64
963,1097.89
964,1102.6
965,1097.06
966,1097.14
967,1097.47
968,1102.59
969,1097.75
970,1102.42
971,1102.31
972,1096.7
973,1096.42
974,1102.46
975,1096.52
976,1100.41
977,1100.18
978,1098.29
979,1098.18
980,1102.48
981,1102.8
982,1100.82
983,1099.7
984,1097.64
985,1103.09
986,1101.01
987,1099.37
988,1100.14
989,1101.06
990,1103.4
991,1098.0
992,1099.38
993,1098.71
994,1098.86
995,1099.77
996,1100.68
997,1100.96
998,1098.8
999,1096.8
1000,1096.99
1001,1101.35
1002,1096.56
1003,1102.65
1004,1102.02
1005,1099.33
1006,1102.29
1007,1101.55
1008,1100.09
1009,1099.1
1010,1101.03
1011,1098.04
1012,1099.03
1013,1099.65
1014,1098.89
1015,1100.3
1016,1098.82
1017,1097.52
1018,1103.26
1019,1100.17
1020,1099.22
1021,1249.93
1022,1247.78
1023,1249.88
1024,1249.9
1025,1248.43
1026,1249.35
1027,1249.27
1028,1252.77
1029,1246.52
1030,1252.84
1031,1250.47
1032,1252.99
1033,1248.49
1034,1249.17
1035,1252.98
1036,1253.41
1037,1249.51
1038,1253.22
1039,1252.69
1040,1250.02
1041,1246.99
1042,1250.16
1043,1252.46
1044,1249.93
1045,1252.47
1046,1251.07
1047,1253.14
1048,1250.3
1049,1253.34
1050,1251.05
1051,1247.61
1052,1251.17
1053,1252.33
1054,1248.21
1055,1248.48
1056,1246.59
1057,1247.13
1058,1249.89
1059,1246.8
1060,1249.49
1061,1248.87
1062,1253.42
1063,1248.49
1064,1250.91
1065,1251.96
1066,1250.02
1067,1248.72
1068,1246.84
1069,1248.87
1070,1248.33
1071,1251.06
1072,1250.4
1073,1251.74
1074,1253.22
1075,1247.99
1076,1253.28
1077,1250.61
1078,1247.07
1079,1252.0
1080,1251.88
1081,1250.54
1082,1251.93
1083,1248.91
1084,1246.45
1085,1252.01
1086,1251.73
1087,1248.17
1088,1252.59
1089,1253.06
1090,1251.27
1091,1248.6
1092,1246.82
1093,1249.26
1094,1250.31
1095,1250.62
1096,1248.65
1097,1249.22
1098,1247.19
1099,1248.55
1100,1249.45
1101,1253.23
1102,1252.61
1103,1252.53
1104,1251.82
1105,1251.32
1106,1246.58
1107,1248.97
1108,1250.77
1109,1249.31
1110,1247.93
1111,1248.54
1112,1248.55
1113,1251.97
1114,1253.3
1115,1253.09
1116,1247.07
1117,1251.93
1118,1251.03
1119,1247.81
1120,1252.75
1121,1248.46
1122,1253.57
1123,1252.43
1124,1250.54
1125,1250.75
1126,1247.15
1127,1252.87
1128,1252.54
1129,1252.5
1130,1249.87
1131,1247.47
1132,1246.47
1133,1249.15
1134,1247.77
1135,1251.18
1136,1251.32
1137,1250.91
1138,1250.83
1139,1251.4
1140,1249.69
1141,1246.71
1142,1247.17
1143,1250.41
1144,1253.36
1145,1252.98
1146,1249.69
1147,1249.62
1148,1247.19
1149,1248.92
1150,1249.98
1151,1247.3
1152,1246.41
1153,1252.64
1154,1247.86
1155,1247.3
1156,1248.2
1157,1252.1
1158,1251.55
1159,1248.93
1160,1252.97
1161,1249.79
1162,1247.34
1163,1251.95
1164,1248.25
1165,1248.6
1166,1249.59
1167,1253.01
1168,1252.27
1169,1250.04
1170,1246.62
1171,1252.92
1172,1252.13
1173,1249.64
1174,1247.07
1175,1248.46
1176,1253.33
1177,1252.22
1178,1248.84
1179,1251.62
1180,1253.44
1181,1249.87
1182,1251.22
1183,1246.85
1184,1249.45
1185,1247.04
1186,1249.0
1187,1248.44
