Minute | Consumption (W) - SCENARIO: Extreme Cold Day
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 350.02         
362    | 350.14         
363    | 347.25         
364    | 351.48         
365    | 349.95         
366    | 347.58         
367    | 349.75         
368    | 347.07         
369    | 346.60         
370    | 349.77         
371    | 350.29         
372    | 346.44         
373    | 346.56         
374    | 352.82         
375    | 349.87         
376    | 351.17         
377    | 347.87         
378    | 347.30         
379    | 347.43         
380    | 348.14         
381    | 346.87         
382    | 353.45         
383    | 346.50         
384    | 349.67         
385    | 348.76         
386    | 349.45         
387    | 348.10         
388    | 350.77         
389    | 352.40         
390    | 348.28         
391    | 2353.52        
392    | 2352.02        
393    | 2349.94        
394    | 2350.31        
395    | 2352.09        
396    | 349.66         
397    | 351.32         
398    | 352.47         
399    | 351.25         
400    | 348.26         
401    | 350.33         
402    | 349.99         
403    | 353.15         
404    | 348.69         
405    | 347.83         
406    | 352.91         
407    | 351.51         
408    | 350.80         
409    | 349.48         
410    | 352.91         
411    | 349.69         
412    | 349.78         
413    | 349.56         
414    | 350.36         
415    | 353.35         
416    | 346.61         
417    | 350.72         
418    | 351.49         
419    | 350.91         
420    | 351.54         
421    | 1150.52        
422    | 1148.52        
423    | 1151.48        
424    | 1148.74        
425    | 1149.53        
426    | 1146.87        
427    | 1151.80        
428    | 1152.25        
429    | 1148.05        
430    | 1147.36        
431    | 1153.41        
432    | 1150.92        
433    | 1147.04        
434    | 1147.53        
435    | 1152.02        
436    | 1153.02        
437    | 1148.25        
438    | 1147.58        
439    | 1150.36        
440    | 1150.62        
441    | 1151.72        
442    | 1151.04        
443    | 1147.71        
444    | 1151.76        
445    | 1149.56        
446    | 1150.70        
447    | 1148.13        
448    | 1151.17        
449    | 1148.62        
450    | 1152.49        
451    | 1148.83        
452    | 1151.42        
453    | 1151.11        
454    | 1147.91        
455    | 1152.38        
456    | 1151.21        
457    | 1149.22        
458    | 1147.97        
459    | 1151.22        
460    | 1150.90        
461    | 1152.80        
462    | 1151.35        
463    | 1152.81        
464    | 1153.33        
465    | 1149.88        
466    | 1153.13        
467    | 1148.59        
468    | 1150.28        
469    | 1151.84        
470    | 1151.22        
471    | 1148.72        
472    | 1148.61        
473    | 1151.82        
474    | 1147.21        
475    | 1147.59        
476    | 1152.62        
477    | 1148.95        
478    | 1150.93        
479    | 1149.52        
480    | 1152.65        
481    | 3152.36        
482    | 3149.36        
483    | 3149.87        
484    | 3146.71        
485    | 3149.67        
486    | 1147.11        
487    | 1148.94        
488    | 1150.24        
489    | 1146.79        
490    | 1148.09        
491    | 1148.16        
492    | 1148.43        
493    | 1152.05        
494    | 1151.32        
495    | 1151.63        
496    | 1152.76        
497    | 1152.65        
498    | 1149.30        
499    | 1150.93        
500    | 1152.80        
501    | 1147.74        
502    | 1150.89        
503    | 1149.44        
504    | 1148.42        
505    | 1152.51        
506    | 1147.50        
507    | 1147.36        
508    | 1149.01        
509    | 1147.19        
510    | 1151.61        
511    | 1149.26        
512    | 1149.74        
513    | 1151.57        
514    | 1147.45        
515    | 1151.65        
516    | 1149.43        
517    | 1152.49        
518    | 1147.71        
519    | 1146.97        
520    | 1151.13        
521    | 1151.45        
522    | 1152.04        
523    | 1147.37        
524    | 1151.00        
525    | 1146.99        
526    | 1146.42        
527    | 1148.95        
528    | 1152.69        
529    | 1147.95        
530    | 1147.58        
531    | 1149.55        
532    | 1148.41        
533    | 1148.33        
534    | 1151.49        
535    | 1151.83        
536    | 1150.57        
537    | 1150.90        
538    | 1146.69        
539    | 1150.35        
540    | 1150.42        
541    | 978.15         
542    | 977.58         
543    | 978.56         
544    | 976.65         
545    | 979.56         
546    | 978.68         
547    | 983.21         
548    | 980.24         
549    | 976.41         
550    | 976.79         
551    | 983.38         
552    | 978.68         
553    | 982.94         
554    | 982.66         
555    | 978.59         
556    | 977.31         
557    | 976.91         
558    | 979.97         
559    | 981.89         
560    | 981.81         
561    | 978.38         
562    | 979.43         
563    | 982.64         
564    | 982.20         
565    | 983.59         
566    | 980.76         
567    | 979.27         
568    | 978.38         
569    | 979.87         
570    | 979.46         
571    | 978.52         
572    | 980.90         
573    | 977.93         
574    | 977.81         
575    | 981.44         
576    | 978.88         
577    | 976.60         
578    | 980.73         
579    | 982.52         
580    | 982.08         
581    | 978.85         
582    | 977.51         
583    | 977.85         
584    | 983.52         
585    | 982.55         
586    | 981.22         
587    | 977.25         
588    | 977.75         
589    | 978.94         
590    | 976.59         
591    | 981.20         
592    | 982.95         
593    | 978.15         
594    | 982.07         
595    | 979.36         
596    | 979.39         
597    | 978.64         
598    | 982.48         
599    | 982.36         
600    | 978.86         
601    | 979.76         
602    | 977.19         
603    | 978.78         
604    | 976.74         
605    | 979.80         
606    | 978.98         
607    | 982.57         
608    | 980.94         
609    | 982.89         
610    | 980.36         
611    | 980.39         
612    | 979.99         
613    | 979.71         
614    | 979.89         
615    | 981.21         
616    | 977.87         
617    | 976.72         
618    | 982.89         
619    | 979.42         
620    | 982.11         
621    | 981.16         
622    | 982.35         
623    | 977.65         
624    | 981.59         
625    | 977.41         
626    | 977.99         
627    | 983.38         
628    | 982.59         
629    | 979.80         
630    | 981.24         
631    | 980.52         
632    | 980.90         
633    | 981.69         
634    | 980.88         
635    | 979.78         
636    | 980.87         
637    | 979.71         
638    | 983.48         
639    | 976.70         
640    | 979.93         
641    | 981.91         
642    | 979.53         
643    | 979.14         
644    | 976.66         
645    | 979.18         
646    | 981.88         
647    | 981.31         
648    | 981.55         
649    | 977.66         
650    | 979.63         
651    | 982.62         
652    | 978.73         
653    | 981.53         
654    | 980.14         
655    | 978.69         
656    | 983.03         
657    | 979.81         
658    | 979.19         
659    | 978.54         
660    | 979.86         
661    | 977.47         
662    | 980.39         
663    | 979.38         
664    | 979.87         
665    | 982.38         
666    | 983.58         
667    | 980.59         
668    | 980.95         
669    | 981.70         
670    | 976.54         
671    | 977.49         
672    | 983.19         
673    | 979.20         
674    | 978.71         
675    | 977.33         
676    | 982.78         
677    | 981.10         
678    | 979.93         
679    | 976.50         
680    | 983.54         
681    | 977.76         
682    | 981.41         
683    | 982.36         
684    | 982.88         
685    | 978.56         
686    | 980.84         
687    | 977.46         
688    | 979.99         
689    | 980.52         
690    | 977.68         
691    | 982.50         
692    | 979.99         
693    | 976.58         
694    | 983.46         
695    | 981.35         
696    | 982.35         
697    | 980.88         
698    | 981.60         
699    | 976.70         
700    | 983.11         
701    | 976.93         
702    | 983.40         
703    | 979.34         
704    | 978.64         
705    | 980.97         
706    | 980.56         
707    | 976.79         
708    | 981.48         
709    | 977.94         
710    | 979.03         
711    | 981.56         
712    | 978.00         
