Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,352.36
362,348.39
363,353.32
364,351.0
365,349.49
366,350.22
367,349.71
368,347.15
369,353.41
370,352.12
371,347.79
372,352.95
373,350.1
374,347.74
375,346.75
376,350.12
377,346.61
378,348.02
379,350.8
380,347.85
381,348.76
382,350.63
383,350.36
384,350.51
385,349.73
386,351.49
387,353.11
388,348.12
389,346.45
390,352.97
391,2351.02
392,2348.66
393,2352.91
394,2351.39
395,2351.54
396,350.02
397,350.34
398,350.33
399,347.48
400,348.42
401,351.49
402,350.21
403,350.28
404,347.84
405,353.48
406,347.16
407,349.76
408,347.43
409,346.59
410,348.12
411,348.68
412,346.72
413,349.5
414,350.67
415,349.79
416,347.19
417,347.17
418,346.41
419,347.89
420,348.17
421,750.48
422,753.43
423,749.77
424,750.59
425,752.6
426,749.41
427,746.57
428,749.49
429,752.66
430,751.53
431,748.19
432,750.0
433,749.23
434,748.18
435,749.88
436,751.44
437,752.56
438,747.99
439,752.07
440,753.42
441,748.86
442,751.01
443,751.19
444,746.93
445,752.85
446,748.59
447,747.78
448,746.62
449,748.76
450,748.65
451,748.43
452,750.46
453,752.18
454,753.04
455,747.71
456,748.73
457,747.9
458,749.4
459,746.51
460,750.52
461,747.67
462,752.64
463,747.33
464,747.02
465,751.78
466,751.43
467,746.77
468,747.87
469,746.47
470,748.58
471,751.48
472,752.65
473,748.49
474,750.63
475,752.48
476,748.71
477,752.14
478,747.46
479,752.95
480,746.67
481,2751.38
482,2750.02
483,2752.61
484,2749.44
485,2748.74
486,748.38
487,752.38
488,752.97
489,752.38
490,750.56
491,752.58
492,748.55
493,753.35
494,752.56
495,752.39
496,751.48
497,751.32
498,748.23
499,752.55
500,752.25
501,749.97
502,747.9
503,746.41
504,746.75
505,750.42
506,752.52
507,751.14
508,753.02
509,750.43
510,750.06
511,752.73
512,749.14
513,747.42
514,746.85
515,747.49
516,746.92
517,750.17
518,748.56
519,752.15
520,747.75
521,750.89
522,748.67
523,753.33
524,752.67
525,747.39
526,747.94
527,748.77
528,747.9
529,749.28
530,751.88
531,752.12
532,752.6
533,747.68
534,752.44
535,747.55
536,751.44
537,746.41
538,747.22
539,751.97
540,747.51
541,577.88
542,577.13
543,578.35
544,579.47
545,580.45
546,577.38
547,579.35
548,577.94
549,581.41
550,580.04
551,577.63
552,579.13
553,583.2
554,578.79
555,577.5
556,576.43
557,579.74
558,583.26
559,581.97
560,581.34
561,579.71
562,578.08
563,577.91
564,576.81
565,579.95
566,582.76
567,583.46
568,580.62
569,577.44
570,577.02
571,576.47
572,580.14
573,581.46
574,576.81
575,582.21
576,580.89
577,581.11
578,578.36
579,581.51
580,576.77
581,582.71
582,582.53
583,583.24
584,583.11
585,577.99
586,578.84
587,579.35
588,579.51
589,579.04
590,578.21
591,578.58
592,583.52
593,580.38
594,579.19
595,579.62
596,582.54
597,583.2
598,583.35
599,578.36
600,579.53
601,580.46
602,583.03
603,577.71
604,583.24
605,580.04
606,581.06
607,576.4
608,580.05
609,577.45
610,582.62
611,583.51
612,578.55
613,580.25
614,577.03
615,580.59
616,576.58
617,583.18
618,580.02
619,577.49
620,577.46
621,576.9
622,577.05
623,583.28
624,577.35
625,582.97
626,577.28
627,582.1
628,582.28
629,582.56
630,582.2
631,581.93
632,580.14
633,576.43
634,578.51
635,582.75
636,581.07
637,578.5
638,577.07
639,580.78
640,577.65
641,578.02
642,576.82
643,582.43
644,582.16
645,579.65
646,578.64
647,578.4
648,580.36
649,581.27
650,576.87
651,579.49
652,579.74
653,580.63
654,582.04
655,581.46
656,581.07
657,581.22
658,578.29
659,577.6
660,576.51
661,581.79
662,576.93
663,581.8
664,580.63
665,577.89
666,580.47
667,579.89
668,576.82
669,578.97
670,577.29
671,579.71
672,581.57
673,579.56
674,579.49
675,580.09
676,576.48
677,578.32
678,579.3
679,582.21
680,579.16
681,576.7
682,582.31
683,580.39
684,579.62
685,579.52
686,581.88
687,582.44
688,581.03
689,581.26
690,576.77
691,583.33
692,583.14
693,583.12
694,579.26
695,581.84
696,579.49
697,578.61
698,582.97
699,582.94
700,581.38
701,582.62
702,582.01
703,582.92
704,580.23
705,583.21
706,581.47
707,579.85
708,581.16
709,578.16
710,583.0
711,582.31
712,578.3
713,579.86
714,582.37
715,579.87
716,583.05
717,577.32
718,581.4
719,577.73
720,582.25
721,731.27
722,732.92
723,733.11
724,728.72
725,732.33
726,730.21
727,727.54
728,732.13
729,729.78
730,727.87
731,1731.39
732,1730.14
733,1732.5
734,1731.72
735,1727.78
736,1729.68
737,1728.87
738,1729.85
739,1727.97
740,1732.85
741,727.65
742,731.14
743,728.62
744,727.26
745,729.21
746,726.92
747,732.53
748,732.52
749,730.41
750,733.03
751,730.89
752,733.39
753,728.13
754,732.02
755,731.53
756,728.99
757,727.5
758,732.91
759,731.73
760,733.25
761,727.67
762,726.61
763,728.61
764,728.72
765,729.6
766,732.81
767,731.59
768,727.83
769,728.72
770,733.08
771,730.09
772,728.4
773,732.88
774,729.49
775,729.86
776,731.87
777,728.4
778,726.54
779,728.26
780,732.92
781,702.26
782,698.71
783,701.82
784,700.72
785,698.64
786,701.94
787,700.76
788,702.1
789,697.16
790,702.95
791,701.66
792,698.37
793,703.59
794,697.49
795,700.91
796,697.59
797,699.46
798,701.18
799,699.1
800,700.95
801,699.64
802,697.58
803,699.03
804,700.05
805,700.2
806,702.01
807,699.43
808,696.41
809,697.02
810,700.58
811,699.49
812,698.35
813,698.08
814,702.84
815,700.15
816,698.2
817,699.89
818,703.36
819,701.15
820,697.66
821,701.96
822,697.68
823,697.61
824,697.06
825,702.28
826,698.43
827,698.26
828,699.09
829,702.76
830,703.43
831,699.26
832,700.37
833,699.89
834,699.93
835,702.61
836,700.31
837,702.77
838,700.0
839,699.93
840,702.7
841,3468.05
842,3466.66
843,3466.91
844,3472.46
845,3471.59
846,3471.01
847,3467.05
848,3471.98
849,3470.55
850,3468.3
851,3472.12
852,3466.54
853,3468.85
854,3472.4
855,3466.79
856,3472.03
857,3471.7
858,3466.56
859,3470.56
860,3470.57
861,3467.98
862,3470.25
863,3473.0
864,3466.45
865,3471.45
866,3468.7
867,3472.32
868,3470.03
869,3469.09
870,3471.44
871,3471.84
872,3467.97
873,3472.73
874,3470.94
875,3468.19
876,3473.14
877,3470.79
878,3472.58
879,3470.79
880,3471.75
881,3468.83
882,3469.5
883,3472.58
884,3466.87
885,3471.44
886,3467.54
887,3472.21
888,3468.65
889,3469.5
890,3471.08
891,3468.61
892,3470.14
893,3468.02
894,3468.29
895,3469.2
896,3470.56
897,3473.3
898,3468.37
899,3469.88
900,3467.37
901,3469.35
902,3467.85
903,3472.96
904,3472.81
905,3466.69
906,3472.5
907,3469.07
908,3470.28
909,3472.69
910,3469.84
911,3471.27
912,3471.59
913,3467.08
914,3470.6
915,3468.72
916,3468.77
917,3469.55
918,3472.58
919,3467.23
920,3467.27
921,3467.04
922,3467.89
923,3471.81
924,3467.61
925,3473.16
926,3472.15
927,3472.35
928,3467.12
929,3473.42
930,3471.22
931,3467.41
932,3468.31
933,3467.87
934,3469.77
935,3471.75
936,3470.65
937,3471.52
938,3472.11
939,3472.79
940,3473.08
941,3470.47
942,3468.45
943,3467.75
944,3467.51
945,3471.34
946,3472.39
947,3466.62
948,3469.02
949,3471.75
950,3468.86
951,3467.61
952,3467.22
953,3472.98
954,3468.76
955,3466.85
956,3472.01
957,3469.76
958,3468.33
959,3471.34
960,3470.0
961,970.61
962,969.21
963,972.57
964,969.98
965,966.49
966,972.54
967,970.15
968,969.12
969,970.68
970,973.14
971,971.14
972,970.75
973,970.24
974,969.76
975,967.72
976,971.79
977,968.89
978,968.47
979,968.95
980,967.58
981,969.29
982,972.01
983,967.3
984,972.39
985,973.43
986,967.0
987,969.14
988,972.8
989,969.89
990,972.11
991,972.23
992,971.01
993,970.06
994,969.91
995,971.85
996,972.32
997,972.58
998,971.19
999,969.57
1000,970.07
1001,967.27
1002,970.25
1003,970.3
1004,967.66
1005,970.13
1006,971.17
1007,971.61
1008,971.96
1009,966.49
1010,967.68
1011,968.16
1012,968.88
1013,971.86
1014,972.25
1015,969.09
1016,973.14
1017,970.34
1018,970.66
1019,971.19
1020,970.77
1021,1122.94
1022,1122.65
1023,1116.73
1024,1123.14
1025,1117.03
1026,1120.81
1027,1123.57
1028,1122.29
1029,1122.51
1030,1122.09
1031,1122.7
1032,1116.65
1033,1118.43
1034,1123.39
1035,1120.44
1036,1119.86
1037,1117.71
1038,1117.37
1039,1117.96
1040,1117.89
1041,1122.79
1042,1122.24
1043,1116.43
1044,1119.14
1045,1121.17
1046,1120.77
1047,1116.55
1048,1118.99
1049,1116.86
1050,1117.88
1051,1117.25
1052,1120.59
1053,1118.02
1054,1119.19
1055,1117.59
1056,1117.84
1057,1120.92
1058,1116.63
1059,1117.44
1060,1123.37
1061,1121.29
1062,1119.76
1063,1121.86
1064,1123.03
1065,1122.37
1066,1118.55
1067,1122.17
1068,1117.83
1069,1121.27
1070,1117.76
1071,1119.78
1072,1119.02
1073,1118.73
1074,1123.43
1075,1117.14
1076,1116.9
1077,1121.98
1078,1116.54
1079,1120.6
1080,1120.66
1081,850.82
1082,852.22
1083,849.76
1084,846.56
1085,848.11
1086,846.56
1087,848.82
1088,847.49
1089,850.72
1090,852.33
1091,851.58
1092,848.62
1093,847.31
1094,847.86
1095,852.1
1096,851.46
1097,853.5
1098,853.14
1099,848.11
1100,852.62
1101,848.29
1102,853.51
1103,848.11
1104,853.46
1105,849.48
1106,852.71
1107,847.44
1108,847.1
1109,853.22
1110,846.51
1111,850.31
1112,847.81
1113,853.08
1114,847.92
1115,846.63
1116,847.06
1117,848.04
1118,850.63
1119,851.24
1120,852.08
1121,848.99
1122,851.46
1123,846.77
1124,848.99
1125,850.49
1126,849.76
1127,850.91
1128,848.82
1129,851.99
1130,851.51
1131,851.51
1132,846.95
1133,847.93
1134,847.45
1135,849.35
1136,847.35
1137,851.13
1138,848.83
1139,848.79
1140,848.21
1141,848.91
1142,849.17
1143,849.32
1144,846.77
1145,846.94
1146,846.5
1147,846.78
1148,850.2
1149,851.65
1150,851.96
1151,848.81
1152,848.04
1153,848.33
1154,848.26
1155,847.97
1156,848.58
1157,847.4
1158,853.29
1159,847.26
1160,846.82
1161,848.5
1162,851.41
1163,852.85
1164,848.12
1165,853.37
1166,851.62
1167,847.87
1168,851.87
1169,851.44
1170,850.01
1171,847.72
1172,848.8
1173,846.7
1174,846.98
1175,850.59
1176,848.71
1177,853.38
1178,851.57
1179,850.39
1180,848.86
1181,853.0
1182,847.38
1183,848.07
1184,847.18
1185,849.04
1186,846.9
1187,848.3
1188,850.22
1189,846.51
1190,849.14
1191,851.71
1192,851.78
1193,850.39
1194,852.17
1195,849.22
1196,847.02
1197,848.0
1198,846.53
1199,848.15
1200,852.53
1201,846.47
1202,851.97
1203,852.75
1204,851.22
1205,850.68
1206,853.25
1207,848.83
1208,849.03
1209,848.66
1210,846.5
1211,853.31
1212,852.52
1213,852.28
1214,852.6
1215,848.95
1216,847.34
1217,853.44
1218,848.33
1219,850.39
1220,851.09
1221,847.5
1222,850.01
1223,847.44
1224,847.21
1225,847.21
1226,851.63
1227,849.6
1228,852.84
1229,852.74
1230,847.39
1231,847.81
1232,853.32
1233,848.97
1234,850.07
1235,850.05
1236,853.36
1237,852.4
1238,849.09
1239,852.06
1240,849.42
1241,847.32
1242,852.68
1243,848.15
1244,851.37
