Minute | Consumption (W) - SCENARIO: Grandchildren Visit
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 347.57         
362    | 346.50         
363    | 348.41         
364    | 349.95         
365    | 351.44         
366    | 347.17         
367    | 351.82         
368    | 347.27         
369    | 350.91         
370    | 347.93         
371    | 352.83         
372    | 350.05         
373    | 351.93         
374    | 350.43         
375    | 352.12         
376    | 346.41         
377    | 352.04         
378    | 347.83         
379    | 349.05         
380    | 346.72         
381    | 349.07         
382    | 351.38         
383    | 347.60         
384    | 351.40         
385    | 350.71         
386    | 346.41         
387    | 347.08         
388    | 348.23         
389    | 348.83         
390    | 349.57         
391    | 2347.12        
392    | 2349.41        
393    | 2349.80        
394    | 2350.19        
395    | 2349.25        
396    | 346.75         
397    | 351.99         
398    | 349.56         
399    | 349.84         
400    | 348.83         
401    | 347.00         
402    | 350.11         
403    | 353.53         
404    | 352.78         
405    | 351.19         
406    | 347.05         
407    | 351.81         
408    | 349.73         
409    | 351.33         
410    | 352.35         
411    | 350.36         
412    | 347.55         
413    | 350.63         
414    | 350.39         
415    | 352.59         
416    | 352.59         
417    | 351.57         
418    | 350.66         
419    | 348.84         
420    | 350.32         
421    | 748.88         
422    | 752.85         
423    | 750.61         
424    | 753.49         
425    | 750.03         
426    | 746.88         
427    | 751.38         
428    | 750.46         
429    | 752.70         
430    | 751.95         
431    | 751.98         
432    | 753.01         
433    | 746.55         
434    | 749.96         
435    | 747.51         
436    | 748.17         
437    | 752.68         
438    | 751.91         
439    | 751.58         
440    | 749.02         
441    | 750.06         
442    | 751.59         
443    | 750.87         
444    | 747.80         
445    | 752.77         
446    | 750.24         
447    | 751.39         
448    | 746.76         
449    | 749.37         
450    | 750.04         
451    | 748.57         
452    | 749.23         
453    | 749.58         
454    | 746.99         
455    | 746.79         
456    | 748.13         
457    | 751.62         
458    | 750.24         
459    | 752.02         
460    | 752.25         
461    | 750.79         
462    | 751.85         
463    | 752.10         
464    | 747.61         
465    | 748.37         
466    | 753.31         
467    | 750.20         
468    | 747.33         
469    | 752.13         
470    | 750.18         
471    | 750.01         
472    | 749.94         
473    | 751.23         
474    | 747.49         
475    | 753.12         
476    | 750.51         
477    | 747.59         
478    | 750.76         
479    | 752.33         
480    | 751.40         
481    | 2749.41        
482    | 2749.53        
483    | 2750.40        
484    | 2753.25        
485    | 2747.60        
486    | 747.93         
487    | 748.41         
488    | 748.87         
489    | 751.11         
490    | 750.77         
491    | 751.10         
492    | 749.89         
493    | 751.06         
494    | 748.41         
495    | 753.42         
496    | 747.62         
497    | 747.78         
498    | 748.12         
499    | 751.49         
500    | 751.23         
501    | 753.43         
502    | 748.57         
503    | 752.87         
504    | 752.86         
505    | 746.98         
506    | 750.61         
507    | 750.55         
508    | 753.02         
509    | 748.88         
510    | 751.74         
511    | 753.17         
512    | 748.70         
513    | 749.04         
514    | 752.17         
515    | 752.21         
516    | 750.69         
517    | 750.92         
518    | 746.83         
519    | 750.19         
520    | 747.53         
521    | 753.30         
522    | 753.16         
523    | 747.80         
524    | 752.26         
525    | 747.15         
526    | 751.39         
527    | 751.85         
528    | 747.48         
529    | 749.40         
530    | 752.20         
531    | 751.73         
532    | 746.95         
533    | 750.14         
534    | 746.41         
535    | 748.08         
536    | 747.72         
537    | 753.53         
538    | 752.06         
539    | 749.10         
540    | 746.83         
541    | 577.32         
542    | 577.16         
543    | 576.55         
544    | 579.62         
545    | 577.49         
546    | 581.44         
547    | 579.13         
548    | 581.70         
549    | 583.51         
550    | 579.35         
551    | 581.90         
552    | 577.00         
553    | 583.05         
554    | 581.40         
555    | 581.20         
556    | 578.61         
557    | 583.24         
558    | 583.35         
559    | 582.15         
560    | 577.27         
561    | 576.44         
562    | 577.08         
563    | 576.64         
564    | 581.57         
565    | 582.62         
566    | 578.05         
567    | 582.04         
568    | 578.90         
569    | 578.43         
570    | 578.65         
571    | 579.86         
572    | 578.85         
573    | 578.54         
574    | 582.59         
575    | 577.25         
576    | 581.80         
577    | 581.15         
578    | 577.55         
579    | 583.20         
580    | 577.93         
581    | 578.43         
582    | 578.60         
583    | 582.89         
584    | 583.46         
585    | 581.79         
586    | 576.52         
587    | 577.15         
588    | 579.52         
589    | 579.55         
590    | 582.70         
591    | 580.67         
592    | 580.52         
593    | 579.88         
594    | 578.45         
595    | 577.65         
596    | 581.95         
597    | 580.24         
598    | 578.27         
599    | 582.65         
600    | 583.24         
601    | 578.13         
602    | 580.38         
603    | 579.11         
604    | 579.53         
605    | 578.70         
606    | 579.26         
607    | 578.19         
608    | 581.11         
609    | 581.80         
610    | 577.21         
611    | 579.70         
612    | 580.30         
613    | 576.41         
614    | 577.45         
615    | 581.27         
616    | 576.44         
617    | 581.95         
618    | 577.31         
619    | 579.83         
620    | 581.63         
621    | 579.90         
622    | 577.51         
623    | 580.45         
624    | 577.79         
625    | 581.37         
626    | 582.38         
627    | 576.93         
628    | 576.94         
629    | 579.14         
630    | 577.57         
631    | 576.70         
632    | 580.27         
633    | 580.26         
634    | 577.01         
635    | 581.60         
636    | 577.67         
637    | 578.22         
638    | 577.91         
639    | 577.68         
640    | 581.08         
641    | 579.93         
642    | 578.40         
643    | 581.41         
644    | 576.72         
645    | 580.94         
646    | 580.79         
647    | 578.24         
648    | 581.60         
649    | 580.04         
650    | 579.15         
651    | 583.54         
652    | 581.79         
653    | 577.07         
654    | 576.94         
655    | 578.23         
656    | 580.85         
657    | 581.69         
658    | 577.63         
659    | 583.38         
660    | 577.59         
661    | 583.15         
662    | 583.52         
663    | 582.16         
664    | 579.07         
665    | 581.99         
666    | 580.06         
667    | 581.82         
668    | 578.21         
669    | 578.13         
670    | 576.54         
671    | 583.44         
672    | 582.18         
673    | 579.98         
674    | 576.59         
675    | 580.57         
676    | 577.77         
677    | 577.75         
678    | 578.27         
679    | 577.82         
680    | 577.04         
681    | 580.44         
682    | 580.40         
683    | 576.99         
684    | 579.16         
685    | 579.74         
686    | 582.24         
687    | 580.71         
688    | 579.99         
689    | 583.35         
690    | 576.46         
691    | 577.19         
692    | 580.40         
693    | 577.02         
694    | 580.74         
695    | 577.85         
696    | 583.14         
697    | 578.92         
698    | 580.35         
699    | 583.04         
700    | 581.65         
701    | 580.03         
702    | 576.64         
703    | 577.34         
704    | 581.91         
705    | 579.76         
706    | 583.39         
707    | 579.90         
708    | 580.15         
709    | 580.72         
710    | 579.16         
711    | 581.83         
712    | 578.64         
713    | 579.88         
714    | 579.83         
715    | 583.41         
716    | 577.61         
717    | 577.75         
718    | 582.07         
719    | 577.00         
720    | 578.00         
721    | 731.08         
722    | 730.27         
723    | 730.58         
724    | 729.30         
