Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,350.56
362,351.1
363,350.41
364,351.18
365,346.49
366,349.34
367,346.51
368,353.39
369,353.36
370,349.67
371,351.77
372,348.79
373,348.73
374,352.79
375,351.72
376,352.86
377,351.48
378,347.43
379,348.71
380,347.0
381,350.42
382,353.6
383,349.32
384,347.89
385,350.26
386,353.25
387,350.72
388,346.91
389,348.58
390,349.58
391,2350.16
392,2350.76
393,2349.58
394,2353.24
395,2352.61
396,353.44
397,347.65
398,351.66
399,349.45
400,352.86
401,349.87
402,351.1
403,349.49
404,349.55
405,348.44
406,348.37
407,352.81
408,348.98
409,348.18
410,348.65
411,352.67
412,347.69
413,351.88
414,349.97
415,351.23
416,351.79
417,346.68
418,352.87
419,351.61
420,350.1
421,748.23
422,748.91
423,748.47
424,747.47
425,750.22
426,747.34
427,747.86
428,747.93
429,750.08
430,752.56
431,750.33
432,747.55
433,747.16
434,748.96
435,750.52
436,750.25
437,751.94
438,746.4
439,751.53
440,749.59
441,747.27
442,751.25
443,750.01
444,750.69
445,751.09
446,747.49
447,748.52
448,751.13
449,747.77
450,749.72
451,747.11
452,750.08
453,751.87
454,753.26
455,752.09
456,753.08
457,748.36
458,750.58
459,748.53
460,750.23
461,749.61
462,748.72
463,751.93
464,748.08
465,746.93
466,749.27
467,751.84
468,749.1
469,751.53
470,750.38
471,747.62
472,751.99
473,750.96
474,750.73
475,747.38
476,750.7
477,750.96
478,748.61
479,748.44
480,750.73
481,2747.53
482,2749.43
483,2750.46
484,2751.36
485,2752.47
486,751.08
487,750.02
488,747.4
489,752.62
490,746.43
491,751.72
492,753.35
493,751.95
494,749.04
495,747.15
496,752.46
497,751.73
498,747.52
499,746.65
500,752.75
501,750.41
502,753.0
503,749.87
504,748.57
505,752.34
506,750.84
507,752.43
508,753.44
509,751.55
510,749.58
511,747.26
512,753.18
513,749.93
514,752.71
515,753.28
516,751.31
517,752.69
518,752.3
519,748.45
520,748.89
521,752.44
522,746.49
523,749.75
524,747.44
525,752.04
526,747.82
527,752.16
528,752.99
529,751.9
530,748.29
531,748.57
532,751.76
533,752.89
534,750.83
535,746.66
536,753.29
537,750.7
538,749.21
539,748.29
540,749.41
541,582.59
542,576.8
543,581.92
544,581.63
545,581.89
546,579.36
547,582.97
548,580.83
549,579.36
550,577.0
551,579.76
552,578.96
553,579.93
554,581.27
555,581.42
556,579.06
557,579.69
558,582.93
559,580.46
560,581.0
561,582.19
562,579.63
563,581.14
564,581.9
565,580.84
566,579.13
567,583.36
568,579.79
569,583.47
570,581.91
571,576.44
572,580.76
573,578.31
574,581.36
575,583.27
576,581.92
577,582.93
578,582.52
579,577.43
580,580.33
581,581.59
582,580.0
583,577.69
584,577.8
585,577.35
586,576.75
587,582.42
588,578.82
589,576.97
590,583.06
591,581.59
592,583.28
593,579.29
594,583.36
595,578.5
596,580.09
597,579.27
598,579.66
599,580.75
600,582.47
601,2079.13
602,2083.07
603,2081.42
604,2077.85
605,2076.76
606,2079.92
607,2079.33
608,2081.36
609,2080.68
610,2077.45
611,2082.61
612,2080.62
613,2078.48
614,2083.29
615,2077.02
616,2081.77
617,2076.95
618,2079.69
619,2081.01
620,2076.97
621,2077.05
622,2082.88
623,2081.55
624,2081.75
625,2077.71
626,2079.73
627,2079.15
628,2077.94
629,2079.31
630,2076.51
631,2079.14
632,2082.13
633,2078.57
634,2077.82
635,2076.76
636,2077.94
637,2079.67
638,2083.54
639,2079.09
640,2082.7
641,2079.81
642,2080.3
643,2076.51
644,2079.52
645,2083.17
646,2079.83
647,2079.69
648,2082.85
649,2080.12
650,2083.41
651,2081.72
652,2082.43
653,2077.81
654,2082.17
655,2081.51
656,2077.73
657,2082.58
658,2082.09
659,2079.55
660,2080.2
661,578.87
662,582.59
663,580.19
664,580.53
665,578.06
666,581.88
667,577.72
668,579.6
669,578.75
670,582.24
671,578.11
672,580.79
673,580.24
674,582.74
675,582.59
676,577.77
677,581.88
678,577.85
679,578.2
680,580.12
681,582.73
682,578.34
683,581.44
684,582.55
685,581.36
686,577.16
687,583.06
688,581.03
689,577.23
690,578.55
691,583.13
692,582.32
693,580.95
694,580.52
695,577.48
696,581.55
697,582.27
698,580.39
699,579.35
700,581.5
701,577.66
702,578.18
703,581.05
704,577.82
705,583.24
706,576.95
707,583.42
708,580.58
709,580.73
710,582.47
711,581.45
712,580.95
713,581.7
714,582.59
715,582.73
716,576.49
717,578.16
718,579.15
719,583.22
720,583.1
721,2729.92
722,2729.83
723,2727.19
724,2726.94
725,2731.6
726,2727.28
727,2729.38
728,2728.24
729,2729.81
730,2732.03
731,3729.5
732,3731.35
733,3727.87
734,3726.46
735,3729.65
736,3730.83
737,3733.09
738,3732.32
739,3729.62
740,3729.01
741,2729.44
742,2731.08
743,2731.64
744,2732.24
745,2729.75
746,2731.96
747,2731.61
748,2728.81
749,2731.17
750,2730.04
751,2727.38
752,2728.09
753,2727.13
754,2729.59
755,2727.68
756,2727.6
757,2730.28
758,2733.35
759,2729.3
760,2732.3
761,2727.45
762,2730.12
763,2727.46
764,2730.89
765,2727.45
766,2728.18
767,2730.06
768,2728.14
769,2729.7
770,2732.98
771,2730.64
772,2727.2
773,2727.74
774,2731.34
775,2731.56
776,2731.22
777,2727.03
778,2727.58
779,2727.96
780,2731.09
781,702.57
782,698.15
783,700.81
784,697.31
785,701.91
786,698.95
787,698.68
788,699.42
789,700.23
790,696.99
791,699.68
792,701.29
793,697.86
794,702.66
795,696.98
796,703.18
797,703.46
798,702.83
799,697.07
800,697.06
801,699.14
802,697.63
803,703.2
804,697.18
805,702.33
806,700.81
807,703.01
808,697.5
809,696.69
810,696.95
811,701.73
812,702.11
813,698.4
814,701.06
815,698.65
816,700.99
817,697.09
818,702.34
819,698.8
820,697.59
821,700.15
822,701.04
823,697.54
824,699.63
825,699.36
826,698.39
827,700.28
828,702.09
829,702.65
830,701.32
831,701.0
832,697.02
833,696.68
834,696.94
835,699.89
836,698.83
837,701.81
838,703.58
839,700.46
840,696.74
841,696.68
842,703.52
843,697.47
844,703.37
845,698.2
846,698.12
847,700.77
848,697.36
849,696.75
850,699.09
851,700.06
852,702.51
853,697.79
854,700.01
855,700.87
856,700.03
857,699.09
858,698.75
859,702.82
860,702.43
861,702.1
862,702.71
863,701.84
864,701.13
865,703.1
866,699.94
867,700.03
868,701.39
869,701.65
870,698.39
871,698.4
872,703.23
873,701.22
874,696.42
875,698.44
876,698.3
877,702.2
878,697.2
879,701.45
880,697.72
881,697.94
882,703.57
883,700.4
884,696.54
885,701.99
886,699.42
887,701.57
888,697.03
889,700.43
890,698.92
891,700.36
892,701.43
893,697.19
894,703.11
895,700.55
896,698.92
897,702.81
898,699.53
899,700.16
900,699.8
901,697.46
902,700.47
903,703.45
904,697.66
905,698.97
906,702.67
907,703.51
908,697.34
909,697.81
910,697.83
911,702.58
912,700.42
913,699.95
914,697.48
915,700.47
916,696.5
917,697.73
918,696.93
919,699.98
920,702.67
921,703.12
922,697.3
923,699.43
924,701.41
925,700.51
926,696.56
927,698.31
928,701.6
929,701.9
930,699.36
931,702.78
932,698.86
933,699.46
934,697.5
935,699.04
936,701.76
937,700.58
938,703.48
939,702.65
940,699.7
941,701.15
942,698.12
943,703.3
944,697.55
945,701.74
946,697.8
947,696.95
948,697.4
949,697.14
950,696.48
951,702.25
952,702.76
953,702.15
954,697.57
955,697.21
956,699.79
957,698.06
958,703.36
959,703.31
960,698.47
961,700.47
962,702.79
963,703.07
964,698.06
965,701.92
966,698.48
967,701.93
968,700.75
969,703.28
970,701.84
971,701.36
972,703.42
973,702.75
974,702.62
975,698.78
976,701.27
977,701.84
978,701.45
979,699.34
980,703.47
981,698.02
982,703.14
983,701.76
984,701.51
985,701.18
986,699.01
987,703.49
988,703.21
989,703.26
990,702.36
991,699.86
992,702.44
993,697.42
994,696.58
995,701.42
996,700.24
997,697.46
998,698.49
999,697.72
1000,701.35
1001,699.82
1002,701.48
1003,700.08
1004,699.39
1005,703.27
1006,703.33
1007,702.13
1008,701.87
1009,699.96
1010,699.31
1011,699.38
1012,702.42
1013,701.12
1014,699.7
1015,703.06
1016,702.02
1017,697.7
1018,701.55
1019,698.05
1020,697.64
1021,846.59
1022,850.97
1023,851.14
1024,849.58
1025,847.87
1026,849.35
1027,846.6
1028,847.01
1029,852.75
1030,850.42
1031,847.16
1032,850.4
1033,847.19
1034,848.94
1035,847.68
1036,852.87
1037,849.9
1038,846.93
1039,850.61
1040,846.63
1041,850.85
1042,852.81
1043,853.6
1044,846.89
1045,846.66
1046,846.92
1047,853.08
1048,850.51
1049,851.9
1050,847.87
1051,847.5
1052,852.97
1053,852.9
1054,851.95
1055,851.04
1056,849.94
1057,851.23
1058,848.66
1059,851.04
1060,853.12
1061,850.54
1062,850.82
1063,853.29
1064,851.46
1065,850.43
1066,852.21
1067,852.69
1068,846.7
1069,850.13
1070,847.09
1071,846.79
1072,846.75
1073,850.5
1074,847.73
1075,851.63
1076,853.14
1077,849.54
1078,853.57
1079,848.79
1080,848.65
1081,848.44
1082,850.71
1083,851.18
1084,849.83
1085,849.61
1086,853.24
1087,847.18
1088,847.81
1089,853.08
1090,850.35
1091,850.98
1092,852.22
1093,852.95
1094,846.66
1095,849.16
1096,846.5
1097,849.05
1098,847.41
1099,846.72
1100,850.39
1101,847.84
1102,849.62
1103,852.72
1104,852.19
1105,848.68
1106,847.63
1107,852.61
1108,847.96
1109,849.93
1110,849.35
1111,3348.55
1112,3350.29
1113,3351.68
1114,3352.34
1115,3352.59
1116,3348.52
1117,3347.53
1118,3353.35
1119,3346.89
1120,3348.61
1121,3349.99
1122,3349.75
1123,3349.39
1124,3352.67
1125,3348.08
1126,3347.51
1127,3348.24
1128,3349.2
1129,3347.11
1130,3348.7
1131,3350.34
1132,3351.46
1133,3349.59
1134,3348.85
1135,3351.38
1136,3347.81
1137,3353.31
1138,3351.93
1139,3352.99
1140,3347.13
1141,852.39
1142,853.29
1143,850.86
1144,849.55
1145,849.29
1146,852.29
1147,850.14
1148,848.02
1149,852.32
1150,848.43
1151,847.46
1152,852.23
1153,850.39
1154,849.31
1155,852.43
1156,847.66
1157,850.2
1158,852.19
1159,851.63
1160,851.29
1161,848.48
1162,849.77
1163,851.1
1164,846.77
1165,849.22
1166,849.35
1167,850.79
1168,851.64
1169,848.76
1170,846.97
1171,850.45
1172,850.46
1173,849.6
1174,850.97
1175,848.53
1176,848.04
1177,847.24
1178,852.32
1179,852.09
1180,847.91
1181,848.33
1182,847.14
1183,847.68
1184,852.16
1185,850.43
1186,850.38
1187,848.92
1188,848.63
1189,853.03
1190,850.31
1191,852.75
1192,851.08
1193,847.48
1194,847.15
1195,847.47
1196,848.2
1197,852.15
1198,851.25
1199,852.06
1200,847.48
1201,851.79
1202,853.48
1203,850.86
1204,853.4
1205,847.22
1206,852.13
1207,846.58
1208,853.01
1209,848.49
1210,851.51
1211,852.72
1212,852.58
1213,849.74
1214,848.65
1215,851.5
1216,853.39
1217,848.01
1218,848.92
1219,847.49
1220,853.57
1221,849.67
1222,847.64
1223,847.7
1224,851.75
1225,851.38
1226,850.17
1227,851.69
1228,853.11
1229,851.78
1230,852.49
1231,851.46
1232,852.01
1233,851.17
1234,848.97
1235,849.69
1236,846.97
1237,850.62
1238,851.01
1239,850.7
1240,851.48
1241,848.82
1242,850.97
1243,847.28
1244,846.6
1245,851.41
1246,851.25
1247,850.54
1248,847.58
1249,851.3
