Minute | Consumption (W) - SCENARIO: Laundry + Cooking + Guests
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 350.47         
362    | 351.31         
363    | 347.68         
364    | 350.38         
365    | 348.42         
366    | 347.32         
367    | 351.54         
368    | 352.30         
369    | 351.56         
370    | 348.98         
371    | 346.42         
372    | 353.39         
373    | 351.25         
374    | 347.57         
375    | 348.17         
376    | 346.69         
377    | 350.08         
378    | 351.83         
379    | 352.23         
380    | 351.73         
381    | 351.27         
382    | 352.43         
383    | 350.08         
384    | 346.47         
385    | 349.07         
386    | 353.55         
387    | 349.62         
388    | 347.93         
389    | 349.47         
390    | 347.65         
391    | 2346.68        
392    | 2349.44        
393    | 2348.25        
394    | 2351.64        
395    | 2347.11        
396    | 351.62         
397    | 352.03         
398    | 349.51         
399    | 353.55         
400    | 348.25         
401    | 348.94         
402    | 353.03         
403    | 348.76         
404    | 348.92         
405    | 352.05         
406    | 351.82         
407    | 350.02         
408    | 351.63         
409    | 352.85         
410    | 346.89         
411    | 352.00         
412    | 353.44         
413    | 346.73         
414    | 349.36         
415    | 349.17         
416    | 347.19         
417    | 349.66         
418    | 350.41         
419    | 352.97         
420    | 352.98         
421    | 748.96         
422    | 747.38         
423    | 747.07         
424    | 752.77         
425    | 747.27         
426    | 750.95         
427    | 753.14         
428    | 751.48         
429    | 749.96         
430    | 747.45         
431    | 751.44         
432    | 747.99         
433    | 752.14         
434    | 751.98         
435    | 748.15         
436    | 751.21         
437    | 752.25         
438    | 750.44         
439    | 752.20         
440    | 748.04         
441    | 748.29         
442    | 752.22         
443    | 748.93         
444    | 752.95         
445    | 751.00         
446    | 750.78         
447    | 752.46         
448    | 747.47         
449    | 750.60         
450    | 753.43         
451    | 753.08         
452    | 751.00         
453    | 748.98         
454    | 748.61         
455    | 752.97         
456    | 746.67         
457    | 752.13         
458    | 749.26         
459    | 750.44         
460    | 751.04         
461    | 749.22         
462    | 749.95         
463    | 753.41         
464    | 751.50         
465    | 749.98         
466    | 748.90         
467    | 746.43         
468    | 747.37         
469    | 752.50         
470    | 750.80         
471    | 752.80         
472    | 750.68         
473    | 746.82         
474    | 747.11         
475    | 752.07         
476    | 753.20         
477    | 747.59         
478    | 749.42         
479    | 749.13         
480    | 749.02         
481    | 2749.13        
482    | 2751.84        
483    | 2748.80        
484    | 2753.21        
485    | 2748.02        
486    | 748.32         
487    | 747.05         
488    | 748.32         
489    | 752.72         
490    | 746.51         
491    | 747.94         
492    | 750.69         
493    | 748.79         
494    | 747.76         
495    | 746.46         
496    | 753.39         
497    | 747.34         
498    | 750.20         
499    | 752.84         
500    | 751.99         
501    | 753.26         
502    | 751.28         
503    | 748.55         
504    | 748.78         
505    | 751.44         
506    | 746.90         
507    | 747.80         
508    | 750.36         
509    | 748.05         
510    | 746.84         
511    | 747.79         
512    | 747.71         
513    | 749.20         
514    | 747.56         
515    | 748.28         
516    | 747.30         
517    | 751.61         
518    | 749.00         
519    | 752.83         
520    | 749.20         
521    | 746.60         
522    | 753.01         
523    | 751.28         
524    | 751.99         
525    | 750.41         
526    | 751.97         
527    | 753.25         
528    | 747.55         
529    | 747.22         
530    | 753.43         
531    | 751.74         
532    | 750.01         
533    | 751.17         
534    | 752.23         
535    | 751.43         
536    | 749.14         
537    | 749.85         
538    | 752.34         
539    | 750.68         
540    | 752.85         
541    | 583.56         
542    | 580.52         
543    | 580.95         
544    | 579.59         
545    | 582.09         
546    | 581.29         
547    | 578.28         
548    | 577.07         
549    | 578.06         
550    | 578.27         
551    | 576.67         
552    | 578.12         
553    | 580.14         
554    | 582.17         
555    | 579.74         
556    | 579.30         
557    | 583.22         
558    | 577.21         
559    | 576.92         
560    | 582.90         
561    | 578.25         
562    | 578.81         
563    | 578.53         
564    | 581.88         
565    | 583.08         
566    | 578.62         
567    | 581.49         
568    | 577.97         
569    | 581.95         
570    | 579.10         
571    | 578.97         
572    | 577.06         
573    | 580.03         
574    | 580.68         
575    | 578.65         
576    | 576.72         
577    | 581.30         
578    | 580.27         
579    | 579.15         
580    | 577.08         
581    | 579.50         
582    | 583.14         
583    | 576.84         
584    | 583.19         
585    | 577.01         
586    | 579.99         
587    | 579.88         
588    | 578.79         
589    | 582.54         
590    | 583.07         
591    | 576.64         
592    | 581.00         
593    | 578.57         
594    | 581.43         
595    | 578.07         
596    | 577.74         
597    | 577.70         
598    | 581.53         
599    | 580.89         
600    | 580.13         
601    | 2080.74        
602    | 2078.16        
603    | 2080.33        
604    | 2081.46        
605    | 2081.67        
606    | 2076.80        
607    | 2083.56        
608    | 2077.66        
609    | 2083.49        
610    | 2081.75        
611    | 2082.42        
612    | 2078.14        
613    | 2077.41        
614    | 2083.49        
615    | 2079.96        
616    | 2079.87        
617    | 2077.84        
618    | 2076.52        
619    | 2080.00        
620    | 2081.30        
621    | 2079.34        
622    | 2079.21        
623    | 2081.96        
624    | 2079.32        
625    | 2079.32        
626    | 2078.14        
627    | 2077.87        
628    | 2082.91        
629    | 2083.29        
630    | 2081.62        
631    | 2082.82        
632    | 2083.35        
633    | 2082.56        
634    | 2082.58        
635    | 2082.62        
636    | 2081.00        
637    | 2080.27        
638    | 2078.28        
639    | 2083.38        
640    | 2078.54        
641    | 2082.62        
642    | 2083.41        
643    | 2082.96        
644    | 2081.84        
645    | 2076.53        
646    | 2083.59        
647    | 2076.91        
648    | 2076.75        
649    | 2079.38        
650    | 2080.30        
651    | 2083.28        
652    | 2081.99        
653    | 2078.38        
654    | 2078.57        
655    | 2082.47        
656    | 2082.50        
657    | 2080.79        
658    | 2080.41        
659    | 2078.93        
660    | 2078.45        
661    | 577.50         
662    | 580.52         
663    | 579.74         
664    | 580.65         
665    | 580.05         
666    | 580.75         
667    | 578.35         
668    | 580.08         
669    | 576.65         
670    | 578.70         
671    | 578.65         
672    | 576.81         
673    | 580.80         
674    | 577.56         
675    | 581.30         
676    | 582.35         
677    | 579.87         
678    | 577.26         
679    | 577.01         
680    | 576.92         
681    | 582.21         
682    | 582.70         
683    | 583.03         
684    | 581.89         
685    | 582.24         
686    | 580.07         
687    | 580.57         
688    | 579.65         
689    | 582.43         
690    | 582.84         
691    | 577.01         
692    | 580.18         
693    | 578.10         
694    | 576.67         
695    | 580.64         
696    | 577.10         
697    | 579.71         
698    | 577.64         
699    | 577.50         
700    | 577.83         
701    | 582.23         
702    | 579.36         
703    | 577.43         
704    | 577.31         
705    | 577.35         
706    | 582.78         
707    | 578.69         
708    | 582.73         
709    | 577.43         
710    | 577.96         
711    | 577.85         
712    | 582.07         
713    | 577.95         
714    | 578.24         
715    | 581.34         
716    | 581.09         
717    | 580.85         
