Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,347.53
362,348.18
363,352.14
364,348.57
365,352.29
366,350.85
367,347.96
368,348.79
369,353.36
370,348.77
371,352.64
372,350.55
373,349.17
374,352.06
375,347.27
376,350.37
377,348.15
378,348.76
379,348.94
380,349.14
381,347.14
382,350.68
383,351.45
384,353.48
385,352.14
386,347.33
387,347.73
388,347.69
389,352.3
390,350.64
391,2347.38
392,2348.64
393,2347.51
394,2346.98
395,2348.82
396,352.64
397,350.16
398,350.62
399,351.88
400,351.0
401,353.2
402,352.0
403,348.63
404,351.92
405,352.28
406,350.43
407,352.48
408,350.73
409,346.41
410,348.84
411,347.88
412,349.53
413,352.41
414,352.14
415,348.74
416,351.66
417,350.21
418,352.28
419,351.67
420,348.25
421,750.95
422,748.97
423,748.47
424,748.29
425,747.34
426,748.7
427,753.52
428,752.0
429,752.07
430,750.85
431,751.64
432,752.74
433,749.07
434,746.7
435,748.9
436,746.73
437,746.76
438,750.43
439,749.19
440,749.59
441,753.39
442,752.41
443,750.07
444,752.65
445,749.93
446,751.13
447,752.86
448,753.17
449,747.7
450,748.65
451,753.01
452,748.61
453,748.34
454,749.75
455,749.74
456,747.51
457,747.23
458,751.4
459,749.72
460,752.7
461,746.98
462,749.89
463,753.28
464,749.64
465,752.96
466,750.43
467,751.21
468,751.3
469,751.02
470,746.66
471,748.03
472,748.34
473,753.37
474,749.72
475,752.3
476,746.86
477,751.57
478,750.45
479,747.65
480,749.05
481,2748.8
482,2750.43
483,2753.16
484,2750.16
485,2748.78
486,752.93
487,750.29
488,753.08
489,748.94
490,751.19
491,751.32
492,748.2
493,750.48
494,748.46
495,747.13
496,747.62
497,746.54
498,749.08
499,750.9
500,753.14
501,752.22
502,749.93
503,748.55
504,748.12
505,753.32
506,750.44
507,751.37
508,750.38
509,751.52
510,748.34
511,753.49
512,750.54
513,747.82
514,749.19
515,746.45
516,751.73
517,749.52
518,749.27
519,748.97
520,751.1
521,747.84
522,751.51
523,748.12
524,748.94
525,751.16
526,749.55
527,751.67
528,748.65
529,748.48
530,748.79
531,746.84
532,748.52
533,752.32
534,753.37
535,748.31
536,752.21
537,747.64
538,752.77
539,746.88
540,746.99
541,576.95
542,581.88
543,577.94
544,582.76
545,579.71
546,583.52
547,578.37
548,581.84
549,580.26
550,580.75
551,578.16
552,583.6
553,580.12
554,578.7
555,576.76
556,582.71
557,579.67
558,578.85
559,577.68
560,579.16
561,579.34
562,583.36
563,579.89
564,578.26
565,583.55
566,580.54
567,581.51
568,578.65
569,577.96
570,580.97
571,577.79
572,579.37
573,582.24
574,580.64
575,579.9
576,577.37
577,578.8
578,576.63
579,578.34
580,579.59
581,577.02
582,579.47
583,577.54
584,579.61
585,580.91
586,576.86
587,583.29
588,578.98
589,579.37
590,581.01
591,580.8
592,582.04
593,582.77
594,579.45
595,581.98
596,582.1
597,578.15
598,577.68
599,579.74
600,579.88
601,1782.04
602,1780.11
603,1780.18
604,1780.88
605,1779.76
606,1782.19
607,1778.44
608,1780.28
609,1776.58
610,1778.37
611,1782.36
612,1782.29
613,1781.08
614,1780.48
615,1783.09
616,1777.79
617,1776.8
618,1782.59
619,1776.42
620,1777.93
621,1783.0
622,1780.47
623,1779.62
624,1778.39
625,1778.51
626,1782.73
627,1780.03
628,1777.07
629,1778.95
630,1782.19
631,1778.64
632,1779.43
633,1780.3
634,1779.58
635,1780.08
636,1779.75
637,1782.78
638,1781.74
639,1779.5
640,1779.88
641,1781.52
642,1779.26
643,1777.62
644,1782.46
645,1776.57
646,1778.91
647,1782.19
648,1776.71
649,1777.91
650,1780.07
651,1782.3
652,1779.65
653,1778.79
654,1778.6
655,1779.2
656,1779.85
657,1778.23
658,1783.39
659,1781.78
660,1777.65
661,583.48
662,581.55
663,582.57
664,581.02
665,582.94
666,576.44
667,581.79
668,582.8
669,579.97
670,580.77
671,583.11
672,578.53
673,578.26
674,581.63
675,582.89
676,578.66
677,579.19
678,579.42
679,579.17
680,580.13
681,583.6
682,580.94
683,583.43
684,579.08
685,582.32
686,578.52
687,580.95
688,580.93
689,583.25
690,579.04
691,582.06
692,578.83
693,582.01
694,580.2
695,579.21
696,579.27
697,578.76
698,577.4
699,579.91
700,576.54
701,576.84
702,576.57
703,577.42
704,579.0
705,580.25
706,581.53
707,581.35
708,579.48
709,581.51
710,581.93
711,580.82
712,578.34
713,580.34
714,579.93
715,578.11
716,577.95
717,577.66
718,576.57
719,581.47
720,580.04
721,726.51
722,731.82
723,729.07
724,729.53
725,727.1
726,733.51
727,733.53
728,729.42
729,733.2
730,727.04
731,1727.55
732,1727.75
733,1731.2
734,1727.85
735,1729.05
736,1730.86
737,1730.94
738,1727.27
739,1727.44
740,1729.71
741,733.05
742,727.73
743,732.43
744,730.76
745,728.74
746,732.67
747,731.23
748,727.17
749,733.38
750,730.3
751,729.21
752,728.26
753,732.56
754,731.61
755,733.07
756,729.26
757,728.34
758,726.64
759,728.88
760,730.86
761,730.45
762,733.48
763,733.53
764,729.37
765,731.58
766,730.33
767,729.3
768,728.05
769,728.76
770,727.45
771,730.37
772,729.35
773,729.3
774,727.96
775,729.37
776,732.14
777,726.92
778,729.53
779,729.4
780,728.33
781,702.99
782,697.62
783,698.18
784,698.53
785,701.11
786,700.84
787,703.39
788,702.42
789,697.94
790,702.11
791,702.62
792,702.57
793,698.58
794,697.65
795,699.72
796,700.19
797,702.48
798,700.89
799,701.53
800,700.72
801,699.35
802,702.47
803,702.82
804,697.34
805,703.38
806,698.63
807,697.77
808,698.59
809,701.38
810,698.16
811,698.98
812,701.08
813,702.16
814,702.86
815,696.81
816,696.79
817,698.71
818,701.06
819,697.88
820,702.19
821,700.83
822,700.94
823,698.77
824,699.81
825,697.84
826,702.41
827,703.36
828,700.66
829,702.38
830,701.48
831,700.94
832,700.74
833,700.11
834,700.37
835,701.69
836,700.36
837,700.19
838,703.05
839,698.42
840,698.41
841,698.31
842,702.74
843,701.71
844,701.74
845,699.65
846,697.16
847,701.15
848,696.52
849,696.45
850,700.27
851,697.05
852,700.59
853,701.46
854,696.5
855,701.62
856,699.9
857,700.1
858,701.05
859,697.85
860,697.95
861,699.68
862,701.91
863,697.14
864,697.72
865,701.34
866,696.67
867,701.33
868,696.62
869,699.1
870,701.55
871,699.32
872,698.47
873,700.84
874,703.21
875,702.06
876,699.79
877,703.5
878,702.88
879,696.93
880,703.2
881,698.33
882,703.05
883,701.77
884,703.41
885,696.88
886,700.95
887,703.33
888,699.46
889,698.52
890,697.39
891,697.23
892,698.71
893,697.36
894,699.26
895,702.36
896,702.83
897,702.22
898,697.72
899,702.16
900,703.52
901,700.9
902,701.75
903,701.86
904,701.46
905,698.49
906,701.01
907,696.6
908,702.94
909,701.76
910,702.44
911,696.59
912,702.95
913,699.94
914,703.59
915,702.58
916,698.68
917,700.27
918,698.83
919,699.11
920,701.09
921,700.24
922,697.49
923,698.57
924,698.27
925,699.13
926,700.83
927,696.98
928,698.96
929,700.11
930,700.84
931,702.3
932,698.23
933,698.37
934,698.74
935,699.35
936,700.1
937,698.2
938,703.51
939,698.85
940,702.18
941,703.18
942,696.58
943,700.04
944,700.79
945,702.62
946,701.64
947,697.98
948,700.73
949,699.27
950,701.06
951,702.95
952,699.07
953,703.05
954,698.45
955,701.74
956,699.98
957,702.87
958,697.76
959,697.99
960,699.15
961,703.14
962,699.93
963,698.62
964,703.02
965,699.94
966,698.56
967,702.4
968,703.28
969,697.78
970,702.61
971,699.22
972,698.94
973,697.69
974,697.75
975,697.67
976,699.71
977,698.65
978,702.74
979,698.92
980,699.69
981,703.23
982,699.05
983,702.27
984,701.48
985,701.27
986,700.45
987,696.61
988,697.39
989,696.83
990,699.43
991,703.33
992,697.89
993,696.57
994,699.98
995,698.35
996,702.7
997,700.05
998,702.87
999,701.45
1000,698.07
1001,697.11
1002,703.17
1003,700.12
1004,701.49
1005,699.01
1006,701.13
1007,699.4
1008,702.25
1009,699.89
1010,698.02
1011,700.64
1012,701.91
1013,702.21
1014,697.58
1015,697.4
1016,701.29
1017,696.55
1018,701.57
1019,702.27
1020,696.62
1021,849.46
1022,850.82
1023,847.57
1024,851.37
1025,848.83
1026,846.85
1027,853.37
1028,848.23
1029,848.07
1030,848.93
1031,847.13
1032,849.09
1033,850.8
1034,852.74
1035,851.85
1036,851.29
1037,852.54
1038,851.95
1039,853.3
1040,852.13
1041,849.22
1042,849.48
1043,847.18
1044,849.07
1045,846.46
1046,849.94
1047,852.12
1048,852.95
1049,852.19
1050,848.41
1051,852.74
1052,848.77
1053,848.27
1054,851.43
1055,851.19
1056,852.34
1057,847.17
1058,853.06
1059,852.91
1060,852.88
1061,849.23
1062,850.05
1063,850.63
1064,850.34
1065,852.39
1066,852.45
1067,851.9
1068,853.01
1069,851.35
1070,852.02
1071,846.67
1072,850.64
1073,848.98
1074,847.13
1075,849.14
1076,848.31
1077,852.09
1078,847.96
1079,849.82
1080,851.56
1081,848.2
1082,846.64
1083,849.42
1084,848.93
1085,848.7
1086,847.34
1087,847.45
1088,852.02
1089,853.04
1090,850.5
1091,847.64
1092,849.55
1093,852.21
1094,846.5
1095,850.61
1096,848.51
1097,850.39
1098,848.75
1099,848.56
1100,847.58
1101,850.21
1102,852.55
1103,852.71
1104,850.17
1105,853.48
1106,849.73
1107,848.34
1108,850.64
1109,850.11
1110,852.68
1111,848.14
1112,851.69
1113,849.52
1114,849.34
1115,851.22
1116,850.73
1117,849.66
1118,851.89
1119,852.37
1120,847.87
1121,851.07
1122,851.51
1123,847.5
1124,846.74
1125,850.42
1126,850.56
1127,852.84
1128,852.24
1129,849.98
1130,847.07
1131,851.27
1132,849.04
1133,853.44
1134,853.29
1135,847.45
1136,853.29
1137,848.93
1138,848.06
1139,850.31
1140,852.97
1141,847.8
1142,848.66
1143,848.82
1144,853.1
1145,849.62
1146,848.25
1147,850.03
1148,848.1
1149,848.61
1150,851.25
1151,849.93
1152,847.3
1153,848.95
1154,852.45
1155,849.16
1156,852.25
1157,852.98
1158,850.07
1159,848.66
1160,847.71
1161,852.15
1162,851.19
1163,847.15
1164,847.33
1165,851.64
1166,852.02
1167,849.6
1168,853.55
1169,847.05
1170,847.53
1171,850.95
1172,846.98
1173,851.2
1174,850.52
1175,847.04
1176,852.45
1177,847.94
1178,847.1
1179,847.55
1180,850.94
1181,848.34
1182,847.48
1183,847.44
1184,849.43
1185,850.57
1186,848.7
1187,853.54
1188,849.24
1189,849.93
1190,850.82
1191,850.86
1192,851.48
1193,850.11
1194,852.65
1195,849.03
1196,848.63
1197,849.93
1198,848.61
1199,849.22
1200,848.02
1201,847.3
1202,853.01
1203,850.41
1204,846.87
1205,852.23
1206,846.98
1207,852.19
1208,848.96
1209,849.37
1210,852.13
1211,847.92
1212,853.38
1213,850.06
1214,847.99
1215,847.69
1216,848.89
1217,849.23
1218,847.68
1219,849.75
1220,849.52
1221,851.09
1222,849.73
1223,853.24
1224,847.18
1225,850.81
1226,853.51
1227,852.11
1228,849.64
1229,847.91
1230,850.32
1231,850.74
1232,850.05
1233,850.91
1234,851.21
1235,852.59
1236,848.19
1237,850.32
1238,853.25
1239,852.08
1240,846.45
1241,852.22
1242,853.51
1243,847.48
1244,852.29
1245,848.29
1246,852.72
1247,853.05
1248,846.54
1249,848.26
1250,852.27
1251,849.67
1252,848.1
1253,851.61
1254,849.52
1255,853.38
1256,853.08
1257,852.09
1258,848.76
1259,852.83
1260,850.96
1261,448.41
