Minute | Consumption (W) - SCENARIO: Monthly Steam Cleaning
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 348.32         
362    | 350.65         
363    | 348.80         
364    | 347.99         
365    | 351.33         
366    | 349.43         
367    | 347.89         
368    | 348.92         
369    | 349.97         
370    | 352.96         
371    | 352.36         
372    | 352.70         
373    | 346.96         
374    | 348.12         
375    | 351.45         
376    | 350.80         
377    | 347.20         
378    | 353.50         
379    | 349.05         
380    | 352.38         
381    | 348.51         
382    | 348.42         
383    | 346.95         
384    | 346.88         
385    | 353.28         
386    | 353.08         
387    | 353.05         
388    | 351.00         
389    | 351.91         
390    | 348.12         
391    | 2347.13        
392    | 2350.78        
393    | 2350.85        
394    | 2352.66        
395    | 2353.31        
396    | 348.08         
397    | 353.34         
398    | 347.08         
399    | 350.79         
400    | 353.06         
401    | 352.94         
402    | 348.81         
403    | 350.73         
404    | 352.36         
405    | 347.98         
406    | 353.45         
407    | 351.54         
408    | 351.90         
409    | 349.60         
410    | 347.35         
411    | 350.64         
412    | 347.83         
413    | 348.45         
414    | 350.65         
415    | 349.68         
416    | 347.77         
417    | 350.87         
418    | 348.60         
419    | 351.58         
420    | 350.51         
421    | 748.04         
422    | 750.84         
423    | 747.23         
424    | 746.53         
425    | 750.93         
426    | 749.78         
427    | 749.99         
428    | 752.62         
429    | 753.40         
430    | 747.03         
431    | 750.99         
432    | 748.91         
433    | 746.57         
434    | 748.09         
435    | 751.97         
436    | 748.64         
437    | 750.45         
438    | 752.77         
439    | 751.72         
440    | 751.14         
441    | 747.20         
442    | 747.42         
443    | 752.00         
444    | 747.85         
445    | 747.42         
446    | 753.35         
447    | 750.13         
448    | 751.14         
449    | 749.09         
450    | 752.42         
451    | 753.28         
452    | 748.50         
453    | 747.43         
454    | 750.47         
455    | 749.08         
456    | 746.69         
457    | 750.98         
458    | 749.18         
459    | 752.68         
460    | 747.09         
461    | 747.56         
462    | 746.98         
463    | 751.85         
464    | 751.23         
465    | 750.47         
466    | 748.26         
467    | 752.42         
468    | 747.68         
469    | 752.09         
470    | 747.56         
471    | 747.75         
472    | 747.35         
473    | 753.59         
474    | 752.62         
475    | 751.25         
476    | 753.13         
477    | 751.79         
478    | 752.69         
479    | 751.62         
480    | 752.67         
481    | 2749.60        
482    | 2752.87        
483    | 2752.06        
484    | 2749.62        
485    | 2752.57        
486    | 750.78         
487    | 749.62         
488    | 751.86         
489    | 750.40         
490    | 751.34         
491    | 749.27         
492    | 747.43         
493    | 750.18         
494    | 748.91         
495    | 751.83         
496    | 749.30         
497    | 753.54         
498    | 748.29         
499    | 748.65         
500    | 752.58         
501    | 746.89         
502    | 747.46         
503    | 746.98         
504    | 748.77         
505    | 750.09         
506    | 751.05         
507    | 746.44         
508    | 747.52         
509    | 749.20         
510    | 752.58         
511    | 747.80         
512    | 752.22         
513    | 748.10         
514    | 749.84         
515    | 749.08         
516    | 751.08         
517    | 747.98         
518    | 751.16         
519    | 749.52         
520    | 746.74         
521    | 750.26         
522    | 750.94         
523    | 752.44         
524    | 751.85         
525    | 749.00         
526    | 747.33         
527    | 753.53         
528    | 750.14         
529    | 749.71         
530    | 752.09         
531    | 749.55         
532    | 753.28         
533    | 751.21         
534    | 746.71         
535    | 746.63         
536    | 747.61         
537    | 751.20         
538    | 752.59         
539    | 753.00         
540    | 747.40         
541    | 583.06         
542    | 580.46         
543    | 583.22         
544    | 577.70         
545    | 578.75         
546    | 577.80         
547    | 577.80         
548    | 581.22         
549    | 580.50         
550    | 577.71         
551    | 577.98         
552    | 580.94         
553    | 578.79         
554    | 577.61         
555    | 576.91         
556    | 579.07         
557    | 579.58         
558    | 577.23         
559    | 579.73         
560    | 583.22         
561    | 580.51         
562    | 579.97         
563    | 581.64         
564    | 581.37         
565    | 579.78         
566    | 579.31         
567    | 583.52         
568    | 577.38         
569    | 577.76         
570    | 583.06         
571    | 576.92         
572    | 580.46         
573    | 582.35         
574    | 576.94         
575    | 580.23         
576    | 579.98         
577    | 581.10         
578    | 580.45         
579    | 582.30         
580    | 581.59         
581    | 582.98         
582    | 582.34         
583    | 583.30         
584    | 579.70         
585    | 583.04         
586    | 580.84         
587    | 581.58         
588    | 578.32         
589    | 582.96         
590    | 580.01         
591    | 579.90         
592    | 579.06         
593    | 581.42         
594    | 580.70         
595    | 581.06         
596    | 581.20         
597    | 581.44         
598    | 578.69         
599    | 579.03         
600    | 577.47         
601    | 1776.76        
602    | 1777.11        
603    | 1782.08        
604    | 1779.23        
605    | 1779.48        
606    | 1782.27        
607    | 1778.53        
608    | 1783.40        
609    | 1777.56        
610    | 1778.92        
611    | 1780.24        
612    | 1782.49        
613    | 1782.20        
614    | 1780.86        
615    | 1782.32        
616    | 1782.47        
617    | 1781.34        
618    | 1781.11        
619    | 1782.76        
620    | 1779.69        
621    | 1783.52        
622    | 1776.66        
623    | 1781.53        
624    | 1780.27        
625    | 1777.43        
626    | 1778.00        
627    | 1777.93        
628    | 1782.36        
629    | 1777.35        
630    | 1781.20        
631    | 1778.45        
632    | 1777.58        
633    | 1780.48        
634    | 1782.82        
635    | 1779.08        
636    | 1777.44        
637    | 1781.06        
638    | 1781.52        
639    | 1778.36        
640    | 1783.39        
641    | 1776.97        
642    | 1777.95        
643    | 1781.27        
644    | 1781.65        
645    | 1780.77        
646    | 1776.50        
647    | 1781.22        
648    | 1781.64        
649    | 1782.90        
650    | 1779.77        
651    | 1779.86        
652    | 1779.11        
653    | 1779.23        
654    | 1781.98        
655    | 1779.63        
656    | 1778.53        
657    | 1780.77        
658    | 1781.38        
659    | 1780.12        
660    | 1782.48        
661    | 577.31         
662    | 582.89         
663    | 577.00         
664    | 577.36         
665    | 580.43         
666    | 582.68         
667    | 579.11         
668    | 579.06         
669    | 582.33         
670    | 577.01         
671    | 581.36         
672    | 579.30         
673    | 579.88         
674    | 582.29         
675    | 581.37         
676    | 583.27         
677    | 582.90         
678    | 578.34         
679    | 578.39         
680    | 577.70         
681    | 582.67         
682    | 576.76         
683    | 579.42         
684    | 583.18         
685    | 581.31         
686    | 580.73         
687    | 581.90         
688    | 577.39         
689    | 578.65         
690    | 576.67         
691    | 578.28         
692    | 582.41         
693    | 582.85         
694    | 581.64         
695    | 580.87         
696    | 582.98         
697    | 581.81         
698    | 580.77         
699    | 582.49         
700    | 578.13         
701    | 578.39         
702    | 577.43         
703    | 583.22         
704    | 580.09         
705    | 577.15         
706    | 580.04         
707    | 578.14         
708    | 581.96         
709    | 577.18         
710    | 577.23         
711    | 577.76         
712    | 582.59         
713    | 576.93         
714    | 582.28         
715    | 583.47         
716    | 578.03         
717    | 577.73         
