Minute,Consumption (W)
1,180
2,180
3,180
4,180
5,180
6,180
7,180
8,180
9,180
10,180
11,180
12,180
13,180
14,180
15,180
16,180
17,180
18,180
19,180
20,180
21,180
22,180
23,180
24,180
25,180
26,180
27,180
28,180
29,180
30,180
31,180
32,180
33,180
34,180
35,180
36,180
37,180
38,180
39,180
40,180
41,180
42,180
43,180
44,180
45,180
46,180
47,180
48,180
49,180
50,180
51,180
52,180
53,180
54,180
55,180
56,180
57,180
58,180
59,180
60,180
61,180
62,180
63,180
64,180
65,180
66,180
67,180
68,180
69,180
70,180
71,180
72,180
73,180
74,180
75,180
76,180
77,180
78,180
79,180
80,180
81,180
82,180
83,180
84,180
85,180
86,180
87,180
88,180
89,180
90,180
91,180
92,180
93,180
94,180
95,180
96,180
97,180
98,180
99,180
100,180
101,180
102,180
103,180
104,180
105,180
106,180
107,180
108,180
109,180
110,180
111,180
112,180
113,180
114,180
115,180
116,180
117,180
118,180
119,180
120,180
121,180
122,180
123,180
124,180
125,180
126,180
127,180
128,180
129,180
130,180
131,180
132,180
133,180
134,180
135,180
136,180
137,180
138,180
139,180
140,180
141,180
142,180
143,180
144,180
145,180
146,180
147,180
148,180
149,180
150,180
151,180
152,180
153,180
154,180
155,180
156,180
157,180
158,180
159,180
160,180
161,180
162,180
163,180
164,180
165,180
166,180
167,180
168,180
169,180
170,180
171,180
172,180
173,180
174,180
175,180
176,180
177,180
178,180
179,180
180,180
181,180
182,180
183,180
184,180
185,180
186,180
187,180
188,180
189,180
190,180
191,180
192,180
193,180
194,180
195,180
196,180
197,180
198,180
199,180
200,180
201,180
202,180
203,180
204,180
205,180
206,180
207,180
208,180
209,180
210,180
211,180
212,180
213,180
214,180
215,180
216,180
217,180
218,180
219,180
220,180
221,180
222,180
223,180
224,180
225,180
226,180
227,180
228,180
229,180
230,180
231,180
232,180
233,180
234,180
235,180
236,180
237,180
238,180
239,180
240,180
241,180
242,180
243,180
244,180
245,180
246,180
247,180
248,180
249,180
250,180
251,180
252,180
253,180
254,180
255,180
256,180
257,180
258,180
259,180
260,180
261,180
262,180
263,180
264,180
265,180
266,180
267,180
268,180
269,180
270,180
271,180
272,180
273,180
274,180
275,180
276,180
277,180
278,180
279,180
280,180
281,180
282,180
283,180
284,180
285,180
286,180
287,180
288,180
289,180
290,180
291,180
292,180
293,180
294,180
295,180
296,180
297,180
298,180
299,180
300,180
301,180
302,180
303,180
304,180
305,180
306,180
307,180
308,180
309,180
310,180
311,180
312,180
313,180
314,180
315,180
316,180
317,180
318,180
319,180
320,180
321,180
322,180
323,180
324,180
325,180
326,180
327,180
328,180
329,180
330,180
331,180
332,180
333,180
334,180
335,180
336,180
337,180
338,180
339,180
340,180
341,180
342,180
343,180
344,180
345,180
346,180
347,180
348,180
349,180
350,180
351,180
352,180
353,180
354,180
355,180
356,180
357,180
358,180
359,180
360,180
361,176.89
362,177.42
363,177.31
364,180.52
365,180.45
366,177.75
367,177.7
368,178.32
369,181.82
370,180.58
371,180.08
372,182.41
373,183.51
374,182.17
375,181.18
376,182.67
377,180.07
378,179.2
379,178.96
380,181.15
381,182.25
382,182.97
383,181.0
384,180.95
385,178.34
386,181.32
387,181.03
388,178.11
389,179.78
390,177.45
391,182.26
392,177.34
393,177.94
394,181.28
395,182.83
396,181.19
397,177.72
398,179.87
399,182.7
400,179.8
401,179.39
402,183.42
403,180.34
404,179.88
405,180.17
406,177.09
407,177.06
408,178.16
409,179.86
410,180.68
411,180.4
412,181.06
413,183.42
414,182.76
415,180.91
416,180.26
417,177.61
418,179.85
419,180.21
420,176.78
421,179.78
422,177.95
423,182.28
424,178.56
425,178.06
426,182.3
427,181.14
428,177.2
429,176.73
430,177.29
431,179.76
432,181.99
433,179.62
434,178.01
435,182.17
436,176.82
437,182.55
438,178.09
439,182.11
440,180.84
441,179.21
442,180.45
443,180.45
444,176.53
445,177.47
446,182.87
447,177.64
448,180.05
449,183.05
450,181.27
451,182.1
452,179.7
453,179.2
454,180.07
455,183.59
456,176.93
457,178.93
458,181.59
459,180.95
460,178.2
461,178.95
462,181.93
463,180.8
464,179.7
465,182.06
466,177.98
467,178.17
468,176.49
469,179.23
470,178.89
471,180.68
472,182.52
473,179.48
474,179.29
475,178.24
476,181.87
477,180.18
478,182.43
479,182.95
480,179.69
481,179.21
482,180.2
483,182.61
484,183.17
485,176.64
486,181.47
487,182.54
488,181.97
489,178.53
490,182.46
491,177.76
492,182.47
493,180.52
494,180.85
495,177.47
496,181.35
497,182.61
498,176.53
499,178.79
500,176.64
501,180.05
502,183.02
503,179.78
504,180.92
505,180.17
506,182.58
507,180.27
508,178.27
509,178.66
510,178.53
511,179.88
512,180.48
513,179.43
514,180.44
515,182.8
516,177.73
517,181.96
518,180.17
519,182.47
520,179.24
521,177.01
522,183.5
523,176.62
524,181.97
525,177.97
526,180.6
527,176.72
528,182.83
529,182.71
530,179.22
531,178.04
532,183.44
533,182.64
534,180.91
535,181.34
536,180.29
537,177.8
538,181.74
539,177.86
540,176.5
541,183.38
542,180.09
543,177.01
544,177.79
545,179.05
546,178.01
547,183.03
548,180.72
549,179.71
550,177.21
551,180.73
552,181.91
553,182.3
554,177.12
555,182.31
556,181.09
557,179.19
558,179.11
559,176.82
560,176.53
561,177.95
562,178.33
563,179.85
564,180.4
565,179.13
566,176.99
567,177.93
568,180.61
569,177.76
570,180.65
571,177.05
572,180.69
573,179.9
574,176.48
575,178.5
576,182.2
577,176.71
578,183.54
579,179.58
580,180.68
581,178.72
582,177.31
583,182.07
584,178.06
585,182.68
586,182.2
587,180.67
588,182.63
589,176.76
590,182.97
591,178.55
592,176.87
593,181.07
594,178.33
595,182.9
596,183.39
597,180.02
598,180.68
599,180.57
600,178.51
601,183.34
602,178.47
603,183.49
604,179.74
605,181.75
606,180.32
607,178.88
608,179.63
609,181.05
610,180.21
611,178.93
612,178.75
613,179.8
614,179.69
615,177.99
616,177.41
617,179.31
618,178.51
619,182.71
620,176.67
621,177.49
622,183.11
623,182.62
624,176.58
625,178.67
626,180.63
627,178.34
628,179.21
629,181.9
630,182.74
631,178.39
632,176.47
633,176.98
634,181.76
635,177.54
636,180.29
637,183.42
638,180.41
639,180.82
640,180.51
641,182.35
642,179.86
643,176.55
644,182.6
645,177.91
646,181.65
647,176.47
648,178.8
649,179.31
650,180.65
651,180.35
652,181.03
653,182.21
654,178.86
655,179.93
656,181.05
657,182.82
