Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,349.95
362,350.77
363,352.2
364,348.13
365,348.92
366,352.83
367,352.71
368,353.5
369,350.65
370,351.07
371,348.59
372,352.03
373,353.27
374,347.99
375,350.73
376,351.77
377,349.58
378,349.78
379,349.26
380,352.69
381,352.36
382,352.55
383,353.24
384,350.19
385,349.45
386,353.27
387,352.4
388,346.92
389,351.31
390,352.08
391,2353.24
392,2352.97
393,2353.46
394,2347.63
395,2349.2
396,346.71
397,349.03
398,349.34
399,347.77
400,351.53
401,347.52
402,348.62
403,351.51
404,352.32
405,349.48
406,351.14
407,346.94
408,348.87
409,351.17
410,348.29
411,350.53
412,352.74
413,349.81
414,349.73
415,352.61
416,348.36
417,350.32
418,350.39
419,348.48
420,351.55
421,752.86
422,746.6
423,746.42
424,750.69
425,753.24
426,750.79
427,751.59
428,750.43
429,747.74
430,751.13
431,751.24
432,747.34
433,752.95
434,751.47
435,747.96
436,748.95
437,750.69
438,752.59
439,747.1
440,751.9
441,748.85
442,753.52
443,751.8
444,753.05
445,747.45
446,748.92
447,746.9
448,752.28
449,749.18
450,748.36
451,749.8
452,748.18
453,749.99
454,747.04
455,751.79
456,749.36
457,750.39
458,750.59
459,753.39
460,751.49
461,753.58
462,746.83
463,749.03
464,746.84
465,748.08
466,749.12
467,750.37
468,748.78
469,749.93
470,747.59
471,748.98
472,747.23
473,747.94
474,748.93
475,751.02
476,747.46
477,748.89
478,749.24
479,752.79
480,752.17
481,2771.62
482,2768.95
483,2767.12
484,2773.06
485,2772.21
486,767.92
487,773.34
488,773.49
489,772.97
490,767.06
491,767.68
492,769.74
493,770.68
494,770.04
495,768.88
496,772.23
497,767.78
498,769.34
499,768.12
500,768.49
501,772.31
502,766.84
503,769.22
504,767.31
505,771.14
506,768.15
507,769.22
508,768.18
509,770.48
510,768.73
511,769.86
512,767.14
513,770.27
514,767.4
515,767.66
516,768.0
517,769.55
518,773.45
519,768.15
520,769.18
521,770.63
522,772.89
523,767.22
524,769.81
525,768.04
526,770.34
527,770.63
528,773.12
529,768.66
530,766.7
531,772.77
532,768.47
533,771.78
534,770.2
535,768.43
536,766.73
537,766.44
538,768.17
539,772.75
540,773.13
541,598.81
542,599.86
543,603.07
544,600.86
545,600.88
546,596.49
547,599.96
548,601.32
549,602.88
550,598.27
551,597.41
552,600.11
553,600.36
554,599.47
555,601.59
556,602.37
557,602.23
558,601.66
559,597.98
560,597.51
561,600.25
562,602.41
563,602.18
564,599.58
565,596.51
566,602.02
567,601.75
568,598.89
569,598.35
570,598.42
571,597.0
572,599.73
573,599.01
574,597.36
575,601.53
576,599.63
577,596.74
578,599.23
579,602.31
580,596.79
581,597.59
582,601.77
583,596.71
584,596.79
585,597.62
586,599.84
587,598.36
588,597.41
589,601.5
590,596.67
591,596.59
592,596.71
593,599.13
594,603.19
595,599.79
596,602.59
597,601.14
598,602.91
599,597.44
600,602.98
601,602.45
602,597.48
603,598.37
604,601.64
605,601.15
606,601.3
607,602.39
608,597.86
609,603.17
610,600.76
611,597.66
612,598.32
613,598.12
614,599.44
615,599.74
616,602.68
617,598.08
618,599.48
619,598.78
620,600.23
621,602.3
622,603.36
623,598.99
624,599.05
625,596.42
626,598.53
627,601.56
628,602.65
629,602.27
630,598.75
631,603.14
632,601.49
633,601.29
634,598.48
635,603.26
636,600.68
637,599.14
638,601.89
639,596.92
640,597.43
641,598.38
642,603.03
643,599.9
644,601.01
645,596.83
646,596.64
647,596.6
648,597.99
649,600.54
650,598.02
651,601.28
652,603.51
653,601.02
654,601.02
655,603.59
656,597.04
657,598.31
658,601.36
659,598.42
660,600.01
661,597.66
662,601.14
663,601.72
664,602.18
665,599.85
666,603.2
667,600.57
668,598.31
669,602.13
670,600.5
671,597.03
672,600.33
673,602.77
674,601.03
675,603.33
676,603.11
677,600.02
678,600.86
679,598.97
680,600.76
681,597.88
682,601.04
683,601.78
684,603.13
685,601.38
686,598.5
687,601.46
688,596.48
689,603.5
690,602.53
691,597.76
692,599.83
693,603.42
694,600.03
695,598.9
696,598.8
697,596.63
698,601.07
699,602.0
700,601.99
701,602.44
702,597.31
703,598.28
704,602.51
705,602.02
706,597.35
707,597.1
708,602.99
709,600.71
710,603.07
711,598.32
712,603.26
713,599.69
714,598.36
715,600.84
716,600.33
717,596.98
718,601.95
719,602.46
720,602.46
721,751.96
722,747.6
723,751.35
724,750.52
725,746.42
726,753.37
727,747.78
728,747.24
729,751.35
730,749.09
731,1752.52
732,1747.96
733,1746.85
734,1748.52
735,1750.72
736,1750.52
737,1747.95
738,1746.61
739,1752.04
740,1751.78
741,746.49
742,752.05
743,751.11
744,747.42
745,749.67
746,747.15
747,753.58
748,748.81
749,748.49
750,752.5
751,749.08
752,747.95
753,748.39
754,751.47
755,750.4
756,750.62
757,747.58
758,751.73
759,749.06
760,749.49
761,748.96
762,748.0
763,751.64
764,749.74
765,750.29
766,752.38
767,750.16
768,752.07
769,753.52
770,747.14
771,750.04
772,752.0
773,752.78
774,752.05
775,752.19
776,751.92
777,746.53
778,751.34
779,753.42
780,751.73
781,718.97
782,720.7
783,719.94
784,716.77
785,722.41
786,720.56
787,722.39
788,717.79
789,721.2
790,716.74
791,718.75
792,721.29
793,720.38
794,719.1
795,717.7
796,717.18
797,722.62
798,720.75
799,723.45
800,717.97
801,719.36
802,721.77
803,716.7
804,717.1
805,719.23
806,722.06
807,723.2
808,718.69
809,723.46
810,719.13
811,718.39
812,723.3
813,718.4
814,716.67
815,717.51
816,721.67
817,722.67
818,720.94
819,722.58
820,718.62
821,718.5
822,716.8
823,718.96
824,722.14
825,717.07
826,721.71
827,719.99
828,723.14
829,719.43
830,718.79
831,716.85
832,720.16
833,718.11
834,717.87
835,723.02
836,716.61
837,723.52
838,717.6
839,722.8
840,723.15
841,717.72
842,719.34
843,718.84
844,716.81
845,719.77
846,718.05
847,720.56
848,717.52
849,719.16
850,723.09
851,723.0
852,720.48
853,722.24
854,721.91
855,716.71
856,721.69
857,716.74
858,720.11
859,718.85
860,722.14
861,720.54
862,721.74
863,719.33
864,721.2
865,723.06
866,717.12
867,718.83
868,716.77
869,716.68
870,717.83
871,718.17
872,718.54
873,723.12
874,722.52
875,721.91
876,720.82
877,719.7
878,723.04
879,718.5
880,721.41
881,717.64
882,718.21
883,721.01
884,723.52
885,718.15
886,718.74
887,722.35
888,722.31
889,718.45
890,718.15
891,722.54
892,718.82
893,723.15
894,721.96
895,722.92
896,717.62
897,722.09
898,722.93
899,716.77
900,717.46
901,717.51
902,721.71
903,718.59
904,721.36
905,716.71
906,717.28
907,716.88
908,722.24
909,720.19
910,723.13
911,723.01
912,716.53
913,720.5
914,720.75
915,722.09
916,721.88
917,719.16
918,720.93
919,720.23
920,719.34
921,719.7
922,722.7
923,723.13
924,723.48
925,720.09
926,720.49
927,719.76
928,722.9
929,716.71
930,719.85
931,721.36
932,722.54
933,721.02
934,723.44
935,721.5
936,716.82
937,720.05
938,718.93
939,717.14
940,720.34
941,718.67
942,719.17
943,722.44
944,722.05
945,717.56
946,722.33
947,723.55
948,719.53
949,722.25
950,720.08
951,718.74
952,720.12
953,721.91
954,719.02
955,720.62
956,719.4
957,722.7
958,717.7
959,718.52
960,719.61
961,721.09
962,719.41
963,719.0
964,718.68
965,723.36
966,720.78
967,719.42
968,722.76
969,723.58
970,719.06
971,718.24
972,719.22
973,723.43
974,720.94
975,720.82
976,722.61
977,716.85
978,717.5
979,722.15
980,722.94
981,719.56
982,720.87
983,723.44
984,719.65
985,718.64
986,723.49
987,717.61
988,719.05
989,722.15
990,716.88
991,723.37
992,718.58
993,720.12
994,723.56
995,720.33
996,719.88
997,716.83
998,723.1
999,721.9
1000,720.35
1001,721.97
1002,719.04
1003,717.17
1004,717.89
1005,719.05
1006,717.96
1007,721.91
1008,716.44
1009,720.35
1010,719.7
1011,723.18
1012,719.93
1013,717.93
1014,716.6
1015,722.51
1016,721.59
1017,722.84
1018,721.32
1019,722.73
1020,719.77
1021,867.62
1022,868.05
1023,871.02
1024,866.72
1025,869.72
1026,869.33
1027,870.23
1028,866.49
1029,866.89
1030,871.38
1031,873.15
1032,870.53
1033,873.13
1034,871.6
1035,870.13
1036,870.2
1037,870.63
1038,873.16
1039,870.8
1040,873.4
1041,868.57
1042,873.37
1043,872.45
1044,870.86
1045,866.97
1046,872.38
1047,867.08
1048,868.65
1049,868.69
1050,870.65
1051,870.96
1052,871.07
1053,868.88
1054,866.92
1055,866.67
1056,867.39
1057,869.12
1058,866.59
1059,867.29
1060,869.97
1061,868.56
1062,867.13
1063,866.89
1064,873.6
1065,871.8
1066,867.03
1067,867.41
1068,868.06
1069,869.46
1070,871.09
1071,873.13
1072,869.51
1073,870.43
1074,871.33
1075,872.07
1076,873.09
1077,870.06
1078,871.28
1079,867.8
1080,867.01
1081,872.94
1082,866.44
1083,872.25
1084,872.36
1085,866.55
1086,873.59
1087,868.95
1088,866.7
1089,866.48
1090,871.52
1091,867.4
1092,869.23
1093,873.54
1094,871.11
1095,870.46
1096,872.07
1097,870.46
1098,871.91
1099,866.83
1100,870.71
1101,866.63
1102,872.29
1103,866.52
1104,870.67
1105,872.14
1106,869.81
1107,868.34
1108,868.69
1109,869.94
1110,869.78
1111,872.27
1112,871.94
1113,868.88
1114,871.13
1115,866.63
1116,868.9
1117,870.88
1118,872.08
1119,871.43
1120,871.3
1121,870.92
1122,866.9
1123,866.66
1124,872.79
1125,868.69
1126,872.37
1127,870.11
1128,872.06
1129,872.74
1130,870.28
1131,871.3
1132,873.31
1133,868.78
1134,872.16
1135,869.88
1136,869.41
1137,871.39
1138,873.21
1139,871.16
1140,869.47
1141,869.97
1142,868.3
1143,870.59
1144,867.83
1145,868.82
1146,870.71
1147,868.51
1148,868.1
1149,866.96
1150,867.91
1151,869.98
1152,872.41
1153,871.81
1154,868.04
1155,867.45
1156,867.62
1157,870.09
1158,869.06
1159,866.42
1160,871.19
1161,871.11
1162,870.19
1163,869.22
1164,873.36
1165,868.55
1166,871.54
1167,871.74
1168,872.53
1169,868.34
1170,871.3
1171,867.83
1172,870.05
1173,869.38
1174,868.66
1175,871.92
1176,871.59
1177,869.8
1178,870.14
1179,873.57
1180,871.29
1181,867.04
1182,872.87
1183,871.94
1184,868.59
1185,867.48
1186,873.47
1187,872.61
1188,868.54
1189,870.33
1190,870.79
1191,870.49
1192,869.43
1193,868.01
1194,870.54
1195,866.47
1196,866.41
1197,867.84
1198,872.09
1199,866.82
1200,873.1
1201,847.8
1202,852.73
1203,848.21
1204,846.88
1205,847.63
1206,848.99
1207,851.26
1208,853.0
1209,852.28
1210,851.47
1211,852.77
1212,850.44
1213,848.27
1214,848.22
1215,846.6
1216,851.73
1217,848.52
1218,847.88
1219,851.74
1220,849.41
1221,850.22
1222,852.05
1223,847.44
1224,849.71
1225,849.98
1226,850.6
1227,853.02
1228,850.98
1229,853.17
1230,849.04
1231,852.1
1232,849.68
1233,852.78
1234,847.69
1235,852.38
1236,850.15
1237,849.88
1238,850.12
1239,849.78
1240,852.53
1241,847.92
1242,850.1
1243,846.91
1244,847.71
1245,846.72
1246,849.68
1247,848.96
1248,850.57
1249,849.06
1250,847.53
1251,849.81
1252,853.32
1253,852.16
1254,852.3
1255,849.08
1256,853.09
1257,848.34
1258,853.4
1259,850.04
1260,847.19
1261,450.94
1262,449.54
1263,446.89
1264,453.07
1265,448.77
1266,449.71
1267,451.95
1268,447.74
1269,452.69
