Minute | Consumption (W) - SCENARIO: Radio Fan Day
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 346.91         
362    | 349.59         
363    | 346.91         
364    | 351.03         
365    | 349.56         
366    | 351.11         
367    | 351.75         
368    | 347.05         
369    | 351.23         
370    | 346.55         
371    | 347.42         
372    | 351.48         
373    | 352.23         
374    | 350.06         
375    | 351.31         
376    | 349.81         
377    | 349.61         
378    | 351.07         
379    | 350.03         
380    | 349.15         
381    | 347.86         
382    | 350.06         
383    | 347.18         
384    | 353.17         
385    | 349.44         
386    | 348.15         
387    | 352.78         
388    | 349.94         
389    | 347.90         
390    | 353.04         
391    | 2351.84        
392    | 2348.20        
393    | 2349.46        
394    | 2349.06        
395    | 2346.97        
396    | 350.99         
397    | 346.96         
398    | 347.78         
399    | 349.86         
400    | 353.21         
401    | 346.43         
402    | 352.44         
403    | 348.89         
404    | 352.22         
405    | 349.54         
406    | 347.57         
407    | 347.95         
408    | 347.72         
409    | 348.42         
410    | 349.75         
411    | 353.32         
412    | 347.97         
413    | 349.63         
414    | 353.44         
415    | 347.06         
416    | 351.46         
417    | 351.08         
418    | 351.03         
419    | 346.91         
420    | 349.94         
421    | 746.98         
422    | 747.91         
423    | 750.85         
424    | 752.64         
425    | 750.76         
426    | 747.68         
427    | 747.90         
428    | 746.94         
429    | 751.38         
430    | 751.86         
431    | 751.77         
432    | 752.52         
433    | 746.69         
434    | 753.49         
435    | 750.87         
436    | 748.81         
437    | 752.70         
438    | 747.96         
439    | 748.90         
440    | 749.07         
441    | 751.27         
442    | 750.37         
443    | 746.55         
444    | 751.28         
445    | 746.95         
446    | 749.73         
447    | 752.08         
448    | 749.12         
449    | 753.00         
450    | 746.79         
451    | 751.82         
452    | 750.41         
453    | 750.47         
454    | 748.84         
455    | 751.54         
456    | 748.06         
457    | 752.11         
458    | 749.19         
459    | 750.16         
460    | 746.72         
461    | 751.73         
462    | 752.62         
463    | 752.95         
464    | 752.83         
465    | 750.28         
466    | 747.61         
467    | 747.98         
468    | 750.90         
469    | 747.29         
470    | 750.03         
471    | 749.13         
472    | 748.21         
473    | 751.07         
474    | 751.13         
475    | 750.90         
476    | 746.63         
477    | 753.29         
478    | 751.39         
479    | 753.24         
480    | 751.22         
481    | 2769.78        
482    | 2770.96        
483    | 2767.33        
484    | 2769.91        
485    | 2766.80        
486    | 767.27         
487    | 769.14         
488    | 773.29         
489    | 772.32         
490    | 767.06         
491    | 767.55         
492    | 772.24         
493    | 768.61         
494    | 773.54         
495    | 766.63         
496    | 768.59         
497    | 769.39         
498    | 773.12         
499    | 771.10         
500    | 770.62         
501    | 771.02         
502    | 770.56         
503    | 767.37         
504    | 767.56         
505    | 768.65         
506    | 767.52         
507    | 767.33         
508    | 767.15         
509    | 769.03         
510    | 767.62         
511    | 766.92         
512    | 771.33         
513    | 769.88         
514    | 770.59         
515    | 772.60         
516    | 767.06         
517    | 768.09         
518    | 768.55         
519    | 770.05         
520    | 770.62         
521    | 773.10         
522    | 768.64         
523    | 766.76         
524    | 771.67         
525    | 769.46         
526    | 772.01         
527    | 769.47         
528    | 767.03         
529    | 771.92         
530    | 767.01         
531    | 767.96         
532    | 770.34         
533    | 769.62         
534    | 773.48         
535    | 770.14         
536    | 772.23         
537    | 772.69         
538    | 771.22         
539    | 770.07         
540    | 766.99         
541    | 596.64         
542    | 600.92         
543    | 598.69         
544    | 597.59         
545    | 598.30         
546    | 598.37         
547    | 601.55         
548    | 601.59         
549    | 600.03         
550    | 600.21         
551    | 596.74         
552    | 597.29         
553    | 599.96         
554    | 599.55         
555    | 603.08         
556    | 597.57         
557    | 600.08         
558    | 601.04         
559    | 602.34         
560    | 600.06         
561    | 597.86         
562    | 598.29         
563    | 602.26         
564    | 598.29         
565    | 597.84         
566    | 600.05         
567    | 603.45         
568    | 600.40         
569    | 597.35         
570    | 601.98         
571    | 601.81         
572    | 603.53         
573    | 597.73         
574    | 599.23         
575    | 597.66         
576    | 601.88         
577    | 602.21         
578    | 598.25         
579    | 597.80         
580    | 597.81         
581    | 600.96         
582    | 602.52         
583    | 599.35         
584    | 596.66         
585    | 601.76         
586    | 598.51         
587    | 596.66         
588    | 601.50         
589    | 601.45         
590    | 600.26         
591    | 597.27         
592    | 599.84         
593    | 601.62         
594    | 599.98         
595    | 598.32         
596    | 599.03         
597    | 601.35         
598    | 599.97         
599    | 597.26         
600    | 602.83         
601    | 602.82         
602    | 602.08         
603    | 600.59         
604    | 598.71         
605    | 596.94         
606    | 599.69         
607    | 601.83         
608    | 602.25         
609    | 601.38         
610    | 602.59         
611    | 596.77         
612    | 602.06         
613    | 600.07         
614    | 596.64         
615    | 601.22         
616    | 600.19         
617    | 597.47         
618    | 601.65         
619    | 603.09         
620    | 597.62         
621    | 602.98         
622    | 602.34         
623    | 598.05         
624    | 602.33         
625    | 603.19         
626    | 597.87         
627    | 598.14         
628    | 602.52         
629    | 600.72         
630    | 603.04         
631    | 602.71         
632    | 600.34         
633    | 599.09         
634    | 601.20         
635    | 602.28         
636    | 597.33         
637    | 599.46         
638    | 598.40         
639    | 599.44         
640    | 598.19         
641    | 602.01         
642    | 597.77         
643    | 602.93         
644    | 600.66         
645    | 599.51         
646    | 597.94         
647    | 597.63         
648    | 602.25         
649    | 601.82         
650    | 597.49         
651    | 596.45         
652    | 601.47         
653    | 602.50         
654    | 598.83         
655    | 596.86         
656    | 598.24         
657    | 599.86         
658    | 602.53         
659    | 596.71         
660    | 602.91         
661    | 597.02         
662    | 602.94         
663    | 596.97         
664    | 600.77         
665    | 601.43         
666    | 599.39         
667    | 601.16         
668    | 598.49         
669    | 602.01         
670    | 596.90         
671    | 597.92         
672    | 600.25         
673    | 599.74         
674    | 598.36         
675    | 603.59         
676    | 600.61         
677    | 597.97         
678    | 599.76         
679    | 602.63         
680    | 599.46         
681    | 600.48         
682    | 600.38         
683    | 602.62         
684    | 596.54         
685    | 597.59         
686    | 602.95         
687    | 597.37         
688    | 603.36         
689    | 597.52         
690    | 598.70         
691    | 602.06         
692    | 603.17         
693    | 603.52         
694    | 597.76         
695    | 597.49         
696    | 601.79         
697    | 603.37         
698    | 597.04         
699    | 602.50         
700    | 602.62         
701    | 600.01         
702    | 600.06         
703    | 601.25         
704    | 599.16         
705    | 599.60         
706    | 599.92         
707    | 600.35         
708    | 599.94         
709    | 599.51         
710    | 602.81         
711    | 597.87         
712    | 598.47         
713    | 599.94         
714    | 598.10         
715    | 596.44         
716    | 603.12         
717    | 601.83         
718    | 600.13         
719    | 601.57         
720    | 602.07         
721    | 753.52         
722    | 746.89         
723    | 750.98         
724    | 747.68         
