Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,348.06
362,348.58
363,349.3
364,353.11
365,349.81
366,349.57
367,351.0
368,347.93
369,346.76
370,350.99
371,346.77
372,348.31
373,351.01
374,347.96
375,347.45
376,348.47
377,349.71
378,347.83
379,349.98
380,350.63
381,347.29
382,349.02
383,347.27
384,351.59
385,351.77
386,346.86
387,348.68
388,350.14
389,351.47
390,348.1
391,2346.78
392,2349.49
393,2352.67
394,2352.81
395,2346.87
396,351.7
397,350.18
398,350.29
399,352.95
400,349.49
401,346.54
402,349.82
403,346.93
404,350.61
405,350.3
406,352.03
407,349.45
408,347.14
409,351.92
410,350.03
411,347.83
412,347.41
413,349.8
414,346.4
415,347.08
416,347.44
417,349.3
418,350.19
419,348.96
420,349.82
421,1171.17
422,1171.43
423,1171.78
424,1172.11
425,1168.46
426,1170.57
427,1169.54
428,1172.11
429,1170.96
430,1168.29
431,1169.03
432,1169.06
433,1169.88
434,1170.89
435,1170.21
436,1173.06
437,1167.95
438,1172.17
439,1172.83
440,1168.04
441,1167.29
442,1168.32
443,1169.43
444,1166.53
445,1166.88
446,1167.53
447,1167.17
448,1170.61
449,1172.97
450,1170.03
451,1169.39
452,1169.73
453,1168.95
454,1166.76
455,1170.91
456,1171.98
457,1168.93
458,1170.22
459,1169.32
460,1167.64
461,1166.62
462,1168.77
463,1168.62
464,1169.98
465,1167.83
466,1171.98
467,1172.4
468,1167.31
469,1167.31
470,1168.53
471,1172.41
472,1169.88
473,1172.36
474,1167.17
475,1168.9
476,1171.96
477,1167.91
478,1168.74
479,1169.76
480,1172.46
481,3172.77
482,3171.98
483,3166.87
484,3171.28
485,3167.86
486,1171.17
487,1170.51
488,1168.43
489,1167.55
490,1169.11
491,1168.39
492,1169.0
493,1173.05
494,1173.26
495,1169.13
496,1171.63
497,1170.23
498,1169.06
499,1167.43
500,1168.35
501,1173.54
502,1173.2
503,1167.01
504,1170.32
505,1171.88
506,1168.48
507,1172.31
508,1172.98
509,1170.29
510,1171.19
511,1172.54
512,1169.53
513,1167.75
514,1170.25
515,1169.01
516,1169.85
517,1171.49
518,1168.83
519,1170.85
520,1167.05
521,1169.53
522,1171.89
523,1167.53
524,1172.4
525,1173.33
526,1167.9
527,1170.71
528,1166.77
529,1172.59
530,1167.22
531,1172.1
532,1171.15
533,1172.29
534,1167.09
535,1166.71
536,1169.82
537,1173.06
538,1172.89
539,1168.16
540,1168.24
541,1002.73
542,1000.93
543,996.97
544,997.59
545,1000.27
546,998.26
547,997.58
548,999.02
549,1003.36
550,1000.85
551,999.06
552,996.82
553,998.67
554,1001.3
555,1000.99
556,1003.11
557,997.09
558,997.53
559,997.66
560,1001.58
561,1001.91
562,1000.84
563,1002.85
564,1002.73
565,1002.67
566,996.92
567,1000.6
568,996.89
569,998.77
570,997.61
571,1001.07
572,1003.31
573,1000.67
574,1003.43
575,997.93
576,997.92
577,998.03
578,998.55
579,997.27
580,1001.56
581,998.56
582,999.87
583,1000.15
584,1001.68
585,997.58
586,997.29
587,997.08
588,1001.7
589,997.49
590,999.61
591,1002.22
592,997.94
593,1000.58
594,999.58
595,1002.58
596,1000.09
597,1002.75
598,996.78
599,1001.7
600,996.76
601,1002.43
602,999.52
603,997.25
604,1002.8
605,998.97
606,1001.31
607,1000.32
608,1002.46
609,1003.36
610,1001.33
611,996.93
612,997.44
613,1000.44
614,1000.95
615,998.7
616,1002.36
617,999.9
618,1003.22
619,1001.3
620,1002.37
621,999.03
622,997.89
623,1002.7
624,998.34
625,1000.81
626,1000.19
627,998.81
628,996.69
629,1003.43
630,997.93
631,1002.81
632,1003.15
633,1000.83
634,999.34
635,997.1
636,1003.38
637,1001.61
638,997.66
639,1002.75
640,1002.17
641,1001.0
642,998.52
643,1003.04
644,999.05
645,997.18
646,1002.89
647,1001.21
648,1000.89
649,1000.72
650,997.55
651,1000.12
652,1002.13
653,1002.51
654,998.76
655,1003.59
656,1000.75
657,1000.21
658,1000.12
659,1000.36
660,1001.3
661,1000.38
662,1002.18
663,996.63
664,1002.7
665,998.76
666,1002.36
667,1002.58
668,998.33
669,997.42
670,996.51
671,1001.12
672,997.78
673,1000.95
674,1002.49
675,1003.29
676,1000.0
677,998.77
678,999.55
679,998.54
680,996.73
681,999.91
682,999.73
683,1003.31
684,1002.59
685,996.75
686,1002.3
687,1001.48
688,1001.62
689,996.68
690,1002.86
691,1002.79
692,998.22
693,998.84
694,1000.58
695,996.81
696,1001.44
697,997.73
698,1000.0
699,1002.87
700,1000.68
701,998.22
702,1002.98
703,996.88
704,1000.63
705,998.33
706,996.61
707,999.07
708,998.11
709,998.05
710,998.32
711,1001.61
712,998.7
713,998.07
714,1001.65
715,1001.58
716,1001.16
717,998.78
718,999.69
719,999.39
720,1001.5
721,1151.06
722,1153.16
723,1153.32
724,1153.47
725,1151.19
726,1148.84
727,1150.35
728,1146.74
729,1150.97
730,1149.71
731,2147.52
732,2151.64
733,2151.13
734,2150.86
735,2146.85
736,2149.94
737,2151.5
738,2148.39
739,2150.49
740,2150.64
741,1150.17
742,1151.8
743,1148.04
744,1150.8
745,1151.14
746,1149.23
747,1149.74
748,1146.48
749,1152.11
750,1147.66
751,1152.13
752,1148.6
753,1152.82
754,1149.33
755,1152.59
756,1148.39
757,1146.74
758,1149.28
759,1151.31
760,1151.4
761,1151.01
762,1150.43
763,1152.93
764,1151.68
765,1150.18
766,1151.5
767,1147.88
768,1151.48
769,1150.49
770,1147.29
771,1147.18
772,1149.67
773,1151.58
774,1148.79
775,1149.57
776,1146.53
777,1150.38
778,1151.1
779,1152.86
780,1151.29
781,1117.34
782,1122.51
783,1120.43
784,1122.52
785,1122.74
786,1116.76
787,1117.41
788,1119.25
789,1120.78
790,1116.95
791,1121.31
792,1123.57
793,1118.83
794,1122.96
795,1121.77
796,1119.78
797,1118.8
798,1122.76
799,1117.36
800,1121.67
801,1123.35
802,1121.77
803,1120.85
804,1118.04
805,1120.66
806,1121.39
807,1122.85
808,1122.26
809,1120.58
810,1119.24
811,1117.06
812,1118.85
813,1123.56
814,1117.17
815,1119.79
816,1121.27
817,1123.32
818,1121.87
819,1122.03
820,1121.92
821,1116.99
822,1119.63
823,1117.7
824,1120.25
825,1123.18
826,1119.34
827,1120.57
828,1117.73
829,1120.79
830,1119.8
831,1123.17
832,1118.65
833,1121.74
834,1117.43
835,1121.46
836,1117.35
837,1119.75
838,1121.29
839,1118.64
840,1119.66
841,1122.75
842,1123.04
843,1116.74
844,1116.66
845,1121.05
846,1117.99
847,1121.56
848,1118.51
849,1122.08
850,1119.64
851,1118.82
852,1123.05
853,1119.47
854,1121.07
855,1122.61
856,1116.42
857,1117.05
858,1121.36
859,1122.61
860,1119.89
861,1123.0
862,1117.65
863,1120.51
864,1116.92
865,1117.44
866,1123.41
867,1119.07
868,1116.49
869,1118.01
870,1121.88
871,1120.43
872,1119.99
873,1117.08
874,1119.25
875,1118.91
876,1122.52
877,1119.97
878,1123.07
879,1119.0
880,1118.69
881,1118.74
882,1116.59
883,1121.8
884,1119.95
885,1118.44
886,1118.68
887,1122.92
888,1122.26
889,1119.53
890,1122.59
891,1121.74
892,1120.15
893,1120.62
894,1121.49
895,1121.66
896,1120.57
897,1117.36
898,1120.12
899,1121.43
900,1119.06
901,1118.13
902,1118.82
903,1121.79
904,1120.37
905,1123.45
906,1123.0
907,1117.02
908,1121.71
909,1118.33
910,1118.3
911,1123.17
912,1118.34
913,1121.18
914,1118.04
915,1117.93
916,1122.36
917,1118.08
918,1121.64
919,1121.41
920,1121.51
921,1120.49
922,1121.64
923,1122.65
924,1118.82
925,1120.1
926,1122.06
927,1117.05
928,1116.53
929,1119.43
930,1119.75
931,1119.82
932,1116.74
933,1116.58
934,1118.64
935,1118.43
936,1118.22
937,1119.73
938,1123.4
939,1122.03
940,1120.73
941,1122.44
942,1121.87
943,1122.37
944,1121.04
945,1120.94
946,1117.54
947,1116.43
948,1119.12
949,1120.58
950,1121.54
951,1123.09
952,1121.39
953,1117.61
954,1120.03
955,1117.2
956,1122.59
957,1119.55
958,1121.64
959,1120.55
960,1120.92
961,1117.25
962,1122.66
963,1117.94
964,1121.41
965,1120.68
966,1117.68
967,1118.72
968,1117.17
969,1119.64
970,1117.58
971,1118.35
972,1123.44
973,1121.76
974,1121.0
975,1121.72
976,1117.09
977,1117.34
978,1122.05
979,1117.72
980,1118.28
981,1118.26
982,1120.98
983,1118.79
984,1117.56
985,1117.54
986,1121.62
987,1123.36
988,1119.33
989,1117.26
990,1120.33
991,1117.52
992,1122.54
993,1118.24
994,1118.16
995,1117.91
996,1122.66
997,1118.11
998,1121.24
999,1120.34
1000,1118.14
1001,1118.64
1002,1123.45
1003,1122.57
1004,1117.26
1005,1120.09
1006,1119.12
1007,1120.34
1008,1122.25
1009,1121.52
1010,1117.53
1011,1117.8
1012,1118.13
1013,1117.71
1014,1121.12
1015,1120.48
1016,1119.45
1017,1117.3
1018,1123.52
1019,1117.62
1020,1123.29
1021,1270.11
1022,1267.73
1023,1268.57
1024,1272.85
1025,1266.89
1026,1268.59
1027,1267.45
1028,1268.79
1029,1270.54
1030,1269.78
1031,1269.76
1032,1272.2
1033,1270.03
1034,1270.3
1035,1267.46
1036,1268.78
1037,1266.88
1038,1268.07
1039,1268.24
1040,1273.42
1041,1269.77
1042,1268.14
1043,1270.34
1044,1267.45
1045,1270.27
1046,1271.68
1047,1270.01
1048,1266.46
1049,1273.2
1050,1269.22
1051,1268.72
1052,1271.12
1053,1267.35
1054,1271.48
1055,1271.13
1056,1273.14
1057,1270.48
1058,1269.16
1059,1268.72
1060,1267.56
1061,1272.68
1062,1273.4
1063,1272.77
1064,1268.88
1065,1270.72
1066,1272.47
1067,1272.15
1068,1269.32
1069,1273.07
1070,1269.2
1071,1268.49
1072,1269.94
1073,1269.22
1074,1271.61
1075,1270.12
1076,1273.08
1077,1271.69
1078,1269.27
1079,1271.68
1080,1273.35
1081,1267.65
1082,1269.86
1083,1266.9
1084,1271.52
1085,1272.5
1086,1271.25
1087,1267.07
1088,1266.48
1089,1270.1
1090,1266.76
1091,1266.59
1092,1268.92
1093,1273.55
1094,1269.69
1095,1268.73
1096,1267.77
1097,1269.27
1098,1266.42
1099,1266.92
1100,1273.18
1101,1269.41
1102,1272.25
1103,1269.63
1104,1269.15
1105,1271.91
1106,1272.93
1107,1267.3
1108,1268.85
1109,1271.73
1110,1270.08
1111,1270.16
1112,1267.65
1113,1271.95
1114,1269.93
1115,1268.53
1116,1269.9
1117,1267.45
1118,1266.53
1119,1269.24
1120,1271.62
1121,1269.25
1122,1267.46
1123,1268.97
1124,1272.87
1125,1267.58
1126,1272.1
1127,1266.52
1128,1272.6
1129,1267.95
1130,1272.95
1131,1267.19
1132,1268.64
1133,1269.79
1134,1268.11
1135,1267.12
1136,1271.69
1137,1272.76
1138,1268.02
1139,1269.57
1140,1269.45
1141,1268.11
1142,1270.14
1143,1271.66
1144,1269.81
1145,1267.77
1146,1270.02
1147,1270.42
1148,1271.77
1149,1270.07
1150,1270.43
1151,1267.41
1152,1267.46
1153,1268.82
1154,1273.19
1155,1269.64
1156,1269.12
1157,1271.55
1158,1268.67
1159,1268.54
1160,1269.55
1161,1269.54
1162,1268.34
1163,1271.29
1164,1269.02
1165,1268.28
1166,1267.33
1167,1272.61
1168,1268.04
1169,1269.45
1170,1270.72
1171,1267.65
1172,1267.21
1173,1272.55
1174,1267.91
1175,1268.41
