Minute | Consumption (W) - SCENARIO: Rest and Sick Day
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 350.13         
362    | 353.22         
363    | 347.73         
364    | 352.34         
365    | 347.40         
366    | 347.67         
367    | 347.68         
368    | 349.41         
369    | 349.54         
370    | 350.93         
371    | 349.06         
372    | 348.72         
373    | 351.49         
374    | 348.23         
375    | 350.42         
376    | 348.42         
377    | 351.15         
378    | 347.57         
379    | 347.43         
380    | 348.68         
381    | 347.73         
382    | 347.24         
383    | 346.90         
384    | 346.93         
385    | 353.06         
386    | 347.50         
387    | 350.45         
388    | 350.55         
389    | 353.50         
390    | 347.58         
391    | 2349.03        
392    | 2348.86        
393    | 2346.49        
394    | 2350.63        
395    | 2351.82        
396    | 348.90         
397    | 350.65         
398    | 347.53         
399    | 353.47         
400    | 348.08         
401    | 347.32         
402    | 350.17         
403    | 350.45         
404    | 352.12         
405    | 346.96         
406    | 349.87         
407    | 351.41         
408    | 350.43         
409    | 351.50         
410    | 352.35         
411    | 346.53         
412    | 349.90         
413    | 349.30         
414    | 347.60         
415    | 347.46         
416    | 347.58         
417    | 347.29         
418    | 352.82         
419    | 351.12         
420    | 349.86         
421    | 1168.57        
422    | 1171.46        
423    | 1169.60        
424    | 1168.81        
425    | 1173.30        
426    | 1170.16        
427    | 1171.14        
428    | 1171.39        
429    | 1168.60        
430    | 1172.91        
431    | 1173.12        
432    | 1166.58        
433    | 1172.02        
434    | 1166.93        
435    | 1167.64        
436    | 1173.09        
437    | 1169.38        
438    | 1171.84        
439    | 1171.28        
440    | 1172.15        
441    | 1167.61        
442    | 1167.61        
443    | 1168.51        
444    | 1166.77        
445    | 1170.30        
446    | 1169.52        
447    | 1172.32        
448    | 1168.73        
449    | 1171.63        
450    | 1173.50        
451    | 1169.23        
452    | 1172.49        
453    | 1168.90        
454    | 1171.52        
455    | 1168.75        
456    | 1170.61        
457    | 1169.39        
458    | 1172.13        
459    | 1171.26        
460    | 1167.29        
461    | 1167.41        
462    | 1171.99        
463    | 1167.37        
464    | 1172.71        
465    | 1172.70        
466    | 1172.17        
467    | 1167.09        
468    | 1169.52        
469    | 1170.85        
470    | 1168.15        
471    | 1166.45        
472    | 1173.33        
473    | 1166.59        
474    | 1172.37        
475    | 1170.49        
476    | 1167.55        
477    | 1173.06        
478    | 1169.95        
479    | 1167.22        
480    | 1167.48        
481    | 3169.93        
482    | 3170.45        
483    | 3168.83        
484    | 3172.28        
485    | 3166.73        
486    | 1168.96        
487    | 1170.86        
488    | 1167.08        
489    | 1169.36        
490    | 1168.97        
491    | 1173.29        
492    | 1167.37        
493    | 1171.63        
494    | 1169.05        
495    | 1166.88        
496    | 1173.47        
497    | 1167.88        
498    | 1169.87        
499    | 1169.96        
500    | 1169.15        
501    | 1167.63        
502    | 1166.51        
503    | 1170.14        
504    | 1170.52        
505    | 1172.77        
506    | 1173.14        
507    | 1172.74        
508    | 1171.08        
509    | 1172.42        
510    | 1173.37        
511    | 1172.25        
512    | 1167.81        
513    | 1166.92        
514    | 1169.26        
515    | 1172.20        
516    | 1169.26        
517    | 1169.94        
518    | 1167.45        
519    | 1168.30        
520    | 1167.82        
521    | 1169.97        
522    | 1170.78        
523    | 1169.33        
524    | 1171.18        
525    | 1169.93        
526    | 1172.88        
527    | 1173.04        
528    | 1170.17        
529    | 1170.31        
530    | 1170.78        
531    | 1169.97        
532    | 1171.10        
533    | 1172.64        
534    | 1168.64        
535    | 1167.98        
536    | 1167.26        
537    | 1168.38        
538    | 1166.56        
539    | 1168.76        
540    | 1167.37        
541    | 1002.74        
542    | 997.55         
543    | 1001.89        
544    | 999.39         
545    | 1002.67        
546    | 997.48         
547    | 999.36         
548    | 1001.71        
549    | 1001.83        
550    | 1002.87        
551    | 996.86         
552    | 996.53         
553    | 997.14         
554    | 1001.44        
555    | 998.28         
556    | 999.52         
557    | 1003.03        
558    | 1001.53        
559    | 998.57         
560    | 1000.45        
561    | 1002.70        
562    | 1003.04        
563    | 997.42         
564    | 1003.33        
565    | 1002.12        
566    | 1002.33        
567    | 996.88         
568    | 997.72         
569    | 997.81         
570    | 1002.75        
571    | 1001.91        
572    | 999.92         
573    | 998.85         
574    | 997.37         
575    | 997.25         
576    | 997.92         
577    | 1002.91        
578    | 996.77         
579    | 1000.01        
580    | 1002.38        
581    | 1001.57        
582    | 998.54         
583    | 999.14         
584    | 1001.71        
585    | 1000.74        
586    | 1002.77        
587    | 999.31         
588    | 1000.63        
589    | 996.63         
590    | 1000.99        
591    | 1002.83        
592    | 1002.34        
593    | 996.68         
594    | 997.29         
595    | 997.86         
596    | 997.95         
597    | 1001.79        
598    | 1001.73        
599    | 997.45         
600    | 1000.28        
601    | 1001.86        
602    | 1002.51        
603    | 1000.42        
604    | 1000.69        
605    | 1003.50        
606    | 1000.73        
607    | 996.78         
608    | 1001.19        
609    | 999.22         
610    | 996.81         
611    | 1001.82        
612    | 996.94         
613    | 1000.60        
614    | 1000.29        
615    | 996.88         
616    | 998.97         
617    | 1002.47        
618    | 997.61         
619    | 1000.97        
620    | 1002.39        
621    | 1000.75        
622    | 1001.26        
623    | 1003.44        
624    | 1002.41        
625    | 997.93         
626    | 997.90         
627    | 1000.02        
628    | 997.88         
629    | 1000.34        
630    | 1001.24        
631    | 996.67         
632    | 997.32         
633    | 1003.13        
634    | 1000.72        
635    | 998.25         
636    | 998.76         
637    | 998.69         
638    | 1002.48        
639    | 1001.01        
640    | 997.62         
641    | 1000.54        
642    | 998.88         
643    | 996.82         
644    | 998.14         
645    | 1003.34        
646    | 1002.75        
647    | 1000.05        
648    | 996.95         
649    | 999.55         
650    | 1001.26        
651    | 1002.61        
652    | 1003.09        
653    | 1003.39        
654    | 1001.29        
655    | 1001.04        
656    | 1001.62        
657    | 1002.60        
658    | 997.66         
659    | 998.24         
660    | 1000.25        
661    | 1002.83        
662    | 999.33         
663    | 999.49         
664    | 999.12         
665    | 1003.48        
666    | 1000.70        
667    | 997.33         
668    | 998.27         
669    | 1002.22        
670    | 996.80         
671    | 998.10         
672    | 997.47         
673    | 999.56         
674    | 1000.54        
675    | 999.31         
676    | 1002.79        
677    | 1002.22        
678    | 997.47         
679    | 1001.25        
680    | 1003.27        
681    | 1001.82        
682    | 1000.57        
683    | 996.81         
684    | 999.14         
685    | 997.89         
686    | 997.56         
687    | 999.66         
688    | 999.07         
689    | 1001.11        
690    | 997.32         
691    | 1001.23        
692    | 999.72         
693    | 999.99         
694    | 996.89         
695    | 1000.19        
696    | 1000.48        
697    | 997.64         
698    | 1000.58        
699    | 998.45         
700    | 1001.86        
701    | 998.15         
702    | 1000.10        
