Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,346.99
362,348.79
363,351.78
364,348.98
365,346.84
366,352.24
367,351.19
368,350.74
369,351.49
370,348.26
371,349.81
372,352.49
373,346.7
374,346.61
375,352.48
376,349.56
377,352.47
378,347.99
379,352.98
380,352.65
381,347.78
382,347.63
383,349.73
384,351.39
385,350.14
386,347.37
387,353.06
388,353.45
389,351.85
390,350.54
391,2352.37
392,2346.81
393,2348.94
394,2350.19
395,2353.01
396,347.5
397,349.41
398,346.76
399,349.68
400,348.68
401,351.42
402,352.84
403,351.29
404,348.62
405,349.81
406,349.59
407,352.35
408,349.2
409,348.6
410,350.3
411,353.16
412,347.39
413,349.75
414,352.9
415,348.72
416,349.48
417,353.58
418,347.73
419,347.35
420,349.48
421,751.77
422,748.07
423,750.33
424,748.21
425,753.02
426,748.49
427,752.09
428,747.91
429,746.98
430,747.11
431,746.89
432,748.48
433,749.52
434,751.81
435,747.72
436,746.95
437,751.2
438,747.68
439,746.52
440,748.11
441,749.91
442,750.66
443,751.63
444,752.39
445,747.45
446,752.82
447,751.48
448,748.11
449,752.44
450,751.1
451,752.03
452,748.13
453,748.65
454,752.78
455,752.57
456,752.31
457,752.09
458,746.85
459,749.07
460,750.23
461,749.11
462,750.86
463,748.89
464,746.85
465,750.21
466,749.42
467,751.76
468,746.71
469,751.77
470,747.61
471,747.25
472,746.91
473,753.34
474,749.33
475,751.85
476,750.61
477,751.55
478,750.15
479,751.18
480,748.6
481,2752.8
482,2746.81
483,2748.99
484,2751.26
485,2748.89
486,751.5
487,752.49
488,746.63
489,752.79
490,747.8
491,751.54
492,749.61
493,753.59
494,751.15
495,752.34
496,752.63
497,749.11
498,753.48
499,750.25
500,747.88
501,746.85
502,753.15
503,749.85
504,749.8
505,752.25
506,746.78
507,746.75
508,749.07
509,746.76
510,752.18
511,748.77
512,746.75
513,746.62
514,749.07
515,748.27
516,747.49
517,747.52
518,752.75
519,751.09
520,748.87
521,753.28
522,749.06
523,749.54
524,750.91
525,750.81
526,748.07
527,748.39
528,749.74
529,746.65
530,752.7
531,750.14
532,747.88
533,746.91
534,752.97
535,750.65
536,749.45
537,747.69
538,751.4
539,748.28
540,747.84
541,578.52
542,581.57
543,581.55
544,577.72
545,580.12
546,582.4
547,583.24
548,577.41
549,579.5
550,580.24
551,583.53
552,579.82
553,582.24
554,576.87
555,578.98
556,578.56
557,577.55
558,582.14
559,577.37
560,577.78
561,580.4
562,580.04
563,577.79
564,583.2
565,579.62
566,578.83
567,576.69
568,579.7
569,578.49
570,582.84
571,579.57
572,580.72
573,579.93
574,580.92
575,583.59
576,576.9
577,577.52
578,583.26
579,583.37
580,577.2
581,577.59
582,581.15
583,577.01
584,580.1
585,580.77
586,582.87
587,580.87
588,579.25
589,580.61
590,577.93
591,583.31
592,583.14
593,576.8
594,578.59
595,578.14
596,580.92
597,581.15
598,577.38
599,577.53
600,580.56
601,582.29
602,581.63
603,580.21
604,579.61
605,579.33
606,578.2
607,582.12
608,576.66
609,579.77
610,579.05
611,576.77
612,581.53
613,582.85
614,583.59
615,580.78
616,578.4
617,577.84
618,583.06
619,582.23
620,580.58
621,578.38
622,579.74
623,577.94
624,582.38
625,581.42
626,579.58
627,578.37
628,576.47
629,583.11
630,579.08
631,583.03
632,578.18
633,578.53
634,582.12
635,579.33
636,578.15
637,577.57
638,583.45
639,582.68
640,579.84
641,578.79
642,580.65
643,578.83
644,578.34
645,577.47
646,577.3
647,578.95
648,583.47
649,582.1
650,582.61
651,580.1
652,581.17
653,579.91
654,577.25
655,581.66
656,577.9
657,579.63
658,581.17
659,578.01
660,577.49
661,577.72
662,576.59
663,580.49
664,581.51
665,576.71
666,579.85
667,581.62
668,581.27
669,582.09
670,581.99
671,583.51
672,581.05
673,583.0
674,583.31
675,579.27
676,581.87
677,577.62
678,578.15
679,578.42
680,580.87
681,580.25
682,580.61
683,578.81
684,577.83
685,579.54
686,582.2
687,577.46
688,582.33
689,580.37
690,577.09
691,577.86
692,582.57
693,576.43
694,577.51
695,577.84
696,582.66
697,577.86
698,579.61
699,580.54
700,576.78
701,577.21
702,580.88
703,581.89
704,582.84
705,577.34
706,578.13
707,583.38
708,577.45
709,576.44
710,579.05
711,583.03
712,577.4
713,581.61
714,581.72
715,579.28
716,578.07
717,578.83
718,580.54
719,581.1
720,576.8
721,728.19
722,730.52
723,732.58
724,728.37
725,731.61
726,727.27
727,730.76
728,731.47
729,728.31
730,727.37
731,1730.98
732,1732.24
733,1727.57
734,1730.83
735,1729.53
736,1728.26
737,1727.46
738,1732.48
739,1727.31
740,1733.53
741,731.39
742,730.97
743,731.01
744,729.22
745,732.08
746,728.97
747,732.61
748,731.23
749,729.85
750,729.01
751,730.09
752,727.48
753,728.86
754,728.24
755,731.49
756,732.36
757,729.09
758,730.42
759,732.39
760,732.69
761,729.92
762,727.54
763,732.79
764,728.01
765,732.67
766,732.05
767,732.93
768,727.17
769,731.29
770,730.13
771,727.86
772,729.67
773,732.29
774,732.44
775,730.92
776,729.12
777,731.32
778,728.31
779,726.93
780,727.29
781,701.31
782,701.12
783,700.53
784,696.8
785,697.24
786,703.09
787,702.8
788,701.01
789,700.61
790,702.39
791,700.49
792,699.74
793,702.34
794,700.23
795,697.62
796,697.09
797,699.15
798,700.42
799,699.41
800,698.81
801,703.33
802,698.42
803,700.6
804,702.62
805,702.29
806,697.59
807,702.64
808,700.04
809,696.69
810,703.44
811,698.2
812,696.62
813,696.65
814,696.83
815,700.09
816,697.14
817,701.89
818,698.49
819,698.86
820,702.68
821,702.65
822,701.03
823,697.78
824,701.32
825,702.02
826,702.34
827,701.96
828,696.69
829,696.59
830,697.37
831,698.74
832,702.99
833,698.61
834,703.35
835,696.67
836,701.61
837,702.66
838,701.8
839,697.86
840,697.77
841,701.81
842,698.87
843,702.4
844,701.78
845,697.26
846,703.27
847,702.65
848,699.33
849,698.47
850,701.06
851,697.7
852,696.85
853,697.06
854,702.38
855,698.1
856,697.84
857,700.71
858,702.09
859,701.9
860,698.22
861,698.89
862,696.92
863,700.87
864,699.5
865,699.45
866,696.53
867,697.24
868,700.99
869,701.61
870,701.1
871,702.73
872,700.27
873,702.75
874,699.4
875,696.53
876,702.22
877,702.95
878,703.5
879,696.6
880,697.21
881,699.98
882,697.52
883,700.94
884,699.94
885,698.92
886,699.17
887,696.83
888,697.47
889,702.51
890,702.0
891,702.74
892,700.4
893,697.8
894,700.31
895,699.75
896,701.54
897,699.42
898,697.48
899,699.52
900,699.48
901,702.59
902,702.24
903,703.39
904,696.43
905,699.12
906,700.71
907,697.0
908,698.98
909,698.79
910,699.31
911,701.54
912,697.58
913,700.77
914,697.74
915,697.81
916,703.33
917,696.68
918,698.92
919,701.34
920,697.66
921,700.64
922,700.58
923,697.93
924,701.5
925,703.3
926,702.84
927,701.98
928,698.72
929,699.51
930,700.47
931,703.52
932,701.16
933,698.53
934,701.69
935,702.65
936,698.14
937,701.23
938,700.72
939,698.9
940,696.41
941,702.15
942,700.63
943,700.42
944,702.42
945,697.87
946,701.57
947,699.68
948,700.14
949,702.14
950,703.4
951,697.29
952,703.28
953,700.03
954,700.02
955,698.86
956,701.52
957,699.33
958,700.21
959,702.55
960,702.8
961,703.14
962,699.46
963,701.49
964,698.04
965,697.96
966,699.26
967,697.7
968,699.97
969,700.63
970,697.14
971,702.17
972,702.89
973,703.1
974,697.15
975,696.6
976,698.86
977,702.48
978,699.53
979,697.47
980,701.98
981,696.79
982,698.88
983,696.87
984,697.39
985,699.7
986,696.55
987,699.75
988,700.42
989,703.22
990,702.17
991,697.45
992,699.88
993,701.62
994,699.18
995,697.47
996,700.41
997,697.09
998,699.09
999,699.52
1000,701.75
1001,703.45
1002,702.98
1003,697.16
1004,697.43
1005,699.8
1006,702.17
1007,701.69
1008,701.68
1009,700.59
1010,699.94
1011,696.63
1012,701.61
1013,698.41
1014,699.7
1015,696.55
1016,701.85
1017,699.92
1018,696.71
1019,698.53
1020,699.42
1021,853.02
1022,851.79
1023,853.22
1024,849.43
1025,850.85
1026,853.42
1027,849.13
1028,846.95
1029,848.18
1030,853.55
1031,849.63
1032,852.81
1033,849.4
1034,847.33
1035,849.02
1036,846.72
1037,846.56
1038,851.01
1039,847.22
1040,850.11
1041,847.61
1042,851.9
1043,847.18
1044,847.67
1045,852.96
1046,852.32
1047,848.89
1048,850.13
1049,851.06
1050,849.55
1051,850.22
1052,851.03
1053,846.54
1054,848.5
1055,846.61
1056,847.88
1057,846.73
1058,847.4
1059,849.21
1060,849.66
1061,851.14
1062,846.47
1063,846.6
1064,850.13
1065,850.62
1066,847.22
1067,847.75
1068,850.98
1069,846.71
1070,849.86
1071,847.59
1072,848.21
1073,849.58
1074,851.15
1075,849.94
1076,850.64
1077,848.79
1078,846.97
1079,847.22
1080,847.61
1081,848.3
1082,853.6
1083,852.62
1084,853.55
1085,850.13
1086,851.46
1087,852.83
1088,852.79
1089,851.31
1090,846.41
1091,847.77
1092,852.58
1093,847.02
1094,847.46
1095,849.0
1096,848.39
1097,847.57
1098,849.47
1099,848.56
1100,849.31
1101,852.91
1102,848.97
1103,853.44
1104,846.7
1105,846.65
1106,852.6
1107,851.85
1108,853.54
1109,847.01
1110,852.18
1111,3346.88
1112,3346.82
1113,3352.61
1114,3352.96
1115,3352.75
1116,3346.91
1117,3350.02
1118,3349.41
1119,3349.66
1120,3347.5
1121,3348.24
1122,3353.31
1123,3348.4
1124,3351.33
1125,3350.72
1126,3349.94
1127,3349.66
1128,3350.5
1129,3350.68
1130,3353.25
1131,3349.22
1132,3347.91
1133,3352.21
1134,3350.78
1135,3348.05
1136,3347.56
1137,3346.54
1138,3346.44
1139,3346.6
1140,3348.31
1141,848.29
1142,847.81
1143,848.13
1144,852.48
1145,848.22
1146,850.76
1147,850.94
1148,846.86
1149,846.94
1150,850.49
1151,848.02
1152,848.57
1153,848.83
1154,846.93
1155,849.88
1156,853.16
1157,852.95
1158,852.05
1159,851.67
1160,848.88
1161,849.32
1162,847.65
1163,847.9
1164,847.89
1165,849.55
1166,852.94
1167,850.27
1168,849.33
1169,853.47
1170,850.79
1171,851.71
1172,846.45
1173,853.01
1174,850.93
1175,850.04
1176,851.01
1177,847.91
1178,852.81
1179,848.15
1180,849.41
1181,850.35
1182,850.21
1183,850.43
1184,848.15
1185,849.1
1186,849.05
1187,848.61
1188,846.82
1189,846.43
1190,851.7
1191,846.72
1192,851.36
1193,853.0
1194,852.37
1195,852.2
1196,850.43
1197,850.7
1198,852.89
1199,849.1
1200,847.91
1201,851.5
1202,848.6
1203,852.04
1204,847.75
1205,849.46
1206,852.58
1207,849.08
1208,851.26
1209,849.58
1210,850.53
1211,850.14
1212,853.36
1213,848.36
1214,846.69
1215,852.8
1216,850.14
1217,849.25
1218,853.19
1219,849.8
1220,851.83
1221,853.4
1222,847.88
1223,848.04
1224,847.53
1225,850.5
1226,848.29
1227,848.05
1228,851.71
1229,848.39
1230,847.57
1231,847.67
1232,849.35
1233,850.27
1234,849.95
1235,850.25
1236,847.2
1237,852.14
1238,848.72
1239,847.12
1240,847.83
1241,853.35
1242,848.07
1243,849.87
1244,852.58
1245,851.65
1246,851.0
1247,849.85
1248,851.83
1249,848.49
1250,851.69
1251,848.31
1252,852.49
1253,847.58
1254,850.42
1255,851.23
1256,846.53
1257,850.59
1258,852.6
1259,851.05
1260,846.76
1261,452.07
1262,449.42
1263,451.16
1264,453.21
1265,448.41
