Minute | Consumption (W) - SCENARIO: Routine + Cooking
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 346.89         
362    | 349.49         
363    | 351.21         
364    | 353.00         
365    | 352.82         
366    | 349.26         
367    | 350.64         
368    | 350.56         
369    | 353.03         
370    | 348.24         
371    | 350.29         
372    | 352.21         
373    | 350.70         
374    | 351.62         
375    | 349.14         
376    | 347.67         
377    | 349.66         
378    | 347.62         
379    | 346.86         
380    | 347.09         
381    | 351.32         
382    | 350.30         
383    | 348.67         
384    | 347.81         
385    | 351.51         
386    | 349.58         
387    | 351.96         
388    | 348.87         
389    | 347.50         
390    | 349.45         
391    | 2351.27        
392    | 2346.47        
393    | 2346.49        
394    | 2352.56        
395    | 2351.89        
396    | 348.34         
397    | 352.80         
398    | 351.91         
399    | 352.39         
400    | 351.05         
401    | 347.20         
402    | 353.47         
403    | 352.72         
404    | 350.37         
405    | 351.90         
406    | 352.62         
407    | 349.04         
408    | 350.03         
409    | 353.29         
410    | 351.90         
411    | 350.11         
412    | 351.58         
413    | 351.33         
414    | 351.58         
415    | 351.67         
416    | 349.25         
417    | 350.89         
418    | 350.28         
419    | 353.43         
420    | 349.91         
421    | 749.60         
422    | 752.57         
423    | 752.81         
424    | 750.89         
425    | 752.00         
426    | 749.80         
427    | 751.02         
428    | 752.37         
429    | 746.68         
430    | 746.77         
431    | 751.39         
432    | 753.41         
433    | 752.67         
434    | 751.54         
435    | 752.52         
436    | 748.46         
437    | 752.27         
438    | 750.52         
439    | 752.15         
440    | 748.60         
441    | 751.23         
442    | 750.10         
443    | 750.25         
444    | 753.38         
445    | 749.45         
446    | 752.48         
447    | 750.63         
448    | 746.82         
449    | 750.45         
450    | 753.10         
451    | 750.73         
452    | 751.28         
453    | 751.98         
454    | 746.64         
455    | 748.35         
456    | 748.54         
457    | 753.45         
458    | 750.84         
459    | 751.88         
460    | 752.70         
461    | 748.09         
462    | 753.14         
463    | 748.68         
464    | 746.61         
465    | 746.73         
466    | 752.20         
467    | 748.78         
468    | 749.15         
469    | 748.36         
470    | 750.37         
471    | 752.10         
472    | 751.29         
473    | 750.70         
474    | 747.89         
475    | 747.11         
476    | 750.16         
477    | 751.25         
478    | 748.31         
479    | 748.99         
480    | 749.41         
481    | 2751.00        
482    | 2749.17        
483    | 2751.94        
484    | 2750.79        
485    | 2747.25        
486    | 747.97         
487    | 751.09         
488    | 753.31         
489    | 751.83         
490    | 747.54         
491    | 749.73         
492    | 750.09         
493    | 748.63         
494    | 753.45         
495    | 752.53         
496    | 752.08         
497    | 746.41         
498    | 747.39         
499    | 752.31         
500    | 748.62         
501    | 748.65         
502    | 750.58         
503    | 748.89         
504    | 750.34         
505    | 752.88         
506    | 753.06         
507    | 750.07         
508    | 749.51         
509    | 749.89         
510    | 746.80         
511    | 751.47         
512    | 749.29         
513    | 749.20         
514    | 751.55         
515    | 751.64         
516    | 749.25         
517    | 751.78         
518    | 750.76         
519    | 751.26         
520    | 746.54         
521    | 749.00         
522    | 749.19         
523    | 750.95         
524    | 749.70         
525    | 753.30         
526    | 747.27         
527    | 747.90         
528    | 748.85         
529    | 750.99         
530    | 750.60         
531    | 750.43         
532    | 753.01         
533    | 752.46         
534    | 746.99         
535    | 753.57         
536    | 749.95         
537    | 748.62         
538    | 747.68         
539    | 752.58         
540    | 753.25         
541    | 582.98         
542    | 579.85         
543    | 577.23         
544    | 577.56         
545    | 579.49         
546    | 577.26         
547    | 580.46         
548    | 579.86         
549    | 583.22         
550    | 583.22         
551    | 578.36         
552    | 581.42         
553    | 577.97         
554    | 581.64         
555    | 580.31         
556    | 576.82         
557    | 576.82         
558    | 582.62         
559    | 581.34         
560    | 578.39         
561    | 583.53         
562    | 582.86         
563    | 583.24         
564    | 577.03         
565    | 581.51         
566    | 583.04         
567    | 579.68         
568    | 579.54         
569    | 581.95         
570    | 579.63         
571    | 576.62         
572    | 576.66         
573    | 581.82         
574    | 583.54         
575    | 582.47         
576    | 581.83         
577    | 577.14         
578    | 582.00         
579    | 580.46         
580    | 581.24         
581    | 581.26         
582    | 581.97         
583    | 577.18         
584    | 580.66         
585    | 582.14         
586    | 577.09         
587    | 582.85         
588    | 580.58         
589    | 576.41         
590    | 580.90         
591    | 581.67         
592    | 582.99         
593    | 576.67         
594    | 578.32         
595    | 582.37         
596    | 578.76         
597    | 576.95         
598    | 578.87         
599    | 582.94         
600    | 582.89         
601    | 578.00         
602    | 580.54         
603    | 581.94         
604    | 579.11         
605    | 577.42         
606    | 582.37         
607    | 582.14         
608    | 581.43         
609    | 577.34         
610    | 579.05         
611    | 581.38         
612    | 578.82         
613    | 583.28         
614    | 582.93         
615    | 580.10         
616    | 577.71         
617    | 583.20         
618    | 578.68         
619    | 582.62         
620    | 582.26         
621    | 581.97         
622    | 578.69         
623    | 582.05         
624    | 576.69         
625    | 581.70         
626    | 576.73         
627    | 576.51         
628    | 580.80         
629    | 581.17         
630    | 580.55         
631    | 581.66         
632    | 580.39         
633    | 577.05         
634    | 582.87         
635    | 580.11         
636    | 576.98         
637    | 578.92         
638    | 576.60         
639    | 579.49         
640    | 579.17         
641    | 579.23         
642    | 583.32         
643    | 579.82         
644    | 577.21         
645    | 579.56         
646    | 581.43         
647    | 578.95         
648    | 578.55         
649    | 581.03         
650    | 582.81         
651    | 579.01         
652    | 579.47         
653    | 578.01         
654    | 577.31         
655    | 576.98         
656    | 577.03         
657    | 583.45         
658    | 578.52         
659    | 577.19         
660    | 582.53         
661    | 582.18         
662    | 579.00         
663    | 580.11         
664    | 579.82         
665    | 577.67         
666    | 579.08         
667    | 577.61         
668    | 578.07         
669    | 579.11         
670    | 578.98         
671    | 581.06         
672    | 579.04         
673    | 583.33         
674    | 583.16         
675    | 583.15         
676    | 581.87         
677    | 581.74         
678    | 578.72         
679    | 578.39         
680    | 581.46         
681    | 577.43         
682    | 582.25         
683    | 580.73         
684    | 577.94         
685    | 577.52         
686    | 577.79         
687    | 580.81         
688    | 579.61         
689    | 577.14         
690    | 580.27         
691    | 581.79         
692    | 580.71         
693    | 582.50         
694    | 576.95         
695    | 579.37         
696    | 582.21         
697    | 578.97         
698    | 577.65         
699    | 582.87         
700    | 583.13         
701    | 576.43         
702    | 580.79         
703    | 583.47         
704    | 576.76         
705    | 581.20         
706    | 577.84         
707    | 579.26         
708    | 578.33         
709    | 582.99         
710    | 582.71         
711    | 578.39         
712    | 577.54         
713    | 577.98         
714    | 579.78         
715    | 580.20         
716    | 579.42         
717    | 582.60         
718    | 577.29         
719    | 582.22         
720    | 578.66         
721    | 728.64         
722    | 729.74         
723    | 732.40         
724    | 730.32         
