Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,352.4
362,349.48
363,352.56
364,353.09
365,352.45
366,353.26
367,348.89
368,351.6
369,352.77
370,349.36
371,348.72
372,350.63
373,353.38
374,352.58
375,346.67
376,347.78
377,346.75
378,350.79
379,351.96
380,346.71
381,349.46
382,352.1
383,347.01
384,353.51
385,348.34
386,352.19
387,352.34
388,348.72
389,352.4
390,350.31
391,2349.93
392,2352.45
393,2350.68
394,2348.97
395,2349.06
396,347.09
397,347.95
398,346.73
399,349.5
400,347.48
401,346.77
402,349.79
403,349.12
404,347.72
405,353.08
406,346.73
407,353.02
408,346.45
409,352.38
410,352.53
411,348.46
412,348.76
413,347.59
414,347.24
415,348.44
416,351.34
417,350.9
418,351.74
419,349.31
420,347.15
421,751.15
422,750.3
423,751.26
424,753.13
425,749.59
426,748.85
427,752.05
428,748.25
429,749.92
430,750.41
431,748.38
432,753.24
433,746.65
434,751.16
435,753.54
436,748.38
437,750.94
438,751.69
439,747.88
440,748.41
441,747.16
442,746.55
443,752.78
444,752.55
445,748.41
446,752.41
447,747.41
448,750.5
449,751.32
450,751.6
451,751.87
452,747.21
453,747.63
454,751.51
455,747.07
456,753.42
457,746.95
458,751.69
459,749.29
460,752.96
461,747.06
462,750.51
463,749.41
464,750.8
465,750.09
466,751.72
467,749.2
468,748.63
469,751.7
470,751.91
471,746.86
472,749.54
473,747.4
474,751.24
475,751.28
476,751.01
477,751.19
478,751.74
479,750.88
480,747.08
481,2746.87
482,2748.16
483,2747.02
484,2749.63
485,2746.58
486,750.25
487,746.7
488,747.5
489,751.87
490,752.33
491,748.85
492,750.61
493,748.29
494,750.7
495,747.16
496,748.88
497,752.07
498,747.54
499,753.47
500,749.03
501,749.34
502,748.93
503,749.77
504,751.23
505,746.76
506,750.92
507,747.75
508,751.58
509,753.48
510,747.97
511,750.83
512,746.42
513,753.4
514,746.44
515,750.03
516,746.59
517,753.01
518,746.48
519,749.07
520,748.76
521,752.77
522,748.65
523,752.93
524,747.93
525,750.78
526,747.31
527,747.65
528,751.13
529,750.91
530,748.64
531,751.32
532,748.67
533,747.72
534,750.32
535,748.66
536,750.18
537,750.49
538,752.57
539,751.14
540,752.29
541,577.16
542,578.63
543,582.67
544,577.69
545,579.19
546,580.83
547,577.06
548,581.64
549,580.57
550,578.48
551,576.5
552,579.78
553,577.81
554,583.25
555,580.51
556,576.42
557,580.37
558,577.72
559,582.05
560,582.79
561,579.46
562,579.0
563,580.56
564,582.45
565,579.02
566,583.39
567,579.58
568,581.59
569,577.23
570,580.15
571,581.01
572,576.92
573,579.92
574,583.59
575,583.16
576,583.56
577,577.35
578,578.02
579,576.85
580,581.23
581,579.33
582,583.23
583,577.93
584,579.96
585,580.36
586,580.23
587,576.64
588,582.85
589,579.42
590,580.22
591,583.43
592,578.12
593,578.45
594,582.42
595,579.21
596,578.04
597,578.68
598,577.77
599,577.4
600,577.93
601,2083.26
602,2078.64
603,2081.94
604,2079.39
605,2080.74
606,2076.81
607,2079.02
608,2081.92
609,2080.14
610,2082.56
611,2081.77
612,2077.66
613,2079.18
614,2078.27
615,2083.47
616,2080.35
617,2081.17
618,2083.42
619,2078.54
620,2078.69
621,2079.09
622,2076.95
623,2078.3
624,2081.92
625,2078.18
626,2077.25
627,2082.49
628,2083.57
629,2076.8
630,2082.19
631,2077.32
632,2080.53
633,2077.38
634,2081.19
635,2077.3
636,2083.02
637,2081.78
638,2078.18
639,2080.91
640,2081.94
641,2080.74
642,2076.7
643,2082.84
644,2078.91
645,2082.04
646,2080.68
647,2078.89
648,2081.88
649,2077.58
650,2076.86
651,2077.38
652,2076.68
653,2082.47
654,2082.86
655,2076.83
656,2078.54
657,2076.83
658,2077.31
659,2076.75
660,2081.14
661,581.13
662,582.77
663,581.61
664,580.1
665,577.44
666,578.03
667,577.83
668,578.48
669,580.76
670,580.67
671,583.16
672,576.96
673,582.19
674,580.21
675,579.54
676,578.96
677,579.53
678,578.02
679,581.33
680,580.24
681,582.64
682,582.15
683,583.23
684,578.77
685,583.22
686,576.66
687,580.31
688,578.88
689,582.95
690,577.66
691,579.52
692,577.26
693,581.66
694,578.05
695,576.52
696,580.16
697,580.29
698,580.13
699,579.12
700,582.51
701,577.5
702,577.58
703,578.24
704,580.35
705,579.58
706,576.4
707,581.96
708,580.64
709,582.23
710,579.68
711,582.97
712,582.62
713,579.04
714,576.91
715,583.08
716,578.69
717,583.5
718,580.31
719,576.65
720,576.8
721,733.42
722,726.89
723,730.69
724,732.18
725,731.79
726,726.92
727,729.69
728,732.97
729,729.87
730,731.27
731,1728.92
732,1729.83
733,1728.51
734,1729.49
735,1729.74
736,1731.12
737,1733.59
738,1726.55
739,1730.92
740,1727.18
741,731.95
742,727.14
743,730.71
744,728.49
745,732.02
746,729.39
747,732.99
748,728.73
749,730.81
750,730.09
751,731.41
752,727.26
753,726.41
754,728.18
755,731.38
756,726.58
757,728.66
758,729.69
759,730.39
760,730.58
761,732.76
762,731.11
763,729.12
764,730.9
765,726.48
766,733.45
767,731.93
768,730.58
769,729.62
770,732.66
771,729.68
772,729.87
773,730.28
774,732.68
775,730.33
776,729.41
777,729.14
778,732.19
779,728.06
780,728.04
781,700.49
782,698.47
783,702.48
784,700.39
785,701.49
786,698.45
787,703.29
788,700.12
789,700.81
790,696.83
791,697.78
792,700.66
793,702.83
794,701.21
795,699.78
796,699.94
797,698.84
798,701.45
799,696.56
800,697.37
801,698.82
802,697.74
803,700.84
804,699.31
805,697.56
806,701.79
807,702.19
808,696.44
809,697.5
810,699.64
811,701.16
812,700.39
813,703.17
814,696.47
815,699.06
816,697.96
817,703.45
818,698.53
819,700.28
820,700.25
821,698.14
822,700.18
823,702.82
824,700.64
825,697.28
826,700.53
827,701.44
828,699.41
829,698.88
830,702.53
831,698.88
832,702.13
833,701.76
834,697.09
835,702.23
836,702.48
837,696.93
838,701.81
839,698.73
840,701.65
841,697.73
842,696.64
843,699.24
844,698.15
845,699.94
846,697.06
847,699.07
848,696.56
849,703.27
850,701.67
851,696.66
852,699.52
853,701.67
854,703.21
855,698.75
856,701.93
857,699.97
858,701.68
859,701.74
860,698.61
861,702.09
862,698.05
863,698.67
864,699.61
865,698.41
866,699.78
867,701.59
868,698.05
869,702.93
870,702.63
871,699.29
872,702.79
873,700.91
874,698.72
875,699.66
876,696.71
877,701.77
878,702.29
879,699.2
880,699.01
881,700.23
882,700.61
883,699.85
884,702.45
885,696.45
886,699.4
887,703.15
888,702.32
889,701.64
890,702.78
891,700.74
892,702.76
893,699.52
894,698.89
895,702.7
896,703.32
897,702.67
898,702.56
899,701.65
900,699.87
901,700.37
902,698.23
903,701.3
904,698.98
905,697.72
906,702.11
907,700.71
908,698.25
909,700.9
910,698.51
911,700.49
912,698.21
913,703.5
914,701.0
915,702.87
916,700.49
917,701.2
918,700.03
919,698.21
920,700.17
921,701.08
922,703.39
923,696.49
924,698.94
925,698.18
926,699.33
927,702.4
928,701.23
929,697.79
930,697.54
931,699.01
932,699.41
933,699.37
934,701.45
935,696.67
936,703.36
937,699.16
938,700.29
939,698.71
940,701.23
941,697.85
942,697.56
943,698.84
944,698.94
945,702.46
946,702.07
947,699.14
948,702.11
949,698.28
950,701.55
951,696.6
952,703.23
953,698.26
954,698.69
955,700.7
956,696.4
957,700.23
958,698.83
959,697.69
960,698.18
961,700.99
962,702.59
963,700.55
964,700.87
965,700.51
966,699.91
967,700.18
968,696.69
969,699.96
970,697.38
971,698.11
972,702.17
973,701.18
974,696.99
975,696.89
976,701.67
977,697.74
978,699.31
979,700.11
980,696.54
981,703.37
982,698.45
983,698.53
984,699.37
985,698.09
986,702.12
987,702.63
988,701.69
989,703.04
990,698.96
991,701.79
992,698.64
993,696.47
994,702.68
995,698.16
996,699.41
997,699.6
998,702.57
999,697.17
1000,702.23
1001,700.21
1002,703.0
1003,698.8
1004,702.81
1005,701.16
1006,700.24
1007,697.01
1008,698.79
1009,696.52
1010,703.39
1011,697.92
1012,702.13
1013,700.0
1014,700.39
1015,702.88
1016,700.94
1017,703.52
1018,702.65
1019,700.39
1020,702.13
1021,853.22
1022,851.15
1023,849.62
1024,851.41
1025,849.73
1026,847.46
1027,849.39
1028,850.59
1029,850.55
1030,847.22
1031,848.33
1032,848.28
1033,852.93
1034,850.7
1035,850.44
1036,848.03
1037,846.97
1038,851.47
1039,853.27
1040,853.5
1041,851.29
1042,851.17
1043,848.93
1044,853.42
1045,850.02
1046,853.5
1047,848.31
1048,848.85
1049,849.81
1050,848.92
1051,853.28
1052,848.5
1053,853.41
1054,851.59
1055,851.19
1056,846.49
1057,851.66
1058,849.3
1059,853.13
1060,848.96
1061,851.75
1062,848.56
1063,848.58
1064,849.92
1065,848.67
1066,851.43
1067,849.72
1068,851.66
1069,851.52
1070,850.48
1071,848.81
1072,848.5
1073,849.46
1074,847.47
1075,853.57
1076,849.33
1077,847.71
1078,851.13
1079,847.35
1080,847.84
1081,849.22
1082,849.51
1083,848.58
1084,853.4
1085,850.48
1086,852.11
1087,848.19
1088,850.35
1089,852.41
1090,847.34
1091,850.06
1092,852.81
1093,849.77
1094,848.77
1095,847.39
1096,853.2
1097,852.19
1098,849.69
1099,848.57
1100,847.46
1101,846.56
1102,849.06
1103,850.28
1104,847.12
1105,848.95
1106,848.42
1107,849.23
1108,847.23
1109,852.96
1110,852.66
1111,850.01
1112,851.63
1113,849.05
1114,849.75
1115,849.16
1116,849.71
1117,850.24
1118,851.1
1119,852.72
1120,847.82
1121,846.77
1122,849.77
1123,851.35
1124,853.17
1125,850.05
1126,852.73
1127,852.77
1128,847.91
1129,852.54
1130,851.62
1131,848.41
1132,847.33
1133,847.92
1134,848.07
1135,852.73
1136,850.77
1137,849.68
1138,847.88
1139,848.07
1140,851.77
1141,850.39
1142,852.21
1143,851.47
1144,851.66
1145,846.63
1146,847.2
1147,852.93
1148,851.69
1149,850.81
1150,848.17
1151,847.11
1152,851.93
1153,852.12
1154,850.7
1155,846.85
1156,850.83
1157,848.54
1158,848.17
1159,852.49
1160,853.1
1161,852.91
1162,853.35
1163,849.31
1164,849.46
1165,848.21
1166,851.27
1167,851.55
1168,852.59
1169,849.74
1170,849.55
1171,850.25
1172,849.49
1173,848.98
1174,851.13
1175,850.32
1176,846.79
1177,847.78
1178,847.2
1179,846.83
1180,850.37
1181,851.74
1182,847.64
1183,851.04
1184,849.43
1185,851.61
1186,847.49
1187,851.71
1188,851.75
1189,852.82
1190,851.3
1191,850.49
1192,850.39
1193,846.46
1194,853.25
1195,849.53
1196,850.02
1197,850.13
1198,847.51
1199,853.59
1200,852.82
1201,852.11
1202,849.39
1203,849.2
1204,853.57
1205,849.8
1206,853.24
1207,851.05
1208,849.84
1209,851.93
1210,846.81
1211,852.27
1212,852.35
1213,848.41
1214,851.87
1215,848.1
1216,846.64
1217,847.12
1218,848.49
1219,851.75
1220,848.47
1221,848.59
1222,847.03
1223,851.66
1224,849.4
1225,849.33
1226,852.17
1227,850.32
1228,846.48
1229,849.23
1230,849.08
1231,852.11
1232,850.44
1233,852.37
1234,848.68
1235,849.98
1236,850.95
1237,851.55
1238,847.16
1239,853.44
1240,848.39
1241,850.69
1242,847.89
1243,848.76
1244,853.22
1245,846.65
1246,849.18
1247,848.71
1248,853.03
1249,852.39
1250,852.83
1251,853.47
1252,851.68
1253,848.33
1254,848.98
1255,852.99
1256,852.51
1257,851.32
1258,849.37
1259,850.73
1260,846.77
1261,451.54
