Minute | Consumption (W) - SCENARIO: Routine + Laundry
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 352.07         
362    | 350.57         
363    | 351.18         
364    | 350.59         
365    | 351.60         
366    | 350.45         
367    | 350.37         
368    | 348.13         
369    | 351.38         
370    | 350.16         
371    | 353.60         
372    | 350.59         
373    | 351.02         
374    | 349.41         
375    | 348.31         
376    | 346.77         
377    | 353.30         
378    | 348.57         
379    | 352.31         
380    | 346.42         
381    | 348.89         
382    | 352.62         
383    | 350.98         
384    | 349.96         
385    | 352.27         
386    | 350.03         
387    | 349.68         
388    | 348.31         
389    | 353.37         
390    | 347.75         
391    | 2347.81        
392    | 2347.72        
393    | 2353.46        
394    | 2351.58        
395    | 2346.82        
396    | 346.94         
397    | 346.44         
398    | 353.40         
399    | 347.10         
400    | 348.16         
401    | 348.34         
402    | 348.18         
403    | 349.56         
404    | 350.78         
405    | 350.46         
406    | 352.87         
407    | 350.84         
408    | 349.85         
409    | 350.02         
410    | 349.64         
411    | 353.42         
412    | 346.80         
413    | 346.72         
414    | 352.00         
415    | 347.65         
416    | 347.65         
417    | 346.91         
418    | 348.73         
419    | 346.78         
420    | 347.48         
421    | 751.56         
422    | 749.20         
423    | 752.01         
424    | 749.92         
425    | 751.09         
426    | 748.73         
427    | 752.65         
428    | 749.34         
429    | 749.05         
430    | 752.30         
431    | 749.57         
432    | 753.35         
433    | 750.17         
434    | 750.39         
435    | 752.22         
436    | 751.08         
437    | 747.25         
438    | 752.81         
439    | 750.75         
440    | 749.20         
441    | 751.15         
442    | 751.84         
443    | 752.82         
444    | 747.36         
445    | 749.60         
446    | 751.92         
447    | 749.22         
448    | 752.65         
449    | 752.80         
450    | 747.31         
451    | 753.48         
452    | 747.05         
453    | 746.61         
454    | 747.79         
455    | 751.11         
456    | 753.26         
457    | 750.16         
458    | 750.64         
459    | 748.51         
460    | 746.45         
461    | 750.66         
462    | 749.05         
463    | 749.53         
464    | 753.52         
465    | 746.88         
466    | 752.49         
467    | 747.44         
468    | 749.86         
469    | 752.95         
470    | 747.32         
471    | 750.33         
472    | 751.84         
473    | 749.09         
474    | 752.34         
475    | 746.87         
476    | 748.14         
477    | 747.57         
478    | 750.17         
479    | 746.48         
480    | 747.29         
481    | 2751.49        
482    | 2752.60        
483    | 2748.28        
484    | 2746.78        
485    | 2749.19        
486    | 749.58         
487    | 747.14         
488    | 748.47         
489    | 748.65         
490    | 749.58         
491    | 750.76         
492    | 749.57         
493    | 746.89         
494    | 747.01         
495    | 752.02         
496    | 753.48         
497    | 753.12         
498    | 750.40         
499    | 746.83         
500    | 751.24         
501    | 749.28         
502    | 747.09         
503    | 750.21         
504    | 752.48         
505    | 746.45         
506    | 746.97         
507    | 748.52         
508    | 747.65         
509    | 746.70         
510    | 750.44         
511    | 752.41         
512    | 749.90         
513    | 751.51         
514    | 752.24         
515    | 753.03         
516    | 750.99         
517    | 747.06         
518    | 749.01         
519    | 751.66         
520    | 750.79         
521    | 746.54         
522    | 752.81         
523    | 750.60         
524    | 748.21         
525    | 749.61         
526    | 750.31         
527    | 748.06         
528    | 751.14         
529    | 752.79         
530    | 751.64         
531    | 747.13         
532    | 747.10         
533    | 751.64         
534    | 748.65         
535    | 753.35         
536    | 751.27         
537    | 749.26         
538    | 751.00         
539    | 753.08         
540    | 748.62         
541    | 576.52         
542    | 580.96         
543    | 578.77         
544    | 578.68         
545    | 580.52         
546    | 576.50         
547    | 580.33         
548    | 581.71         
549    | 581.55         
550    | 580.08         
551    | 577.11         
552    | 576.52         
553    | 579.59         
554    | 581.94         
555    | 578.45         
556    | 579.51         
557    | 577.07         
558    | 580.01         
559    | 583.27         
560    | 581.48         
561    | 577.13         
562    | 578.11         
563    | 577.54         
564    | 579.27         
565    | 582.15         
566    | 577.27         
567    | 576.47         
568    | 581.59         
569    | 582.56         
570    | 583.18         
571    | 578.42         
572    | 583.39         
573    | 581.46         
574    | 578.90         
575    | 577.94         
576    | 582.04         
577    | 577.56         
578    | 582.60         
579    | 582.40         
580    | 582.96         
581    | 580.86         
582    | 577.19         
583    | 578.80         
584    | 583.48         
585    | 579.74         
586    | 578.42         
587    | 579.39         
588    | 580.92         
589    | 578.90         
590    | 578.71         
591    | 580.96         
592    | 582.15         
593    | 579.05         
594    | 576.97         
595    | 582.11         
596    | 578.49         
597    | 580.80         
598    | 579.09         
599    | 579.81         
600    | 582.04         
601    | 2080.03        
602    | 2082.58        
603    | 2081.76        
604    | 2079.11        
605    | 2080.96        
606    | 2081.14        
607    | 2076.92        
608    | 2076.99        
609    | 2077.42        
610    | 2080.63        
611    | 2080.23        
612    | 2082.11        
613    | 2078.87        
614    | 2078.34        
615    | 2077.82        
616    | 2080.46        
617    | 2077.59        
618    | 2080.09        
619    | 2076.59        
620    | 2080.73        
621    | 2081.13        
622    | 2081.24        
623    | 2081.19        
624    | 2077.18        
625    | 2082.26        
626    | 2083.08        
627    | 2077.72        
628    | 2078.38        
629    | 2082.33        
630    | 2083.39        
631    | 2082.98        
632    | 2079.58        
633    | 2078.32        
634    | 2077.51        
635    | 2079.95        
636    | 2081.99        
637    | 2082.54        
638    | 2079.85        
639    | 2082.90        
640    | 2078.81        
641    | 2078.68        
642    | 2083.54        
643    | 2082.87        
644    | 2082.41        
645    | 2076.86        
646    | 2078.82        
647    | 2078.55        
648    | 2081.81        
649    | 2079.87        
650    | 2080.09        
651    | 2079.89        
652    | 2078.14        
653    | 2082.21        
654    | 2077.37        
655    | 2080.42        
656    | 2077.07        
657    | 2079.97        
658    | 2079.29        
659    | 2082.91        
660    | 2076.41        
661    | 580.58         
662    | 582.65         
663    | 577.81         
664    | 578.50         
665    | 578.80         
666    | 576.96         
667    | 582.80         
668    | 581.89         
669    | 582.70         
670    | 577.25         
671    | 581.83         
672    | 580.44         
673    | 578.13         
674    | 580.63         
675    | 580.63         
676    | 581.98         
677    | 582.29         
678    | 579.99         
679    | 582.88         
680    | 577.41         
681    | 579.28         
682    | 583.27         
683    | 582.90         
684    | 579.31         
685    | 582.62         
686    | 578.27         
687    | 578.20         
688    | 581.21         
689    | 580.91         
690    | 580.15         
691    | 583.43         
692    | 579.21         
693    | 579.75         
694    | 580.55         
695    | 580.31         
696    | 577.94         
697    | 583.59         
698    | 579.26         
699    | 582.18         
700    | 580.19         
701    | 579.90         
702    | 579.09         
703    | 581.55         
704    | 579.89         
705    | 580.90         
706    | 581.71         
707    | 578.63         
708    | 578.47         
709    | 578.10         
710    | 578.81         
711    | 580.36         
712    | 581.51         
713    | 577.10         
714    | 581.35         
715    | 583.59         
716    | 583.41         
717    | 579.60         
718    | 583.22         
