Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,350.84
362,350.11
363,351.84
364,347.73
365,346.52
366,346.84
367,346.99
368,349.87
369,351.34
370,349.6
371,347.09
372,347.51
373,352.01
374,349.43
375,349.2
376,347.69
377,348.47
378,349.38
379,351.74
380,347.18
381,352.86
382,353.56
383,348.33
384,350.15
385,348.71
386,350.97
387,350.58
388,348.58
389,349.06
390,347.6
391,2351.61
392,2347.25
393,2352.85
394,2352.58
395,2352.82
396,346.87
397,348.81
398,349.06
399,350.16
400,346.8
401,348.49
402,352.08
403,350.88
404,351.02
405,347.37
406,347.63
407,350.97
408,351.77
409,351.84
410,350.35
411,351.69
412,349.28
413,351.29
414,352.12
415,352.63
416,349.2
417,347.47
418,351.65
419,349.02
420,347.62
421,752.53
422,750.69
423,752.37
424,751.65
425,747.74
426,753.01
427,752.08
428,746.46
429,750.85
430,747.37
431,747.72
432,747.04
433,751.71
434,748.92
435,747.75
436,753.5
437,751.36
438,750.56
439,746.52
440,746.43
441,747.5
442,751.69
443,749.82
444,750.47
445,747.61
446,752.68
447,750.18
448,749.58
449,746.69
450,750.6
451,746.84
452,746.53
453,748.78
454,749.12
455,752.42
456,752.4
457,746.81
458,751.01
459,748.73
460,747.82
461,749.84
462,753.54
463,753.55
464,753.5
465,752.56
466,748.98
467,749.53
468,750.45
469,752.82
470,747.29
471,746.96
472,752.38
473,746.81
474,747.68
475,747.71
476,753.09
477,750.97
478,752.66
479,746.83
480,751.07
481,2747.3
482,2751.39
483,2750.76
484,2748.4
485,2750.31
486,753.05
487,750.48
488,751.37
489,752.2
490,748.91
491,750.5
492,746.52
493,751.5
494,748.47
495,750.69
496,746.83
497,746.65
498,749.31
499,749.81
500,748.27
501,752.72
502,749.73
503,748.98
504,751.42
505,753.08
506,751.02
507,753.0
508,753.37
509,747.28
510,753.25
511,747.13
512,750.49
513,753.6
514,747.13
515,753.44
516,748.44
517,746.51
518,750.23
519,752.42
520,748.23
521,747.03
522,752.91
523,751.26
524,753.54
525,747.86
526,749.33
527,751.96
528,747.27
529,748.7
530,749.17
531,751.99
532,751.28
533,753.29
534,747.05
535,749.06
536,751.27
537,753.04
538,749.81
539,753.03
540,751.8
541,577.14
542,576.48
543,579.88
544,582.85
545,578.16
546,576.8
547,583.11
548,576.64
549,578.58
550,581.56
551,579.98
552,581.62
553,576.62
554,581.15
555,577.88
556,580.13
557,583.18
558,581.28
559,577.95
560,578.49
561,578.75
562,577.04
563,581.3
564,577.48
565,581.28
566,576.44
567,577.98
568,580.91
569,577.75
570,576.5
571,582.92
572,582.01
573,582.75
574,576.94
575,578.94
576,581.52
577,577.86
578,583.15
579,577.97
580,579.47
581,581.78
582,581.84
583,578.38
584,583.43
585,583.33
586,583.04
587,579.08
588,581.42
589,579.69
590,577.78
591,577.51
592,580.58
593,580.75
594,581.32
595,579.3
596,583.04
597,580.55
598,580.44
599,579.65
600,578.03
601,2078.4
602,2082.28
603,2082.0
604,2078.97
605,2076.81
606,2083.08
607,2083.54
608,2081.0
609,2078.36
610,2082.68
611,2076.99
612,2079.15
613,2081.23
614,2077.23
615,2082.44
616,2077.07
617,2083.49
618,2082.18
619,2077.04
620,2082.96
621,2078.78
622,2081.79
623,2078.98
624,2080.52
625,2081.3
626,2078.06
627,2081.54
628,2080.2
629,2080.26
630,2082.92
631,2081.11
632,2076.83
633,2080.86
634,2083.08
635,2081.4
636,2076.87
637,2080.66
638,2080.63
639,2081.06
640,2082.98
641,2081.53
642,2080.91
643,2080.17
644,2078.62
645,2079.71
646,2082.07
647,2083.52
648,2080.09
649,2081.72
650,2082.71
651,2083.21
652,2079.85
653,2078.64
654,2083.42
655,2079.57
656,2079.64
657,2079.16
658,2080.91
659,2080.32
660,2080.71
661,579.53
662,577.89
663,580.11
664,577.5
665,580.91
666,580.26
667,578.17
668,579.42
669,578.9
670,577.53
671,581.23
672,583.25
673,581.9
674,577.6
675,579.44
676,583.31
677,582.1
678,578.67
679,583.26
680,576.91
681,576.91
682,583.57
683,582.84
684,582.87
685,582.11
686,580.67
687,580.14
688,579.61
689,580.25
690,581.66
691,580.19
692,577.16
693,583.27
694,580.07
695,581.51
696,576.68
697,578.91
698,577.68
699,580.97
700,580.54
701,577.61
702,578.47
703,577.81
704,581.12
705,581.12
706,579.01
707,577.58
708,580.13
709,581.91
710,577.62
711,583.46
712,580.54
713,579.62
714,578.07
715,583.56
716,580.17
717,578.72
718,583.52
719,579.23
720,579.99
721,733.05
722,732.19
723,728.1
724,732.71
725,730.61
726,729.42
727,730.02
728,728.11
729,731.17
730,732.94
731,1732.54
732,1731.91
733,1730.21
734,1731.29
735,1728.9
736,1733.59
737,1733.55
738,1727.09
739,1731.03
740,1733.29
741,730.81
742,727.39
743,727.83
744,733.41
745,731.84
746,731.31
747,731.61
748,727.09
749,731.43
750,728.6
751,729.94
752,727.76
753,731.97
754,729.06
755,730.26
756,731.95
757,727.59
758,733.47
759,733.38
760,729.58
761,729.7
762,728.32
763,727.93
764,728.96
765,727.97
766,730.76
767,730.61
768,729.33
769,728.57
770,728.38
771,728.66
772,731.83
773,731.99
774,732.71
775,732.72
776,728.4
777,726.54
778,729.67
779,729.09
780,731.27
781,701.53
782,697.89
783,697.56
784,699.3
785,697.19
786,699.47
787,698.31
788,696.62
789,701.79
790,702.24
791,700.1
792,700.46
793,700.2
794,696.54
795,700.66
796,702.54
797,697.37
798,699.82
799,701.71
800,699.29
801,702.07
802,702.5
803,703.59
804,698.24
805,701.77
806,699.84
807,697.35
808,702.99
809,698.29
810,699.65
811,698.73
812,696.52
813,698.67
814,698.14
815,697.35
816,699.52
817,701.88
818,699.83
819,697.05
820,703.54
821,702.5
822,698.65
823,699.98
824,698.94
825,700.19
826,700.93
827,700.08
828,699.88
829,697.87
830,698.99
831,701.46
832,702.41
833,697.78
834,702.38
835,702.74
836,700.38
837,700.63
838,703.07
839,701.85
840,700.05
841,1498.56
842,1496.97
843,1498.13
844,1496.87
845,1500.34
846,1500.56
847,1497.26
848,1497.89
849,1497.19
850,1497.27
851,1500.53
852,1503.41
853,1496.71
854,1500.33
855,1497.94
856,1501.84
857,1502.22
858,1502.52
859,1499.4
860,1501.13
861,1501.31
862,1499.59
863,1500.82
864,1496.57
865,1499.43
866,1501.74
867,1499.71
868,1497.03
869,1501.58
870,1498.01
871,702.4
872,696.45
873,698.57
874,698.04
875,699.82
876,699.63
877,700.35
878,696.89
879,699.27
880,699.44
881,699.14
882,703.13
883,696.7
884,700.82
885,701.43
886,696.83
887,703.4
888,700.07
889,697.08
890,699.9
891,700.1
892,696.65
893,700.84
894,701.45
895,699.64
896,697.37
897,698.11
898,700.05
899,699.71
900,702.26
901,700.64
902,700.03
903,699.59
904,698.67
905,697.18
906,700.99
907,698.9
908,699.45
909,700.51
910,698.34
911,699.78
912,696.57
913,702.16
914,697.62
915,702.59
916,702.51
917,701.13
918,697.26
919,700.48
920,699.66
921,698.62
922,701.13
923,703.18
924,697.02
925,698.94
926,699.34
927,703.18
928,701.98
929,697.1
930,700.76
931,701.54
932,699.45
933,700.38
934,701.87
935,701.58
936,697.1
937,700.92
938,702.33
939,699.64
940,696.77
941,698.62
942,696.77
943,700.65
944,700.31
945,698.54
946,701.77
947,699.38
948,703.34
949,699.93
950,703.12
951,699.58
952,702.36
953,703.09
954,703.54
955,702.03
956,702.54
957,701.08
958,702.63
959,702.66
960,697.06
961,701.94
962,697.78
963,698.74
964,697.74
965,698.63
966,703.47
967,696.89
968,701.54
969,700.69
970,703.23
971,697.88
972,699.48
973,700.55
974,699.7
975,698.29
976,696.91
977,703.43
978,701.79
979,702.47
980,699.77
981,700.42
982,701.08
983,700.55
984,700.14
985,697.31
986,698.94
987,701.38
988,702.0
989,701.72
990,703.14
991,702.02
992,702.38
993,698.18
994,697.63
995,700.81
996,702.67
997,697.34
998,701.7
999,700.0
1000,697.71
1001,696.6
1002,699.03
1003,701.61
1004,696.74
1005,701.71
1006,698.41
1007,699.46
1008,698.76
1009,699.15
1010,696.6
1011,702.72
1012,700.84
1013,698.07
1014,697.81
1015,699.15
1016,699.64
1017,699.05
1018,701.69
1019,701.29
1020,697.1
1021,849.09
1022,852.31
1023,846.77
1024,848.33
1025,849.4
1026,850.61
1027,850.53
1028,850.85
1029,848.59
1030,852.44
1031,853.56
1032,851.8
1033,851.57
1034,849.79
1035,847.15
1036,848.78
1037,851.08
1038,850.34
1039,850.1
1040,851.94
1041,852.5
1042,848.19
1043,848.13
1044,847.85
1045,851.29
1046,848.75
1047,853.44
1048,850.41
1049,847.31
1050,849.02
1051,848.7
1052,847.06
1053,848.19
1054,853.56
1055,853.51
1056,853.18
1057,847.42
1058,849.17
1059,847.88
1060,848.24
1061,848.34
1062,848.77
1063,846.71
1064,849.48
1065,852.52
1066,848.74
1067,853.19
1068,853.09
1069,852.27
1070,852.42
1071,847.87
1072,851.8
1073,851.91
1074,853.3
1075,847.45
1076,847.34
1077,848.44
1078,847.11
1079,852.24
1080,848.22
1081,847.6
1082,847.89
1083,849.62
1084,849.06
1085,852.86
1086,848.03
1087,852.38
1088,852.31
1089,847.34
1090,848.38
1091,852.55
1092,847.46
1093,850.66
1094,847.13
1095,846.58
1096,849.59
1097,853.33
1098,853.48
1099,850.47
1100,852.47
1101,852.09
1102,847.71
1103,851.69
1104,851.51
1105,853.46
1106,850.32
1107,850.77
1108,849.7
1109,849.37
1110,847.43
1111,848.43
1112,849.07
1113,847.43
1114,852.34
1115,852.6
1116,851.08
1117,851.61
1118,847.7
1119,846.99
1120,853.02
1121,851.36
1122,846.78
1123,853.28
1124,852.55
1125,851.07
1126,850.12
1127,853.08
1128,849.26
1129,849.35
1130,851.74
1131,850.75
1132,848.64
1133,849.09
1134,852.21
1135,851.93
1136,851.3
1137,850.67
1138,847.14
1139,846.93
1140,850.86
1141,851.07
1142,849.93
1143,852.91
1144,848.84
1145,847.33
1146,851.26
1147,847.42
1148,846.52
1149,850.49
1150,849.6
1151,849.91
1152,848.15
1153,847.83
1154,846.93
1155,846.55
1156,853.08
1157,849.5
1158,853.01
1159,851.09
1160,851.75
1161,848.12
1162,848.74
1163,852.22
1164,850.34
1165,852.65
1166,848.31
1167,848.93
1168,853.33
1169,853.34
1170,847.41
1171,852.68
1172,850.17
1173,851.0
1174,846.73
1175,850.65
1176,846.49
1177,851.77
1178,847.36
1179,848.55
1180,849.55
1181,853.45
1182,848.4
1183,848.34
1184,850.74
1185,852.17
1186,851.44
1187,847.79
1188,848.53
1189,849.53
1190,849.38
1191,852.03
1192,852.61
1193,852.2
1194,848.11
1195,851.91
1196,850.2
1197,852.23
1198,853.25
1199,853.52
1200,853.41
1201,847.42
1202,852.92
1203,850.03
1204,847.28
1205,849.77
1206,847.99
1207,852.68
1208,852.6
1209,852.67
1210,850.76
1211,847.04
1212,849.48
1213,852.16
1214,853.07
1215,852.86
1216,846.66
1217,846.76
1218,852.96
1219,849.62
1220,851.61
1221,848.09
1222,851.7
1223,849.28
1224,852.51
1225,851.75
1226,853.37
1227,851.33
1228,852.94
1229,848.68
1230,848.86
1231,852.76
1232,850.49
1233,849.18
1234,848.79
1235,852.91
1236,851.44
1237,846.97
1238,852.89
1239,849.85
1240,847.95
1241,852.56
1242,849.57
1243,853.3
1244,853.27
1245,853.53
1246,852.23
1247,848.28
1248,852.07
1249,850.15
1250,846.91
1251,851.6
1252,850.36
1253,850.78
1254,850.9
1255,849.1
1256,849.55
