Minute | Consumption (W) - SCENARIO: Routine + Laundry + Cleaning
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 346.63         
362    | 349.24         
363    | 353.11         
364    | 347.73         
365    | 350.61         
366    | 352.94         
367    | 348.43         
368    | 353.34         
369    | 348.75         
370    | 350.30         
371    | 350.86         
372    | 348.83         
373    | 350.80         
374    | 348.76         
375    | 349.14         
376    | 353.16         
377    | 352.95         
378    | 347.78         
379    | 349.49         
380    | 351.09         
381    | 348.28         
382    | 353.47         
383    | 351.49         
384    | 350.31         
385    | 350.33         
386    | 353.25         
387    | 353.14         
388    | 353.15         
389    | 346.63         
390    | 350.15         
391    | 2352.31        
392    | 2348.77        
393    | 2353.03        
394    | 2350.78        
395    | 2348.49        
396    | 352.43         
397    | 352.05         
398    | 349.43         
399    | 353.37         
400    | 348.92         
401    | 350.06         
402    | 348.83         
403    | 353.13         
404    | 350.28         
405    | 347.66         
406    | 347.85         
407    | 347.73         
408    | 352.80         
409    | 352.79         
410    | 352.57         
411    | 348.87         
412    | 348.19         
413    | 346.86         
414    | 347.81         
415    | 349.62         
416    | 351.27         
417    | 347.71         
418    | 348.50         
419    | 350.12         
420    | 349.50         
421    | 752.51         
422    | 746.89         
423    | 752.03         
424    | 747.76         
425    | 750.03         
426    | 751.30         
427    | 752.42         
428    | 746.52         
429    | 749.35         
430    | 749.93         
431    | 749.09         
432    | 750.98         
433    | 749.50         
434    | 752.09         
435    | 751.09         
436    | 750.21         
437    | 751.95         
438    | 751.88         
439    | 747.37         
440    | 752.69         
441    | 752.25         
442    | 748.67         
443    | 748.91         
444    | 753.14         
445    | 747.12         
446    | 748.59         
447    | 751.05         
448    | 750.79         
449    | 749.32         
450    | 749.05         
451    | 748.39         
452    | 747.90         
453    | 748.08         
454    | 747.46         
455    | 753.33         
456    | 749.92         
457    | 750.88         
458    | 749.92         
459    | 749.74         
460    | 749.42         
461    | 753.00         
462    | 751.64         
463    | 749.16         
464    | 751.90         
465    | 752.73         
466    | 746.79         
467    | 751.14         
468    | 749.71         
469    | 751.25         
470    | 747.04         
471    | 748.29         
472    | 747.68         
473    | 747.12         
474    | 753.17         
475    | 752.50         
476    | 748.04         
477    | 750.18         
478    | 751.37         
479    | 746.71         
480    | 750.01         
481    | 2751.62        
482    | 2747.91        
483    | 2752.16        
484    | 2746.76        
485    | 2752.83        
486    | 747.51         
487    | 749.26         
488    | 748.69         
489    | 746.49         
490    | 751.62         
491    | 752.08         
492    | 753.05         
493    | 752.93         
494    | 749.89         
495    | 748.27         
496    | 750.33         
497    | 752.78         
498    | 753.13         
499    | 752.60         
500    | 747.57         
501    | 750.23         
502    | 750.39         
503    | 749.89         
504    | 748.86         
505    | 747.23         
506    | 748.46         
507    | 748.50         
508    | 752.98         
509    | 750.32         
510    | 750.82         
511    | 750.06         
512    | 752.95         
513    | 749.10         
514    | 752.57         
515    | 751.44         
516    | 749.99         
517    | 753.23         
518    | 746.90         
519    | 748.60         
520    | 753.54         
521    | 746.87         
522    | 747.80         
523    | 748.72         
524    | 747.39         
525    | 749.67         
526    | 748.90         
527    | 749.22         
528    | 746.93         
529    | 752.88         
530    | 746.85         
531    | 753.36         
532    | 752.29         
533    | 749.08         
534    | 749.42         
535    | 750.49         
536    | 751.42         
537    | 746.86         
538    | 751.06         
539    | 752.81         
540    | 752.35         
541    | 577.22         
542    | 577.81         
543    | 581.34         
544    | 583.48         
545    | 582.30         
546    | 583.03         
547    | 577.31         
548    | 578.45         
549    | 581.81         
550    | 577.61         
551    | 576.70         
552    | 578.96         
553    | 583.02         
554    | 579.31         
555    | 578.63         
556    | 581.70         
557    | 580.10         
558    | 579.18         
559    | 582.60         
560    | 579.75         
561    | 581.15         
562    | 581.02         
563    | 579.64         
564    | 579.80         
565    | 582.97         
566    | 578.79         
567    | 580.98         
568    | 578.27         
569    | 577.29         
570    | 581.50         
571    | 579.96         
572    | 580.97         
573    | 583.50         
574    | 579.09         
575    | 576.96         
576    | 576.64         
577    | 582.64         
578    | 581.46         
579    | 582.37         
580    | 582.91         
581    | 583.16         
582    | 578.22         
583    | 579.40         
584    | 582.23         
585    | 582.79         
586    | 576.58         
587    | 578.30         
588    | 576.78         
589    | 576.70         
590    | 582.67         
591    | 581.98         
592    | 578.55         
593    | 582.75         
594    | 577.14         
595    | 579.41         
596    | 583.23         
597    | 576.82         
598    | 582.51         
599    | 580.16         
600    | 580.39         
601    | 2078.48        
602    | 2080.62        
603    | 2078.30        
604    | 2079.68        
605    | 2082.64        
606    | 2083.37        
607    | 2083.52        
608    | 2079.13        
609    | 2076.57        
610    | 2078.25        
611    | 2079.34        
612    | 2080.48        
613    | 2079.16        
614    | 2082.23        
615    | 2081.58        
616    | 2082.12        
617    | 2078.82        
618    | 2078.75        
619    | 2076.98        
620    | 2081.23        
621    | 2079.10        
622    | 2077.38        
623    | 2080.23        
624    | 2076.92        
625    | 2077.02        
626    | 2078.30        
627    | 2078.87        
628    | 2080.27        
629    | 2079.68        
630    | 2078.05        
631    | 2081.79        
632    | 2083.43        
633    | 2081.46        
634    | 2082.23        
635    | 2082.96        
636    | 2082.27        
637    | 2077.23        
638    | 2082.93        
639    | 2078.65        
640    | 2082.60        
641    | 2079.12        
642    | 2079.80        
643    | 2082.55        
644    | 2078.79        
645    | 2076.62        
646    | 2078.29        
647    | 2078.06        
648    | 2081.23        
649    | 2079.48        
650    | 2079.84        
651    | 2078.65        
652    | 2078.97        
653    | 2082.29        
654    | 2083.32        
655    | 2081.18        
656    | 2079.93        
657    | 2077.13        
658    | 2082.45        
659    | 2082.83        
660    | 2082.90        
661    | 579.61         
662    | 576.58         
663    | 578.77         
664    | 583.52         
665    | 579.49         
666    | 582.72         
667    | 582.00         
668    | 580.84         
669    | 581.28         
670    | 579.20         
671    | 579.19         
672    | 578.69         
673    | 577.30         
674    | 583.52         
675    | 579.20         
676    | 580.32         
677    | 582.45         
678    | 582.67         
679    | 581.99         
680    | 582.01         
681    | 576.68         
682    | 577.99         
683    | 579.36         
684    | 579.74         
685    | 579.04         
686    | 581.14         
687    | 582.47         
688    | 579.69         
689    | 576.94         
690    | 580.88         
691    | 583.31         
692    | 582.09         
693    | 580.71         
694    | 582.20         
695    | 578.91         
696    | 582.00         
697    | 578.41         
698    | 580.20         
699    | 581.83         
700    | 578.70         
701    | 582.65         
702    | 578.02         
703    | 580.36         
704    | 578.37         
705    | 577.05         
706    | 581.63         
707    | 576.82         
708    | 577.98         
709    | 578.53         
710    | 578.41         
711    | 579.40         
712    | 577.24         
713    | 581.87         
714    | 579.88         
715    | 580.47         
716    | 580.61         
717    | 578.06         
