Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,349.55
362,352.75
363,349.11
364,349.47
365,349.59
366,351.84
367,349.49
368,350.2
369,348.12
370,348.54
371,346.71
372,348.43
373,349.56
374,353.13
375,353.27
376,347.18
377,353.37
378,346.61
379,349.84
380,349.21
381,347.14
382,346.63
383,347.46
384,352.96
385,351.33
386,352.97
387,353.33
388,351.11
389,349.39
390,350.22
391,2351.35
392,2352.8
393,2348.16
394,2351.81
395,2346.94
396,349.27
397,353.37
398,348.98
399,353.28
400,349.0
401,351.46
402,351.05
403,353.43
404,349.97
405,353.58
406,350.84
407,347.69
408,347.81
409,353.26
410,353.12
411,350.93
412,352.34
413,346.54
414,350.04
415,352.0
416,351.03
417,348.99
418,349.52
419,346.46
420,347.18
421,748.15
422,749.66
423,750.09
424,747.26
425,748.39
426,746.85
427,749.29
428,751.59
429,752.72
430,749.35
431,751.53
432,750.7
433,750.92
434,750.34
435,749.36
436,748.83
437,753.54
438,747.0
439,752.83
440,750.25
441,750.52
442,753.6
443,748.83
444,749.94
445,752.87
446,752.68
447,749.25
448,753.14
449,746.53
450,748.59
451,746.47
452,748.6
453,751.61
454,750.89
455,749.93
456,750.34
457,748.7
458,751.74
459,747.88
460,753.41
461,752.16
462,748.67
463,749.88
464,748.91
465,748.67
466,753.34
467,749.06
468,750.81
469,747.42
470,747.76
471,749.15
472,747.39
473,751.29
474,749.69
475,749.42
476,748.53
477,751.96
478,748.08
479,749.83
480,746.55
481,2752.24
482,2748.51
483,2750.3
484,2750.48
485,2747.61
486,750.57
487,752.07
488,747.26
489,749.18
490,751.36
491,753.25
492,750.89
493,753.4
494,752.76
495,748.3
496,748.32
497,748.39
498,753.09
499,753.3
500,752.58
501,751.69
502,748.82
503,748.37
504,750.26
505,748.02
506,751.02
507,750.41
508,747.79
509,747.8
510,747.34
511,747.88
512,749.09
513,746.72
514,749.58
515,746.6
516,752.92
517,749.63
518,748.45
519,750.58
520,752.78
521,746.59
522,747.72
523,748.98
524,751.43
525,747.55
526,749.39
527,751.46
528,752.96
529,749.62
530,752.87
531,753.34
532,747.11
533,752.76
534,753.53
535,748.41
536,747.66
537,752.66
538,753.31
539,751.21
540,750.39
541,577.98
542,579.53
543,581.8
544,581.43
545,579.25
546,577.78
547,582.48
548,577.96
549,577.21
550,579.77
551,580.56
552,576.51
553,582.3
554,578.9
555,577.94
556,576.88
557,578.01
558,581.74
559,580.64
560,580.2
561,579.16
562,578.63
563,580.58
564,578.88
565,577.43
566,577.19
567,578.27
568,578.8
569,576.94
570,580.83
571,582.81
572,582.2
573,580.75
574,581.79
575,581.6
576,578.04
577,577.97
578,578.12
579,581.97
580,582.61
581,577.11
582,580.25
583,578.66
584,580.24
585,582.73
586,579.04
587,580.41
588,577.88
589,579.78
590,580.06
591,580.63
592,582.73
593,577.97
594,580.44
595,577.0
596,580.7
597,583.36
598,579.77
599,583.31
600,578.01
601,581.41
602,581.83
603,580.12
604,579.12
605,582.36
606,581.59
607,578.06
608,578.89
609,582.3
610,581.47
611,580.6
612,583.0
613,577.59
614,580.74
615,579.27
616,582.18
617,583.07
618,582.04
619,582.55
620,576.93
621,583.32
622,577.32
623,582.4
624,581.42
625,582.29
626,579.76
627,582.27
628,577.42
629,576.77
630,582.72
631,579.56
632,578.38
633,577.53
634,576.81
635,581.67
636,582.52
637,577.22
638,580.42
639,578.15
640,576.49
641,582.49
642,576.78
643,582.5
644,576.73
645,580.53
646,582.09
647,576.93
648,580.42
649,577.79
650,577.93
651,581.05
652,577.97
653,579.48
654,577.7
655,578.16
656,581.55
657,578.66
658,583.3
659,582.08
660,577.65
661,583.41
662,580.07
663,579.76
664,581.05
665,580.22
666,576.69
667,579.22
668,579.13
669,583.27
670,577.69
671,583.39
672,576.76
673,578.86
674,581.87
675,579.87
676,576.74
677,577.0
678,581.62
679,578.2
680,576.87
681,582.56
682,576.63
683,578.92
684,579.36
685,576.97
686,579.53
687,580.23
688,582.72
689,577.02
690,583.49
691,576.81
692,582.67
693,579.45
694,582.99
695,578.77
696,580.12
697,577.97
698,579.39
699,580.74
700,580.44
701,581.59
702,580.89
703,578.7
704,577.32
705,578.66
706,578.07
707,578.6
708,579.47
709,578.79
710,579.78
711,578.7
712,583.25
713,579.3
714,577.11
715,581.0
716,577.88
717,580.13
718,582.89
719,577.55
720,579.56
721,729.19
722,732.45
723,728.86
724,732.8
725,731.54
726,732.1
727,732.46
728,732.29
729,726.78
730,727.05
731,1732.95
732,1733.49
733,1732.94
734,1728.31
735,1730.89
736,1732.41
737,1731.21
738,1731.31
739,1730.4
740,1726.62
741,729.34
742,731.88
743,726.98
744,733.4
745,730.73
746,727.88
747,732.95
748,728.61
749,732.56
750,726.52
751,730.82
752,729.21
753,732.11
754,733.0
755,726.6
756,728.73
757,731.5
758,729.01
759,732.12
760,732.85
761,727.57
762,726.97
763,731.01
764,727.54
765,731.16
766,730.73
767,731.27
768,726.73
769,727.74
770,729.82
771,728.49
772,729.64
773,730.82
774,732.4
775,731.86
776,726.91
777,730.88
778,729.08
779,731.75
780,728.37
781,700.93
782,701.91
783,701.3
784,701.09
785,702.93
786,698.73
787,701.81
788,699.64
789,701.24
790,697.96
791,697.01
792,703.19
793,701.13
794,700.19
795,700.31
796,696.68
797,698.03
798,698.91
799,701.11
800,700.1
801,697.93
802,696.54
803,703.28
804,697.8
805,697.31
806,697.09
807,698.11
808,697.63
809,698.96
810,699.66
811,701.31
812,697.04
813,700.59
814,703.43
815,701.07
816,702.28
817,700.72
818,703.08
819,700.82
820,700.91
821,698.38
822,697.83
823,703.38
824,702.22
825,703.29
826,697.48
827,702.12
828,702.53
829,700.31
830,696.61
831,698.53
832,702.64
833,700.52
834,701.41
835,702.2
836,696.81
837,701.54
838,702.74
839,697.04
840,701.77
841,1497.16
842,1500.52
843,1503.29
844,1502.58
845,1496.62
846,1503.08
847,1496.62
848,1501.17
849,1500.28
850,1498.86
851,1497.6
852,1498.2
853,1497.61
854,1496.9
855,1497.6
856,1498.37
857,1499.41
858,1503.42
859,1502.86
860,1502.68
861,1498.33
862,1501.83
863,1503.56
864,1501.17
865,1501.46
866,1500.75
867,1503.18
868,1498.01
869,1497.13
870,1502.42
871,697.75
872,696.74
873,703.36
874,701.13
875,700.62
876,697.23
877,702.48
878,698.14
879,701.12
880,703.26
881,701.67
882,699.61
883,703.36
884,701.66
885,698.48
886,702.22
887,701.13
888,700.56
889,698.42
890,700.47
891,701.01
892,699.3
893,697.26
894,703.1
895,697.75
896,701.48
897,702.82
898,700.05
899,696.45
900,700.17
901,702.49
902,700.18
903,701.07
904,702.04
905,697.39
906,698.88
907,701.54
908,702.27
909,702.78
910,701.4
911,698.0
912,699.82
913,697.65
914,698.56
915,696.41
916,699.91
917,697.97
918,702.24
919,703.07
920,701.01
921,697.28
922,699.0
923,699.85
924,699.19
925,700.64
926,701.89
927,698.16
928,700.44
929,701.82
930,700.86
931,700.87
932,699.92
933,699.94
934,702.75
935,700.93
936,701.89
937,698.54
938,698.61
939,697.01
940,700.49
941,702.65
942,703.16
943,699.06
944,696.7
945,701.3
946,702.68
947,696.9
948,702.33
949,697.94
950,702.21
951,698.57
952,700.43
953,697.99
954,698.55
955,700.17
956,697.27
957,699.74
958,698.52
959,698.31
960,697.23
961,703.01
962,700.71
963,703.19
964,701.35
965,702.93
966,699.68
967,696.62
968,696.68
969,698.46
970,697.19
971,701.76
972,696.8
973,700.65
974,701.27
975,703.0
976,697.88
977,699.73
978,701.17
979,699.0
980,696.73
981,703.34
982,701.12
983,700.23
984,702.37
985,701.94
986,701.98
987,696.75
988,702.6
989,699.13
990,697.54
991,700.32
992,701.62
993,701.73
994,699.46
995,697.22
996,700.54
997,703.04
998,701.4
999,696.51
1000,697.71
1001,697.13
1002,699.03
1003,698.6
1004,702.66
1005,703.56
1006,697.59
1007,700.98
1008,697.05
1009,699.85
1010,699.81
1011,702.09
1012,700.37
1013,698.65
1014,697.96
1015,698.82
1016,699.78
1017,699.8
1018,703.43
1019,697.4
1020,699.46
1021,847.79
1022,851.78
1023,852.78
1024,847.02
1025,849.55
1026,847.9
1027,847.59
1028,850.85
1029,847.66
1030,849.67
1031,850.52
1032,847.4
1033,850.91
1034,850.56
1035,849.56
1036,846.58
1037,849.26
1038,846.52
1039,850.73
1040,852.7
1041,848.69
1042,846.89
1043,847.69
1044,848.39
1045,849.68
1046,847.42
1047,850.08
1048,846.95
1049,846.67
1050,849.44
1051,848.97
1052,846.97
1053,851.59
1054,849.5
1055,851.63
1056,851.11
1057,851.13
1058,851.83
1059,848.29
1060,851.63
1061,847.48
1062,847.83
1063,852.39
1064,847.67
1065,848.37
1066,846.91
1067,847.57
1068,850.44
1069,849.49
1070,850.13
1071,851.48
1072,847.41
1073,853.58
1074,853.47
1075,849.04
1076,850.5
1077,848.77
1078,853.36
1079,852.19
1080,846.41
1081,847.83
1082,848.65
1083,849.89
1084,847.2
1085,849.54
1086,852.89
1087,847.37
1088,847.53
1089,850.97
1090,847.82
1091,852.13
1092,848.79
1093,850.84
1094,851.39
1095,850.38
1096,849.89
1097,853.13
1098,847.66
1099,849.54
1100,852.99
1101,848.17
1102,848.53
1103,853.42
1104,852.98
1105,849.0
1106,849.12
1107,846.7
1108,847.51
1109,848.92
1110,850.54
1111,849.06
1112,847.74
1113,849.93
1114,848.16
1115,847.83
1116,853.54
1117,846.82
1118,848.32
1119,850.75
1120,847.14
1121,851.94
1122,850.3
1123,846.55
1124,852.75
1125,846.4
1126,848.41
1127,849.74
1128,850.2
1129,851.98
1130,847.05
1131,851.46
1132,851.67
1133,848.76
1134,848.2
1135,847.34
1136,850.39
1137,849.82
1138,848.5
1139,849.33
1140,850.74
1141,852.68
1142,851.1
1143,848.56
1144,850.46
1145,849.72
1146,849.18
1147,847.4
1148,848.84
1149,851.8
1150,851.02
1151,848.98
1152,853.23
1153,853.21
1154,850.64
1155,847.13
1156,850.65
1157,850.54
1158,852.17
1159,847.31
1160,850.22
1161,852.85
1162,851.32
1163,850.88
1164,850.62
1165,847.27
1166,849.3
1167,852.76
1168,849.14
1169,852.92
1170,850.1
1171,847.71
1172,847.99
1173,850.64
1174,847.87
1175,849.89
1176,850.29
1177,852.62
1178,852.15
1179,851.32
1180,849.34
1181,848.14
1182,847.8
1183,849.38
1184,849.26
1185,847.68
1186,850.9
1187,846.94
1188,849.17
1189,846.77
1190,850.8
1191,852.97
1192,847.62
1193,849.56
1194,846.79
1195,851.42
1196,852.28
1197,852.02
1198,851.89
1199,851.86
1200,851.94
1201,850.77
1202,849.49
1203,851.69
1204,852.71
1205,853.47
1206,852.1
1207,850.79
1208,851.89
1209,847.46
1210,847.9
1211,847.34
1212,846.53
1213,846.42
1214,851.06
1215,850.78
1216,850.46
1217,852.99
1218,846.58
1219,852.78
1220,850.5
1221,847.22
1222,851.07
1223,847.25
1224,852.57
1225,849.98
1226,847.55
1227,847.95
1228,852.01
1229,850.44
1230,850.43
1231,848.04
1232,850.83
1233,849.24
1234,852.57
1235,846.51
1236,852.57
1237,853.55
1238,852.0
1239,847.81
1240,849.22
1241,852.98
1242,851.67
1243,846.5
1244,852.23
1245,850.7
1246,850.56
1247,850.92
1248,853.43
1249,851.82
1250,851.02
1251,847.43
1252,849.88
1253,847.78
1254,846.54
1255,851.86
1256,849.88
1257,853.44
1258,849.71
1259,848.34
1260,852.05
1261,452.67
1262,448.47
1263,452.91
1264,447.49
1265,451.62
