Minute | Consumption (W) - SCENARIO: Routine + Light Cleaning
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 350.64         
362    | 348.01         
363    | 350.84         
364    | 350.48         
365    | 350.11         
366    | 346.73         
367    | 353.06         
368    | 347.43         
369    | 353.34         
370    | 351.67         
371    | 353.56         
372    | 347.60         
373    | 350.14         
374    | 353.31         
375    | 347.66         
376    | 351.50         
377    | 347.33         
378    | 347.62         
379    | 348.74         
380    | 353.57         
381    | 351.30         
382    | 347.29         
383    | 351.40         
384    | 347.58         
385    | 350.04         
386    | 353.42         
387    | 350.75         
388    | 347.24         
389    | 351.70         
390    | 347.45         
391    | 2353.50        
392    | 2349.18        
393    | 2350.24        
394    | 2353.14        
395    | 2346.54        
396    | 352.06         
397    | 350.77         
398    | 349.97         
399    | 350.11         
400    | 346.65         
401    | 350.82         
402    | 351.72         
403    | 352.58         
404    | 352.50         
405    | 349.34         
406    | 349.01         
407    | 351.30         
408    | 346.71         
409    | 351.90         
410    | 349.71         
411    | 348.89         
412    | 352.57         
413    | 348.70         
414    | 347.93         
415    | 349.07         
416    | 351.63         
417    | 347.87         
418    | 352.91         
419    | 353.58         
420    | 348.94         
421    | 746.42         
422    | 748.25         
423    | 751.70         
424    | 752.39         
425    | 748.53         
426    | 751.01         
427    | 747.82         
428    | 746.86         
429    | 747.10         
430    | 753.37         
431    | 752.75         
432    | 751.21         
433    | 749.00         
434    | 751.00         
435    | 750.05         
436    | 750.46         
437    | 751.74         
438    | 751.66         
439    | 749.69         
440    | 751.49         
441    | 749.44         
442    | 748.81         
443    | 750.88         
444    | 752.25         
445    | 748.64         
446    | 746.49         
447    | 748.39         
448    | 747.83         
449    | 751.27         
450    | 751.97         
451    | 748.98         
452    | 752.75         
453    | 748.46         
454    | 751.19         
455    | 751.62         
456    | 746.90         
457    | 746.65         
458    | 750.51         
459    | 749.90         
460    | 748.71         
461    | 747.98         
462    | 750.39         
463    | 751.97         
464    | 749.14         
465    | 747.25         
466    | 748.21         
467    | 752.96         
468    | 748.50         
469    | 746.74         
470    | 751.73         
471    | 750.17         
472    | 751.20         
473    | 753.04         
474    | 753.46         
475    | 751.60         
476    | 753.20         
477    | 746.42         
478    | 751.46         
479    | 746.54         
480    | 747.27         
481    | 2746.67        
482    | 2746.44        
483    | 2751.22        
484    | 2747.24        
485    | 2747.62        
486    | 747.50         
487    | 747.94         
488    | 747.01         
489    | 746.69         
490    | 747.48         
491    | 746.45         
492    | 748.90         
493    | 752.90         
494    | 750.15         
495    | 749.14         
496    | 753.01         
497    | 750.36         
498    | 749.94         
499    | 753.31         
500    | 748.61         
501    | 751.58         
502    | 747.37         
503    | 750.29         
504    | 746.48         
505    | 750.80         
506    | 752.98         
507    | 752.55         
508    | 748.56         
509    | 752.98         
510    | 752.26         
511    | 751.71         
512    | 747.24         
513    | 751.97         
514    | 747.89         
515    | 747.57         
516    | 750.84         
517    | 746.45         
518    | 748.98         
519    | 750.74         
520    | 752.90         
521    | 749.44         
522    | 749.10         
523    | 750.35         
524    | 750.95         
525    | 752.27         
526    | 751.39         
527    | 746.55         
528    | 753.45         
529    | 752.70         
530    | 752.17         
531    | 753.55         
532    | 746.92         
533    | 747.84         
534    | 747.76         
535    | 747.57         
536    | 751.82         
537    | 748.19         
538    | 749.68         
539    | 747.70         
540    | 753.11         
541    | 582.94         
542    | 582.47         
543    | 583.30         
544    | 581.75         
545    | 576.51         
546    | 582.41         
547    | 580.44         
548    | 582.87         
549    | 578.73         
550    | 580.02         
551    | 581.87         
552    | 580.45         
553    | 579.09         
554    | 578.67         
555    | 578.43         
556    | 577.49         
557    | 582.83         
558    | 576.47         
559    | 581.03         
560    | 576.53         
561    | 578.62         
562    | 582.91         
563    | 577.05         
564    | 581.85         
565    | 580.34         
566    | 577.87         
567    | 581.01         
568    | 578.61         
569    | 580.17         
570    | 580.88         
571    | 579.47         
572    | 581.98         
573    | 577.11         
574    | 581.63         
575    | 577.53         
576    | 579.39         
577    | 579.19         
578    | 578.06         
579    | 579.70         
580    | 582.06         
581    | 582.96         
582    | 576.93         
583    | 578.12         
584    | 581.38         
585    | 582.30         
586    | 577.99         
587    | 580.60         
588    | 578.72         
589    | 576.46         
590    | 581.69         
591    | 577.80         
592    | 583.51         
593    | 581.04         
594    | 579.81         
595    | 577.81         
596    | 580.03         
597    | 582.14         
598    | 577.49         
599    | 581.66         
600    | 583.23         
601    | 579.51         
602    | 581.40         
603    | 581.06         
604    | 582.53         
605    | 580.90         
606    | 580.12         
607    | 581.97         
608    | 578.78         
609    | 582.22         
610    | 577.89         
611    | 577.22         
612    | 580.34         
613    | 579.71         
614    | 583.12         
615    | 581.04         
616    | 579.89         
617    | 580.89         
618    | 579.55         
619    | 577.37         
620    | 582.02         
621    | 579.06         
622    | 577.66         
623    | 577.24         
624    | 576.54         
625    | 578.51         
626    | 580.12         
627    | 578.28         
628    | 582.30         
629    | 580.58         
630    | 577.41         
631    | 577.28         
632    | 583.23         
633    | 579.71         
634    | 582.06         
635    | 577.97         
636    | 579.41         
637    | 582.11         
638    | 580.32         
639    | 580.34         
640    | 578.18         
641    | 579.87         
642    | 579.84         
643    | 580.26         
644    | 576.46         
645    | 577.33         
646    | 582.86         
647    | 579.92         
648    | 577.23         
649    | 579.38         
650    | 577.53         
651    | 580.01         
652    | 581.40         
653    | 577.29         
654    | 577.50         
655    | 581.09         
656    | 581.97         
657    | 582.29         
658    | 576.58         
659    | 578.42         
660    | 578.36         
661    | 582.18         
662    | 580.07         
663    | 582.18         
664    | 583.53         
665    | 577.34         
666    | 578.95         
667    | 580.10         
668    | 580.33         
669    | 581.83         
670    | 579.24         
671    | 576.95         
672    | 580.24         
673    | 577.78         
674    | 582.87         
675    | 580.35         
676    | 580.27         
677    | 579.04         
678    | 580.66         
679    | 580.37         
680    | 583.23         
681    | 583.06         
682    | 576.70         
683    | 578.00         
684    | 578.37         
685    | 581.05         
686    | 579.42         
687    | 581.52         
688    | 581.65         
689    | 579.18         
690    | 578.49         
691    | 577.41         
692    | 577.55         
693    | 577.77         
694    | 583.45         
695    | 581.81         
696    | 576.41         
697    | 577.86         
698    | 580.69         
699    | 577.65         
700    | 578.30         
701    | 576.48         
702    | 580.25         
703    | 576.52         
704    | 582.15         
705    | 578.04         
706    | 583.24         
707    | 581.65         
708    | 580.04         
709    | 582.44         
710    | 576.54         
711    | 582.53         
712    | 582.41         
713    | 577.30         
714    | 577.68         
715    | 580.99         
716    | 578.69         
717    | 579.90         
718    | 579.07         
719    | 579.12         
720    | 580.22         
721    | 731.45         
722    | 728.06         
723    | 728.02         
724    | 732.11         
