Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,349.56
362,353.26
363,349.81
364,351.22
365,348.93
366,349.42
367,346.73
368,351.98
369,352.71
370,351.24
371,346.72
372,350.14
373,346.7
374,349.72
375,351.73
376,349.33
377,347.92
378,352.94
379,350.52
380,353.21
381,349.2
382,350.64
383,350.9
384,352.54
385,351.32
386,347.81
387,346.92
388,351.2
389,349.59
390,347.13
391,2352.07
392,2352.93
393,2350.34
394,2348.42
395,2348.42
396,348.36
397,352.23
398,347.74
399,350.45
400,350.02
401,349.97
402,349.36
403,351.3
404,351.11
405,346.55
406,346.81
407,350.02
408,351.28
409,346.56
410,353.51
411,352.27
412,352.29
413,350.92
414,348.35
415,352.35
416,351.37
417,346.66
418,349.98
419,351.17
420,353.36
421,748.7
422,747.57
423,748.53
424,750.28
425,751.0
426,746.64
427,749.87
428,750.7
429,749.98
430,748.6
431,748.09
432,751.07
433,752.88
434,750.94
435,749.65
436,751.86
437,752.07
438,753.24
439,751.39
440,749.98
441,752.18
442,748.65
443,752.15
444,748.84
445,753.26
446,749.36
447,748.9
448,748.88
449,750.13
450,753.18
451,748.98
452,752.52
453,747.22
454,751.81
455,751.69
456,750.27
457,749.98
458,752.83
459,751.63
460,749.67
461,748.85
462,752.54
463,747.13
464,749.6
465,747.76
466,753.52
467,746.69
468,753.04
469,747.16
470,752.24
471,750.74
472,747.96
473,747.15
474,749.74
475,750.55
476,748.49
477,752.84
478,753.45
479,748.84
480,751.78
481,2747.66
482,2747.67
483,2751.65
484,2747.0
485,2753.02
486,748.12
487,746.84
488,751.42
489,752.5
490,751.43
491,752.44
492,747.92
493,747.79
494,751.71
495,747.6
496,750.84
497,746.75
498,746.61
499,749.93
500,748.83
501,748.33
502,750.94
503,747.96
504,753.42
505,749.32
506,749.41
507,748.56
508,753.56
509,747.13
510,749.51
511,749.8
512,750.12
513,751.79
514,747.57
515,749.27
516,749.88
517,747.61
518,750.96
519,751.39
520,750.7
521,746.61
522,747.9
523,747.09
524,752.1
525,752.69
526,753.2
527,751.06
528,749.08
529,753.33
530,753.12
531,751.81
532,752.93
533,753.34
534,753.31
535,746.95
536,751.72
537,751.24
538,746.4
539,748.65
540,750.89
541,581.24
542,583.47
543,579.89
544,578.19
545,577.45
546,580.92
547,583.4
548,581.69
549,577.11
550,583.49
551,576.5
552,579.92
553,579.85
554,581.15
555,582.37
556,578.1
557,576.85
558,582.96
559,576.98
560,579.63
561,578.12
562,579.99
563,580.05
564,578.33
565,581.79
566,582.87
567,582.39
568,579.17
569,576.56
570,577.0
571,582.62
572,580.48
573,581.67
574,582.05
575,580.8
576,580.42
577,582.58
578,577.95
579,581.24
580,581.94
581,579.25
582,579.02
583,577.95
584,583.58
585,577.78
586,583.53
587,581.0
588,580.65
589,580.75
590,576.62
591,577.53
592,577.18
593,578.2
594,582.21
595,577.57
596,580.62
597,578.73
598,579.22
599,582.6
600,579.52
601,583.02
602,581.69
603,577.76
604,576.6
605,578.85
606,577.02
607,583.53
608,580.61
609,579.21
610,578.75
611,581.34
612,576.73
613,578.29
614,579.92
615,580.99
616,577.34
617,580.67
618,578.97
619,576.78
620,581.73
621,579.11
622,577.18
623,580.85
624,582.19
625,580.15
626,580.32
627,577.61
628,580.46
629,581.54
630,581.07
631,579.3
632,578.41
633,582.24
634,578.52
635,581.4
636,578.61
637,581.83
638,577.4
639,577.08
640,577.37
641,576.8
642,579.08
643,577.09
644,583.22
645,577.82
646,582.1
647,582.51
648,580.39
649,583.5
650,578.89
651,579.62
652,581.02
653,576.9
654,576.73
655,583.52
656,579.9
657,581.92
658,579.35
659,578.99
660,577.6
661,577.76
662,581.36
663,579.55
664,578.04
665,579.57
666,578.75
667,577.47
668,582.16
669,578.97
670,577.09
671,576.64
672,580.65
673,578.88
674,577.8
675,578.49
676,578.11
677,582.5
678,583.36
679,582.91
680,582.77
681,576.95
682,577.64
683,578.19
684,581.15
685,576.73
686,581.96
687,577.61
688,578.66
689,580.48
690,577.7
691,583.11
692,581.09
693,583.52
694,582.31
695,579.58
696,582.59
697,580.25
698,580.74
699,579.52
700,577.73
701,582.74
702,579.93
703,581.89
704,577.63
705,581.72
706,580.93
707,581.98
708,580.51
709,576.64
710,582.87
711,578.28
712,579.51
713,583.32
714,580.26
715,580.92
716,578.38
717,576.84
718,578.35
719,577.66
720,580.72
721,732.11
722,732.3
723,729.77
724,731.59
725,729.6
726,731.73
727,727.65
728,733.23
729,729.51
730,727.44
731,1730.71
732,1731.27
733,1728.66
734,1727.52
735,1727.98
736,1726.88
737,1727.16
738,1732.58
739,1729.81
740,1726.93
741,731.78
742,729.26
743,727.45
744,733.38
745,728.83
746,727.4
747,727.36
748,728.59
749,727.84
750,732.09
751,726.7
752,729.59
753,730.97
754,733.52
755,729.43
756,726.84
757,729.94
758,727.21
759,730.58
760,732.67
761,731.9
762,729.66
763,732.55
764,733.55
765,727.26
766,730.38
767,727.03
768,732.56
769,728.81
770,729.16
771,728.95
772,730.36
773,733.5
774,727.49
775,728.99
776,728.33
777,733.31
778,726.97
779,732.84
780,727.44
781,703.48
782,701.38
783,701.17
784,700.7
785,698.21
786,699.33
787,697.39
788,698.9
789,700.19
790,697.72
791,698.08
792,698.31
793,700.47
794,698.14
795,703.26
796,698.06
797,699.19
798,698.22
799,697.67
800,698.15
801,696.56
802,703.42
803,697.34
804,698.8
805,701.36
806,701.46
807,702.2
808,699.57
809,700.98
810,703.07
811,702.37
812,698.2
813,699.76
814,700.97
815,699.56
816,699.78
817,702.09
818,697.78
819,700.01
820,702.6
821,699.24
822,699.01
823,699.79
824,697.33
825,697.98
826,699.03
827,703.49
828,699.51
829,703.29
830,698.57
831,700.89
832,697.07
833,699.0
834,701.0
835,697.31
836,702.01
837,700.69
838,700.28
839,701.91
840,702.6
841,698.64
842,698.22
843,698.4
844,701.05
845,700.67
846,700.16
847,697.0
848,698.22
849,697.08
850,702.63
851,701.26
852,697.37
853,702.35
854,698.02
855,699.52
856,701.71
857,702.77
858,702.02
859,702.99
860,703.23
861,702.86
862,698.42
863,703.39
864,701.83
865,701.16
866,699.48
867,697.0
868,699.16
869,700.99
870,697.59
871,701.5
872,696.42
873,699.86
874,698.83
875,702.65
876,703.47
877,700.37
878,697.77
879,698.74
880,699.43
881,703.07
882,700.45
883,697.09
884,697.78
885,703.0
886,697.11
887,698.14
888,698.47
889,703.39
890,701.27
891,699.26
892,701.04
893,700.47
894,703.4
895,701.79
896,701.52
897,698.45
898,702.1
899,700.93
900,697.02
901,1497.08
902,1497.33
903,1497.9
904,1498.71
905,1501.74
906,1500.47
907,1500.78
908,1501.59
909,1498.01
910,1501.92
911,1502.34
912,1500.98
913,1502.35
914,1498.83
915,1497.33
916,1499.03
917,1503.06
918,1496.51
919,1500.37
920,1500.88
921,703.58
922,697.08
923,698.0
924,700.5
925,701.36
926,698.73
927,702.96
928,701.52
929,703.38
930,700.99
931,702.19
932,701.26
933,699.33
934,700.41
935,699.7
936,698.84
937,698.23
938,699.43
939,699.41
940,702.34
941,700.0
942,703.0
943,702.07
944,697.77
945,703.55
946,699.61
947,702.7
948,701.81
949,702.95
950,699.29
951,697.66
952,701.5
953,699.9
954,696.68
955,702.72
956,700.11
957,697.66
958,697.48
959,700.29
960,697.69
961,701.42
962,700.66
963,698.29
964,697.57
965,698.53
966,697.28
967,701.15
968,703.4
969,698.84
970,697.26
971,701.46
972,702.33
973,701.63
974,698.95
975,698.55
976,701.96
977,698.44
978,697.81
979,698.34
980,701.06
981,696.95
982,700.99
983,703.33
984,700.03
985,702.75
986,703.56
987,701.09
988,696.94
989,697.03
990,703.43
991,701.3
992,698.85
993,699.38
994,701.72
995,696.91
996,698.04
997,697.63
998,698.88
999,702.51
1000,701.87
1001,702.68
1002,701.67
1003,700.19
1004,701.16
1005,698.69
1006,703.56
1007,697.38
1008,703.52
1009,703.38
1010,701.92
1011,702.6
1012,701.04
1013,702.51
1014,699.1
1015,700.48
1016,700.33
1017,698.86
1018,701.77
1019,700.32
1020,701.66
1021,851.3
1022,851.23
1023,850.84
1024,852.01
1025,852.67
1026,849.43
1027,852.4
1028,846.67
1029,852.95
1030,850.06
1031,852.36
1032,852.23
1033,852.16
1034,853.46
1035,853.46
1036,847.11
1037,847.59
1038,848.19
1039,852.63
1040,848.07
1041,850.88
1042,847.28
1043,847.39
1044,850.13
1045,849.01
1046,849.19
1047,846.68
1048,846.94
1049,847.83
1050,848.65
1051,846.69
1052,851.05
1053,851.34
1054,847.05
1055,847.53
1056,853.11
1057,852.35
1058,850.53
1059,852.26
1060,850.45
1061,847.6
1062,847.53
1063,853.1
1064,848.67
1065,846.46
1066,846.77
1067,851.36
1068,847.28
1069,846.63
1070,851.3
1071,848.11
1072,847.76
1073,847.04
1074,851.41
1075,851.81
1076,849.36
1077,847.47
1078,851.74
1079,851.69
1080,850.47
1081,850.23
1082,850.6
1083,850.74
1084,849.42
1085,848.75
1086,847.77
1087,847.16
1088,848.43
1089,848.14
1090,850.38
1091,848.39
1092,850.78
1093,848.37
1094,849.05
1095,849.56
1096,850.03
1097,848.05
1098,850.51
1099,847.14
1100,847.55
1101,850.53
1102,847.06
1103,850.83
1104,851.04
1105,850.52
1106,847.1
1107,849.1
1108,850.62
1109,848.83
1110,849.62
1111,852.17
1112,849.3
1113,853.25
1114,847.42
1115,852.79
1116,853.32
1117,852.31
1118,849.76
1119,850.76
1120,849.86
1121,847.32
1122,847.18
1123,853.45
1124,848.33
1125,847.18
1126,852.69
1127,852.95
1128,852.31
1129,852.32
1130,846.46
1131,849.45
1132,848.43
1133,852.17
1134,846.7
1135,852.52
1136,852.55
1137,847.06
1138,851.33
1139,848.6
1140,851.83
1141,847.46
1142,847.39
1143,850.69
1144,847.55
1145,853.23
1146,851.12
1147,850.21
1148,853.42
1149,852.67
1150,851.84
1151,853.04
1152,847.22
1153,846.47
1154,848.54
1155,847.92
1156,847.76
1157,851.03
1158,850.83
1159,850.91
1160,847.75
1161,847.41
1162,852.33
1163,849.42
1164,847.06
1165,850.21
1166,846.92
1167,852.07
1168,846.8
1169,850.67
1170,850.35
1171,849.23
1172,848.52
1173,848.65
1174,852.91
1175,851.22
1176,850.79
1177,850.21
1178,847.26
1179,849.4
1180,849.69
1181,849.57
1182,852.99
1183,846.73
1184,852.72
1185,853.22
1186,850.45
1187,850.23
1188,853.01
1189,847.84
1190,847.05
1191,853.05
1192,849.71
1193,848.15
1194,851.44
1195,846.6
1196,850.02
1197,849.15
1198,850.38
1199,851.34
1200,849.81
1201,848.51
1202,848.48
1203,853.4
1204,847.72
1205,852.73
1206,850.12
1207,847.7
1208,847.18
1209,850.87
1210,851.63
1211,850.82
1212,846.89
1213,847.44
1214,848.77
1215,851.2
1216,847.14
1217,847.14
1218,850.66
1219,852.86
1220,848.58
1221,849.85
1222,851.54
1223,848.76
1224,853.07
1225,852.4
1226,852.25
1227,851.41
1228,850.15
1229,847.54
1230,848.58
1231,851.93
1232,848.42
1233,853.26
1234,847.01
1235,850.28
1236,852.72
1237,853.0
1238,848.59
1239,849.36
1240,849.37
1241,849.16
1242,850.32
1243,852.96
1244,852.18
1245,850.91
1246,853.27
1247,849.18
1248,853.14
1249,846.96
1250,853.6
1251,852.27
1252,849.91
1253,852.92
1254,852.91
1255,848.42
1256,851.61
1257,852.99
1258,848.13
1259,849.1
1260,849.84
1261,446.99
1262,450.33
1263,448.67
1264,453.13
1265,452.9
1266,447.7
