Minute | Consumption (W) - SCENARIO: Small Maintenance
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 349.58         
362    | 350.99         
363    | 352.34         
364    | 349.69         
365    | 348.49         
366    | 351.26         
367    | 349.83         
368    | 348.99         
369    | 353.41         
370    | 353.59         
371    | 349.59         
372    | 347.98         
373    | 351.14         
374    | 349.49         
375    | 352.99         
376    | 348.23         
377    | 351.14         
378    | 351.34         
379    | 348.39         
380    | 353.50         
381    | 346.66         
382    | 349.73         
383    | 350.37         
384    | 346.85         
385    | 349.95         
386    | 351.91         
387    | 351.74         
388    | 351.48         
389    | 352.40         
390    | 350.17         
391    | 2351.57        
392    | 2351.35        
393    | 2348.50        
394    | 2349.22        
395    | 2348.44        
396    | 352.42         
397    | 350.77         
398    | 347.82         
399    | 348.86         
400    | 348.37         
401    | 350.41         
402    | 352.46         
403    | 347.70         
404    | 353.04         
405    | 351.41         
406    | 348.55         
407    | 349.96         
408    | 347.26         
409    | 352.15         
410    | 352.50         
411    | 352.20         
412    | 350.97         
413    | 347.45         
414    | 346.47         
415    | 350.54         
416    | 353.48         
417    | 348.87         
418    | 352.27         
419    | 352.59         
420    | 346.41         
421    | 746.76         
422    | 746.84         
423    | 751.62         
424    | 752.74         
425    | 747.49         
426    | 747.91         
427    | 750.03         
428    | 752.89         
429    | 747.88         
430    | 749.68         
431    | 751.31         
432    | 746.40         
433    | 748.78         
434    | 748.40         
435    | 753.45         
436    | 747.54         
437    | 746.76         
438    | 753.10         
439    | 746.61         
440    | 748.39         
441    | 751.76         
442    | 750.71         
443    | 749.17         
444    | 750.01         
445    | 749.02         
446    | 751.67         
447    | 749.87         
448    | 752.78         
449    | 752.15         
450    | 752.31         
451    | 749.74         
452    | 751.71         
453    | 746.51         
454    | 748.39         
455    | 747.96         
456    | 750.78         
457    | 748.78         
458    | 750.41         
459    | 748.38         
460    | 749.05         
461    | 746.85         
462    | 751.05         
463    | 751.88         
464    | 753.24         
465    | 752.02         
466    | 751.01         
467    | 751.80         
468    | 750.73         
469    | 753.50         
470    | 747.65         
471    | 747.61         
472    | 746.66         
473    | 747.81         
474    | 749.97         
475    | 753.07         
476    | 750.88         
477    | 752.24         
478    | 747.77         
479    | 753.13         
480    | 747.82         
481    | 2752.64        
482    | 2753.35        
483    | 2746.49        
484    | 2747.81        
485    | 2748.80        
486    | 753.30         
487    | 750.70         
488    | 747.41         
489    | 749.94         
490    | 751.68         
491    | 746.51         
492    | 748.80         
493    | 749.22         
494    | 748.84         
495    | 748.09         
496    | 750.95         
497    | 746.96         
498    | 752.63         
499    | 749.38         
500    | 751.83         
501    | 751.92         
502    | 751.62         
503    | 746.61         
504    | 750.80         
505    | 753.18         
506    | 747.83         
507    | 748.82         
508    | 750.24         
509    | 752.04         
510    | 750.73         
511    | 748.63         
512    | 748.63         
513    | 753.60         
514    | 747.39         
515    | 750.31         
516    | 752.10         
517    | 753.52         
518    | 751.47         
519    | 751.32         
520    | 748.78         
521    | 748.73         
522    | 748.79         
523    | 751.71         
524    | 753.23         
525    | 751.43         
526    | 746.56         
527    | 749.59         
528    | 753.08         
529    | 752.46         
530    | 750.96         
531    | 749.63         
532    | 750.48         
533    | 752.62         
534    | 747.34         
535    | 753.13         
536    | 748.71         
537    | 750.63         
538    | 752.89         
539    | 746.58         
540    | 750.22         
541    | 580.86         
542    | 580.52         
543    | 577.46         
544    | 582.70         
545    | 576.89         
546    | 577.96         
547    | 581.53         
548    | 580.13         
549    | 578.33         
550    | 580.16         
551    | 578.74         
552    | 580.14         
553    | 579.54         
554    | 581.97         
555    | 581.73         
556    | 581.07         
557    | 582.44         
558    | 579.43         
559    | 581.46         
560    | 581.43         
561    | 582.11         
562    | 577.54         
563    | 581.54         
564    | 579.42         
565    | 582.44         
566    | 583.24         
567    | 581.99         
568    | 577.73         
569    | 578.04         
570    | 582.43         
571    | 577.29         
572    | 577.69         
573    | 577.46         
574    | 582.36         
575    | 578.28         
576    | 582.95         
577    | 581.60         
578    | 578.32         
579    | 579.92         
580    | 579.97         
581    | 577.38         
582    | 582.14         
583    | 577.98         
584    | 581.32         
585    | 579.15         
586    | 581.21         
587    | 583.11         
588    | 578.94         
589    | 583.15         
590    | 576.68         
591    | 578.91         
592    | 577.91         
593    | 581.68         
594    | 578.17         
595    | 580.62         
596    | 581.44         
597    | 578.40         
598    | 581.99         
599    | 579.62         
600    | 580.29         
601    | 580.67         
602    | 579.60         
603    | 577.68         
604    | 576.82         
605    | 581.31         
606    | 578.18         
607    | 582.48         
608    | 581.54         
609    | 582.85         
610    | 582.23         
611    | 576.74         
612    | 583.33         
613    | 578.08         
614    | 577.34         
615    | 582.29         
616    | 580.41         
617    | 577.52         
618    | 581.64         
619    | 576.84         
620    | 581.79         
621    | 577.58         
622    | 581.95         
623    | 576.95         
624    | 580.95         
625    | 579.80         
626    | 579.09         
627    | 581.10         
628    | 580.18         
629    | 582.52         
630    | 579.39         
631    | 577.67         
632    | 579.87         
633    | 577.77         
634    | 578.18         
635    | 582.79         
636    | 577.01         
637    | 580.60         
638    | 579.64         
639    | 580.16         
640    | 578.31         
641    | 581.51         
642    | 578.13         
643    | 577.27         
644    | 577.93         
645    | 582.72         
646    | 582.15         
647    | 579.15         
648    | 580.30         
649    | 579.13         
650    | 577.22         
651    | 580.60         
652    | 581.17         
653    | 579.46         
654    | 579.58         
655    | 579.74         
656    | 581.37         
657    | 581.52         
658    | 579.86         
659    | 578.43         
660    | 579.83         
661    | 581.65         
662    | 581.36         
663    | 579.50         
664    | 577.09         
665    | 577.24         
666    | 579.28         
667    | 582.57         
668    | 579.75         
669    | 581.84         
670    | 579.34         
671    | 580.78         
672    | 582.54         
673    | 580.76         
674    | 579.39         
675    | 582.03         
676    | 580.56         
677    | 577.79         
678    | 581.15         
679    | 582.56         
680    | 579.02         
681    | 582.50         
682    | 580.49         
683    | 582.72         
684    | 577.80         
685    | 576.43         
686    | 579.96         
687    | 579.27         
688    | 582.22         
689    | 576.77         
690    | 579.45         
691    | 579.91         
692    | 580.02         
693    | 579.51         
694    | 580.71         
695    | 580.60         
696    | 580.26         
697    | 577.97         
698    | 582.90         
699    | 579.77         
700    | 578.31         
701    | 577.27         
702    | 581.58         
703    | 577.17         
704    | 580.84         
705    | 580.59         
706    | 580.36         
707    | 583.13         
708    | 583.43         
709    | 578.52         
710    | 580.93         
711    | 576.88         
712    | 577.06         
713    | 577.75         
714    | 577.72         
715    | 581.80         
716    | 582.96         
717    | 578.88         
718    | 583.24         
719    | 581.53         
720    | 580.64         
721    | 730.34         
722    | 728.53         
723    | 729.32         
724    | 730.97         
725    | 732.63         
