Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,350.93
362,347.04
363,351.88
364,347.98
365,347.15
366,347.19
367,351.71
368,350.78
369,351.78
370,348.11
371,349.84
372,348.08
373,347.16
374,351.28
375,347.3
376,352.21
377,352.47
378,352.41
379,346.79
380,349.22
381,346.53
382,350.45
383,353.56
384,346.57
385,350.16
386,352.46
387,353.54
388,352.37
389,351.07
390,349.79
391,2352.73
392,2349.03
393,2349.42
394,2348.07
395,2348.5
396,352.77
397,348.99
398,350.8
399,350.29
400,352.24
401,353.56
402,349.75
403,347.45
404,353.6
405,346.6
406,346.56
407,351.53
408,351.56
409,348.3
410,352.77
411,353.09
412,346.88
413,348.26
414,352.09
415,346.54
416,352.7
417,347.15
418,347.61
419,349.54
420,349.95
421,747.59
422,748.14
423,747.17
424,747.31
425,748.03
426,753.12
427,749.65
428,747.76
429,751.34
430,747.62
431,751.36
432,751.07
433,750.91
434,746.77
435,749.94
436,749.49
437,750.41
438,746.94
439,750.48
440,751.74
441,752.88
442,750.75
443,749.78
444,746.57
445,747.58
446,750.48
447,751.42
448,747.9
449,752.45
450,750.7
451,747.53
452,750.09
453,753.5
454,747.98
455,752.18
456,752.8
457,751.79
458,748.85
459,748.05
460,747.09
461,747.11
462,749.69
463,747.37
464,751.38
465,752.34
466,746.79
467,751.98
468,747.95
469,749.38
470,751.17
471,746.45
472,748.35
473,749.29
474,748.5
475,752.85
476,749.66
477,753.07
478,752.95
479,750.2
480,752.2
481,2747.5
482,2753.11
483,2749.18
484,2750.03
485,2753.29
486,751.86
487,753.42
488,748.72
489,748.01
490,746.54
491,748.68
492,753.03
493,746.65
494,746.63
495,753.5
496,749.84
497,750.1
498,751.84
499,746.83
500,747.16
501,748.77
502,746.51
503,746.51
504,748.18
505,746.53
506,750.46
507,750.53
508,750.3
509,749.97
510,753.14
511,750.79
512,749.35
513,751.82
514,749.4
515,752.24
516,751.91
517,747.48
518,753.08
519,749.19
520,747.35
521,747.36
522,752.1
523,750.26
524,751.49
525,750.98
526,749.7
527,751.02
528,749.79
529,750.6
530,747.82
531,746.41
532,748.7
533,751.47
534,750.92
535,751.41
536,749.92
537,747.16
538,751.86
539,753.52
540,752.16
541,577.15
542,580.72
543,580.72
544,581.95
545,583.21
546,576.46
547,579.49
548,579.62
549,579.27
550,582.03
551,581.21
552,582.26
553,578.14
554,579.27
555,579.73
556,583.39
557,580.95
558,576.68
559,576.69
560,583.19
561,582.51
562,579.1
563,582.93
564,583.12
565,581.71
566,579.02
567,580.37
568,579.34
569,581.38
570,581.1
571,576.56
572,581.34
573,577.04
574,576.47
575,580.29
576,576.46
577,577.72
578,582.85
579,579.83
580,577.97
581,578.12
582,581.42
583,583.31
584,582.59
585,581.1
586,582.3
587,579.2
588,581.94
589,581.7
590,581.53
591,577.35
592,577.04
593,577.9
594,579.9
595,578.63
596,577.47
597,578.85
598,583.19
599,581.08
600,580.16
601,580.76
602,580.93
603,580.31
604,579.85
605,577.05
606,578.53
607,582.52
608,581.7
609,580.26
610,580.88
611,578.69
612,578.19
613,578.21
614,579.84
615,580.77
616,581.14
617,579.84
618,578.92
619,576.6
620,579.41
621,581.74
622,581.77
623,583.21
624,579.63
625,576.6
626,577.95
627,583.6
628,581.85
629,577.07
630,577.41
631,577.07
632,579.68
633,577.45
634,577.92
635,581.75
636,581.27
637,582.2
638,579.48
639,582.59
640,582.57
641,578.01
642,579.11
643,580.6
644,576.91
645,582.85
646,578.32
647,583.02
648,582.79
649,581.82
650,583.25
651,581.35
652,581.86
653,576.65
654,577.96
655,577.84
656,582.4
657,577.79
658,582.67
659,578.34
660,579.78
661,581.48
662,582.36
663,581.46
664,582.63
665,578.28
666,580.46
667,577.09
668,579.14
669,578.72
670,578.61
671,576.95
672,580.11
673,581.43
674,580.87
675,580.87
676,582.51
677,582.29
678,576.57
679,580.33
680,577.66
681,577.59
682,578.4
683,578.98
684,579.54
685,581.15
686,578.04
687,577.02
688,577.66
689,579.05
690,579.75
691,576.52
692,580.04
693,581.44
694,582.86
695,576.86
696,582.1
697,580.86
698,581.18
699,578.79
700,581.8
701,583.01
702,576.89
703,579.96
704,582.49
705,582.98
706,581.31
707,578.3
708,578.57
709,579.47
710,580.3
711,578.43
712,582.81
713,582.98
714,580.5
715,580.6
716,576.56
717,576.51
718,579.72
719,580.87
720,578.16
721,2728.69
722,2730.58
723,2729.1
724,2728.62
725,2732.22
726,2730.34
727,2727.8
728,2732.81
729,2733.32
730,2732.46
731,3731.9
732,3731.89
733,3728.04
734,3728.07
735,3729.32
736,3727.56
737,3730.27
738,3727.03
739,3733.59
740,3731.5
741,2726.49
742,2728.39
743,2728.63
744,2732.35
745,2729.83
746,2730.33
747,2728.27
748,2733.5
749,2732.95
750,2728.53
751,2732.34
752,2732.18
753,2731.14
754,2731.29
755,2733.42
756,2732.3
757,2732.99
758,2726.96
759,2727.35
760,2729.2
761,2731.73
762,2729.77
763,2726.94
764,2727.52
765,2731.57
766,2726.77
767,2730.5
768,2732.14
769,2730.59
770,2730.92
771,2731.23
772,2726.51
773,2727.38
774,2732.81
775,2733.51
776,2729.3
777,2728.68
778,2731.38
779,2728.6
780,2728.68
781,698.18
782,700.14
783,697.55
784,699.87
785,703.22
786,700.2
787,701.1
788,703.48
789,701.5
790,698.98
791,700.95
792,697.02
793,702.54
794,700.96
795,699.38
796,703.18
797,699.31
798,702.52
799,700.21
800,700.01
801,701.39
802,696.48
803,702.86
804,696.44
805,699.43
806,700.22
807,697.47
808,696.88
809,697.84
810,701.6
811,699.86
812,698.55
813,702.35
814,696.61
815,703.12
816,696.61
817,698.57
818,703.04
819,697.68
820,699.47
821,700.05
822,699.43
823,703.4
824,702.99
825,699.42
826,698.9
827,703.29
828,697.49
829,700.73
830,698.41
831,697.85
832,700.04
833,703.49
834,699.26
835,699.79
836,701.93
837,700.95
838,697.96
839,702.78
840,698.64
841,702.7
842,701.4
843,702.15
844,701.3
845,698.46
846,696.57
847,703.4
848,701.82
849,699.16
850,698.78
851,699.65
852,703.25
853,697.82
854,700.93
855,696.42
856,697.07
857,702.55
858,701.39
859,703.1
860,699.66
861,699.29
862,701.49
863,703.12
864,702.53
865,699.81
866,698.48
867,698.54
868,700.28
869,698.61
870,696.68
871,697.14
872,699.94
873,700.57
874,698.02
875,697.07
876,699.26
877,702.58
878,700.98
879,699.96
880,701.67
881,698.69
882,699.21
883,702.87
884,699.64
885,701.08
886,701.51
887,697.66
888,697.72
889,697.87
890,703.41
891,697.72
892,698.58
893,698.71
894,696.41
895,699.57
896,698.64
897,700.18
898,702.51
899,700.35
900,698.82
901,697.15
902,699.38
903,700.03
904,698.91
905,700.77
906,699.45
907,700.43
908,701.51
909,702.24
910,697.25
911,700.14
912,701.64
913,702.4
914,698.42
915,696.73
916,699.03
917,698.08
918,702.38
919,697.69
920,700.93
921,703.39
922,700.1
923,699.55
924,697.54
925,701.65
926,698.32
927,698.51
928,701.01
929,699.51
930,698.86
931,701.57
932,697.09
933,700.35
934,703.0
935,699.84
936,699.79
937,701.0
938,701.58
939,699.31
940,700.94
941,697.15
942,702.6
943,702.55
944,699.37
945,699.48
946,703.45
947,702.33
948,696.67
949,699.72
950,703.07
951,702.82
952,699.38
953,701.73
954,696.58
955,701.45
956,696.99
957,701.53
958,698.68
959,700.21
960,696.65
961,703.05
962,699.3
963,702.55
964,696.47
965,701.09
966,702.42
967,699.11
968,698.21
969,699.6
970,701.29
971,699.75
972,701.93
973,701.19
974,701.31
975,700.75
976,696.84
977,699.79
978,698.48
979,700.9
980,696.82
981,698.92
982,702.45
983,699.24
984,697.24
985,697.89
986,697.43
987,697.4
988,698.94
989,703.36
990,699.5
991,699.65
992,703.15
993,697.76
994,703.42
995,699.7
996,696.43
997,696.54
998,697.76
999,698.35
1000,701.2
1001,697.28
1002,697.29
1003,700.45
1004,701.55
1005,703.41
1006,698.44
1007,696.51
1008,697.11
1009,702.16
1010,701.53
1011,697.41
1012,696.91
1013,698.33
1014,699.19
1015,698.49
1016,701.12
1017,697.72
1018,700.8
1019,702.77
1020,702.98
1021,2247.03
1022,2247.4
1023,2251.6
1024,2251.89
1025,2248.81
1026,2250.17
1027,2250.15
1028,2248.44
1029,2253.33
1030,2248.01
1031,2250.33
1032,2249.21
1033,2247.49
1034,2248.22
1035,2247.82
1036,2247.6
1037,2247.68
1038,2247.27
1039,2250.33
1040,2249.54
1041,2246.81
1042,2246.72
1043,2246.68
1044,2252.69
1045,2250.28
1046,2252.41
1047,2249.38
1048,2252.64
1049,2253.06
1050,2252.2
1051,2247.68
1052,2249.2
1053,2252.7
1054,2247.09
1055,2247.99
1056,2250.86
1057,2250.4
1058,2252.49
1059,2249.57
1060,2247.47
1061,2250.54
1062,2251.73
1063,2249.64
1064,2249.19
1065,2250.92
1066,2253.47
1067,2250.71
1068,2251.44
1069,2246.76
1070,2248.75
1071,2252.22
1072,2248.86
1073,2247.06
1074,2249.6
1075,2250.41
1076,2253.48
1077,2250.79
1078,2250.52
1079,2247.68
1080,2250.74
1081,2247.11
1082,2246.43
1083,2246.7
1084,2247.89
1085,2248.66
1086,2251.68
1087,2252.61
1088,2247.38
1089,2253.47
1090,2253.45
1091,2247.05
1092,2250.19
1093,2251.74
1094,2253.0
1095,2253.13
1096,2248.98
1097,2248.93
1098,2250.9
1099,2247.12
1100,2250.14
1101,2248.29
1102,2247.97
1103,2251.95
1104,2252.27
1105,2249.44
1106,2252.08
1107,2246.83
1108,2247.31
1109,2247.17
1110,2247.97
1111,2248.08
1112,2248.87
1113,2249.42
1114,2248.4
1115,2253.57
1116,2250.41
1117,2246.49
1118,2251.9
1119,2247.56
1120,2253.42
1121,2246.95
1122,2251.67
1123,2253.2
1124,2250.99
1125,2251.08
1126,2248.86
1127,2252.39
1128,2249.68
1129,2247.41
1130,2249.89
1131,2252.14
1132,2249.13
1133,2252.42
1134,2250.66
1135,2247.6
1136,2249.1
1137,2247.27
1138,2250.05
1139,2248.28
1140,2252.7
1141,2250.65
1142,2247.55
1143,2247.08
1144,2247.65
1145,2251.56
1146,2247.18
1147,2250.76
1148,2246.68
1149,2252.44
1150,2251.88
1151,2248.91
1152,2246.89
1153,2253.11
1154,2250.62
1155,2253.04
1156,2248.48
1157,2252.42
1158,2248.66
1159,2251.71
1160,2252.71
1161,2246.8
1162,2248.57
1163,2251.82
1164,2250.14
1165,2247.14
1166,2250.74
1167,2249.8
1168,2252.76
1169,2250.3
1170,2249.83
1171,2249.75
1172,2249.5
1173,2250.58
1174,2250.58
1175,2249.57
1176,2250.43
1177,2247.8
1178,2249.03
1179,2251.01
1180,2248.39
1181,2251.14
1182,2249.3
1183,2248.95
1184,2249.76
1185,2251.4
1186,2251.07
1187,2249.84
1188,2251.63
1189,2248.64
1190,2250.66
1191,2249.25
1192,2250.07
1193,2249.08
1194,2246.84
1195,2246.93
1196,2247.15
1197,2249.07
1198,2250.89
1199,2253.56
1200,2250.89
1201,2250.9
1202,2249.23
1203,2247.5
1204,2246.65
1205,2251.26
1206,2251.0
1207,2246.98
1208,2253.55
1209,2253.02
1210,2249.69
1211,2248.53
1212,2250.54
1213,2252.82
1214,2250.87
1215,2246.79
1216,2247.03
1217,2247.37
1218,2248.35
1219,2251.38
1220,2249.0
1221,2252.03
1222,2249.98
1223,2249.65
1224,2250.32
1225,2246.77
1226,2248.13
1227,2249.89
1228,2249.4
1229,2250.1
1230,2247.69
1231,2252.76
1232,2249.24
