Minute | Consumption (W) - SCENARIO: Social Day
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 350.42         
362    | 352.17         
363    | 352.92         
364    | 350.41         
365    | 351.88         
366    | 352.42         
367    | 348.08         
368    | 352.98         
369    | 350.76         
370    | 352.48         
371    | 351.87         
372    | 348.81         
373    | 346.64         
374    | 353.21         
375    | 349.29         
376    | 348.54         
377    | 352.53         
378    | 346.95         
379    | 350.64         
380    | 351.62         
381    | 353.03         
382    | 347.03         
383    | 347.76         
384    | 352.54         
385    | 350.70         
386    | 346.94         
387    | 347.26         
388    | 347.82         
389    | 346.70         
390    | 353.55         
391    | 2349.88        
392    | 2347.52        
393    | 2350.12        
394    | 2351.72        
395    | 2350.87        
396    | 352.05         
397    | 347.75         
398    | 350.11         
399    | 348.28         
400    | 349.06         
401    | 353.48         
402    | 349.54         
403    | 352.00         
404    | 346.57         
405    | 348.87         
406    | 347.37         
407    | 348.79         
408    | 350.32         
409    | 347.05         
410    | 352.45         
411    | 346.41         
412    | 352.89         
413    | 346.93         
414    | 346.78         
415    | 348.96         
416    | 353.27         
417    | 353.47         
418    | 348.92         
419    | 350.86         
420    | 350.31         
421    | 752.63         
422    | 752.39         
423    | 747.83         
424    | 752.48         
425    | 752.37         
426    | 750.62         
427    | 748.07         
428    | 752.13         
429    | 748.76         
430    | 747.50         
431    | 751.44         
432    | 750.90         
433    | 747.50         
434    | 751.88         
435    | 746.59         
436    | 747.95         
437    | 752.14         
438    | 751.13         
439    | 747.40         
440    | 749.46         
441    | 750.70         
442    | 747.94         
443    | 750.90         
444    | 748.78         
445    | 749.32         
446    | 748.20         
447    | 746.98         
448    | 748.97         
449    | 746.69         
450    | 747.32         
451    | 749.99         
452    | 748.82         
453    | 750.05         
454    | 751.21         
455    | 753.55         
456    | 750.83         
457    | 751.44         
458    | 752.45         
459    | 750.37         
460    | 748.83         
461    | 749.16         
462    | 750.75         
463    | 751.92         
464    | 748.95         
465    | 752.07         
466    | 748.87         
467    | 749.27         
468    | 753.39         
469    | 750.17         
470    | 750.79         
471    | 750.25         
472    | 753.13         
473    | 751.67         
474    | 752.08         
475    | 746.45         
476    | 748.47         
477    | 752.25         
478    | 749.76         
479    | 748.91         
480    | 748.15         
481    | 2747.60        
482    | 2752.45        
483    | 2749.59        
484    | 2747.53        
485    | 2750.33        
486    | 747.20         
487    | 746.76         
488    | 751.99         
489    | 746.49         
490    | 749.27         
491    | 750.96         
492    | 749.87         
493    | 752.87         
494    | 752.05         
495    | 752.79         
496    | 746.82         
497    | 750.73         
498    | 751.03         
499    | 747.30         
500    | 748.07         
501    | 747.59         
502    | 747.28         
503    | 753.56         
504    | 748.54         
505    | 751.25         
506    | 749.39         
507    | 751.08         
508    | 752.03         
509    | 746.81         
510    | 749.81         
511    | 746.80         
512    | 751.38         
513    | 748.27         
514    | 746.86         
515    | 746.93         
516    | 748.43         
517    | 751.05         
518    | 747.39         
519    | 751.15         
520    | 747.59         
521    | 747.38         
522    | 750.61         
523    | 747.76         
524    | 750.48         
525    | 750.02         
526    | 752.96         
527    | 751.96         
528    | 752.68         
529    | 746.60         
530    | 748.40         
531    | 750.20         
532    | 748.24         
533    | 753.37         
534    | 746.59         
535    | 752.90         
536    | 749.38         
537    | 749.16         
538    | 748.78         
539    | 746.73         
540    | 748.17         
541    | 577.01         
542    | 578.69         
543    | 583.01         
544    | 576.98         
545    | 580.94         
546    | 580.52         
547    | 581.53         
548    | 583.59         
549    | 581.72         
550    | 580.55         
551    | 580.88         
552    | 580.36         
553    | 581.74         
554    | 576.51         
555    | 576.66         
556    | 578.92         
557    | 582.76         
558    | 577.83         
559    | 583.48         
560    | 580.84         
561    | 577.67         
562    | 583.27         
563    | 580.66         
564    | 581.77         
565    | 583.53         
566    | 581.96         
567    | 578.87         
568    | 580.17         
569    | 577.91         
570    | 583.04         
571    | 580.66         
572    | 581.99         
573    | 577.97         
574    | 581.51         
575    | 579.00         
576    | 579.55         
577    | 576.62         
578    | 581.73         
579    | 577.37         
580    | 576.78         
581    | 583.10         
582    | 577.10         
583    | 582.47         
584    | 580.47         
585    | 579.28         
586    | 581.34         
587    | 579.76         
588    | 579.01         
589    | 581.35         
590    | 582.62         
591    | 583.06         
592    | 581.61         
593    | 579.03         
594    | 580.80         
595    | 582.36         
596    | 577.30         
597    | 580.39         
598    | 581.54         
599    | 582.40         
600    | 576.48         
601    | 578.42         
602    | 580.20         
603    | 583.56         
604    | 576.97         
605    | 579.17         
606    | 578.68         
607    | 577.96         
608    | 581.94         
609    | 577.81         
610    | 580.45         
611    | 583.58         
612    | 582.31         
613    | 578.09         
614    | 577.00         
615    | 583.17         
616    | 577.69         
617    | 577.53         
618    | 583.58         
619    | 579.53         
620    | 581.72         
621    | 582.05         
622    | 582.94         
623    | 578.80         
624    | 578.18         
625    | 578.19         
626    | 582.12         
627    | 577.32         
628    | 576.58         
629    | 580.18         
630    | 582.35         
631    | 580.10         
632    | 578.05         
633    | 578.17         
634    | 581.04         
635    | 580.78         
636    | 580.40         
637    | 581.72         
638    | 576.72         
639    | 578.64         
640    | 577.79         
641    | 581.27         
642    | 582.58         
643    | 576.49         
644    | 582.65         
645    | 579.83         
646    | 578.28         
647    | 578.52         
648    | 582.96         
649    | 576.92         
650    | 581.52         
651    | 579.58         
652    | 579.51         
653    | 577.18         
654    | 580.96         
655    | 578.39         
656    | 581.34         
657    | 579.34         
658    | 576.62         
659    | 578.73         
660    | 580.67         
661    | 577.03         
662    | 582.96         
663    | 581.90         
664    | 581.24         
665    | 578.02         
666    | 576.53         
667    | 577.46         
668    | 579.28         
669    | 580.54         
670    | 577.20         
671    | 579.61         
672    | 578.80         
673    | 583.12         
674    | 579.06         
675    | 583.58         
676    | 579.29         
677    | 577.66         
678    | 581.51         
679    | 579.17         
680    | 582.56         
681    | 581.39         
682    | 580.58         
683    | 581.87         
684    | 578.55         
685    | 577.25         
686    | 582.21         
687    | 578.25         
688    | 583.11         
689    | 582.85         
690    | 576.98         
691    | 578.32         
692    | 577.51         
693    | 577.54         
694    | 580.11         
695    | 579.70         
696    | 577.88         
697    | 583.24         
698    | 582.31         
699    | 576.58         
700    | 582.83         
701    | 577.98         
702    | 580.29         
703    | 578.34         
704    | 579.83         
705    | 583.35         
706    | 580.21         
707    | 581.37         
708    | 580.46         
709    | 576.76         
710    | 579.78         
711    | 576.80         
712    | 579.05         
713    | 576.99         
714    | 579.55         
715    | 580.77         
716    | 580.66         
717    | 580.78         
718    | 578.42         
719    | 583.06         
720    | 578.45         
721    | 2726.73        
722    | 2733.08        
723    | 2730.74        
724    | 2730.09        
