Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,351.83
362,349.98
363,348.25
364,349.33
365,348.41
366,352.43
367,349.97
368,351.54
369,346.97
370,347.35
371,347.74
372,351.97
373,352.56
374,349.59
375,349.14
376,350.31
377,348.29
378,352.49
379,351.5
380,352.17
381,349.12
382,349.32
383,351.1
384,349.2
385,347.54
386,353.17
387,348.47
388,353.27
389,348.22
390,348.96
391,2347.78
392,2349.62
393,2352.15
394,2353.59
395,2352.95
396,348.61
397,349.17
398,348.29
399,346.56
400,352.99
401,351.13
402,348.16
403,348.86
404,347.56
405,349.49
406,347.88
407,349.44
408,350.97
409,348.38
410,348.65
411,352.18
412,352.47
413,351.77
414,346.64
415,351.16
416,348.69
417,347.08
418,352.08
419,348.85
420,350.98
421,747.37
422,748.12
423,748.12
424,749.95
425,753.51
426,751.89
427,749.72
428,749.93
429,747.73
430,752.26
431,749.48
432,748.1
433,746.74
434,750.86
435,750.23
436,747.81
437,749.0
438,752.95
439,753.06
440,746.72
441,747.96
442,748.59
443,751.86
444,749.72
445,747.96
446,753.39
447,751.07
448,750.72
449,749.4
450,747.63
451,750.93
452,746.73
453,748.37
454,749.61
455,753.07
456,751.21
457,752.55
458,748.09
459,752.39
460,752.18
461,750.59
462,753.58
463,751.18
464,746.56
465,749.02
466,753.24
467,746.83
468,747.97
469,747.0
470,751.28
471,747.35
472,749.68
473,750.5
474,750.44
475,751.12
476,751.11
477,748.34
478,752.55
479,752.86
480,750.27
481,2753.46
482,2746.57
483,2750.43
484,2752.08
485,2750.15
486,746.58
487,750.96
488,749.26
489,750.67
490,748.67
491,752.12
492,751.39
493,748.86
494,753.08
495,746.4
496,749.62
497,752.46
498,747.81
499,752.07
500,751.02
501,751.87
502,750.6
503,748.53
504,752.26
505,748.32
506,750.35
507,748.11
508,747.28
509,749.53
510,747.59
511,750.01
512,752.04
513,751.24
514,746.71
515,749.98
516,751.19
517,752.52
518,749.17
519,746.77
520,746.62
521,749.43
522,753.0
523,747.79
524,752.25
525,748.19
526,753.5
527,749.85
528,749.39
529,748.23
530,748.92
531,749.0
532,751.39
533,748.1
534,749.15
535,752.04
536,749.28
537,746.72
538,747.91
539,748.61
540,753.02
541,580.04
542,577.03
543,581.28
544,578.62
545,581.6
546,581.65
547,580.36
548,577.98
549,578.17
550,583.32
551,580.76
552,581.04
553,581.4
554,578.48
555,577.89
556,581.11
557,576.5
558,577.93
559,578.14
560,582.22
561,578.63
562,577.55
563,577.04
564,581.94
565,577.36
566,578.55
567,577.8
568,580.27
569,577.69
570,583.59
571,580.67
572,582.49
573,578.94
574,577.42
575,579.77
576,577.74
577,579.86
578,576.61
579,578.05
580,577.7
581,578.21
582,576.81
583,576.78
584,582.78
585,581.2
586,583.15
587,576.75
588,577.08
589,581.7
590,576.46
591,580.78
592,582.35
593,578.71
594,580.73
595,580.51
596,581.47
597,583.01
598,580.82
599,578.6
600,582.6
601,3079.77
602,3083.43
603,3078.67
604,3078.32
605,3082.49
606,3077.08
607,3077.89
608,3077.54
609,3081.1
610,3080.24
611,3080.96
612,3082.75
613,3079.23
614,3078.33
615,3082.74
616,3077.5
617,3082.47
618,3082.84
619,3077.98
620,3079.72
621,3080.87
622,3079.75
623,3079.89
624,3079.13
625,3079.51
626,3076.42
627,3079.76
628,3082.54
629,3080.63
630,3083.47
631,3076.81
632,3079.3
633,3082.27
634,3078.96
635,3077.57
636,3077.48
637,3076.62
638,3082.0
639,3076.54
640,3080.02
641,3082.61
642,3076.94
643,3079.71
644,3076.66
645,3083.59
646,3080.33
647,3080.07
648,3081.01
649,3082.04
650,3081.4
651,3077.17
652,3080.23
653,3078.71
654,3081.64
655,3079.69
656,3083.46
657,3077.42
658,3078.44
659,3082.09
660,3078.55
661,3076.58
662,3079.24
663,3083.06
664,3079.88
665,3078.14
666,3083.3
667,3080.4
668,3080.92
669,3080.61
670,3083.18
671,3080.2
672,3080.96
673,3079.38
674,3079.1
675,3081.47
676,3083.27
677,3081.4
678,3078.79
679,3081.19
680,3076.59
681,3083.56
682,3081.48
683,3083.22
684,3080.56
685,3078.18
686,3082.07
687,3078.33
688,3077.42
689,3077.8
690,3078.49
691,3078.64
692,3077.01
693,3076.83
694,3082.95
695,3076.54
696,3081.7
697,3080.49
698,3080.79
699,3083.04
700,3083.23
701,3077.96
702,3077.47
703,3079.75
704,3082.02
705,3076.68
706,3081.16
707,3077.66
708,3083.31
709,3078.44
710,3082.99
711,3081.96
712,3082.85
713,3083.56
714,3082.88
715,3078.39
716,3079.78
717,3083.19
718,3081.86
719,3077.55
720,3078.08
721,727.49
722,730.55
723,733.35
724,731.14
725,732.01
726,732.84
727,732.01
728,729.8
729,728.37
730,726.77
731,1732.5
732,1732.34
733,1729.94
734,1729.94
735,1726.58
736,1726.7
737,1729.25
738,1731.7
739,1730.61
740,1727.52
741,730.46
742,727.12
743,730.85
744,726.63
745,732.72
746,731.38
747,732.27
748,732.85
749,730.34
750,730.87
751,731.52
752,730.87
753,727.48
754,730.32
755,730.49
756,729.76
757,732.65
758,727.11
759,730.78
760,729.86
761,728.92
762,729.03
763,731.06
764,733.3
765,727.73
766,731.69
767,730.52
768,732.37
769,728.83
770,733.15
771,732.39
772,727.26
773,732.52
774,733.17
775,732.89
776,733.5
777,731.39
778,729.85
779,727.16
780,732.58
781,700.44
782,697.33
783,699.42
784,702.97
785,697.73
786,697.89
787,698.62
788,696.83
789,701.55
790,701.04
791,701.1
792,698.72
793,699.61
794,702.53
795,698.81
796,697.42
797,699.71
798,701.88
799,701.73
800,697.0
801,699.62
802,699.05
803,699.9
804,698.02
805,697.56
806,698.2
807,700.48
808,703.1
809,698.17
810,697.82
811,701.01
812,697.12
813,697.94
814,700.84
815,697.55
816,703.16
817,701.64
818,697.65
819,701.7
820,701.06
821,697.34
822,697.02
823,697.29
824,702.02
825,698.57
826,700.23
827,699.38
828,700.33
829,698.18
830,702.76
831,700.35
832,699.5
833,696.51
834,700.59
835,699.32
836,700.19
837,700.51
838,702.23
839,703.54
840,696.62
841,697.22
842,696.76
843,698.0
844,702.35
845,697.39
846,700.2
847,701.39
848,703.49
849,701.8
850,702.65
851,703.13
852,699.52
853,703.21
854,700.59
855,699.17
856,701.2
857,698.21
858,702.26
859,703.16
860,703.51
861,699.77
862,697.36
863,701.03
864,701.17
865,698.33
866,698.64
867,697.63
868,700.67
869,700.06
870,697.66
871,698.34
872,702.82
873,699.28
874,697.25
875,696.61
876,696.45
877,699.84
878,701.33
879,696.49
880,700.18
881,703.14
882,698.85
883,700.47
884,703.49
885,698.35
886,700.04
887,697.97
888,698.17
889,696.57
890,697.74
891,703.54
892,701.66
893,697.37
894,702.3
895,701.15
896,703.06
897,703.29
898,701.03
899,697.94
900,698.75
901,703.08
902,702.91
903,700.49
904,697.6
905,700.75
906,701.74
907,696.8
908,697.54
909,700.4
910,702.26
911,703.29
912,703.43
913,700.89
914,700.95
915,697.66
916,697.14
917,701.16
918,700.47
919,700.97
920,700.37
921,702.59
922,703.47
923,699.69
924,700.83
925,703.04
926,702.44
927,701.18
928,700.93
929,700.19
930,699.39
931,696.78
932,701.98
933,702.15
934,697.75
935,700.72
936,700.12
937,699.81
938,703.45
939,698.02
940,698.88
941,701.43
942,698.54
943,696.48
944,699.86
945,699.1
946,701.71
947,699.76
948,700.42
949,699.86
950,700.0
951,702.98
952,703.27
953,697.79
954,703.02
955,696.45
956,699.17
957,697.86
958,701.65
959,701.61
960,698.53
961,700.97
962,700.65
963,701.97
964,698.55
965,703.06
966,698.73
967,703.55
968,700.29
969,702.03
970,697.11
971,696.69
972,698.51
973,696.61
974,697.22
975,703.34
976,700.23
977,697.3
978,699.84
979,700.76
980,700.87
981,702.49
982,697.21
983,696.77
984,697.63
985,699.78
986,702.03
987,702.2
988,696.85
989,697.21
990,696.41
991,697.53
992,696.62
993,699.16
994,699.05
995,700.62
996,700.91
997,697.26
998,701.8
999,703.01
1000,701.68
1001,702.46
1002,698.28
1003,698.43
1004,697.29
1005,698.75
1006,701.9
1007,701.82
1008,696.63
1009,696.62
1010,702.72
1011,703.16
1012,700.16
1013,700.32
1014,699.16
1015,702.02
1016,701.74
1017,700.27
1018,701.62
1019,699.32
1020,699.68
1021,847.42
1022,847.94
1023,846.64
1024,851.14
1025,848.77
1026,850.64
1027,848.19
1028,850.15
1029,846.96
1030,849.55
1031,853.32
1032,850.54
1033,848.47
1034,847.18
1035,848.85
1036,853.59
1037,849.67
1038,852.03
1039,851.7
1040,850.72
1041,848.77
1042,846.45
1043,848.77
1044,850.52
1045,851.25
1046,849.67
1047,852.76
1048,848.27
1049,853.11
1050,851.94
1051,848.76
1052,846.83
1053,846.61
1054,846.69
1055,850.42
1056,848.46
1057,850.34
1058,849.66
1059,846.83
1060,850.05
1061,852.46
1062,848.15
1063,853.5
1064,848.41
1065,853.09
1066,850.78
1067,851.5
1068,848.87
1069,852.09
1070,849.12
1071,850.17
1072,853.0
1073,850.25
1074,846.72
1075,849.83
1076,849.88
1077,848.9
1078,847.87
1079,846.64
1080,851.18
1081,846.87
1082,851.25
1083,851.89
1084,849.19
1085,848.82
1086,850.07
1087,852.51
1088,851.04
1089,847.41
1090,853.13
1091,849.37
1092,852.96
1093,848.54
1094,851.66
1095,851.25
1096,847.85
1097,849.86
1098,853.56
1099,852.8
1100,852.2
1101,852.74
1102,846.96
1103,848.97
1104,848.96
1105,851.54
1106,852.67
1107,846.89
1108,852.48
1109,852.12
1110,846.62
1111,852.36
1112,848.15
1113,850.84
1114,848.01
1115,850.51
1116,851.11
1117,849.87
1118,846.41
1119,847.05
1120,846.62
1121,848.66
1122,851.21
1123,849.65
1124,849.87
1125,847.65
1126,847.48
1127,851.15
1128,851.78
1129,849.04
1130,850.86
1131,853.04
1132,850.84
1133,847.38
1134,852.06
1135,850.53
1136,847.35
1137,850.81
1138,848.39
1139,852.17
1140,849.71
1141,848.61
1142,851.13
1143,847.46
1144,850.46
1145,848.76
1146,846.51
1147,851.02
1148,848.88
1149,853.45
1150,852.94
1151,847.81
1152,851.12
1153,853.5
1154,846.81
1155,848.65
1156,849.94
1157,852.06
1158,851.65
1159,849.08
1160,846.75
1161,848.25
1162,852.78
1163,853.13
1164,848.82
1165,849.5
1166,849.57
1167,852.6
1168,846.9
1169,849.79
1170,849.23
1171,850.47
1172,850.04
1173,852.42
1174,852.63
1175,848.0
1176,847.04
1177,851.72
1178,850.19
1179,853.37
1180,850.51
1181,850.29
1182,852.38
1183,853.32
1184,847.69
1185,846.54
1186,849.37
1187,848.21
1188,851.38
1189,850.44
1190,846.76
1191,853.01
1192,849.15
1193,849.07
1194,851.08
1195,848.04
1196,848.46
1197,848.45
1198,853.49
1199,847.57
1200,849.2
1201,853.29
1202,850.2
1203,850.47
1204,851.74
1205,851.02
1206,847.27
1207,850.01
1208,852.79
1209,852.75
1210,848.66
1211,851.7
1212,851.28
1213,850.51
1214,849.06
1215,847.12
1216,853.11
1217,847.05
1218,846.45
1219,850.2
1220,846.87
1221,852.23
1222,850.11
1223,847.06
1224,852.75
1225,848.24
1226,851.3
1227,852.0
1228,847.62
1229,851.88
1230,852.36
1231,853.55
1232,852.96
1233,849.66
1234,853.58
1235,853.6
1236,849.81
1237,852.89
1238,849.08
1239,850.6
1240,847.06
1241,846.68
1242,851.87
1243,848.33
1244,852.53
1245,851.24
1246,847.51
1247,849.93
1248,851.05
1249,846.88
1250,851.72
1251,848.71
1252,850.41
