Minute | Consumption (W) - SCENARIO: Traditional Lunch Cooking
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 346.99         
362    | 352.87         
363    | 347.02         
364    | 351.31         
365    | 349.84         
366    | 353.47         
367    | 350.32         
368    | 350.20         
369    | 346.80         
370    | 347.58         
371    | 347.06         
372    | 349.27         
373    | 351.68         
374    | 351.74         
375    | 352.30         
376    | 351.06         
377    | 352.86         
378    | 351.20         
379    | 346.86         
380    | 352.74         
381    | 349.05         
382    | 351.66         
383    | 349.27         
384    | 350.77         
385    | 348.56         
386    | 349.82         
387    | 351.17         
388    | 349.95         
389    | 346.52         
390    | 348.58         
391    | 2347.21        
392    | 2348.89        
393    | 2348.49        
394    | 2348.68        
395    | 2353.12        
396    | 351.14         
397    | 347.02         
398    | 349.97         
399    | 349.79         
400    | 351.32         
401    | 352.74         
402    | 353.08         
403    | 350.43         
404    | 352.66         
405    | 352.84         
406    | 350.67         
407    | 351.78         
408    | 351.26         
409    | 353.34         
410    | 350.41         
411    | 351.21         
412    | 351.32         
413    | 347.28         
414    | 347.85         
415    | 347.93         
416    | 346.88         
417    | 352.31         
418    | 347.98         
419    | 348.18         
420    | 352.72         
421    | 751.27         
422    | 747.12         
423    | 751.30         
424    | 751.47         
425    | 751.22         
426    | 751.89         
427    | 751.66         
428    | 750.32         
429    | 746.60         
430    | 747.73         
431    | 753.48         
432    | 750.79         
433    | 750.77         
434    | 749.30         
435    | 747.36         
436    | 747.45         
437    | 748.37         
438    | 749.95         
439    | 747.26         
440    | 747.03         
441    | 751.01         
442    | 751.94         
443    | 750.52         
444    | 746.40         
445    | 746.72         
446    | 749.06         
447    | 748.84         
448    | 752.78         
449    | 751.31         
450    | 753.10         
451    | 747.22         
452    | 746.65         
453    | 752.28         
454    | 748.93         
455    | 750.18         
456    | 752.94         
457    | 748.73         
458    | 750.35         
459    | 750.39         
460    | 750.31         
461    | 748.85         
462    | 746.70         
463    | 751.07         
464    | 753.15         
465    | 752.95         
466    | 748.60         
467    | 747.76         
468    | 749.43         
469    | 748.81         
470    | 753.27         
471    | 748.16         
472    | 748.66         
473    | 749.70         
474    | 747.97         
475    | 746.51         
476    | 747.22         
477    | 750.84         
478    | 751.35         
479    | 747.29         
480    | 749.88         
481    | 2747.97        
482    | 2747.15        
483    | 2752.80        
484    | 2747.08        
485    | 2749.37        
486    | 752.58         
487    | 750.34         
488    | 751.28         
489    | 752.06         
490    | 750.93         
491    | 750.33         
492    | 746.50         
493    | 753.51         
494    | 747.68         
495    | 751.85         
496    | 748.47         
497    | 749.70         
498    | 748.79         
499    | 748.24         
500    | 751.25         
501    | 750.99         
502    | 753.12         
503    | 747.53         
504    | 750.39         
505    | 751.23         
506    | 752.07         
507    | 748.46         
508    | 747.56         
509    | 750.31         
510    | 750.47         
511    | 751.29         
512    | 748.90         
513    | 747.10         
514    | 746.74         
515    | 747.30         
516    | 746.73         
517    | 746.97         
518    | 748.23         
519    | 748.24         
520    | 753.05         
521    | 752.20         
522    | 749.69         
523    | 751.03         
524    | 749.93         
525    | 750.11         
526    | 748.56         
527    | 747.44         
528    | 752.74         
529    | 752.22         
530    | 747.43         
531    | 753.48         
532    | 747.60         
533    | 746.43         
534    | 750.21         
535    | 753.20         
536    | 747.38         
537    | 750.99         
538    | 748.54         
539    | 751.75         
540    | 750.98         
541    | 581.37         
542    | 581.07         
543    | 578.19         
544    | 577.31         
545    | 580.08         
546    | 578.90         
547    | 579.59         
548    | 581.80         
549    | 581.58         
550    | 581.71         
551    | 580.36         
552    | 583.44         
553    | 578.24         
554    | 578.73         
555    | 580.70         
556    | 581.33         
557    | 583.35         
558    | 583.21         
559    | 582.94         
560    | 578.04         
561    | 582.05         
562    | 583.28         
563    | 581.55         
564    | 581.69         
565    | 579.22         
566    | 578.06         
567    | 579.21         
568    | 580.60         
569    | 583.33         
570    | 579.00         
571    | 581.67         
572    | 581.13         
573    | 579.36         
574    | 577.05         
575    | 578.74         
576    | 578.20         
577    | 579.35         
578    | 579.12         
579    | 578.80         
580    | 579.28         
581    | 582.06         
582    | 583.57         
583    | 579.18         
584    | 583.40         
585    | 581.41         
586    | 582.05         
587    | 576.72         
588    | 577.89         
589    | 578.22         
590    | 582.13         
591    | 582.53         
592    | 583.01         
593    | 578.14         
594    | 581.02         
595    | 576.57         
596    | 583.54         
597    | 578.91         
598    | 578.95         
599    | 580.31         
600    | 581.15         
601    | 3079.18        
602    | 3082.10        
603    | 3078.02        
604    | 3082.43        
605    | 3080.97        
606    | 3082.36        
607    | 3078.72        
608    | 3081.17        
609    | 3076.78        
610    | 3079.17        
611    | 3079.52        
612    | 3079.22        
613    | 3078.98        
614    | 3079.06        
615    | 3080.33        
616    | 3082.38        
617    | 3079.61        
618    | 3081.88        
619    | 3083.24        
620    | 3078.00        
621    | 3076.56        
622    | 3078.94        
623    | 3082.46        
624    | 3079.20        
625    | 3077.79        
626    | 3077.64        
627    | 3080.61        
628    | 3077.52        
629    | 3077.02        
630    | 3078.94        
631    | 3081.68        
632    | 3077.87        
633    | 3080.78        
634    | 3081.61        
635    | 3081.16        
636    | 3076.42        
637    | 3076.67        
638    | 3079.29        
639    | 3078.35        
640    | 3077.61        
641    | 3082.33        
642    | 3076.95        
643    | 3083.09        
644    | 3079.17        
645    | 3080.92        
646    | 3083.08        
647    | 3080.18        
648    | 3082.64        
649    | 3080.22        
650    | 3082.58        
651    | 3082.53        
652    | 3077.02        
653    | 3077.33        
654    | 3080.43        
655    | 3080.69        
656    | 3080.86        
657    | 3079.31        
658    | 3076.43        
659    | 3080.03        
660    | 3079.53        
661    | 3082.07        
662    | 3081.70        
663    | 3076.51        
664    | 3076.66        
665    | 3082.87        
666    | 3082.42        
667    | 3082.35        
668    | 3077.39        
669    | 3081.02        
670    | 3079.32        
671    | 3078.15        
672    | 3077.45        
673    | 3082.96        
674    | 3081.29        
675    | 3077.81        
676    | 3080.56        
677    | 3077.32        
678    | 3079.39        
679    | 3079.52        
680    | 3081.29        
681    | 3081.81        
682    | 3077.47        
683    | 3079.44        
684    | 3078.16        
685    | 3077.66        
686    | 3080.55        
687    | 3079.94        
688    | 3082.33        
689    | 3080.74        
690    | 3081.98        
691    | 3079.39        
692    | 3078.08        
693    | 3082.81        
694    | 3081.74        
695    | 3076.41        
696    | 3082.99        
697    | 3081.33        
698    | 3083.20        
699    | 3083.18        
700    | 3078.95        
701    | 3082.06        
702    | 3077.22        
703    | 3083.38        
704    | 3083.39        
705    | 3082.54        
706    | 3077.70        
707    | 3078.92        
708    | 3077.06        
709    | 3083.39        
710    | 3082.82        
711    | 3079.12        
712    | 3080.63        
