Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,351.39
362,351.5
363,351.21
364,349.56
365,348.6
366,347.28
367,352.11
368,348.19
369,353.07
370,352.84
371,349.43
372,349.79
373,349.21
374,349.21
375,346.77
376,349.0
377,350.77
378,352.67
379,351.64
380,352.83
381,346.62
382,346.51
383,348.26
384,349.75
385,352.78
386,352.17
387,346.48
388,353.6
389,352.17
390,352.45
391,2348.61
392,2350.05
393,2347.89
394,2351.7
395,2352.37
396,349.95
397,350.95
398,352.86
399,349.76
400,350.8
401,350.95
402,353.6
403,346.49
404,351.31
405,349.88
406,350.05
407,348.39
408,348.14
409,352.59
410,351.42
411,350.75
412,349.32
413,350.84
414,348.61
415,346.75
416,350.42
417,352.79
418,348.04
419,349.97
420,351.58
421,750.47
422,746.84
423,748.14
424,751.31
425,751.45
426,752.33
427,747.1
428,750.07
429,746.54
430,746.81
431,751.4
432,748.18
433,746.86
434,751.0
435,750.66
436,746.94
437,750.93
438,749.49
439,750.82
440,751.9
441,749.82
442,749.2
443,753.43
444,747.02
445,749.98
446,748.62
447,750.96
448,752.31
449,751.82
450,747.35
451,750.31
452,749.29
453,748.25
454,747.78
455,753.02
456,753.54
457,749.05
458,752.89
459,750.6
460,748.22
461,753.13
462,746.97
463,753.26
464,746.8
465,747.1
466,753.1
467,750.8
468,746.98
469,752.22
470,750.56
471,750.67
472,750.03
473,749.35
474,748.62
475,750.12
476,752.26
477,749.92
478,751.18
479,749.87
480,752.67
481,2747.05
482,2751.29
483,2748.99
484,2751.81
485,2748.22
486,752.73
487,746.69
488,752.68
489,750.4
490,747.29
491,749.41
492,750.9
493,748.34
494,750.75
495,749.57
496,746.69
497,750.57
498,747.04
499,747.13
500,747.76
501,748.73
502,748.1
503,748.21
504,750.6
505,746.48
506,751.86
507,750.33
508,749.25
509,752.22
510,752.31
511,750.89
512,751.82
513,749.94
514,749.61
515,751.5
516,752.57
517,750.64
518,749.64
519,749.24
520,747.98
521,751.18
522,752.75
523,752.96
524,748.14
525,747.4
526,749.19
527,752.63
528,752.88
529,746.47
530,750.47
531,746.98
532,747.94
533,751.28
534,747.41
535,748.15
536,748.73
537,748.97
538,753.05
539,753.17
540,748.86
541,2081.96
542,2083.4
543,2078.42
544,2078.53
545,2081.48
546,2082.98
547,2083.34
548,2078.56
549,2080.17
550,2078.57
551,2079.02
552,2081.44
553,2081.6
554,2081.84
555,2081.59
556,2078.31
557,2080.95
558,2078.81
559,2077.57
560,2078.94
561,2078.98
562,2077.95
563,2076.69
564,2081.15
565,2081.83
566,2077.05
567,2082.2
568,2077.58
569,2082.87
570,2083.4
571,2078.27
572,2077.04
573,2079.01
574,2078.46
575,2076.53
576,2082.67
577,2081.07
578,2080.79
579,2081.1
580,2082.55
581,2076.49
582,2083.17
583,2079.67
584,2081.08
585,2080.44
586,2079.69
587,2081.36
588,2081.49
589,2079.42
590,2081.71
591,2076.76
592,2076.76
593,2082.65
594,2077.62
595,2082.58
596,2080.64
597,2078.33
598,2081.81
599,2080.48
600,2080.69
601,582.37
602,582.33
603,579.24
604,580.78
605,582.31
606,577.24
607,580.28
608,580.94
609,580.67
610,583.16
611,576.96
612,578.46
613,578.89
614,581.68
615,577.73
616,577.85
617,578.89
618,576.49
619,581.43
620,577.55
621,582.4
622,582.1
623,581.98
624,576.53
625,579.05
626,581.35
627,581.57
628,579.48
629,581.1
630,582.94
631,577.84
632,583.26
633,577.13
634,580.57
635,579.38
636,582.41
637,580.89
638,576.45
639,578.01
640,583.11
641,579.66
642,576.62
643,577.02
644,582.92
645,579.57
646,580.91
647,578.66
648,583.27
649,581.78
650,582.09
651,583.45
652,580.19
653,577.33
654,578.15
655,577.74
656,578.65
657,578.53
658,577.43
659,582.33
660,577.31
661,576.49
662,582.51
663,579.88
664,576.75
665,580.29
666,582.85
667,580.19
668,579.12
669,581.34
670,578.68
671,577.16
672,582.84
673,578.0
674,581.68
675,579.45
676,577.11
677,576.91
678,581.59
679,581.21
680,582.73
681,580.0
682,581.5
683,582.82
684,578.98
685,579.05
686,582.53
687,577.36
688,579.5
689,580.37
690,580.29
691,581.38
692,579.75
693,580.18
694,576.44
695,577.57
696,577.69
697,583.57
698,579.04
699,583.35
700,583.49
701,581.39
702,577.82
703,582.28
704,581.72
705,578.55
706,576.58
707,583.15
708,577.39
709,580.51
710,577.19
711,576.71
712,583.15
713,577.24
714,582.21
715,577.33
716,579.93
717,578.21
718,583.17
719,581.44
720,581.79
721,727.9
722,727.17
723,731.4
724,730.85
725,730.44
726,729.56
727,730.04
728,728.6
729,728.35
730,731.08
731,1732.62
732,1732.76
733,1730.48
734,1730.33
735,1727.38
736,1732.6
737,1729.51
738,1732.13
739,1728.14
740,1726.5
741,730.6
742,727.24
743,727.2
744,731.86
745,726.7
746,728.87
747,726.61
748,728.7
749,731.56
750,728.28
751,731.23
752,727.7
753,728.21
754,732.43
755,733.21
756,732.51
757,728.18
758,728.46
759,729.67
760,728.38
761,733.58
762,733.59
763,729.08
764,731.24
765,727.08
766,731.34
767,729.41
768,727.31
769,733.43
770,731.38
771,731.25
772,727.86
773,731.8
774,731.89
775,727.08
776,728.78
777,727.46
778,730.86
779,732.26
780,729.62
781,698.34
782,700.98
783,697.35
784,697.57
785,699.88
786,700.83
787,701.53
788,701.25
789,696.81
790,700.62
791,700.27
792,701.87
793,702.47
794,697.73
795,702.87
796,700.49
797,700.71
798,698.0
799,703.36
800,700.24
801,699.79
802,700.46
803,702.4
804,697.07
805,699.31
806,700.59
807,696.46
808,699.19
809,701.21
810,698.5
811,701.91
812,702.66
813,703.0
814,698.0
815,696.59
816,702.36
817,700.07
818,699.2
819,697.62
820,698.24
821,703.04
822,703.13
823,702.18
824,701.32
825,703.46
826,696.58
827,701.86
828,701.94
829,697.8
830,698.74
831,699.12
832,698.3
833,699.28
834,698.47
835,702.59
836,702.66
837,700.61
838,697.94
839,698.7
840,701.23
841,700.12
842,701.81
843,702.31
844,697.03
845,698.25
846,698.14
847,703.11
848,699.71
849,701.56
850,703.06
851,702.2
852,701.13
853,702.12
854,699.82
855,696.99
856,701.38
857,698.08
858,701.44
859,700.75
860,699.99
861,698.02
862,701.1
863,698.15
864,702.46
865,698.88
866,698.22
867,700.44
868,700.67
869,698.78
870,703.54
871,700.42
872,696.46
873,700.81
874,699.3
875,702.22
876,703.11
877,698.53
878,699.07
879,697.71
880,699.15
881,701.37
882,696.4
883,698.55
884,699.22
885,697.36
886,701.57
887,698.01
888,702.63
889,701.51
890,698.84
891,700.25
892,701.55
893,701.69
894,701.85
895,697.68
896,697.83
897,700.39
898,703.54
899,698.84
900,696.96
901,702.77
902,697.73
903,701.34
904,697.15
905,700.03
906,700.95
907,702.68
908,701.04
909,703.29
910,697.7
911,702.93
912,698.43
913,698.34
914,703.07
915,700.53
916,699.34
917,701.45
918,698.98
919,700.76
920,700.7
921,702.99
922,703.13
923,703.39
924,702.63
925,697.65
926,697.04
927,698.93
928,699.38
929,700.88
930,701.09
931,702.72
932,703.32
933,698.87
934,698.47
935,696.71
936,699.74
937,699.66
938,700.24
939,698.28
940,702.75
941,699.71
942,698.84
943,697.6
944,697.5
945,697.24
946,702.71
947,701.29
948,698.5
949,700.83
950,699.2
951,697.94
952,700.51
953,701.26
954,698.79
955,700.91
956,700.76
957,699.07
958,703.48
959,697.78
960,699.24
961,703.2
962,699.23
963,703.53
964,703.08
965,702.35
966,697.87
967,697.02
968,699.54
969,698.52
970,700.53
971,698.05
972,697.83
973,701.28
974,699.4
975,703.27
976,702.54
977,700.12
978,700.21
979,701.37
980,698.46
981,700.12
982,702.83
983,701.0
984,703.28
985,697.64
986,700.47
987,702.15
988,697.49
989,700.45
990,703.41
991,698.47
992,697.09
993,701.44
994,700.78
995,700.5
996,696.4
997,699.61
998,696.82
999,702.82
1000,700.04
1001,699.76
1002,703.39
1003,698.81
1004,697.78
1005,702.37
1006,702.03
1007,701.96
1008,696.49
1009,699.06
1010,696.67
1011,702.11
1012,697.4
1013,703.49
1014,700.87
1015,697.6
1016,702.16
1017,701.67
1018,701.3
1019,702.32
1020,700.86
1021,849.19
1022,849.33
1023,852.63
1024,851.34
1025,849.85
1026,846.87
1027,851.96
1028,850.85
1029,851.87
1030,850.07
1031,847.39
1032,851.38
1033,852.52
1034,850.23
1035,850.47
1036,847.07
1037,851.47
1038,849.38
1039,851.58
1040,847.69
1041,849.7
1042,846.43
1043,850.73
1044,851.04
1045,848.39
1046,852.53
1047,848.05
1048,848.34
1049,850.17
1050,848.36
1051,849.26
1052,847.35
1053,847.44
1054,853.08
1055,851.15
1056,848.66
1057,853.03
1058,847.66
1059,847.77
1060,851.23
1061,846.57
1062,853.24
1063,850.86
1064,849.12
1065,849.16
1066,853.32
1067,849.57
1068,848.75
1069,848.22
1070,850.52
1071,846.98
1072,847.89
1073,847.99
1074,850.16
1075,849.26
1076,846.58
1077,847.78
1078,852.61
1079,851.61
1080,848.19
1081,853.5
1082,853.22
1083,851.29
1084,850.25
1085,847.48
1086,850.15
1087,852.11
1088,847.9
1089,847.93
1090,846.52
1091,850.07
1092,852.96
1093,853.21
1094,848.86
1095,846.84
1096,848.65
1097,849.43
1098,851.08
1099,852.13
1100,848.51
1101,852.49
1102,852.36
1103,848.75
1104,849.71
1105,849.99
1106,850.52
1107,847.42
1108,847.46
1109,847.77
1110,846.51
1111,850.87
1112,852.05
1113,851.08
1114,849.5
1115,851.18
1116,853.48
1117,846.76
1118,850.15
1119,852.42
1120,852.15
1121,851.88
1122,848.85
1123,853.2
1124,852.01
1125,852.61
1126,849.19
1127,846.58
1128,851.29
1129,850.98
1130,852.38
1131,851.71
1132,851.96
1133,848.3
1134,848.96
1135,852.46
1136,850.91
1137,849.69
1138,851.0
1139,848.06
1140,853.15
1141,970.45
1142,971.53
1143,967.56
1144,968.27
1145,972.57
1146,967.37
1147,973.22
1148,966.9
1149,970.79
1150,970.02
1151,971.45
1152,966.86
1153,969.47
1154,966.61
1155,968.1
1156,967.01
1157,966.91
1158,970.6
1159,973.57
1160,970.25
1161,970.43
1162,968.22
1163,967.74
1164,968.08
1165,973.17
1166,969.85
1167,973.14
1168,970.53
1169,971.68
1170,972.61
1171,973.45
1172,968.98
1173,966.44
1174,972.04
1175,970.18
1176,969.78
1177,972.04
1178,969.57
1179,966.74
1180,967.37
1181,966.49
1182,968.71
1183,966.45
1184,972.64
1185,967.34
1186,971.07
1187,968.63
1188,969.68
1189,969.17
1190,973.48
1191,972.94
1192,971.65
1193,968.38
1194,967.58
1195,968.95
1196,968.45
1197,968.33
1198,967.33
1199,969.98
1200,969.1
1201,967.13
1202,972.93
1203,972.83
1204,966.44
1205,971.65
1206,969.6
1207,967.96
1208,969.62
1209,966.56
1210,968.06
1211,968.86
1212,968.43
1213,970.57
1214,967.02
1215,972.79
1216,972.07
1217,970.97
1218,971.41
1219,967.54
1220,972.64
1221,971.66
1222,970.7
1223,970.56
1224,972.79
1225,971.98
1226,968.62
1227,969.78
1228,966.69
1229,972.15
1230,970.84
1231,968.67
1232,971.3
1233,969.31
1234,967.14
1235,971.97
1236,968.23
1237,968.3
1238,973.43
1239,972.37
1240,972.68
1241,971.04
1242,967.74
1243,966.71
1244,966.92
1245,970.42
1246,969.44
1247,966.47
1248,973.15
1249,970.97
1250,966.43
1251,973.01
1252,970.83
1253,966.88
1254,971.0
1255,971.46
1256,971.98
1257,968.61
1258,968.2
1259,973.2
1260,972.93
1261,567.36
