Minute | Consumption (W) - SCENARIO: Weekly Laundry
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 353.39         
362    | 351.66         
363    | 351.74         
364    | 348.30         
365    | 351.78         
366    | 350.54         
367    | 349.80         
368    | 349.72         
369    | 347.55         
370    | 347.38         
371    | 353.28         
372    | 351.71         
373    | 351.67         
374    | 352.14         
375    | 352.38         
376    | 347.78         
377    | 350.68         
378    | 348.06         
379    | 349.37         
380    | 349.02         
381    | 349.19         
382    | 350.80         
383    | 349.26         
384    | 347.11         
385    | 347.73         
386    | 348.35         
387    | 350.90         
388    | 353.40         
389    | 350.78         
390    | 346.41         
391    | 2347.86        
392    | 2352.10        
393    | 2348.37        
394    | 2353.21        
395    | 2347.47        
396    | 349.97         
397    | 353.05         
398    | 347.19         
399    | 349.27         
400    | 349.00         
401    | 353.43         
402    | 347.45         
403    | 352.13         
404    | 347.51         
405    | 349.36         
406    | 348.25         
407    | 347.94         
408    | 351.55         
409    | 348.48         
410    | 349.84         
411    | 349.10         
412    | 349.32         
413    | 346.56         
414    | 348.53         
415    | 352.71         
416    | 348.44         
417    | 349.63         
418    | 348.66         
419    | 350.93         
420    | 348.09         
421    | 750.93         
422    | 751.67         
423    | 748.44         
424    | 752.33         
425    | 747.79         
426    | 746.70         
427    | 750.47         
428    | 749.90         
429    | 751.38         
430    | 750.70         
431    | 750.29         
432    | 752.29         
433    | 752.04         
434    | 749.44         
435    | 752.75         
436    | 751.36         
437    | 747.85         
438    | 751.72         
439    | 747.79         
440    | 746.96         
441    | 746.57         
442    | 753.02         
443    | 747.35         
444    | 752.18         
445    | 747.21         
446    | 751.16         
447    | 746.52         
448    | 752.50         
449    | 751.69         
450    | 747.14         
451    | 752.18         
452    | 746.92         
453    | 751.22         
454    | 749.81         
455    | 751.02         
456    | 748.08         
457    | 749.09         
458    | 749.19         
459    | 751.34         
460    | 748.84         
461    | 749.89         
462    | 749.12         
463    | 747.73         
464    | 748.25         
465    | 750.99         
466    | 750.62         
467    | 747.76         
468    | 751.55         
469    | 747.85         
470    | 750.71         
471    | 749.03         
472    | 750.95         
473    | 752.68         
474    | 747.72         
475    | 748.14         
476    | 748.00         
477    | 749.58         
478    | 751.85         
479    | 747.48         
480    | 747.19         
481    | 2752.44        
482    | 2747.16        
483    | 2749.99        
484    | 2751.40        
485    | 2751.74        
486    | 747.65         
487    | 749.74         
488    | 748.84         
489    | 752.88         
490    | 748.31         
491    | 752.73         
492    | 750.53         
493    | 750.98         
494    | 746.57         
495    | 752.29         
496    | 749.84         
497    | 746.54         
498    | 750.50         
499    | 748.22         
500    | 752.78         
501    | 748.85         
502    | 751.21         
503    | 747.64         
504    | 751.13         
505    | 752.32         
506    | 746.78         
507    | 746.53         
508    | 750.77         
509    | 749.61         
510    | 746.42         
511    | 750.40         
512    | 749.86         
513    | 747.15         
514    | 748.24         
515    | 750.67         
516    | 752.96         
517    | 747.46         
518    | 752.27         
519    | 747.08         
520    | 750.59         
521    | 750.70         
522    | 752.79         
523    | 752.73         
524    | 751.05         
525    | 748.06         
526    | 751.87         
527    | 748.96         
528    | 751.15         
529    | 748.24         
530    | 747.37         
531    | 746.53         
532    | 748.74         
533    | 747.49         
534    | 749.77         
535    | 748.09         
536    | 753.34         
537    | 750.90         
538    | 748.38         
539    | 751.50         
540    | 747.44         
541    | 2079.15        
542    | 2082.15        
543    | 2079.96        
544    | 2081.11        
545    | 2082.12        
546    | 2076.80        
547    | 2081.13        
548    | 2078.34        
549    | 2076.60        
550    | 2078.76        
551    | 2076.69        
552    | 2083.58        
553    | 2081.94        
554    | 2082.76        
555    | 2078.53        
556    | 2080.78        
557    | 2081.03        
558    | 2080.21        
559    | 2076.58        
560    | 2078.39        
561    | 2076.76        
562    | 2079.86        
563    | 2079.92        
564    | 2079.07        
565    | 2077.24        
566    | 2079.60        
567    | 2078.63        
568    | 2077.80        
569    | 2083.58        
570    | 2081.43        
571    | 2081.01        
572    | 2081.40        
573    | 2079.90        
574    | 2077.21        
575    | 2076.54        
576    | 2082.12        
577    | 2079.21        
578    | 2077.59        
579    | 2078.29        
580    | 2080.57        
581    | 2077.97        
582    | 2083.36        
583    | 2079.33        
584    | 2081.92        
585    | 2081.09        
586    | 2082.44        
587    | 2078.20        
588    | 2076.55        
589    | 2082.68        
590    | 2080.59        
591    | 2080.41        
592    | 2082.91        
593    | 2082.67        
594    | 2081.42        
595    | 2083.44        
596    | 2077.95        
597    | 2079.99        
598    | 2078.42        
599    | 2082.80        
600    | 2079.05        
601    | 582.18         
602    | 580.33         
603    | 583.44         
604    | 582.64         
605    | 577.58         
606    | 579.90         
607    | 580.88         
608    | 578.72         
609    | 581.48         
610    | 582.21         
611    | 579.84         
612    | 581.63         
613    | 581.55         
614    | 577.80         
615    | 580.64         
616    | 580.39         
617    | 582.66         
618    | 581.45         
619    | 577.03         
620    | 581.60         
621    | 580.99         
622    | 583.28         
623    | 582.35         
624    | 581.27         
625    | 576.97         
626    | 580.36         
627    | 580.68         
628    | 582.11         
629    | 582.81         
630    | 581.44         
631    | 576.46         
632    | 582.75         
633    | 577.26         
634    | 582.13         
635    | 577.73         
636    | 583.45         
637    | 578.13         
638    | 581.56         
639    | 576.74         
640    | 580.80         
641    | 578.36         
642    | 581.99         
643    | 583.18         
644    | 576.50         
645    | 577.48         
646    | 581.84         
647    | 581.79         
648    | 581.02         
649    | 579.50         
650    | 580.69         
651    | 579.59         
652    | 578.00         
653    | 578.37         
654    | 577.99         
655    | 580.98         
656    | 576.79         
657    | 582.97         
658    | 582.92         
659    | 580.34         
660    | 582.04         
661    | 583.41         
662    | 582.58         
663    | 583.51         
664    | 577.14         
665    | 577.39         
666    | 578.14         
667    | 579.85         
668    | 577.68         
669    | 579.44         
670    | 580.24         
671    | 582.92         
672    | 578.08         
673    | 578.09         
674    | 577.59         
675    | 581.20         
676    | 578.72         
677    | 578.31         
678    | 579.23         
679    | 583.26         
680    | 577.33         
681    | 578.95         
682    | 579.02         
683    | 578.26         
684    | 581.35         
685    | 578.24         
686    | 582.55         
687    | 578.02         
688    | 578.28         
689    | 581.25         
690    | 580.02         
691    | 580.01         
692    | 579.15         
693    | 577.58         
694    | 579.76         
695    | 580.39         
696    | 580.52         
697    | 576.66         
698    | 583.56         
699    | 583.45         
700    | 576.83         
701    | 578.31         
702    | 580.25         
703    | 582.50         
704    | 581.55         
705    | 580.71         
706    | 581.89         
707    | 580.35         
708    | 578.52         
709    | 577.19         
710    | 582.15         
711    | 582.51         
712    | 579.06         
713    | 576.62         
714    | 578.91         
715    | 578.90         
716    | 579.06         
717    | 577.19         
718    | 578.79         
