Minute,Consumption (W)
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
48,210
49,210
50,210
51,210
52,210
53,210
54,210
55,210
56,210
57,210
58,210
59,210
60,210
61,210
62,210
63,210
64,210
65,210
66,210
67,210
68,210
69,210
70,210
71,210
72,210
73,210
74,210
75,210
76,210
77,210
78,210
79,210
80,210
81,210
82,210
83,210
84,210
85,210
86,210
87,210
88,210
89,210
90,210
91,210
92,210
93,210
94,210
95,210
96,210
97,210
98,210
99,210
100,210
101,210
102,210
103,210
104,210
105,210
106,210
107,210
108,210
109,210
110,210
111,210
112,210
113,210
114,210
115,210
116,210
117,210
118,210
119,210
120,210
121,210
122,210
123,210
124,210
125,210
126,210
127,210
128,210
129,210
130,210
131,210
132,210
133,210
134,210
135,210
136,210
137,210
138,210
139,210
140,210
141,210
142,210
143,210
144,210
145,210
146,210
147,210
148,210
149,210
150,210
151,210
152,210
153,210
154,210
155,210
156,210
157,210
158,210
159,210
160,210
161,210
162,210
163,210
164,210
165,210
166,210
167,210
168,210
169,210
170,210
171,210
172,210
173,210
174,210
175,210
176,210
177,210
178,210
179,210
180,210
181,210
182,210
183,210
184,210
185,210
186,210
187,210
188,210
189,210
190,210
191,210
192,210
193,210
194,210
195,210
196,210
197,210
198,210
199,210
200,210
201,210
202,210
203,210
204,210
205,210
206,210
207,210
208,210
209,210
210,210
211,210
212,210
213,210
214,210
215,210
216,210
217,210
218,210
219,210
220,210
221,210
222,210
223,210
224,210
225,210
226,210
227,210
228,210
229,210
230,210
231,210
232,210
233,210
234,210
235,210
236,210
237,210
238,210
239,210
240,210
241,210
242,210
243,210
244,210
245,210
246,210
247,210
248,210
249,210
250,210
251,210
252,210
253,210
254,210
255,210
256,210
257,210
258,210
259,210
260,210
261,210
262,210
263,210
264,210
265,210
266,210
267,210
268,210
269,210
270,210
271,210
272,210
273,210
274,210
275,210
276,210
277,210
278,210
279,210
280,210
281,210
282,210
283,210
284,210
285,210
286,210
287,210
288,210
289,210
290,210
291,210
292,210
293,210
294,210
295,210
296,210
297,210
298,210
299,210
300,210
301,210
302,210
303,210
304,210
305,210
306,210
307,210
308,210
309,210
310,210
311,210
312,210
313,210
314,210
315,210
316,210
317,210
318,210
319,210
320,210
321,210
322,210
323,210
324,210
325,210
326,210
327,210
328,210
329,210
330,210
331,210
332,210
333,210
334,210
335,210
336,210
337,210
338,210
339,210
340,210
341,210
342,210
343,210
344,210
345,210
346,210
347,210
348,210
349,210
350,210
351,210
352,210
353,210
354,210
355,210
356,210
357,210
358,210
359,210
360,210
361,2347.97
362,351.94
363,351.52
364,351.89
365,352.89
366,349.96
367,350.15
368,353.16
369,349.05
370,346.49
371,350.2
372,352.66
373,347.49
374,353.44
375,346.89
376,349.96
377,347.24
378,351.16
379,350.23
380,352.29
381,353.2
382,347.03
383,349.06
384,348.43
385,350.91
386,353.41
387,349.9
388,350.6
389,348.01
390,347.09
391,2351.12
392,2348.56
393,2352.88
394,2348.62
395,2351.04
396,352.0
397,353.02
398,352.25
399,351.53
400,350.85
401,352.75
402,350.66
403,351.9
404,348.29
405,351.6
406,348.32
407,346.62
408,353.21
409,351.01
410,348.32
411,348.52
412,347.9
413,347.47
414,353.06
415,350.53
416,346.62
417,348.22
418,347.21
419,348.48
420,349.25
421,3151.82
422,1150.5
423,1151.99
424,1147.13
425,1153.47
426,1150.3
427,1153.17
428,1151.76
429,1147.82
430,1146.48
431,1149.37
432,1153.21
433,1147.62
434,1147.26
435,1148.3
436,1149.27
437,1147.85
438,1152.57
439,1147.13
440,1151.48
441,1147.55
442,1150.24
443,1150.81
444,1153.06
445,1148.5
446,1149.09
447,1147.52
448,1152.02
449,1153.09
450,1151.56
451,1152.51
452,1147.76
453,1150.9
454,1152.92
455,1148.1
456,1149.51
457,1148.05
458,1148.5
459,1150.94
460,1148.86
461,1149.57
462,1148.2
463,1152.64
464,1151.46
465,1149.44
466,1149.52
467,1151.7
468,1148.49
469,1150.87
470,1152.58
471,1149.58
472,1147.99
473,1153.33
474,1150.58
475,1148.65
476,1149.18
477,1150.11
478,1150.74
479,1148.89
480,1149.71
481,5147.48
482,3147.25
483,3148.25
484,3152.72
485,3150.9
486,1150.65
487,1150.72
488,1151.33
489,1151.72
490,1152.34
491,1148.32
492,1149.01
493,1149.46
494,1150.81
495,1151.93
496,1149.85
497,1150.19
498,1147.34
499,1151.29
500,1151.5
501,1148.98
502,1147.69
503,1152.51
504,1152.44
505,1153.08
506,1152.78
507,1151.66
508,1148.47
509,1153.35
510,1151.31
511,1146.89
512,1146.56
513,1147.99
514,1151.39
515,1150.62
516,1152.16
517,1149.76
518,1150.55
519,1147.31
520,1149.94
521,1153.47
522,1149.71
523,1148.22
524,1152.7
525,1150.7
526,1150.02
527,1146.54
528,1152.75
529,1153.34
530,1152.38
531,1149.13
532,1149.85
533,1151.71
534,1148.94
535,1147.07
536,1152.48
537,1148.56
538,1150.3
539,1150.17
540,1148.27
541,2983.11
542,981.4
543,979.87
544,978.64
545,978.71
546,980.42
547,978.46
548,978.53
549,982.74
550,977.51
551,983.14
552,977.06
553,976.74
554,982.64
555,978.18
556,982.46
557,981.62
558,980.95
559,977.51
560,977.32
561,976.79
562,977.25
563,983.29
564,977.44
565,983.44
566,982.12
567,980.42
568,976.46
569,980.55
570,982.17
571,976.79
572,977.26
573,982.48
574,982.79
575,979.68
576,978.5
577,980.56
578,979.03
579,978.71
580,978.55
581,978.99
582,980.82
583,980.93
584,981.9
585,981.26
586,981.25
587,981.01
588,978.73
589,980.59
590,981.32
591,978.06
592,981.96
593,979.54
594,978.42
595,982.99
596,980.08
597,980.31
598,981.51
599,981.73
600,977.96
601,2982.18
602,981.63
603,982.14
604,977.23
605,983.05
606,981.34
607,978.2
608,979.7
609,978.47
610,981.16
611,979.93
612,979.49
613,977.61
614,981.31
615,979.47
616,977.26
617,980.43
618,978.19
619,976.87
620,982.93
621,977.41
622,981.86
623,981.29
624,982.24
625,978.93
626,980.91
627,978.92
628,981.07
629,976.58
630,980.57
631,980.96
632,976.98
633,981.7
634,981.35
635,980.78
636,981.18
637,978.91
638,978.94
639,981.68
640,977.17
641,980.08
642,981.53
643,977.97
644,978.59
645,983.07
646,981.87
647,978.13
648,979.8
649,978.16
650,978.56
651,981.05
652,980.45
653,983.35
654,983.51
655,981.79
656,981.43
657,981.89
658,977.71
659,981.1
660,979.54
661,2980.28
662,978.61
663,976.87
664,983.32
665,976.82
666,979.13
667,982.09
668,983.27
669,978.82
670,979.62
671,982.55
672,981.51
673,976.45
674,983.34
675,977.03
676,979.99
677,977.93
678,982.09
679,976.99
680,983.3
681,981.44
682,982.62
683,976.69
684,981.88
685,977.87
686,981.3
687,979.49
688,982.03
689,981.77
690,979.89
691,981.18
692,982.73
693,977.91
694,979.59
695,982.76
696,982.41
697,980.86
698,980.22
699,978.55
700,978.42
701,976.83
702,978.93
703,977.32
704,977.25
705,981.83
706,980.1
707,977.83
708,980.05
709,978.13
710,980.72
711,977.43
712,977.13
713,979.65
714,978.11
715,977.45
716,981.55
717,980.79
718,980.44
719,982.76
720,980.16
721,3132.69
722,1129.7
723,1132.08
724,1133.43
725,1131.41
726,1129.5
727,1131.0
728,1127.39
729,1126.54
730,1127.48
731,2131.84
732,2126.6
733,2127.13
734,2128.9
735,2127.15
736,2127.28
737,2132.48
738,2130.92
739,2131.73
740,2126.83
741,1129.24
742,1126.43
743,1130.8
744,1130.44
745,1130.48
746,1127.16
747,1131.48
748,1133.52
749,1127.37
750,1132.57
751,1130.87
752,1128.48
753,1126.94
754,1130.41
755,1133.58
756,1131.09
757,1130.65
758,1133.22
759,1129.2
760,1127.25
761,1130.67
762,1130.46
763,1132.72
764,1131.04
765,1128.11
766,1129.1
767,1132.47
768,1130.42
769,1129.91
770,1132.66
771,1131.83
772,1129.27
773,1130.49
774,1127.77
775,1130.28
776,1129.58
777,1128.99
778,1132.35
779,1132.09
780,1131.46
781,3102.4
782,1097.59
783,1101.24
784,1097.79
785,1097.66
786,1099.03
787,1096.7
788,1101.16
789,1096.92
790,1100.45
791,1103.4
792,1101.5
793,1101.8
794,1100.63
795,1096.69
796,1098.41
797,1099.11
798,1096.49
799,1097.3
800,1096.86
801,1103.09
802,1102.17
803,1098.56
804,1102.66
805,1099.14
806,1096.68
807,1101.4
808,1097.6
809,1097.5
810,1103.38
811,1098.52
812,1101.23
813,1101.8
814,1101.2
815,1097.23
816,1097.31
817,1103.28
818,1101.53
819,1102.21
820,1099.38
821,1102.16
822,1102.65
823,1098.64
824,1102.59
825,1101.66
826,1100.28
827,1102.51
828,1101.61
829,1099.77
830,1097.93
831,1096.44
832,1102.72
833,1100.87
834,1098.21
835,1100.1
836,1099.1
837,1096.46
838,1098.12
839,1102.03
840,1101.65
841,3101.85
842,1098.29
843,1100.55
844,1102.84
845,1101.5
846,1098.45
847,1099.95
848,1097.25
849,1098.08
850,1097.46
851,1098.54
852,1102.12
853,1098.09
854,1102.94
855,1097.56
856,1100.27
857,1102.01
858,1099.44
859,1100.57
860,1102.12
861,1098.63
862,1098.89
863,1101.21
864,1098.2
865,1102.93
866,1103.22
867,1100.25
868,1100.3
869,1103.33
870,1102.13
871,1097.28
872,1099.63
873,1101.57
874,1102.84
875,1103.58
876,1100.71
877,1102.31
878,1102.66
879,1097.96
880,1101.34
881,1096.66
882,1102.28
883,1102.82
884,1097.21
885,1101.6
886,1102.59
887,1097.87
888,1098.41
889,1101.21
890,1100.0
891,1098.61
892,1099.43
893,1101.81
894,1099.14
895,1097.79
896,1101.05
897,1097.88
898,1103.51
899,1103.45
900,1100.57
901,3096.74
902,1096.88
903,1103.54
904,1101.41
905,1099.79
906,1099.07
907,1101.42
908,1097.95
909,1101.66
910,1099.37
911,1103.0
912,1096.75
913,1101.31
914,1098.81
915,1097.83
916,1097.89
917,1097.73
918,1096.51
919,1098.48
920,1102.52
921,1098.16
922,1097.34
923,1099.67
924,1100.83
925,1103.35
926,1102.41
927,1100.17
928,1096.78
929,1096.55
930,1099.66
931,1103.27
932,1099.63
933,1102.04
934,1101.72
935,1103.56
936,1099.99
937,1102.52
938,1097.6
939,1099.79
940,1101.83
941,1100.91
942,1101.48
943,1100.05
944,1102.38
945,1096.8
946,1097.3
947,1102.43
948,1102.29
949,1098.32
950,1102.58
951,1100.69
952,1097.08
953,1098.52
954,1097.13
955,1103.3
956,1102.44
957,1103.59
958,1099.95
959,1098.1
960,1099.93
961,3098.05
962,1103.3
963,1098.52
964,1102.3
965,1102.24
966,1102.17
967,1097.86
968,1096.81
969,1096.72
970,1096.99
971,1099.9
972,1103.36
973,1096.45
974,1102.42
975,1102.96
976,1102.11
977,1100.93
978,1096.77
979,1098.32
980,1097.23
981,1102.58
982,1099.23
983,1097.84
984,1099.91
985,1097.69
986,1100.5
987,1101.32
988,1102.12
989,1100.07
990,1097.99
991,1097.19
992,1098.09
993,1098.57
994,1101.18
995,1099.5
996,1097.99
997,1099.14
998,1099.47
999,1102.52
1000,1100.81
1001,1098.12
1002,1102.96
1003,1100.24
1004,1098.28
1005,1098.72
1006,1097.05
1007,1103.0
1008,1100.7
1009,1101.03
1010,1103.49
1011,1098.96
1012,1099.41
1013,1097.3
1014,1102.98
1015,1102.01
1016,1099.64
1017,1100.95
1018,1098.76
1019,1102.67
1020,1098.04
1021,3246.93
1022,1253.08
1023,1248.07
1024,1249.23
1025,1251.42
1026,1249.33
1027,1250.5
1028,1247.04
1029,1249.38
1030,1253.47
1031,1246.48
1032,1249.65
1033,1253.41
1034,1248.36
1035,1250.66
1036,1247.32
1037,1248.12
1038,1248.77
1039,1251.38
1040,1252.36
1041,1246.66
1042,1253.29
1043,1248.76
1044,1249.78
1045,1248.62
1046,1252.25
1047,1247.89
1048,1248.27
1049,1249.86
1050,1251.58
1051,1248.82
1052,1247.32
1053,1250.36
1054,1252.88
1055,1252.75
1056,1246.93
1057,1248.2
1058,1250.48
1059,1250.03
1060,1251.82
1061,1253.42
1062,1246.63
1063,1253.58
1064,1247.93
1065,1247.55
1066,1253.3
1067,1247.91
1068,1253.26
1069,1252.27
1070,1252.47
1071,1247.62
1072,1250.63
1073,1246.86
1074,1251.96
1075,1247.15
1076,1247.31
1077,1252.19
1078,1249.7
1079,1250.56
1080,1251.35
1081,3247.96
1082,1247.19
1083,1252.36
1084,1249.57
1085,1252.05
1086,1249.8
1087,1248.21
1088,1252.22
1089,1248.0
1090,1252.94
1091,1249.68
1092,1252.38
1093,1246.4
1094,1249.25
1095,1249.33
1096,1250.53
1097,1246.73
1098,1251.25
1099,1250.41
1100,1252.18
1101,1250.06
1102,1252.31
1103,1251.84
1104,1253.05
1105,1251.86
1106,1250.06
1107,1252.1
1108,1250.76
1109,1248.23
1110,1250.46
1111,1247.25
1112,1248.4
1113,1251.34
1114,1252.08
1115,1250.05
1116,1250.73
1117,1251.07
1118,1246.66
1119,1250.14
1120,1247.55
1121,1251.66
1122,1249.49
1123,1249.46
1124,1248.03
1125,1250.7
1126,1250.33
1127,1249.16
1128,1247.93
1129,1249.67
1130,1246.73
1131,1251.1
1132,1246.48
1133,1252.36
1134,1246.54
1135,1252.98
1136,1247.76
1137,1252.41
1138,1251.01
1139,1248.07
1140,1247.44
1141,3252.02
1142,1247.9
1143,1249.04
1144,1247.72
1145,1253.15
1146,1249.19
1147,1247.61
1148,1250.16
1149,1253.52
1150,1250.09
1151,1250.15
1152,1250.84
1153,1250.01
1154,1249.61
1155,1246.54
1156,1251.73
1157,1249.24
1158,1252.08
1159,1251.64
1160,1250.67
1161,1253.01
1162,1251.76
1163,1246.97
1164,1253.15
1165,1247.28
1166,1249.25
1167,1249.45
1168,1246.7
1169,1247.66
1170,1248.78
1171,1251.09
1172,1246.44
1173,1252.87
1174,1248.66
1175,1247.08
1176,1247.88
1177,1252.24
1178,1247.52
1179,1250.64
1180,1250.03
1181,1252.98
1182,1253.59
1183,1249.41
1184,1249.23
1185,1246.7
1186,1251.47
1187,1250.74
