Minute | Consumption (W) - SCENARIO: Winter Tea Day
---------------------------------------------
1      | 210.00         
2      | 210.00         
3      | 210.00         
4      | 210.00         
5      | 210.00         
6      | 210.00         
7      | 210.00         
8      | 210.00         
9      | 210.00         
10     | 210.00         
11     | 210.00         
12     | 210.00         
13     | 210.00         
14     | 210.00         
15     | 210.00         
16     | 210.00         
17     | 210.00         
18     | 210.00         
19     | 210.00         
20     | 210.00         
21     | 210.00         
22     | 210.00         
23     | 210.00         
24     | 210.00         
25     | 210.00         
26     | 210.00         
27     | 210.00         
28     | 210.00         
29     | 210.00         
30     | 210.00         
31     | 210.00         
32     | 210.00         
33     | 210.00         
34     | 210.00         
35     | 210.00         
36     | 210.00         
37     | 210.00         
38     | 210.00         
39     | 210.00         
40     | 210.00         
41     | 210.00         
42     | 210.00         
43     | 210.00         
44     | 210.00         
45     | 210.00         
46     | 210.00         
47     | 210.00         
48     | 210.00         
49     | 210.00         
50     | 210.00         
51     | 210.00         
52     | 210.00         
53     | 210.00         
54     | 210.00         
55     | 210.00         
56     | 210.00         
57     | 210.00         
58     | 210.00         
59     | 210.00         
60     | 210.00         
61     | 210.00         
62     | 210.00         
63     | 210.00         
64     | 210.00         
65     | 210.00         
66     | 210.00         
67     | 210.00         
68     | 210.00         
69     | 210.00         
70     | 210.00         
71     | 210.00         
72     | 210.00         
73     | 210.00         
74     | 210.00         
75     | 210.00         
76     | 210.00         
77     | 210.00         
78     | 210.00         
79     | 210.00         
80     | 210.00         
81     | 210.00         
82     | 210.00         
83     | 210.00         
84     | 210.00         
85     | 210.00         
86     | 210.00         
87     | 210.00         
88     | 210.00         
89     | 210.00         
90     | 210.00         
91     | 210.00         
92     | 210.00         
93     | 210.00         
94     | 210.00         
95     | 210.00         
96     | 210.00         
97     | 210.00         
98     | 210.00         
99     | 210.00         
100    | 210.00         
101    | 210.00         
102    | 210.00         
103    | 210.00         
104    | 210.00         
105    | 210.00         
106    | 210.00         
107    | 210.00         
108    | 210.00         
109    | 210.00         
110    | 210.00         
111    | 210.00         
112    | 210.00         
113    | 210.00         
114    | 210.00         
115    | 210.00         
116    | 210.00         
117    | 210.00         
118    | 210.00         
119    | 210.00         
120    | 210.00         
121    | 210.00         
122    | 210.00         
123    | 210.00         
124    | 210.00         
125    | 210.00         
126    | 210.00         
127    | 210.00         
128    | 210.00         
129    | 210.00         
130    | 210.00         
131    | 210.00         
132    | 210.00         
133    | 210.00         
134    | 210.00         
135    | 210.00         
136    | 210.00         
137    | 210.00         
138    | 210.00         
139    | 210.00         
140    | 210.00         
141    | 210.00         
142    | 210.00         
143    | 210.00         
144    | 210.00         
145    | 210.00         
146    | 210.00         
147    | 210.00         
148    | 210.00         
149    | 210.00         
150    | 210.00         
151    | 210.00         
152    | 210.00         
153    | 210.00         
154    | 210.00         
155    | 210.00         
156    | 210.00         
157    | 210.00         
158    | 210.00         
159    | 210.00         
160    | 210.00         
161    | 210.00         
162    | 210.00         
163    | 210.00         
164    | 210.00         
165    | 210.00         
166    | 210.00         
167    | 210.00         
168    | 210.00         
169    | 210.00         
170    | 210.00         
171    | 210.00         
172    | 210.00         
173    | 210.00         
174    | 210.00         
175    | 210.00         
176    | 210.00         
177    | 210.00         
178    | 210.00         
179    | 210.00         
180    | 210.00         
181    | 210.00         
182    | 210.00         
183    | 210.00         
184    | 210.00         
185    | 210.00         
186    | 210.00         
187    | 210.00         
188    | 210.00         
189    | 210.00         
190    | 210.00         
191    | 210.00         
192    | 210.00         
193    | 210.00         
194    | 210.00         
195    | 210.00         
196    | 210.00         
197    | 210.00         
198    | 210.00         
199    | 210.00         
200    | 210.00         
201    | 210.00         
202    | 210.00         
203    | 210.00         
204    | 210.00         
205    | 210.00         
206    | 210.00         
207    | 210.00         
208    | 210.00         
209    | 210.00         
210    | 210.00         
211    | 210.00         
212    | 210.00         
213    | 210.00         
214    | 210.00         
215    | 210.00         
216    | 210.00         
217    | 210.00         
218    | 210.00         
219    | 210.00         
220    | 210.00         
221    | 210.00         
222    | 210.00         
223    | 210.00         
224    | 210.00         
225    | 210.00         
226    | 210.00         
227    | 210.00         
228    | 210.00         
229    | 210.00         
230    | 210.00         
231    | 210.00         
232    | 210.00         
233    | 210.00         
234    | 210.00         
235    | 210.00         
236    | 210.00         
237    | 210.00         
238    | 210.00         
239    | 210.00         
240    | 210.00         
241    | 210.00         
242    | 210.00         
243    | 210.00         
244    | 210.00         
245    | 210.00         
246    | 210.00         
247    | 210.00         
248    | 210.00         
249    | 210.00         
250    | 210.00         
251    | 210.00         
252    | 210.00         
253    | 210.00         
254    | 210.00         
255    | 210.00         
256    | 210.00         
257    | 210.00         
258    | 210.00         
259    | 210.00         
260    | 210.00         
261    | 210.00         
262    | 210.00         
263    | 210.00         
264    | 210.00         
265    | 210.00         
266    | 210.00         
267    | 210.00         
268    | 210.00         
269    | 210.00         
270    | 210.00         
271    | 210.00         
272    | 210.00         
273    | 210.00         
274    | 210.00         
275    | 210.00         
276    | 210.00         
277    | 210.00         
278    | 210.00         
279    | 210.00         
280    | 210.00         
281    | 210.00         
282    | 210.00         
283    | 210.00         
284    | 210.00         
285    | 210.00         
286    | 210.00         
287    | 210.00         
288    | 210.00         
289    | 210.00         
290    | 210.00         
291    | 210.00         
292    | 210.00         
293    | 210.00         
294    | 210.00         
295    | 210.00         
296    | 210.00         
297    | 210.00         
298    | 210.00         
299    | 210.00         
300    | 210.00         
301    | 210.00         
302    | 210.00         
303    | 210.00         
304    | 210.00         
305    | 210.00         
306    | 210.00         
307    | 210.00         
308    | 210.00         
309    | 210.00         
310    | 210.00         
311    | 210.00         
312    | 210.00         
313    | 210.00         
314    | 210.00         
315    | 210.00         
316    | 210.00         
317    | 210.00         
318    | 210.00         
319    | 210.00         
320    | 210.00         
321    | 210.00         
322    | 210.00         
323    | 210.00         
324    | 210.00         
325    | 210.00         
326    | 210.00         
327    | 210.00         
328    | 210.00         
329    | 210.00         
330    | 210.00         
331    | 210.00         
332    | 210.00         
333    | 210.00         
334    | 210.00         
335    | 210.00         
336    | 210.00         
337    | 210.00         
338    | 210.00         
339    | 210.00         
340    | 210.00         
341    | 210.00         
342    | 210.00         
343    | 210.00         
344    | 210.00         
345    | 210.00         
346    | 210.00         
347    | 210.00         
348    | 210.00         
349    | 210.00         
350    | 210.00         
351    | 210.00         
352    | 210.00         
353    | 210.00         
354    | 210.00         
355    | 210.00         
356    | 210.00         
357    | 210.00         
358    | 210.00         
359    | 210.00         
360    | 210.00         
361    | 2346.87        
362    | 347.75         
363    | 348.50         
364    | 352.23         
365    | 349.70         
366    | 351.29         
367    | 347.42         
368    | 350.19         
369    | 347.73         
370    | 346.43         
371    | 348.19         
372    | 346.70         
373    | 353.00         
374    | 347.33         
375    | 346.96         
376    | 347.89         
377    | 351.82         
378    | 351.42         
379    | 349.20         
380    | 352.82         
381    | 349.77         
382    | 348.80         
383    | 348.82         
384    | 350.16         
385    | 348.89         
386    | 351.23         
387    | 350.85         
388    | 347.42         
389    | 350.02         
390    | 351.40         
391    | 2351.16        
392    | 2349.22        
393    | 2347.89        
394    | 2346.57        
395    | 2350.97        
396    | 350.90         
397    | 352.71         
398    | 347.98         
399    | 347.90         
400    | 346.93         
401    | 349.01         
402    | 349.59         
403    | 351.32         
404    | 351.32         
405    | 346.90         
406    | 353.23         
407    | 348.47         
408    | 350.90         
409    | 346.63         
410    | 351.85         
411    | 348.14         
412    | 352.52         
413    | 347.63         
414    | 353.08         
415    | 346.71         
416    | 352.79         
417    | 350.09         
418    | 353.57         
419    | 351.25         
420    | 346.63         
421    | 3147.93        
422    | 1148.90        
423    | 1153.08        
424    | 1147.06        
425    | 1149.04        
426    | 1152.72        
427    | 1150.97        
428    | 1152.33        
429    | 1152.38        
430    | 1151.64        
431    | 1149.22        
432    | 1147.93        
433    | 1149.07        
434    | 1152.13        
435    | 1147.25        
436    | 1147.89        
437    | 1151.20        
438    | 1151.36        
439    | 1152.92        
440    | 1152.08        
441    | 1150.24        
442    | 1150.24        
443    | 1153.37        
444    | 1152.95        
445    | 1153.10        
446    | 1147.07        
447    | 1152.32        
448    | 1153.59        
449    | 1150.23        
450    | 1148.10        
451    | 1150.83        
452    | 1149.77        
453    | 1146.63        
454    | 1152.42        
455    | 1148.82        
456    | 1150.55        
457    | 1148.28        
458    | 1151.48        
459    | 1147.91        
460    | 1153.27        
461    | 1147.28        
462    | 1149.14        
463    | 1151.78        
464    | 1148.40        
465    | 1148.30        
466    | 1146.49        
467    | 1152.38        
468    | 1152.16        
469    | 1147.52        
470    | 1148.75        
471    | 1151.75        
472    | 1146.76        
473    | 1152.37        
474    | 1152.34        
475    | 1149.56        
476    | 1146.47        
477    | 1146.87        
478    | 1151.11        
479    | 1152.97        
480    | 1147.56        
481    | 5151.96        
482    | 3147.24        
483    | 3146.63        
484    | 3149.84        
485    | 3150.52        
486    | 1147.94        
487    | 1149.51        
488    | 1148.56        
489    | 1147.07        
490    | 1150.56        
491    | 1150.93        
492    | 1147.13        
493    | 1147.91        
494    | 1152.41        
495    | 1149.59        
496    | 1147.61        
497    | 1146.99        
498    | 1148.81        
499    | 1149.12        
500    | 1152.71        
501    | 1149.82        
502    | 1153.41        
503    | 1148.19        
504    | 1146.70        
505    | 1150.43        
506    | 1146.68        
507    | 1147.71        
508    | 1147.65        
509    | 1150.53        
510    | 1151.02        
511    | 1149.79        
512    | 1152.63        
513    | 1151.73        
514    | 1153.38        
515    | 1150.10        
516    | 1153.41        
517    | 1153.43        
518    | 1151.98        
519    | 1150.51        
520    | 1147.03        
521    | 1149.65        
522    | 1153.17        
523    | 1149.30        
524    | 1152.20        
525    | 1152.00        
526    | 1153.41        
527    | 1153.02        
528    | 1151.22        
529    | 1147.51        
530    | 1153.29        
531    | 1149.24        
532    | 1146.65        
533    | 1147.72        
534    | 1146.41        
535    | 1148.28        
536    | 1150.95        
537    | 1149.31        
538    | 1153.56        
539    | 1149.76        
540    | 1150.75        
541    | 2977.49        
542    | 982.10         
543    | 980.46         
544    | 982.87         
545    | 979.17         
546    | 980.99         
547    | 980.67         
548    | 978.31         
549    | 981.95         
550    | 982.79         
551    | 983.49         
552    | 977.16         
553    | 978.58         
554    | 982.01         
555    | 982.80         
556    | 981.32         
557    | 978.50         
558    | 980.30         
559    | 980.57         
560    | 981.56         
561    | 980.09         
562    | 977.52         
563    | 980.40         
564    | 980.43         
565    | 977.24         
566    | 978.82         
567    | 982.36         
568    | 976.52         
569    | 982.73         
570    | 981.00         
571    | 982.14         
572    | 976.52         
573    | 979.89         
574    | 978.31         
575    | 982.01         
576    | 979.28         
577    | 983.03         
578    | 981.58         
579    | 981.65         
580    | 981.29         
581    | 976.78         
582    | 983.20         
583    | 979.20         
584    | 977.47         
585    | 982.64         
586    | 979.29         
587    | 980.67         
588    | 979.65         
589    | 978.70         
590    | 977.40         
591    | 983.28         
592    | 980.92         
593    | 980.93         
594    | 978.58         
595    | 981.10         
596    | 977.85         
597    | 978.41         
598    | 981.10         
599    | 980.26         
600    | 979.57         
601    | 2978.70        
602    | 979.01         
603    | 982.31         
604    | 981.26         
605    | 978.09         
606    | 979.95         
607    | 980.21         
608    | 983.21         
609    | 982.02         
610    | 976.71         
611    | 976.82         
612    | 979.10         
613    | 977.40         
614    | 977.18         
615    | 982.55         
616    | 976.65         
617    | 979.34         
618    | 982.20         
619    | 977.53         
620    | 980.72         
621    | 979.93         
622    | 978.38         
623    | 979.01         
624    | 976.69         
625    | 982.54         
626    | 980.20         
627    | 977.29         
628    | 976.53         
629    | 979.99         
630    | 978.68         
631    | 983.36         
632    | 980.36         
633    | 981.04         
634    | 982.56         
635    | 976.77         
636    | 977.01         
637    | 983.18         
638    | 982.10         
639    | 980.66         
640    | 982.66         
641    | 982.45         
642    | 977.41         
643    | 980.82         
644    | 978.53         
645    | 976.66         
646    | 982.80         
647    | 977.77         
648    | 978.52         
649    | 977.70         
650    | 983.47         
651    | 978.14         
652    | 982.63         
653    | 976.66         
654    | 978.48         
655    | 980.66         
656    | 980.06         
657    | 977.62         
658    | 976.70         
659    | 976.54         
660    | 980.48         
661    | 2976.91        
662    | 980.77         
663    | 979.02         
664    | 977.84         
665    | 981.70         
666    | 980.36         
667    | 979.94         
668    | 980.86         
669    | 976.71         
670    | 976.85         
671    | 979.51         
672    | 982.21         
673    | 979.62         
674    | 980.26         
675    | 977.78         
676    | 976.63         
677    | 982.42         
678    | 982.87         
679    | 982.32         
680    | 978.25         
681    | 980.80         
682    | 982.53         
683    | 980.12         
684    | 978.97         
685    | 983.47         
686    | 982.81         
687    | 979.13         
688    | 977.09         
689    | 979.75         
690    | 982.30         
691    | 979.48         
692    | 977.92         
693    | 982.04         
694    | 978.19         
695    | 980.35         
696    | 982.13         
697    | 980.79         
698    | 980.93         
699    | 979.61         
700    | 981.71         
701    | 977.07         
702    | 980.24         
703    | 979.19         
704    | 980.05         
705    | 982.14         
706    | 981.68         
707    | 980.92         
708    | 977.12         
709    | 980.52         
710    | 980.98         
711    | 977.91         
